

1	ARTICULUS	ARTICULUS	NN	Artikel	nom|sg|masc	PNC	2
41	Abbruch	Abbruch	NN	Abbruch	acc|sg|masc	OA	56
42	/	/	$,	/	_	--	41
43	das	das	ART	d	nom|sg|neut	NK	44
44	Gericht	Gericht	NN	Gericht	nom|sg|neut	SB	56
45	keinen	keinen	PIAT	kein	acc|sg|masc	NK	46
46	Schimpff	Schimpf	NN	Schimpf	acc|sg|masc	OA	56
47	/	/	$,	/	_	--	46
48	und	und	KON	und	_	CD	46
49	der	der	ART	d	nom|sg|masc	NK	50
50	Verhaffte	verhafte	ADJA	verhafte	nom|sg|masc|pos	CJ	48
51	an	an	APPR	an	_	MO	56
52	seiner	seiner	PPOSAT	sein	dat|sg|fem	NK	53
53	Gesundheit	Gesundheit	NN	Gesundheit	dat|sg|fem	NK	51
54	keinen	keinen	PIAT	kein	acc|sg|masc	NK	55
55	Anstoß	Anstoß	NN	Anstoß	acc|sg|masc	OA	56
56	leyde	leide	VVFIN	leiden	sg|3|pres|subj	MO	15
57	.	.	SENT	.	_	--	56

1	§.	§.	$(	§	nom|sg|*|pos	--	0
2	1.	1.	CARD	@ord@	_	--	0

1	Als	Als	KOUS	als	_	CJ	130
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	gar	gar	ADV	gar	_	MO	4
4	nothwendig	notwendig	ADJD	notwendig	pos	PD	2
5	/	/	$,	/	_	--	4
6	daß	daß	KOUS	daß	_	CP	11
7	ein	ein	ART	ein	nom|sg|neut	NK	9
8	jedes	jedes	PIAT	jed	nom|sg|neut	NK	9
9	Gericht	Gericht	NN	Gericht	acc|sg|neut	SB	11
10	wohl	wohl	ADV	wohl	_	MO	11
11	beobachte	beobachte	VVFIN	beobachten	_	SB	2
12	/	/	$,	/	_	--	11
13	womit	womit	PWAVREL	womit	_	MO	29
14	dem	dem	ART	d	dat|sg|neut	NK	15
15	Gefangenen	Gefangenen	NA	Gefangene	dat|pl|*	DA	41
16	alle	alle	PIAT	all	acc|sg|fem	NK	17
17	Communication	Kommunikation	NN	Kommunikation	acc|sg|fem	OA	41
18	,	,	$,	,	_	--	17
19	Unterredung	Unterredung	NN	Unterredung	acc|sg|fem	CJ	17
20	/	/	$,	/	_	--	19
21	Correspondenz	Korrespondenz	NN	Korrespondenz	acc|sg|fem	CJ	19
22	und	und	KON	und	_	CD	21
23	Unterschleiff	Unterschleif	NN	Unterschleif	nom|sg|masc	CJ	22
24	/	/	$,	/	_	--	23
25	mit	mit	APPR	mit	_	MO	41
26	seinen	seinen	PPOSAT	sein	dat|pl|neut	NK	27
27	Lasters	Lasters	NN	Lasters	dat|pl|neut	NK	25
28	Gehuͤlffen	Gehilfen	NN	Gehilfe	nom|pl|fem	OA	29
29	gaͤntzlichen	gänzlichen	ADJA	gänzlich	gen|sg|neut|pos	APP	27
30	(	(	$(	(	_	--	29
31	dann	dann	ADV	dann	_	MO	41
32	mit	mit	APPR	mit	_	MO	41
33	andern	anderen	PIS	ander	dat|pl|fem	NK	32
34	/	/	$,	/	_	--	33
35	so	so	ADV	so	_	MO	41
36	nicht	nicht	PTKNEG	nicht	_	NG	41
37	eben	eben	ADV	eben	_	MO	41
38	in	in	APPR	in	_	MO	41
39	diesem	diesem	PDAT	dies	dat|sg|masc	NK	40
40	Laster	Laster	NN	Laster	dat|sg|masc	NK	38
41	indicirt	indicirt	VVPP	indicirt	_	PD	42
42	seynd	sind	VAFIN	sein	pl|3|pres|ind	MO	44
43	/	/	$,	/	_	--	42
44	kan	kann	VMFIN	können	sg|3|pres|ind	CJ	2
45	er	er	PPER	er	nom|sg|masc|3	SB	44
46	schon	schon	ADV	schon	_	MO	47
47	in	in	APPR	in	_	MO	50
48	eine	eine	ART	ein	acc|sg|fem	NK	49
49	Gefaͤngnus	Gefängnus	NN	Gefängnus	acc|sg|fem	NK	47
50	geleget	gelegt	VVPP	legen	_	OC	51
51	werden	werden	VAINF	werden	_	OC	44
52	/	/	$,	/	_	--	51
53	)	)	$)	)	_	--	52
54	mit	mit	APPR	mit	_	MO	73
55	seinen	seinen	PPOSAT	sein	dat|pl|masc	NK	56
56	Freunden	Freunden	NN	Freund	dat|pl|masc	NK	54
57	/	/	$,	/	_	--	56
58	Bekannten	Bekannten	NN	Bekannte	dat|pl|*	CJ	56
59	/	/	$,	/	_	--	58
60	und	und	KON	und	_	CD	58
61	anderen	anderen	ADJA	ander	dat|pl|fem|pos	NK	62
62	Leuthen	Leuthen	NN	Leute	dat|pl|fem	CJ	60
63	aber	aber	ADV	aber	_	MO	73
64	/	/	$,	/	_	--	63
65	absonderlich	absonderlich	ADJD	absonderlich	pos	MO	66
66	vor	vor	APPR	vor	_	CJ	73
67	gehaltenem	gehaltenem	ADJA	gehaltenem	dat|sg|neut|pos	NK	69
68	Summarischen	Summarischen	NN	Summarischen	dat|sg|fem|pos	NK	69
69	Examine	Examine	FM	Examine	dat|sg|fem	NK	66
70	,	,	$,	,	_	--	69
71	und	und	KON	und	_	JU	73
72	damahls	damals	ADV	damals	_	MO	73
73	verbotten	verboten	VVPP	verbieten	_	OC	77
74	/	/	$,	/	_	--	73
75	und	und	KON	und	_	CD	73
76	benommen	benommen	VVPP	benehmen	_	CJ	75
77	werde	werde	VAFIN	werden	sg|3|pres|subj	PAR	33
78	/	/	$,	/	_	--	77
79	wann	wann	KOUS	wann	_	MO	88
80	das	das	ART	d	nom|sg|neut	NK	81
81	Laster	Laster	NN	Laster	nom|sg|neut	SB	83
82	gewiß	gewiß	ADJD	gewiß	_	MO	83
83	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	44
84	/	/	$,	/	_	--	83
85	und	und	KON	und	_	CD	83
86	man	man	PIS	man	nom|sg|*	SB	89
87	sich	sich	PRF	er|es|sie	dat|sg|3	DA	88
88	befoͤrchten	beförchten	VVINF	beförchten	_	OC	89
89	koͤnnte	könnte	VMFIN	können	sg|3|past|subj	CJ	85
90	/	/	$,	/	_	--	89
91	daß	daß	KOUS	daß	_	CP	151
92	nicht	nicht	PTKNEG	nicht	_	NG	94
93	etwann	etwan	PIAT	etwan	_	MO	94
94	Inquisit	Inquisit	NN	Inquisit	nom|sg|neut	SB	89
95	Mittel	Mittel	NN	Mittel	nom|sg|neut	NK	94
96	sich	sich	PRF	er|es|sie	acc|sg|3	DA	101
97	aus	aus	APPR	aus	_	MO	101
98	dem	dem	ART	d	dat|sg|neut	NK	99
99	Gefaͤngnus	Gefängnus	NN	Gefängnus	dat|sg|neut	NK	97
100	zu	zu	PTKZU	zu	_	PM	101
101	helffen	helfen	VVINF	helfen	_	OC	89
102	/	/	$,	/	_	--	101
103	oder	oder	KON	oder	_	CD	94
104	aber	aber	ADV	aber	_	MO	105
105	Gifft	Gift	NN	Gift	acc|sg|neut	CJ	103
106	/	/	$,	/	_	--	105
107	oder	oder	KON	oder	_	CD	105
108	anderwaͤrtig	anderwärtig	ADJD	anderwärtig	pos	MO	109
109	schaͤdliche	schädliche	ADJA	schädlich	acc|pl|fem|pos	NK	110
110	Artzneyen	Arzneien	NN	Arznei	acc|pl|fem	CJ	107
111	/	/	$,	/	_	--	110
112	oder	oder	KON	oder	_	CD	110
113	aber	aber	ADV	aber	_	MO	114
114	Gifft	Gift	NN	Gift	acc|sg|neut	CJ	112
115	/	/	$,	/	_	--	114
116	oder	oder	KON	oder	_	CD	110
117	anderwaͤrtig	anderwärtig	ADJD	anderwärtig	pos	MO	118
118	schaͤdliche	schädliche	ADJA	schädlich	acc|pl|fem|pos	NK	119
119	Artzeneyen	Artzeneyen	NN	Artzeneyen	acc|pl|fem	CJ	116
120	/	/	$,	/	_	--	119
121	oder	oder	KON	oder	_	CD	119
122	zauberische	zauberische	ADJA	zauberische	acc|pl|fem|pos	CJ	121
123	/	/	$,	/	_	--	122
124	aberglaubische	aberglaubische	ADJA	aberglaubische	acc|pl|fem|pos	NK	133
125	/	/	$,	/	_	--	124
126	etwann	etwan	ADV	etwa	_	MO	128
127	die	die	ART	d	acc|sg|fem	NK	128
128	Verstockung	Verstockung	NN	Verstockung	acc|sg|fem	SB	151
129	/	/	$,	/	_	--	128
130	oder	oder	KON	oder	_	CD	128
131	Unempfindlichkeit	Unempfindlichkeit	NN	Unempfindlichkeit	acc|sg|fem	CJ	130
132	verursachende	verursachende	ADJA	verursachende	acc|pl|fem|pos	NK	133
133	Sachen	Sachen	NN	Sache	acc|pl|fem	OA	142
134	/	/	$,	/	_	--	133
135	oder	oder	KON	oder	_	CD	133
136	auch	auch	ADV	auch	_	MO	137
137	Gelegenheit	Gelegenheit	NN	Gelegenheit	acc|sg|fem	CJ	135
138	/	/	$,	/	_	--	137
139	sich	sich	PRF	er|es|sie	acc|sg|3	OA	140
140	abrichten	abrichten	NN	abrichten	_	OC	142
141	zu	zu	PTKZU	zu	_	PM	142
142	lassen	lassen	VVINF	lassen	_	OC	151
143	/	/	$,	/	_	--	142
144	oder	oder	KON	oder	_	CD	142
145	falsche	falsche	ADJA	falsch	acc|pl|fem|pos	NK	146
146	Zeugen	Zeugen	NN	Zeug	acc|sg|masc	OA	148
147	zu	zu	PTKZU	zu	_	PM	148
148	suborniren	suborniren	VVINF	suborniren	_	OA	150
149	/	/	$,	/	_	--	148
150	uͤberkommen	überkommen	VVINF	überkommen	_	CJ	144
151	moͤchte	möchte	VMFIN	mögen	sg|3|pres|ind	RC	119
152	.	.	SENT	.	_	--	151

1	§.	§.	$(	§	nom|sg|*	--	0
2	2.	2.	CARD	@ord@	_	--	0

1	Sonsten	Sonsten	ADV	sonst	_	MO	15
2	aber	aber	ADV	aber	_	MO	1
3	/	/	$,	/	_	--	2
4	wann	wann	KOUS	wann	_	MO	13
5	es	es	PPER	es	nom|sg|neut|3	EP	15
6	auch	auch	ADV	auch	_	MO	13
7	schon	schon	ADV	schon	_	MO	13
8	ein	ein	ART	ein	_	NK	12
9	noch	noch	ADV	noch	_	MO	11
10	so	so	ADV	so	_	MO	11
11	grosser	großer	ADJA	groß	nom|sg|masc|pos	NK	12
12	Boͤßwicht	Bößwicht	NN	Bößwicht	nom|sg|masc	PD	13
13	waͤre	wäre	VAFIN	sein	sg|3|past|subj	OC	15
14	/	/	$,	/	_	--	13
15	soll	soll	VMFIN	sollen	sg|3|pres|ind	--	0
16	ihme	ihm	PPER	er	dat|sg|masc|3	DA	18
17	doch	doch	ADV	doch	_	MO	18
18	erlaubet	erlaubet	VVPP	erlauben	sg|3|pres|ind	PD	19
19	seyn	sein	VAINF	sein	_	OC	15
20	/	/	$,	/	_	--	19
21	mit	mit	APPR	mit	_	MO	18
22	allen	allen	PIAT	all	dat|pl|fem	NK	24
23	ehrlichen	ehrlichen	ADJA	ehrlich	dat|pl|*|pos	NK	24
24	Leuten	Leuten	NN	Leute	dat|pl|*	NK	21
25	/	/	$,	/	_	--	24
26	in	in	APPR	in	_	MNR	24
27	Beyseyn	Beisein	NN	Beisein	dat|sg|neut	NK	26
28	des	des	ART	d	gen|sg|masc	NK	29
29	Kercker-Meisters	Kercker-Meisters	NN	Kercker-Meisters	gen|sg|masc	AG	27
30	,	,	$,	,	_	--	29
31	laut	laut	ADJD	laut	_	CJ	26
32	/	/	$,	/	_	--	31
33	und	und	KON	und	_	CD	31
34	von	von	APPR	von	_	CJ	33
35	Sachen	Sachen	NN	Sache	dat|pl|fem	NK	34
36	/	/	$,	/	_	--	35
37	die	die	PRELS	d	nom|pl|*	SB	39
38	zulaͤssig	zulässig	ADJD	zulässig	pos	PD	39
39	seynd	sind	VAFIN	sein	pl|3|pres|ind	RC	24
40	/	/	$,	/	_	--	39
41	(	(	$(	(	_	--	40
42	ausser	außer	APPR	außer	_	PAR	19
43	dem	dem	ART	d	dat|sg|masc	NK	44
44	Beichtvatter	Beichtvater	NN	Beichtvater	dat|sg|masc	NK	42
45	und	und	KON	und	_	CD	44
46	einem	einem	ART	ein	dat|sg|neut	NK	47
47	Medico	Medico	NN	Medico	dat|sg|neut	CJ	45
48	,	,	$,	,	_	--	47
49	wann	wann	KOUS	wann	_	MO	54
50	der	der	ART	d	dat|sg|fem	NK	51
51	Inquisit	Inquisit	NN	Inquisit	dat|sg|fem	DA	53
52	zu	zu	PTKZU	zu	_	PM	53
53	beichten	beichten	VVINF	beichten	_	OC	54
54	verlanget	verlanget	VVFIN	verlangen	sg|3|pres|ind	RC	47
55	/	/	$,	/	_	--	54
56	oder	oder	KON	oder	_	CD	54
57	kranck	krank	ADJD	krank	pos	PD	58
58	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	56
59	/	/	$,	/	_	--	58
60	so	so	ADV	so	_	MO	72
61	auch	auch	ADV	auch	_	MO	70
62	heimlich	heimlich	ADJD	heimlich	pos	MO	69
63	mit	mit	APPR	mit	_	OP	69
64	ihme	ihm	PPER	er	dat|sg|masc|3	NK	63
65	von	von	APPR	von	_	OP	69
66	Seel-	Seele	NN	Seele	dat|sg|fem	NK	65
67	und	und	KON	und	_	CD	66
68	Leibs-Kranckheiten	Leibs-Kranckheiten	NN	Leibs-Kranckheiten	dat|pl|fem	CJ	67
69	reden	reden	VVINF	reden	_	OC	70
70	koͤnnen	können	VMFIN	können	pl|3|pres|ind	RE	60
71	)	)	$)	)	_	--	70
72	zusprechen	zusprechen	VVINF	zusprechen	_	SB	58
73	.	.	SENT	.	_	--	72

1	§.	§.	$(	§	nom|sg|*	--	0
2	3.	3.	CARD	@ord@	_	--	0

1	So	So	ADV	so	_	MO	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	auch	auch	ADV	auch	_	MO	2
4	nicht	nicht	PTKNEG	nicht	_	NG	5
5	gleich	gleich	ADV	gleich	_	MO	2
6	ein	ein	ART	ein	nom|sg|masc	NK	7
7	jeder	jeder	PIS	jed	nom|sg|masc	SB	2
8	/	/	$,	/	_	--	7
9	in	in	APPR	in	_	MO	24
10	Eysen	Eisen	NN	Eisen	dat|sg|neut	NK	9
11	/	/	$,	/	_	--	10
12	Stock	Stock	NN	Stock	dat|sg|masc	CJ	10
13	/	/	$,	/	_	--	12
14	Finsternus	Finsternus	NN	Finsternus	_	CJ	12
15	/	/	$,	/	_	--	14
16	Gestanck	Gestank	NN	Gestank	_	CJ	14
17	/	/	$,	/	_	--	16
18	Unflat	Unflat	NN	Unflat	_	CJ	16
19	/	/	$,	/	_	--	18
20	und	und	KON	und	_	CD	12
21	solche	solche	PIAT	solch	acc|sg|fem	NK	22
22	Muͤheseeligkeit	Müheseeligkeit	NN	Müheseeligkeit	acc|sg|fem	CJ	20
23	zu	zu	PTKZU	zu	_	PM	24
24	werffen	werfen	VVINF	werfen	_	OC	2
25	/	/	$,	/	_	--	24
26	daß	daß	KOUS	daß	_	CP	39
27	ihme	ihm	PPER	er	dat|sg|masc|3	DA	38
28	etwann	etwan	ADV	etwa	_	MO	29
29	leichter	leichter	ADJD	leicht	comp	PD	39
30	der	der	ART	d	nom|sg|masc	NK	31
31	Tod	Tod	NN	Tod	nom|sg|masc	SB	39
32	selbsten	selbst	PRF	selbst	_	MNR	31
33	/	/	$,	/	_	--	32
34	als	als	KOKOM	als	_	MO	38
35	eine	eine	ART	ein	nom|sg|fem	NK	37
36	solche	solche	PIAT	solch	nom|sg|fem	NK	37
37	Gefaͤngnus	Gefängnus	NN	Gefängnus	acc|sg|neut	NK	34
38	auszustehen	auszustehen	VVIZU	ausstehen	_	OC	39
39	waͤre	wäre	VAFIN	sein	sg|3|past|subj	OC	24
40	;	;	SENT	;	_	--	39

1	Sondern	Sondern	KON	sondern	_	JU	3
2	es	es	PPER	es	nom|sg|neut|3	PH	3
3	sollen	sollen	VMFIN	sollen	pl|3|pres|ind	--	0
4	die	die	ART	d	nom|pl|masc	NK	5
5	Gefaͤngnussen	Gefängnussen	NN	Gefängnussen	nom|pl|masc	SB	3
6	also	also	ADV	also	_	MO	3
7	beschaffen	beschaffen	ADJD	beschaffen	_	PD	8
8	seyn	sein	VAINF	sein	_	OC	3
9	/	/	$,	/	_	--	8
10	daß	daß	KOUS	daß	_	CP	21
11	die	die	ART	d	nom|sg|fem	NK	12
12	Verhaffte	verhafte	ADJA	verhafte	nom|sg|fem|pos	SB	21
13	/	/	$,	/	_	--	12
14	weder	weder	KON	weder	_	CD	15
15	am	am	APPRART	am	dat|sg|neut	MNR	12
16	Leben	Leben	NN	Leben	dat|sg|neut	NK	15
17	/	/	$,	/	_	--	16
18	noch	noch	KON	noch	_	MO	21
19	Gesundheit	Gesundheit	NN	Gesundheit	acc|sg|fem	OA	20
20	schaden	schaden	NN	Schaden	_	OC	21
21	leiden	leiden	VVINF	leiden	_	RE	2
22	/	/	$,	/	_	--	21
23	wie	wie	KOUS	wie	_	CD	21
24	auch	auch	ADV	auch	_	MO	34
25	/	/	$,	/	_	--	24
26	daß	daß	KOUS	daß	_	CP	34
27	nicht	nicht	PTKNEG	nicht	_	NG	28
28	Maͤnner	Männer	NN	Mann	nom|pl|masc	SB	34
29	mit	mit	APPR	mit	_	MO	34
30	Weibern	Weibern	NN	Weib	dat|pl|masc	NK	29
31	in	in	APPR	in	_	MO	34
32	einem	einem	ART	ein	dat|sg|masc	NK	33
33	Ort	Ort	NN	Ort	dat|sg|masc	NK	31
34	bleiben	bleiben	VVINF	bleiben	_	CJ	23
35	;	;	SENT	;	_	--	34

1	besonders	besonders	ADV	besonders	_	MO	9
2	aber	aber	ADV	aber	_	MO	9
3	§.	§.	$(	§	nom|sg|neut	PD	9
4	4.	4.	CARD	@ord@	_	MO	9
5	Solle	Solle	NN	Solle	nom|pl|masc	PD	9
6	der	der	ART	d	gen|pl|fem	NK	7
7	Gerichten	Gerichten	NN	Gericht	gen|pl|fem	AG	5
8	Obsorg	Obsorg	NN	Obsorg	nom|sg|neut	NK	7
9	seyn	sein	VAINF	sein	_	--	0
10	/	/	$,	/	_	--	9
11	jedem	jedem	PIAT	jed	dat|sg|masc	NK	12
12	Gefangenen	Gefangenen	NA	Gefangene	dat|pl|*	DA	32
13	die	die	ART	d	acc|sg|fem	NK	15
14	nothwendige	notwendige	ADJA	notwendig	acc|sg|fem|pos	NK	15
15	Atzung	Atzung	NN	Atzung	acc|sg|fem	OA	32
16	/	/	$,	/	_	--	15
17	und	und	KON	und	_	CD	15
18	Kleidung	Kleidung	NN	Kleidung	acc|sg|fem	CJ	17
19	/	/	$,	/	_	--	18
20	denen	denen	ART	d	dat|pl|*	NK	21
21	Krancken	Kranken	NN	kranke	dat|pl|*	CJ	18
22	/	/	$,	/	_	--	21
23	und	und	KON	und	_	CD	21
24	Kindbetterinnen	Kindbetterinnen	NN	Kindbetterinnen	dat|pl|fem	CJ	23
25	aber	aber	ADV	aber	_	MO	32
26	/	/	$,	/	_	--	25
27	alle	alle	PIAT	all	_	NK	29
28	erforderliche	erforderliche	ADJA	erforderlich	acc|sg|fem|pos	NK	29
29	Huͤlff	Hilfe	NN	Hilfe	acc|sg|fem	OA	32
30	herbey	herbei	PTKVZ	herbei	_	MO	50
31	zu	zu	PTKZU	zu	_	PM	32
32	schaffen	schaffen	VVINF	schaffen	_	CJ	9
33	/	/	$,	/	_	--	32
34	solche	solche	PIS	solch	sg|2|imp	OA	50
35	auf	auf	APPR	auf	_	MO	50
36	Befund	Befund	NN	Befund	acc|sg|masc	NK	35
37	des	des	ART	d	gen|sg|masc	NK	38
38	Artztes	Arztes	NN	Arzt	gen|sg|masc	AG	36
39	von	von	APPR	von	_	MO	50
40	denen	denen	ART	d	dat|pl|*	NK	48
41	anderen	anderen	PIS	ander	dat|pl|*	NK	39
42	/	/	$,	/	_	--	41
43	an	an	APPR	an	_	MO	50
44	saubere	saubere	ADJA	sauber	_	NK	43
45	doch	doch	ADV	doch	_	MO	50
46	wohl	wohl	ADV	wohl	_	MO	50
47	verwahrte	verwahrte	VVFIN	verwahren	acc|sg|neut|pos	NK	48
48	Ort	Ort	NN	Ort	acc|sg|masc	OA	50
49	zu	zu	PTKZU	zu	_	PM	50
50	bringen	bringen	VVINF	bringen	_	CJ	32
51	/	/	$,	/	_	--	50
52	und	und	KON	und	_	CD	50
53	moͤglichstens	möglichstens	ADV	möglichstens	_	MO	55
54	zu	zu	PTKZU	zu	_	PM	55
55	verpflegen	verpflegen	VVINF	verpflegen	_	CJ	52
56	;	;	SENT	;	_	--	55

1	und	und	KON	und	_	JU	9
2	zwar	zwar	ADV	zwar	_	MO	3
3	§.	§.	$(	§	dat|sg|masc	MO	9
4	5.	5.	CARD	@ord@	dat|sg|masc|pos	NK	5
5	Anlangend	Anlangend	ADV	Anlangend	dat|sg|masc	NK	3
6	die	die	ART	d	nom|sg|fem	NK	7
7	Atzung	Atzung	NN	Atzung	nom|sg|fem	SB	9
8	/	/	$,	/	_	--	7
9	soll	soll	VMFIN	sollen	sg|3|pres|ind	RE	38
10	ein	ein	ART	ein	nom|sg|masc	NK	12
11	jeder	jeder	PIAT	jed	nom|sg|masc	NK	12
12	Gefangener	Gefangener	NN	gefangener	nom|sg|masc	SB	9
13	/	/	$,	/	_	--	12
14	da	da	KOUS	da	_	CP	20
15	er	er	PPER	er	nom|sg|masc|3	SB	20
16	sich	sich	PRF	er|es|sie	acc|sg|3	OA	19
17	selbst	selbst	PRF	selbst	_	MNR	16
18	nicht	nicht	PTKNEG	nicht	_	NG	20
19	naͤhren	nähren	VVINF	nähren	_	OC	20
20	kan	kann	VMFIN	können	sg|3|pres|ind	MO	9
21	/	/	$,	/	_	--	20
22	wenigsten	wenigsten	ADV	wenig	nom|pl|fem	NK	25
23	taͤglichen	täglichen	ADJA	täglich	gen|pl|masc|pos	NK	25
24	vier	vier	CARD	vier	_	NK	25
25	Kreutzer	Kreuzer	NN	Kreuzer	gen|pl|masc	OA	26
26	haben	haben	VAFIN	haben	_	OC	9
27	/	/	$,	/	_	--	26
28	waͤre	wäre	VAFIN	sein	sg|3|past|subj	OC	19
29	er	er	PPER	er	nom|sg|masc|3	SB	28
30	aber	aber	ADV	aber	_	MO	28
31	Stands-maͤssig	Stands-mässig	ADJD	Stands-mässig	nom|sg|masc	PD	28
32	/	/	$,	/	_	--	31
33	oder	oder	KON	oder	_	CD	28
34	einer	einer	ART	ein	nom|sg|masc	NK	36
35	bessern	bessern	ADJA	gut	dat|sg|fem|pos	NK	36
36	Condition	Kondition	NN	Kondition	dat|sg|fem	CJ	33
37	,	,	$,	,	_	--	36
38	so	so	ADV	so	_	MO	39
39	stehet	stehet	VVFIN	stehen	sg|3|pres|ind	--	0
40	es	es	PPER	es	nom|sg|neut|3	SB	39
41	in	in	APPR	in	_	MO	39
42	eines	eines	ART	ein	gen|sg|masc	NK	44
43	jeden	jeden	PIAT	jed	gen|sg|masc	NK	44
44	Gerichts	Gerichts	NN	Gericht	gen|sg|neut	AG	45
45	Willkuͤhr	Willkür	NN	Willkür	acc|sg|fem	NK	41
46	/	/	$,	/	_	--	45
47	wie	wie	KOUS	wie	_	CM	48
48	derselbige	derselbige	PDS	derselbige	dat|sg|*	CC	38
49	soll	soll	VMFIN	sollen	sg|3|pres|ind	CJ	39
50	unterhalten	unterhalten	VVPP	unterhalten	_	OC	51
51	werden	werden	VAINF	werden	_	OC	49
52	.	.	SENT	.	_	--	51

1	ARTICULUS	ARTICULUS	NN	Artikel	nom|sg|neut	--	0
2	XVI	XVI	NE	XVI	_	PNC	1
3	.	.	SENT	.	_	--	2

1	Von	Von	APPR	von	_	PG	6
2	der	der	ART	d	dat|sg|fem	NK	3
3	Tortur	Tortur	NN	Tortur	dat|sg|fem	NK	1
4	/	/	$,	/	_	--	3
5	oder	oder	KON	oder	_	CD	6
6	scharpffen	scharpffen	ADJA	scharpffen	pl|3|pres|ind	--	0
7	Frag	Frage	NN	Frage	acc|sg|fem	OA	6
8	.	.	SENT	.	_	--	7

1	WEilen	weilen	KOUS	weil	pl|3|pres|ind	--	0
2	nun	nun	ADV	nun	_	MO	1
3	nicht	nicht	PTKNEG	nicht	_	NG	1
4	allezeit	allezeit	ADV	allezeit	pos	MO	1
5	zu	zu	APPR	zu	_	OP	1
6	einen	einen	ART	ein	acc|sg|masc	NK	8
7	absoluten	absoluten	ADJA	absolut	acc|sg|masc|pos	NK	8
8	Sententz	Sentenz	NN	Sentenz	acc|sg|masc	NK	5
9	/	/	$,	/	_	--	8
10	das	das	PDS	d	nom|sg|neut	SB	11
11	ist	ist	VAFIN	sein	sg|3|pres|ind	RC	8
12	:	:	SENT	:	_	--	11

1	Oder	Oder	KON	oder	_	JU	14
2	zu	zu	APPR	zu	_	MO	12
3	der	der	ART	d	dat|sg|fem	NK	4
4	Verurtheilung	Verurteilung	NN	Verurteilung	dat|sg|fem	NK	2
5	/	/	$,	/	_	--	4
6	oder	oder	KON	oder	_	CD	4
7	der	der	ART	d	dat|sg|fem	NK	8
8	Absolution	Absolution	NN	Absolution	dat|sg|fem	CJ	6
9	,	,	$,	,	_	--	8
