

1	Es	Es	PPER	es	nom|sg|neut|3	EP	2
88	allerhand	allerhand	PIAT	allerhand	*|*|*	NK	89
89	Angelegenheiten	Angelegenheiten	NN	Angelegenheit	dat|pl|fem	NK	87
90	nuͤtzlich	nützlich	ADJD	nützlich	pos	MO	92
91	zu	zu	PTKZU	zu	_	PM	92
92	gebrauchen	gebrauchen	VVINF	gebrauchen	_	CJ	86
93	;	;	SENT	;	_	--	92
94	mit	mit	APPR	mit	_	MO	96
95	Fleiß	Fleiß	NN	Fleiß	dat|sg|masc	NK	94
96	verbessert	verbessert	VVPP	verbessern	_	PAR	65
97	,	,	$,	,	_	--	96
98	und	und	KON	und	_	CD	96
99	mit	mit	APPR	mit	_	MO	122
100	einigen	einigen	PIAT	einig	dat|pl|masc	NK	101
101	Gebaͤtern	Gebetdeern	NN	Gebetdeern	dat|pl|masc	NK	99
102	vermehrt	vermehrt	ADJD	vermehrt	pos	MO	122
103	von	von	APPR	von	_	SBP	116
104	D.	Doktor	NN	Doktor	nom|sg|masc	PNC	106
105	Conrad	Conrad	NE	Conrad	nom|sg|masc	PNC	106
106	Mel	Mel	NE	Mel	dat|sg|masc	NK	103
107	.	.	SENT	.	_	--	106
108	8	octavo	FM	octavo	_	MO	116
109	vo	.	SENT	.	_	--	108
110	Herßfeld	Herßfeld	NE	Herßfeld	nom|sg|neut	SB	116
111	1747.	1747.	CARD	@ord@	_	NK	113
112	20.	20.	CARD	@ord@	dat|sg|masc|pos	NK	113
113	kr.	Kronen	NN	Krone	dat|pl|fem	OA	122
114	Christoph	Christoph	NE	Christoph	nom|sg|masc	PNC	115
115	Cellarii	Cellarii	NE	Cellarii	nom|sg|masc	NK	113
116	erleichterte	erleichterte	ADJA	erleichtert	nom|sg|fem|pos	NK	118
117	Lateinische	Lateinische	NN	Lateinische	nom|sg|fem|pos	NK	118
118	Grammatic	Grammatic	NE	Grammatic	nom|sg|fem	PD	120
119	;	;	SENT	;	_	--	118
120	von	von	APPR	von	_	MO	122
121	neuem	neuem	ADJA	neu	dat|sg|neut|pos	NK	120
122	ausgefertiget	ausgefertigt	VVPP	ausfertigen	_	CJ	98
123	,	,	$,	,	_	--	122
124	und	und	KON	und	_	CD	122
125	an	an	APPR	an	_	MO	134
126	vielen	vielen	PIAT	viel	dat|pl|masc	NK	127
127	Orten	Orten	NN	Ort	dat|pl|masc	NK	125
128	vermehrt	vermehrt	ADJD	vermehrt	pos	MNR	127
129	von	von	APPR	von	_	PG	128
130	J.	J.	NE	J.	nom|sg|masc	PNC	132
131	M.	M.	NE	M.	dat|sg|masc	PNC	132
132	Geßner	Geßner	NE	Geßner	dat|sg|masc	NK	129
133	.	.	SENT	.	_	--	132
134	8	octavo	FM	octavo	_	CJ	124
135	vo	.	SENT	.	_	--	134
136	Franckfurt	Frankfurt	NE	Frankfurt	nom|sg|neut	UC	134
137	1749.	1749.	CARD	@ord@	_	NK	139
138	30.	30.	CARD	@ord@	dat|pl|fem|pos	NK	139
139	kr.	Kronen	NN	Krone	dat|pl|fem	MNR	136
140	Die	Die	ART	d	nom|sg|fem	NK	142
141	gluͤckliche	glückliche	ADJA	glücklich	nom|sg|fem|pos	NK	142
142	Maitresse	Maitresse	NN	Maitresse	nom|sg|fem	NK	139
143	,	,	$,	,	_	--	142
144	oder	oder	KON	oder	_	CD	142
145	Lebens-Beschreibung	Lebens-Beschreibung	NN	Lebens-Beschreibung	acc|sg|fem	CJ	144
146	und	und	KON	und	_	CD	145
147	mancherley	mancherlei	PIAT	mancherlei	*|*|*	NK	149
148	seltsame	seltsame	ADJA	seltsam	acc|sg|fem|pos	NK	149
149	Gluͤcks-Faͤlle	Glücks-Fälle	NN	Glücks-Fälle	nom|pl|masc	CJ	146
150	der	der	ART	d	gen|sg|fem	NK	151
151	Mademoiselle	Mademoiselle	NN	Mademoiselle	gen|sg|fem	AG	145
152	de	de	NE	de	*|*|*	PNC	153
153	Bleau	Bleau	NE	Bleau	acc|sg|masc	NK	151
154	,	,	$,	,	_	--	153
155	welche	welche	PRELS	welch	nom|pl|fem	SB	164
156	hernach	hernach	ADV	hernach	_	MO	163
157	die	die	ART	d	acc|sg|fem	NK	158
158	Graͤfin	Gräfin	NN	Gräfin	acc|sg|fem	NK	156
159	von	von	APPR	von	_	PG	158
160	Wintselsheim	Wintselsheim	NE	Wintselsheim	dat|sg|neut	NK	159
161	in	in	APPR	in	_	MNR	160
162	Teutschland	Deutschland	NE	Deutschland	dat|sg|neut	NK	161
163	genennet	genannt	VVPP	nennen	_	OC	164
164	wurde	wurde	VAFIN	werden	sg|3|past|ind	RC	151
165	:	:	SENT	:	_	--	164
166	Deme	Dämme	NN	Damm	nom|sg|fem	SB	167
167	beygefuͤget	beygefüget	VVPP	beifügen	sg|3|pres|ind	PAR	145
168	die	die	ART	d	nom|sg|fem	NK	170
169	geheime	geheime	ADJA	geheim	nom|sg|fem|pos	NK	170
170	Geschichte	Geschichte	NN	Geschichte	nom|sg|fem	SB	167
171	der	der	ART	d	gen|sg|fem	NK	173
172	schoͤnen	schönen	ADJA	schön	gen|sg|fem|pos	NK	173
173	Venella	Venella	NN	Venella	gen|sg|fem	AG	170
174	,	,	$,	,	_	--	173
175	wahrhafte	wahrhafte	ADJA	wahrhaft	acc|pl|fem|pos	NK	176
176	Begebenheiten	Begebenheiten	NN	Begebenheit	acc|pl|fem	OA	181
177	.	.	SENT	.	_	--	176
178	Aus	Aus	APPR	aus	_	MO	181
179	dem	dem	ART	d	dat|sg|neut	NK	180
180	Englischen	Englischen	NA	Englische	dat|sg|neut	NK	178
181	uͤbersetzt	übersetzt	VVPP	übersetzen	_	RC	170
182	.	.	SENT	.	_	--	181

1	8	octavo	FM	octavo	_	MO	4
2	vo	.	SENT	.	_	--	1
3	fl.	florein	FM	florein	pos	MO	4
4	1.	1.	CARD	@ord@	dat|sg|masc|pos	--	0
5	Der	Der	ART	d	nom|sg|masc	NK	7
6	neue	neue	ADJA	neu	nom|sg|masc|pos	NK	7
7	Telemach	Telemach	NE	Telemach	nom|sg|masc	SB	4
8	,	,	$,	,	_	--	7
9	oder	oder	KON	oder	_	CD	7
10	die	die	ART	d	nom|pl|fem	NK	11
11	Reisen	Reisen	NN	Reise	nom|pl|fem	CJ	9
12	und	und	KON	und	_	CD	11
13	sonderbare	sonderbare	ADJA	sonderbar	nom|pl|fem|pos	NK	14
14	Begebenheiten	Begebenheiten	NN	Begebenheit	nom|pl|fem	CJ	12
15	des	des	ART	d	gen|sg|neut	NK	16
16	Grafen	Grafen	NN	Graf	gen|sg|masc	AG	14
17	von.	von.	NE	von.	pos	NK	16
18	.	.	SENT	.	_	--	17
19	.	.	SENT	.	_	--	18
20	und	und	KON	und	_	CD	16
21	seines	seines	PPOSAT	sein	gen|sg|masc	NK	22
22	Sohnes	Sohnes	NN	Sohn	gen|sg|masc	CJ	20
23	;	;	SENT	;	_	--	22
24	mit	mit	APPR	mit	_	MNR	14
25	Historischen	Historischen	ADJA	historisch	dat|pl|neut	NK	24
26	,	,	$,	,	_	--	25
27	Geographischen	Geographischen	NN	Geographischen	dat|pl|masc	CJ	25
28	und	und	KON	und	_	CD	27
29	Critischen	kritischen	ADJA	kritisch	dat|pl|fem|pos	NK	30
30	Anmerckungen	Anmerkungen	NN	Anmerkung	dat|pl|fem	CJ	28
31	des	des	ART	d	gen|sg|masc	NK	32
32	Verfassers	Verfassers	NN	Verfasser	gen|sg|masc	AG	30
33	derer	derer	ART	d	gen|pl|*	AG	34
34	Memoires	Memoires	NN	Memoires	gen|sg|neut	APP	30
35	einer	einer	ART	ein	gen|sg|fem	NK	37
36	vornehmen	vornehmen	ADJA	vornehm	gen|sg|fem|pos	NK	37
37	Dame	Dame	NN	Dame	gen|sg|fem	AG	34
38	.	.	SENT	.	_	--	37

1	Aus	Aus	APPR	aus	_	MO	6
2	dem	dem	ART	d	dat|sg|masc	NK	3
3	Frantzoͤsischen	französischen	ADJA	französisch	dat|sg|*|pos	NK	1
4	ins	ins	APPRART	ins	acc|sg|neut	MO	6
5	Teutsche	Deutsche	NN	deutsche	acc|sg|neut	NK	4
6	uͤbersetzt	übersetzt	VVPP	übersetzen	_	--	0
7	.	.	SENT	.	_	--	6

1	8	octavo	FM	octavo	_	MO	8
2	vo	.	SENT	.	_	--	1
3	Breßlau	Breslau	NE	Breslau	dat|sg|neut	CJ	1
4	und	und	KON	und	_	CD	3
5	Leipzig	Leipzig	NE	Leipzig	dat|sg|neut	CJ	4
6	45.	45.	CARD	@ord@	_	NK	7
7	kr.	Kronen	NN	Krone	nom|pl|fem	AMS	8
8	Thuͤringischer	Thüringischer	NE	Thüringischer	nom|sg|masc|pos	--	0
9	Robinson	Robinson	NE	Robinson	nom|sg|masc	SB	8
10	,	,	$,	,	_	--	9
11	das	das	PDS	d	nom|sg|neut	SB	12
12	ist	ist	VAFIN	sein	sg|3|pres|ind	RC	9
13	:	:	SENT	:	_	--	12
14	Robinson	Robinson	NE	Robinson	nom|sg|masc	PNC	15
15	Baackers	Backers	NE	Backers	gen|sg|masc	CJ	9
16	,	,	$,	,	_	--	15
17	eines	eines	ART	ein	gen|sg|masc	NK	19
18	gebohrnen	gebohrnen	ADJA	gebohrnen	gen|sg|masc|pos	NK	19
19	Thuͤringers	Thüringers	NE	Thüringers	gen|sg|masc	APP	15
20	,	,	$,	,	_	--	19
21	curieuse	curieuse	NE	curieuse	nom|sg|fem|pos	NK	22
22	Lebens-Beschreibung	Lebens-Beschreibung	NN	Lebens-Beschreibung	nom|sg|fem	CJ	19
23	.	.	SENT	.	_	--	22

1	Zum	Zum	APPRART	zum	dat|sg|neut	MO	4
2	angenehmen	angenehmen	ADJA	angenehm	dat|sg|masc|pos	NK	3
3	Zeit-Vertreib	Zeitvertreib	NN	Zeitvertreib	dat|sg|masc	NK	1
4	mitgetheilet	mitgeteilt	VVPP	mitteilen	_	--	0
5	von	von	APPR	von	_	SBP	4
6	Pellandern	Pellandern	NN	Pellandern	dat|pl|masc	NK	5
7	.	.	SENT	.	_	--	6

1	8	octavo	FM	octavo	_	NK	6
2	vo	Gotha	NE	Gotha	nom|sg|fem	NK	1
3	Gotha	.	SENT	.	_	--	2
4	.	.	SENT	.	_	--	3
5	30.	30.	CARD	@ord@	nom|pl|fem|pos	NK	6
6	kr.	Kronen	NN	Krone	nom|pl|fem	--	0

1	Die	Die	ART	d	nom|sg|fem	NK	3
2	schoͤne	schöne	ADJA	schön	nom|sg|fem|pos	NK	3
3	Hollaͤnderin	Holländerin	NN	Holländerin	nom|sg|fem	SB	26
4	,	,	$,	,	_	--	3
5	oder	oder	KON	oder	_	CD	6
6	Grisette	Grisette	NE	Grisette	nom|sg|fem	APP	3
7	,	,	$,	,	_	--	6
8	ein	ein	ART	ein	nom|sg|masc	NK	9
9	Muster	Muster	NN	Muster	acc|sg|neut	APP	3
10	der	der	ART	d	gen|sg|fem	NK	11
11	Tugend	Tugend	NN	Tugend	gen|sg|fem	AG	9
12	und	und	KON	und	_	CD	11
13	Schoͤnheit	Schönheit	NN	Schönheit	gen|sg|fem	CJ	12
14	,	,	$,	,	_	--	13
15	in	in	APPR	in	_	MO	26
16	einer	einer	ART	ein	dat|sg|fem	NK	18
17	wahrhaftigen	wahrhaftigen	ADJA	wahrhaftigen	dat|sg|fem|pos	NK	18
18	Liebes-Geschichte	Liebes-Geschichte	NN	Liebes-Geschichte	dat|sg|fem	NK	15
19	dem	dem	ART	d	dat|sg|masc	NK	20
20	weib-	Weib	NN	Weib	dat|sg|masc	DA	26
21	und	und	KON	und	_	CD	20
22	maͤnnlichen	männlichen	ADJA	männlich	dat|sg|neut|pos	NK	23
23	Geschlecht	Geschlecht	NN	Geschlecht	dat|sg|neut	CJ	21
24	zum	zum	APPRART	zum	dat|sg|neut	MO	26
25	Beyspiel	Beispiel	NN	Beispiel	dat|sg|neut	NK	24
26	vorgestellet	vorgestellt	VVPP	vorstellen	_	--	0
27	von	von	APPR	von	_	SBP	26
28	Jcandern	Jcandern	NN	Jcandern	dat|pl|masc	NK	27
29	8	octavo	FM	octavo	_	PNC	30
30	vo	Frankfurt	NE	Frankfurt	nom|sg|neut	NK	28
31	Franckf.	und	KON	und	_	CD	30
32	und	Leipzig	NE	Leipzig	dat|sg|neut	CJ	31
33	Leipzig	.	SENT	.	_	--	32
34	.	.	SENT	.	_	--	33
35	15.	15.	CARD	@ord@	nom|pl|fem|pos	NK	36
36	kr.	Kronen	NN	Krone	nom|pl|fem	OA	26

1	Merckwuͤrdiges	merkwürdiges	ADJA	merkwürdig	acc|sg|neut|pos	NK	2
2	Leben	Leben	NN	Leben	acc|sg|neut	--	0
3	und	und	KON	und	_	CD	2
4	Thaten	Taten	NN	Tat	gen|pl|fem	CJ	3
5	des	des	ART	d	gen|sg|masc	NK	6
6	Welt-beruͤhmten	Welt-berühmten	NN	Welt-berühmten	gen|sg|masc	AG	2
7	Koͤnigl.	Königlich	ADJD	königlich	nom|sg|masc	PNC	8
8	Pohln	Pohlnischen	NN	Pohlnischen	nom|sg|masc	NK	6
9	.	.	SENT	.	_	--	8
10	und	und	KON	und	_	CD	2
11	Churf.	Churfürstlich	ADJD	Churfürstlich	pos	MO	12
12	Saͤchsischen	Sächsischen	ADJA	sächsisch	gen|sg|neut|pos	NK	13
13	General-Lieutenants	General-Lieutenants	NN	General-Lieutenants	gen|sg|neut	CJ	10
14	,	,	$,	,	_	--	13
15	Friedrich	Friedrich	NE	Friedrich	nom|sg|masc	PNC	17
16	Wilhelm,	Wilhelm	NE	Wilhelm	nom|sg|masc	PNC	17
17	Freyherrn	Freiherrn	NN	Freiherr	dat|sg|masc	CJ	13
18	von	von	APPR	von	_	MNR	17
19	Kyau	Kyau	NE	Kyau	dat|sg|neut	NK	18
20	.	.	SENT	.	_	--	19

1	Deme	Dämme	NN	Damm	_	JU	3
2	noch	noch	ADV	noch	_	MO	3
3	beygefuͤget	beygefüget	VVPP	beifügen	sg|3|pres|ind	--	0
4	die	die	ART	d	nom|sg|fem	NK	10
5	in	in	APPR	in	_	MO	8
6	seinem	seinem	PPOSAT	sein	dat|sg|neut	NK	7
7	Leben	Leben	NN	Leben	dat|sg|neut	NK	5
8	gefuͤhrte	geführte	ADJA	geführt	nom|sg|fem|pos	NK	10
9	sinnreiche	sinnreiche	ADJA	sinnreiche	nom|pl|masc|pos	NK	10
10	Discourse	Discourse	NN	Discourse	nom|pl|masc	SB	3
11	und	und	KON	und	_	CD	10
12	spaßhaffte	spaßhafte	ADJA	spaßhaft	nom|pl|masc|pos	NK	13
13	Schertz-Reden	Schertz-Reden	NN	Schertz-Reden	nom|pl|masc	CJ	11
14	.	.	SENT	.	_	--	13
15	8	octavo	FM	octavo	_	CM	17
16	vo	.	SENT	.	_	--	15
17	Frf	Frankfurt	NE	Frankfurt	nom|sg|neut	APP	10
18	.	.	SENT	.	_	--	17
19	und	und	KON	und	_	CD	17
20	Leipz	Leipzig	NE	Leipzig	nom|sg|neut	CJ	19
21	.	.	SENT	.	_	--	20
22	24.	24.	CARD	@ord@	acc|sg|masc|pos	NK	23
23	kr.	Kronen	NN	Krone	dat|pl|fem	CJ	10
24	Das	Das	ART	d	acc|sg|neut	NK	26
25	galante	galante	ADJA	galant	nom|sg|neut|pos	NK	26
26	Sachsen	Sachsen	NE	Sachsen	nom|sg|neut	PAR	33
27	.	.	SENT	.	_	--	26
28	8	octavo	FM	octavo	_	CM	30
29	vo	.	SENT	.	_	--	28
30	Frf	Frankfurt	NE	Frankfurt	nom|sg|neut	SB	26
31	.	.	SENT	.	_	--	30
32	20.	20.	CARD	@ord@	dat|pl|fem|pos	NK	33
33	kr.	Kronen	NN	Krone	dat|pl|fem	APP	23
34	Merckwuͤrdige	Merckwürdige	ADJA	Merckwürdige	nom|sg|fem|pos	NK	35
35	Lebens-Beschreibung	Lebens-Beschreibung	NN	Lebens-Beschreibung	nom|sg|fem	NK	33
36	Joh.	Johann(es)	NN	Johann(es)	nom|sg|masc	PNC	38
37	Michael	Michael	NE	Michael	nom|sg|masc	PNC	38
38	Kuͤhns	kühn	ADJD	kühn	nom|sg|masc	NK	35
39	,	,	$,	,	_	--	38
40	worinnen	worin	PWAVREL	worin	_	CD	10
41	dessen	dessen	PDAT	d	gen|sg|masc	AG	42
42	Schiffahrten	Schiffahrten	NN	Schiffahrten	nom|pl|fem	PAR	40
43	und	und	KON	und	_	CD	42
44	Reisen	Reisen	NN	Reise	nom|pl|fem	CJ	43
45	,	,	$,	,	_	--	44
46	Algierische	Algierische	ADJA	Algierische	dat|sg|fem|pos	NK	47
47	Gefangenschafft	Gefangenschaft	NN	Gefangenschaft	dat|sg|fem	CJ	42
48	und	und	KON	und	_	CD	47
49	14.	14.	CARD	@ord@	dat|sg|fem|pos	NK	51
50	jaͤhrige	jährige	ADJA	jährige	nom|sg|fem|pos	NK	51
51	Sclaverey	Sklaverei	NN	Sklaverei	nom|sg|fem	CJ	48
52	,	,	$,	,	_	--	51
53	nebst	nebst	APPR	nebst	_	MNR	42
54	einer	einer	ART	ein	dat|sg|fem	NK	55
55	Erzehlung	Erzählung	NN	Erzählung	dat|sg|fem	NK	53
56	derer	derer	ART	d	gen|pl|fem	NK	57
57	Sitten	Sitten	NN	Sitte	gen|pl|fem	AG	55
58	und	und	KON	und	_	CD	57
59	Gebraͤuche	Gebräuche	NN	Gebrauch	gen|pl|masc	CJ	58
60	dasiger	dasiger	ADJA	dasiger	gen|pl|masc|pos	NK	61
61	Einwohner	Einwohner	NN	Einwohner	gen|pl|masc	AG	57
62	.	.	SENT	.	_	--	61

1	Von	Von	APPR	von	_	SBP	5
2	dem	dem	ART	d	dat|sg|masc	NK	3
3	Autore	Autore	NN	Autore	dat|sg|masc	NK	1
4	selbst	selbst	PRF	selbst	_	MNR	3
5	aufgesetzt	aufgesetzt	VVPP	aufsetzen	_	--	0
6	.	.	SENT	.	_	--	5

1	8	octavo	FM	octavo	_	PD	6
2	vo	.	SENT	.	_	--	1
3	Gotha	Gotha	NE	Gotha	_	SB	1
4	1748.	1748.	CARD	@ord@	_	NK	6
5	30.	30.	CARD	@ord@	nom|pl|fem|pos	NK	6
6	kr.	Kronen	NN	Krone	nom|pl|fem	--	0
7	Philosophische	Philosophische	ADJA	philosophisch	nom|pl|masc|pos	NK	8
8	Feld-Zuͤge	Feld-Züge	NN	Feld-Züge	nom|pl|masc	NK	6
9	,	,	$,	,	_	--	8
10	oder	oder	KON	oder	_	CD	8
11	Geschichte	Geschichte	VVFIN	geschehen	dat|sg|fem	CJ	10
12	des	des	ART	d	gen|sg|masc	NK	13
13	Herrn	Herrn	NN	Herr	gen|sg|masc	AG	11
14	von	von	APPR	von	_	PG	13
15	Montcal	Montcal	NE	Montcal	dat|sg|neut	NK	14
16	;	;	SENT	;	_	--	15
17	worinnen	worin	PWAVREL	worin	_	MO	35
18	sowohl	sowohl	KON	sowohl	_	CD	21
19	dessen	dessen	PDAT	d	gen|sg|masc	AG	21
20	merckwuͤrdige	merkwürdige	ADJA	merkwürdig	acc|pl|*|pos	NK	21
21	Liebes-Haͤndel	Liebes-Händel	NN	Liebes-Händel	nom|sg|masc	OA	35
22	und	und	KON	und	_	CD	21
23	ungemeine	ungemeine	ADJA	ungemeine	nom|pl|masc|pos	NK	24
24	Gluͤcks-	Glücks	NN	Glück	nom|pl|masc	CJ	22
25	und	und	KON	und	_	CD	24
26	Ungluͤcks-Faͤlle	Unglücks-Fälle	NN	Unglücks-Fälle	nom|pl|masc	CJ	25
27	,	,	$,	,	_	--	26
28	als	als	KOKOM	als	_	CD	24
29	auch	auch	ADV	auch	_	MO	31
30	die	die	ART	d	nom|pl|fem	NK	31
31	Begebenheiten	Begebenheiten	NN	Begebenheit	nom|pl|fem	CJ	28
32	des	des	ART	d	gen|sg|masc	NK	34
33	Jrrlaͤndischen	Jrrländischen	ADJA	Jrrländischen	gen|sg|masc|pos	NK	34
34	Krieges	Krieges	NN	Krieg	gen|sg|masc	AG	31
35	enthalten	enthalten	VVFIN	enthalten	_	RC	11
36	.	.	SENT	.	_	--	35

1	8	octavo	FM	octavo	_	NK	9
2	vo	.	SENT	.	_	--	1
3	Frf	Frankfurt	NE	Frankfurt	nom|sg|neut	--	0
4	.	.	SENT	.	_	--	3
5	und	und	KON	und	_	CD	3
6	Leipzig	Leipzig	NE	Leipzig	nom|sg|neut	CJ	5
7	.	.	SENT	.	_	--	6
8	45.	45.	CARD	@ord@	_	NK	9
9	kr.	Kronen	NN	Krone	dat|pl|fem	--	0
10	Reales	Reales	ADJA	real	*|*|*	PNC	12
11	Liebes-	Liebes	NN	Liebes	gen|sg|masc	AG	12
12	Heyraths-	Heirat	NN	Heirat	nom|sg|masc	NK	9
13	und	und	KON	und	_	CD	12
14	Ehestands-Lexicon	Ehestands-Lexicon	NN	Ehestands-Lexicon	nom|sg|fem	CJ	13
15	.	.	SENT	.	_	--	14
16	8	octavo	FM	octavo	_	MO	21
17	vo	.	SENT	.	_	--	16
18	Frf	Frankfurt	NE	Frankfurt	nom|sg|neut	UC	16
19	.	.	SENT	.	_	--	18
20	1749.	1749.	CARD	@ord@	_	PNC	10
21	gebunden	gebunden	VVPP	binden	_	OC	9
22	.	.	SENT	.	_	--	21

1	6.	6.	CARD	@ord@	_	--	0
2	kr.	Kronen	NN	Krone	nom|pl|fem	NK	1
3	Der	Der	ART	d	nom|sg|masc	NK	5
4	redliche	redliche	ADJA	redlich	nom|sg|masc|pos	NK	5
5	Mann	Mann	NN	Mann	nom|sg|masc	APP	1
6	am	am	APPRART	am	dat|sg|masc	MNR	5
7	Hofe	Hofe	NN	Hof	dat|sg|masc	NK	6
8	,	,	$,	,	_	--	7
9	oder	oder	KON	oder	_	CD	5
10	die	die	ART	d	acc|pl|fem	NK	11
11	Begebenheiten	Begebenheiten	NN	Begebenheit	acc|pl|fem	CJ	9
12	des	des	ART	d	gen|sg|masc	NK	13
13	Grafen	Grafen	NN	Graf	gen|sg|masc	AG	11
14	von	von	APPR	von	_	PG	13
15	Rivera	Rivera	NE	Rivera	dat|sg|neut	NK	14
16	.	.	SENT	.	_	--	15

