

1	Das	Das	ART	d	nom|sg|neut	NK	3
9	Feuchtigkeit	Feuchtigkeit	NN	Feuchtigkeit	acc|sg|fem	OA	33
10	/	/	$,	/	_	--	9
11	welche	welche	PRELS	welch	acc|sg|fem	SB	20
12	so	so	ADV	so	_	MO	13
13	sehr	sehr	ADV	sehr	_	MO	19
14	mit	mit	APPR	mit	_	MO	19
15	ihrer	ihrer	PPOSAT	ihr	dat|sg|fem	NK	18
16	reinen	reinen	ADJA	rein	dat|sg|fem|pos	NK	18
17	erdigen	erdigen	ADJA	erdigen	dat|sg|fem|pos	NK	18
18	Truckenheit	Truckenheit	NN	Truckenheit	dat|sg|fem	NK	14
19	verdeiniget	verdeiniget	VVPP	verdeiniget	_	PD	20
20	ist	ist	VAFIN	sein	sg|3|pres|ind	RC	9
21	/	/	$,	/	_	--	20
22	daß	daß	KOUS	daß	_	CP	25
23	es	es	PPER	es	nom|sg|neut|3	SB	25
24	unmuͤglich	unmüglich	ADJD	unmöglich	pos	PD	25
25	waͤre	wäre	VAFIN	sein	sg|3|past|subj	OC	19
26	/	/	$,	/	_	--	25
27	dieselbe	dieselbe	PDS	derselbe	nom|sg|fem	CC	5
28	durch	durch	APPR	durch	_	MO	33
29	das	das	ART	d	acc|sg|neut	NK	30
30	Feuer	Feuer	NN	Feuer	acc|sg|neut	NK	28
31	allein	allein	ADV	allein	_	MO	33
32	zu	zu	PTKZU	zu	_	PM	33
33	alteriren	alterieren	VVINF	alterieren	_	OC	3
34	;	;	SENT	;	_	--	33

1	wie	wie	KOUS	wie	_	MO	6
2	es	es	PPER	es	nom|sg|neut|3	SB	6
3	auch	auch	ADV	auch	_	MO	6
4	nicht	nicht	PTKNEG	nicht	_	NG	6
5	muͤglich	müglich	ADJD	möglich	pos	PD	6
6	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
7	/	/	$,	/	_	--	6
8	besagte	besagte	ADJA	besagte	nom|sg|fem|pos	NK	9
9	Feuchtigkeit	Feuchtigkeit	NN	Feuchtigkeit	nom|sg|fem	OA	11
10	zu	zu	PTKZU	zu	_	PM	11
11	resolviren	resolvieren	VVINF	resolvieren	_	RE	2
12	/	/	$,	/	_	--	11
13	und	und	KON	und	_	CD	11
14	von	von	APPR	von	_	MO	17
15	ihrer	ihrer	PPOSAT	ihr	dat|sg|fem	NK	16
16	Truckenheit	Truckenheit	NN	Truckenheit	dat|sg|fem	NK	14
17	abzuscheiden	abzuscheiden	VVIZU	abzuscheiden	_	OC	6
18	/	/	$,	/	_	--	17
19	um	um	KOUI	um	_	CP	24
20	dieselbe	dieselbe	PDS	derselbe	acc|pl|masc	OA	24
21	zu	zu	APPR	zu	_	MO	24
22	Glaß	Glas	NN	Glas	dat|sg|neut	NK	21
23	zu	zu	PTKZU	zu	_	PM	24
24	machen	machen	VVINF	machen	_	CJ	13
25	/	/	$,	/	_	--	24
26	weder	weder	KON	weder	_	CD	27
27	durch	durch	APPR	durch	_	PAR	24
28	das	das	ART	d	acc|sg|neut	NK	29
29	Feuer	Feuer	NN	Feuer	acc|sg|neut	NK	27
30	allein	allein	ADV	allein	_	MO	29
31	/	/	$,	/	_	--	30
32	noch	noch	ADV	noch	_	CD	27
33	durch	durch	APPR	durch	_	CJ	32
34	andere	andere	ADJA	ander	acc|pl|fem|pos	NK	35
35	Materialien	Materialien	NN	Material	acc|pl|fem	NK	33
36	/	/	$,	/	_	--	35
37	von	von	APPR	von	_	PG	35
38	wegen	wegen	APPR	wegen	_	MO	27
39	gedachter	gedachter	ADJA	gedacht	*|sg|fem|pos	NK	40
40	Vereinigung	Vereinigung	NN	Vereinigung	*|sg|fem	NK	37
41	/	/	$,	/	_	--	40
42	und	und	KON	und	_	CD	35
43	starcker	starker	ADJA	stark	*|sg|fem|pos	NK	44
44	Vermischung	Vermischung	NN	Vermischung	nom|sg|fem	CJ	42
45	;	;	SENT	;	_	--	44

1	welches	welches	PRELS	welch	nom|sg|neut	SB	8
2	doch	doch	ADV	doch	_	MO	8
3	den	den	ART	d	acc|sg|masc	NK	5
4	andern	anderen	ADJA	ander	acc|sg|masc|pos	NK	5
5	Metallen	Metallen	NN	Metall	acc|sg|masc	OA	7
6	wohl	wohl	ADV	wohl	_	MO	7
7	zukommen	zukommen	VVINF	zukommen	_	OC	8
8	kan	kann	VMFIN	können	sg|3|pres|ind	--	0
9	/	/	$,	/	_	--	8
10	so	so	PTKREL	so	_	MO	11
11	sie	sie	PPER	Sie	acc|sg|fem|3	OA	16
12	durch	durch	APPR	durch	_	MO	16
13	ein	ein	ART	ein	acc|sg|neut	NK	15
14	staͤtiges	stetiges	ADJA	stetiges	acc|sg|neut|pos	NK	15
15	Feuer	Feuer	NN	Feuer	acc|sg|neut	NK	12
16	getrieben	getrieben	VVPP	treiben	_	OC	17
17	werden	werden	VAINF	werden	_	OC	8
18	/	/	$,	/	_	--	17
19	welches	welches	PRELS	welch	acc|sg|neut	OA	33
20	sie	sie	PPER	Sie	nom|pl|*|3	SB	21
21	vitrificiret	vitrificiret	ADJD	vitrificiret	acc|sg|neut	CC	10
22	/	/	$,	/	_	--	21
23	dieweil	dieweil	KOUS	dieweil	_	CP	40
24	ihre	ihre	PPOSAT	ihr	acc|pl|fem	NK	25
25	Feuchtigkeiten	Feuchtigkeiten	NN	Feuchtigkeit	acc|pl|fem	SB	40
26	nicht	nicht	PTKNEG	nicht	_	NG	33
27	so	so	ADV	so	_	MO	28
28	zaͤhe	zähe	ADJD	zähe	pos	MO	33
29	/	/	$,	/	_	--	28
30	noch	noch	ADV	noch	_	MO	33
31	so	so	ADV	so	_	MO	32
32	starck	stark	ADJD	stark	pos	MO	33
33	vermischet	vermischet	VVPP	vermischt	_	PD	40
34	/	/	$,	/	_	--	33
35	und	und	KON	und	_	CD	33
36	mit	mit	APPR	mit	_	MO	39
37	ihrer	ihrer	PPOSAT	ihr	dat|sg|fem	NK	38
38	Troͤckne	Tröckne	NN	Tröckne	dat|sg|fem	NK	36
39	vereiniget	vereiniget	VVPP	vereinigen	_	CJ	35
40	seynd	sind	VAFIN	sein	pl|3|pres|ind	MO	8
41	.	.	SENT	.	_	--	40

1	Drum	Drum	PAV	darum	_	MO	4
2	hab	habe	VAFIN	haben	sg|1|pres|ind	--	0
3	ich	ich	PPER	ich	nom|sg|*|1	SB	2
4	gesagt	gesagt	VVPP	sagen	_	OC	2
5	/	/	$,	/	_	--	4
6	daß	daß	KOUS	daß	_	CP	14
7	das	das	ART	d	nom|sg|neut	NK	8
8	☉	☉	NE	☉	nom|sg|neut	SB	14
9	allein	allein	ADV	allein	_	MO	10
10	durch	durch	APPR	durch	_	MO	14
11	das	das	ART	d	acc|sg|neut	NK	12
12	Feuer	Feuer	NN	Feuer	acc|sg|neut	NK	10
13	nicht	nicht	PTKNEG	nicht	_	NG	14
14	koͤnne	könne	VMFIN	können	sg|3|pres|subj	OC	4
15	alterirt	alteriert	VVPP	alteriert	_	OC	16
16	werden	werden	VAINF	werden	_	OC	14
17	;	;	SENT	;	_	--	16

1	und	und	KON	und	_	JU	2
2	hab	habe	VAFIN	haben	sg|3|pres|subj	--	0
3	nur	nur	ADV	nur	_	MO	4
4	von	von	APPR	von	_	OP	7
5	der	der	ART	d	dat|sg|fem	NK	6
6	alteration	alteration	NN	Alteration	dat|sg|fem	NK	4
7	geredet	geredet	VVPP	reden	_	OC	2
8	/	/	$,	/	_	--	7
9	dieweiln	dieweiln	ADV	dieweiln	_	MO	24
10	durch	durch	APPR	durch	_	MO	22
11	dieselbe	dieselbe	PDS	derselbe	acc|sg|fem	NK	15
12	allein	allein	ADV	allein	_	MO	9
13	/	/	$,	/	_	--	12
14	gedachte	gedachte	ADJA	gedacht	nom|sg|masc|pos	NK	15
15	♎	♎	$(	♎	_	NK	10
16	on	on	FM	--	_	UC	15
17	(	(	$(	(	_	--	16
18	unser	unser	PPOSAT	unser	nom|sg|neut	NK	20
19	☉	☉	NE	☉	*|*|*	NK	20
20	Saltz	Salz	NN	Salz	acc|sg|neut	OA	22
21	zu	zu	PTKZU	zu	_	PM	22
22	machen	machen	VVINF	machen	_	OC	24
23	)	)	$)	)	_	--	22
24	soll	soll	VMFIN	sollen	sg|3|pres|ind	CJ	2
25	geschehen	geschehen	VVINF	geschehen	_	OC	24
26	/	/	$,	/	_	--	25
27	und	und	KON	und	_	CD	24
28	nicht	nicht	PTKNEG	nicht	_	NG	33
29	durch	durch	APPR	durch	_	MO	33
30	die	die	ART	d	acc|sg|fem	NK	31
31	Absonderung	Absonderung	NN	Absonderung	acc|sg|fem	NK	29
32	deß	dessen	PDAT	d	gen|sg|neut	AG	37
33	besagten	besagten	ADJA	besagt	acc|sg|masc|pos	NK	34
34	humidi	humidi	FM	humidi	_	CJ	27
35	radicalis	radicalis	FM	radicalis	_	NK	34
36	,	,	$,	,	_	--	35
37	massen	Massen	KOUS	maßen	acc|pl|fem	CJ	35
38	es	es	PPER	es	acc|sg|neut|3	SB	41
39	auch	auch	ADV	auch	_	MO	41
40	unmuͤglich	unmüglich	ADJD	unmöglich	pos	PD	41
41	waͤre	wäre	VAFIN	sein	sg|3|past|subj	RC	35
42	.	.	SENT	.	_	--	41

1	Dieweiln	Dieweiln	ADV	Dieweiln	nom|pl|fem	PD	27
2	nun	nun	ADV	nun	_	MO	1
3	das	das	ART	d	acc|sg|neut	NK	4
4	☉	☉	NE	☉	acc|sg|neut	PD	1
5	/	/	$,	/	_	--	4
6	indem	indem	KOUS	indem	_	CP	14
7	es	es	PPER	es	nom|sg|neut|3	EP	14
8	in	in	APPR	in	_	MO	27
9	seinem	seinem	PPOSAT	sein	dat|sg|neut	NK	11
10	corpore	corpore	FM	corpore	acc|sg|fem|pos	NK	11
11	verbleibet	verbleibet	VVFIN	verbleiben	_	NK	8
12	/	/	$,	/	_	--	11
13	nicht	nicht	PTKNEG	nicht	_	NG	14
14	koͤnte	könnte	VMFIN	können	sg|3|past|subj	RE	23
15	durch	durch	APPR	durch	_	MO	21
16	das	das	ART	d	acc|sg|neut	NK	17
17	Feuer	Feuer	NN	Feuer	acc|sg|neut	NK	15
18	allein	allein	ADV	allein	_	MO	19
19	♎	♎	$(	♎	_	AG	17
20	irt	irrt	VVFIN	irren	_	PD	21
21	werden	werden	VAINF	werden	_	OC	14
22	/	/	$,	/	_	--	21
23	so	so	ADV	so	_	MO	39
24	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
25	es	es	PPER	es	nom|sg|neut|3	SB	24
26	nothwendig	notwendig	ADJD	notwendig	pos	PD	27
27	gewesen	gewesen	VAPP	sein	_	OC	24
28	ein	ein	ART	ein	nom|sg|neut	NK	29
29	Mittel	Mittel	NN	Mittel	acc|sg|neut	OA	31
30	zu	zu	PTKZU	zu	_	PM	31
31	erfinden	erfinden	VVINF	erfinden	_	RE	7
32	/	/	$,	/	_	--	31
33	dasselbe	dasselbe	PDS	derselbe	_	NK	37
34	in	in	APPR	in	_	MO	39
35	kleine	kleine	ADJA	klein	acc|pl|neut|pos	NK	37
36	subtile	subtile	ADJA	subtil	acc|pl|masc|pos	NK	37
37	Theil	Teil	NN	Teil	acc|sg|masc	NK	34
38	zu	zu	PTKZU	zu	_	PM	39
39	bringen	bringen	VVINF	bringen	_	RE	25
40	/	/	$,	/	_	--	39
41	ehe	ehe	KOUS	ehe	_	CP	50
42	man	man	PIS	man	nom|sg|*	SB	50
43	es	es	PPER	es	acc|sg|neut|3	OA	50
44	in	in	APPR	in	_	MO	50
45	das	das	ART	d	acc|sg|neut	NK	46
46	Feuer	Feuer	NN	Feuer	acc|sg|neut	NK	44
47	zu	zu	PTKVZ	zu	_	SVP	6
48	♎	♎	$(	♎	_	NK	49
49	iren	Iren	NN	Ire	acc|pl|masc	OA	50
50	setze	setze	VVFIN	setzen	sg|3|pres|subj	MO	27
51	;	;	SENT	;	_	--	50

1	dann	dann	ADV	dann	_	MO	3
2	das	das	ART	d	nom|sg|neut	NK	3
3	Feuer	Feuer	NN	Feuer	nom|sg|neut	SB	4
4	wuͤrcket	würcket	VVFIN	würcket	sg|3|pres|ind	--	0
5	viel	viel	ADV	viel	_	MO	6
6	besser	besser	ADJD	gut	comp	MO	4
7	auff	auf	APPR	auf	_	OP	4
8	ein	ein	ART	ein	acc|sg|neut	NK	9
9	corpus	Corpus	NN	Korpus	acc|sg|neut	NK	7
10	,	,	$,	,	_	--	9
11	welches	welches	PRELS	welch	nom|sg|neut	SB	17
12	in	in	APPR	in	_	MO	16
13	gantz	ganz	ADV	ganz	_	MO	14
14	subtile	subtile	ADJA	subtil	acc|sg|neut|pos	NK	15
15	Theil	Teil	NN	Teil	acc|sg|neut	NK	12
16	zertheilet	zerteilet	VVPP	zerteilet	_	OC	17
17	ist	ist	VAFIN	sein	sg|3|pres|ind	RC	9
18	/	/	$,	/	_	--	17
19	als	als	KOKOM	als	_	CM	20
20	in	in	APPR	in	_	CC	6
21	eines	eines	PIS	ein	gen|sg|masc	NK	24
22	/	/	$,	/	_	--	21
23	so	so	ADV	so	_	MO	24
24	vest	fest	ADJD	fest	pos	NK	20
25	/	/	$,	/	_	--	24
26	und	und	KON	und	_	CD	4
27	hart	hart	ADJD	hart	pos	MO	29
28	zusammen	zusammen	PTKVZ	zusammen	_	MO	29
29	haͤlt	hält	VVFIN	halten	sg|3|pres|ind	CJ	26
30	;	;	SENT	;	_	--	29

1	und	und	KON	und	_	JU	8
2	solche	solche	PIAT	solch	nom|sg|fem	NK	3
3	Zertheilung	Zerteilung	NN	Zerteilung	nom|sg|fem	SB	8
4	in	in	APPR	in	_	MO	28
5	kleine	kleine	ADJA	klein	nom|sg|masc|pos	NK	6
6	Theil	Teil	NN	Teil	nom|sg|masc	NK	4
7	/	/	$,	/	_	--	6
8	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
9	nicht	nicht	PTKNEG	nicht	_	NG	15
10	die	die	ART	d	nom|sg|fem	NK	11
11	♎	♎	$(	♎	nom|sg|fem	PD	8
12	ion	Ion	NE	Ion	nom|sg|*	NK	11
13	/	/	$,	/	_	--	12
14	sondern	sondern	KON	sondern	_	CD	11
15	nur	nur	ADV	nur	_	MO	17
16	eine	eine	ART	ein	acc|sg|fem	NK	17
17	Vorbereitung	Vorbereitung	NN	Vorbereitung	acc|sg|fem	CJ	14
18	und	und	KON	und	_	CD	17
19	disposition	Disposition	NN	Disposition	acc|sg|fem	CJ	18
20	/	/	$,	/	_	--	19
21	desto	desto	KON	desto	_	MO	22
22	leichtlicher	leichtlicher	ADJD	leichtlicher	comp	MO	28
23	zu	zu	APPR	zu	_	MO	28
24	der	der	ART	d	dat|sg|fem	NK	25
25	♎	♎	$(	♎	dat|sg|fem	NK	23
26	on	on	FM	--	_	NK	25
27	zu	zu	PTKZU	zu	_	PM	28
28	gelangen	gelangen	VVINF	gelangen	_	OC	8
29	/	/	$,	/	_	--	28
30	ohne	ohne	APPR	ohne	_	MO	38
31	welche	welche	PWAT	welch	acc|sg|fem	NK	32
32	præparation	Präparation	NN	Präparation	acc|sg|fem	NK	30
33	/	/	$,	/	_	--	32
34	die	die	PRELS	d	acc|sg|fem	NK	35
35	♎	♎	$(	♎	acc|sg|fem	SB	38
36	on	on	FM	--	*|*|*	NK	35
37	unmuͤglich	unmüglich	ADJD	unmöglich	pos	PD	38
38	waͤre	wäre	VAFIN	sein	sg|3|past|subj	MO	28
39	.	.	SENT	.	_	--	38

1	Zu	Zu	APPR	zu	_	MNR	6
2	solchem	solchem	PIAT	solch	dat|sg|neut	NK	3
3	Ende	Ende	NN	Ende	dat|sg|neut	NK	1
4	/	/	$,	/	_	--	3
5	haben	haben	VAFIN	haben	pl|3|pres|ind	--	0
6	etliche	etliche	PIS	etlich	nom|pl|*	PAR	8
7	das	das	ART	d	acc|sg|neut	NK	8
8	☉	☉	NE	☉	acc|sg|neut	SB	5
9	durch	durch	APPR	durch	_	MNR	8
10	R	R	NE	R	*|*|*	PNC	11
11	solviret	solvieret	VVPP	solvieret	_	NK	9
12	;	;	SENT	;	_	--	11

1	die	die	ART	d	nom|sg|fem	NK	2
2	andere	andere	ADJA	ander	nom|pl|*	SB	16
3	/	/	$,	/	_	--	2
4	durch	durch	APPR	durch	_	MO	12
5	*	*	$*	*	_	PNC	6
6	∇	∇	NE	∇	_	NK	4
7	/	/	$,	/	_	--	6
8	und	und	KON	und	_	CD	4
9	nach	nach	APPR	nach	_	CJ	8
10	geschehener	geschehener	ADJA	geschehene	dat|sg|fem|pos	NK	11
11	Abscheidung	Abscheidung	NN	Abscheidung	dat|sg|fem	NK	9
12	besagten	besagten	ADJA	besagt	pl|3|past|ind	PAR	2
13	*	*	$*	*	_	PNC	14
14	∇	∇	NE	∇	_	MO	12
15	/	/	$,	/	_	--	14
16	haben	haben	VAFIN	haben	pl|3|pres|ind	--	0
17	sie	sie	PPER	Sie	nom|pl|*|3	SB	16
18	durchs	durchs	APPRART	durchs	acc|sg|neut	MO	16
19	Feuer	Feuer	NN	Feuer	acc|sg|neut	NK	18
20	/	/	$,	/	_	--	19
21	das	das	ART	d	nom|sg|neut	NK	23
22	restirende	restierende	ADJA	restierende	nom|sg|neut|pos	NK	23
23	☉	☉	NE	☉	nom|sg|neut	APP	19
24	Pulver	Pulver	NN	Pulver	nom|sg|neut	PNC	25
25	calciniret	calcinieret	VVFIN	calcinieret	_	NK	23
26	;	;	SENT	;	_	--	25

1	aber	aber	ADV	aber	_	JU	5
2	mich	mich	PPER	ich	acc|sg|*|1	OA	8
3	belangend	belangend	ADV	belangend	pos	MO	8
4	/	/	$,	/	_	--	3
5	habe	habe	VAFIN	haben	sg|1|pres|ind	--	0
6	ich	ich	PPER	ich	nom|sg|*|1	SB	5
7	darfuͤr	dafür	PAV	dafür	_	MO	8
8	gehalten	gehalten	VVPP	halten	_	OC	5
9	/	/	$,	/	_	--	8
10	daß	daß	KOUS	daß	_	CP	19
11	solches	solches	PIS	solch	nom|sg|neut	SB	19
12	nichts	nichts	PIS	nichts	*|*|neut	OA	18
13	besser	besser	ADJD	gut	comp	MO	18
14	in	in	APPR	in	_	MO	18
15	die	die	ART	d	acc|sg|fem	NK	17
16	kleinste	kleinste	ADJA	klein	acc|sg|fem|pos	NK	17
17	Theil	Teil	NN	Teil	acc|sg|fem	NK	14
18	zerlegen	zerlegen	VVINF	zerlegen	_	OC	19
19	koͤnne	könne	VMFIN	können	sg|3|pres|subj	RE	7
20	/	/	$,	/	_	--	19
21	als	als	KOKOM	als	_	CM	29
22	der	der	ART	d	nom|sg|masc	NK	23
23	☿	☿	NE	Mercurius	nom|sg|masc	SB	29
24	/	/	$,	/	_	--	23
25	dann	dann	KON	dann	_	MO	29
26	er	er	PPER	er	nom|sg|masc|3	SB	29
27	nichts	nichts	PIS	nichts	*|*|neut	OA	29
28	daran	daran	PAV	daran	_	MO	29
29	verderbt	verderbt	VVFIN	verderben	sg|3|pres|ind	MO	19
30	/	/	$,	/	_	--	29
31	und	und	KON	und	_	CD	29
32	ohn	ohne	APPR	ohne	_	MO	34
33	denselben	denselben	PDS	derselbe	acc|sg|masc	NK	32
34	kan	kann	VMFIN	können	sg|3|pres|ind	CJ	31
35	die	die	ART	d	nom|sg|fem	NK	36
36	Zertheilung	Zerteilung	NN	Zerteilung	nom|sg|fem	SB	34
37	und	und	KON	und	_	CD	36
38	Zerlegung	Zerlegung	NN	Zerlegung	nom|sg|fem	CJ	37
39	in	in	APPR	in	_	MO	34
40	subtile	subtile	ADJA	subtil	acc|pl|masc|pos	NK	41
41	Theil	Teil	NN	Teil	nom|sg|masc	NK	39
42	nicht	nicht	PTKNEG	nicht	_	NG	34
43	fuͤglich	füglich	ADV	füglich	pos	MO	44
44	geschehen	geschehen	VVINF	geschehen	_	OC	34
45	;	;	SENT	;	_	--	44

1	welches	welches	PRELS	welch	acc|sg|neut	NK	0
2	mir	mir	PPER	ich	dat|sg|*|1	DA	6
3	durch	durch	APPR	durch	_	MO	6
4	die	die	ART	d	acc|sg|fem	NK	5
5	Erfahrung	Erfahrung	NN	Erfahrung	acc|sg|fem	NK	3
6	bekannt	bekannt	ADJD	bekannt	pos	NK	1
7	;	;	SENT	;	_	--	6

1	und	und	KON	und	_	JU	5
2	die	die	ART	d	nom|sg|fem	NK	3
3	Ursach	Ursache	NN	Ursache	nom|sg|fem	SB	5
4	dessen	dessen	PDS	d	gen|sg|neut	AG	3
5	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
6	klar	klar	ADJD	klar	pos	PD	5
7	/	/	$,	/	_	--	6
8	und	und	KON	und	_	CD	5
9	durch	durch	APPR	durch	_	MO	20
10	die	die	ART	d	acc|sg|fem	NK	12
11	beruͤhmste	berühmste	ADJA	berühmste	acc|sg|fem|sup	NK	12
12	Philosophos	Philosophos	NN	Philosophos	acc|sg|fem	NK	9
13	,	,	$,	,	_	--	12
14	so	so	PTKREL	so	_	MO	18
15	von	von	APPR	von	_	SBP	18
16	dieser	dieser	PDAT	dies	dat|sg|fem	NK	17
17	Kunst	Kunst	NN	Kunst	dat|sg|fem	NK	15
18	geschrieben	geschrieben	VVPP	schreiben	_	PAR	12
19	/	/	$,	/	_	--	18
20	bestaͤttiget	bestätiget	VVPP	bestätigen	_	CJ	8
21	.	.	SENT	.	_	--	20

1	Ist	Ist	VAFIN	sein	sg|3|pres|ind	--	0
2	derowegen	derowegen	PAV	derwegen	_	MO	16
3	unsere	unsere	PPOSAT	unser	nom|sg|fem	NK	4
4	Meinung	Meinung	NN	Meinung	acc|sg|fem	SB	1
5	/	/	$,	/	_	--	4
6	daß	daß	KOUS	daß	_	CP	25
7	durch	durch	APPR	durch	_	MO	16
8	den	den	ART	d	acc|sg|masc	NK	9
9	☿	☿	NE	Mercurius	acc|sg|masc	NK	7
10	die	die	ART	d	nom|sg|fem	NK	11
11	Theil	Teil	NN	Teil	acc|sg|fem	SB	25
12	des	des	ART	d	gen|sg|masc	NK	13
13	☉	☉	NE	☉	gen|sg|masc	AG	11
14	erstlich	erstlich	ADV	erstlich	pos	MO	15
15	subtil	subtil	ADJD	subtil	pos	MO	16
16	gemacht	gemacht	VVPP	gemacht	_	PD	1
17	/	/	$,	/	_	--	16
18	hernacher	hernacher	ADV	hernach	_	MO	24
19	durch	durch	APPR	durch	_	MO	24
20	das	das	ART	d	acc|sg|neut	NK	21
21	Feuer	Feuer	NN	Feuer	acc|sg|neut	NK	19
22	allein	allein	ADV	allein	_	MO	23
23	♎	♎	$(	♎	_	MO	24
24	irt	irrt	VVFIN	irren	_	OC	25
25	werden	werden	VAINF	werden	_	OC	4
26	.	.	SENT	.	_	--	25

1	Das	Das	ART	d	nom|sg|neut	NK	3
2	X.	X.	CARD	10	nom|sg|neut|pos	NK	3
3	Capitel	Kapitel	NN	Kapitel	nom|sg|neut	--	0
4	.	.	SENT	.	_	--	3

1	Das	Das	ART	d	nom|sg|neut	NK	2
2	☉	☉	NE	☉	nom|sg|neut	OA	11
3	durch	durch	APPR	durch	_	MO	11
4	Mittel	Mittel	NN	Mittel	acc|pl|neut	NK	3
5	deß	dessen	PDAT	d	gen|sg|masc	AG	6
6	☿	☿	NE	Mercurius	_	AG	4
7	subtil	subtil	ADJD	subtil	pos	MO	11
8	und	und	KON	und	_	CD	7
9	tuͤchtig	tüchtig	ADJD	tüchtig	pos	CJ	8
10	zu	zu	PTKZU	zu	_	PM	11
11	machen	machen	VVINF	machen	_	--	0
12	/	/	$,	/	_	--	11
13	daß	daß	KOUS	daß	_	CP	19
14	es	es	PPER	es	nom|sg|neut|3	SB	19
15	gebuͤrlicher	gebührlicher	ADJA	gebührlich	gen|pl|fem|pos	NK	16
16	massen	Massen	NN	Masse	gen|pl|fem	OG	18
17	♎	♎	$(	♎	_	--	16
18	irt	irrt	VVFIN	irren	pos	PD	19
19	werde	werde	VAFIN	werden	sg|3|pres|subj	OC	11
20	.	.	SENT	.	_	--	19

1	Rec.	Rec.	NE	Rec.	*|*|*	PNC	2
2	Rein	Rein	ADV	rein	nom|sg|masc	DA	3
3	gesaͤubert	gesäubert	VVPP	säubern	_	MO	7
4	☉	☉	NE	☉	_	--	0
5	/	/	$,	/	_	--	4
6	davon	davon	PAV	davon	_	SBP	3
7	mache	mache	VVFIN	machen	sg|3|pres|subj	--	0
8	ããã	Ah	ITJ	ah	nom|sg|masc	SB	7
9	,	,	$,	,	_	--	8
10	mit	mit	APPR	mit	_	MO	43
11	gemeinem	gemeinem	ADJA	gemein	dat|sg|*	NK	12
12	☿	☿	NE	Mercurius	_	NK	10
13	/	/	$,	/	_	--	12
14	darnach	darnach	PAV	danach	_	MO	43
15	thue	tue	VVFIN	tun	_	OA	43
16	12.	12.	CARD	@ord@	_	MO	17
17	mal	mal	NN	Mal	_	MO	24
18	so	so	ADV	so	_	MO	19
19	viel	viel	PIAT	viel	*|*|*	NK	21
20	neuen	neuen	ADJA	neu	acc|sg|masc|pos	NK	21
21	☿	☿	NE	Mercurius	acc|sg|masc	OA	24
22	darzu	dazu	PAV	dazu	_	MNR	21
23	/	/	$,	/	_	--	22
24	reibe	reibe	VVFIN	reiben	sg|3|pres|subj	SB	35
25	solches	solches	PIS	solch	acc|sg|neut	NK	26
26	ããã	Ah	ITJ	ah	acc|sg|neut	OA	24
27	in	in	APPR	in	_	MO	24
28	einem	einem	ART	ein	dat|sg|masc	NK	29
29	Moͤrsel	Mörsel	NN	Mörsel	dat|sg|masc	NK	27
30	/	/	$,	/	_	--	29
31	eine	eine	ART	ein	acc|sg|fem	NK	33
32	lange	lange	ADJA	lang	acc|sg|fem|pos	NK	33
33	Zeit	Zeit	NN	Zeit	acc|sg|fem	OA	24
34	/	/	$,	/	_	--	33
35	schuͤtte	schütte	NN	schütte	sg|3|past|ind	APP	15
36	darzu	dazu	PAV	dazu	_	MO	35
