

1	LXXIIX	LXXIIX	NE	LXXIIX	nom|sg|neut	--	0
289	Gewissens	Gewissens	NN	Gewissen	gen|sg|neut	CJ	287
290	/	/	$,	/	_	--	289
291	noch	noch	KON	noch	_	CD	289
292	der	der	ART	d	gen|pl|fem	NK	293
293	Gesetzen	Gesetzen	NN	Gesetz	gen|pl|fem	CJ	291
294	/	/	$,	/	_	--	293
295	ein	ein	ART	ein	_	NK	302
296	noch	noch	ADV	noch	_	MO	299
297	der	der	ART	d	dat|sg|fem	NK	298
298	Erbarkeit	Ehrbarkeit	NN	Ehrbarkeit	dat|sg|fem	DA	299
299	achtē	achte	VVFIN	achten	nom|sg|fem|pos	NK	302
300	/	/	$,	/	_	--	299
301	derer	derer	ART	d	gen|pl|*	NK	48
302	Liebe	Liebe	NN	Liebe	nom|sg|fem	PAR	293
303	billich	billig	ADJD	billig	pos	MO	306
304	keine	keine	PIAT	kein	acc|sg|fem	NK	306
305	geordnete	geordnete	ADJA	geordnet	acc|sg|fem|pos	NK	306
306	Liebe	Liebe	NN	Liebe	acc|sg|fem	MNR	302
307	/	/	$,	/	_	--	306
308	sondern	sondern	KON	sondern	_	CD	306
309	eine	eine	ART	ein	nom|sg|fem	NK	310
310	Frechheit	Frechheit	NN	Frechheit	nom|sg|fem	CJ	308
311	/	/	$,	/	_	--	310
312	eine	eine	ART	ein	acc|sg|fem	NK	313
313	Geilheit	Geilheit	NN	Geilheit	acc|sg|fem	OA	321
314	/	/	$,	/	_	--	313
315	eine	eine	ART	ein	acc|sg|fem	NK	316
316	Unsinnigkeit	Unsinnigkeit	NN	Unsinnigkeit	acc|sg|fem	CJ	313
317	und	und	KON	und	_	CD	316
318	Viehische	Viehische	NN	Viehische	acc|sg|fem|pos	NK	319
319	Brunst	Brunst	NN	Brunst	acc|sg|fem	CJ	317
320	zu	zu	PTKZU	zu	_	PM	321
321	nennen	nennen	VVINF	nennen	_	MNR	306
322	/	/	$,	/	_	--	321
323	welche	welche	PRELS	welch	nom|pl|fem	SB	340
324	doch	doch	ADV	doch	_	MO	340
325	in	in	APPR	in	_	MO	340
326	zufallendem	zufallendem	ADJA	zufallendem	dat|sg|neut|pos	NK	327
327	Creutz	kreuz	ADJD	kreuz	dat|sg|neut	NK	325
328	und	und	KON	und	_	CD	327
329	Ungluͤck	Unglück	NN	Unglück	dat|sg|neut	CJ	328
330	in	in	APPR	in	_	MO	340
331	einen	einen	ART	ein	acc|sg|masc	NK	332
332	Haß	Haß	NN	Haß	acc|sg|masc	NK	330
333	/	/	$,	/	_	--	332
334	ja	ja	ADV	ja	_	MO	340
335	wol	wohl	ADV	wohl	_	MO	340
336	in	in	APPR	in	_	MO	340
337	Mord	Mord	NN	Mord	dat|sg|masc	NK	336
338	und	und	KON	und	_	CD	337
339	Todtschlag	Totschlag	NN	Totschlag	dat|sg|masc	CJ	338
340	außschlaͤget	außschläget	VVFIN	außschläget	_	RC	293
341	/	/	$,	/	_	--	340
342	und	und	KON	und	_	--	0
343	ihr	ihr	PPER	Ihr	nom|pl|*|2	RE	113
344	selber	selber	PRF	selber	_	MNR	343
345	eine	eine	ART	ein	nom|sg|fem	NK	346
346	Pein	Pein	NN	Pein	nom|sg|neut	SB	349
347	und	und	KON	und	_	CD	346
348	Straffe	Straffe	NN	Strafe	nom|sg|fem	CJ	347
349	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	342
350	ob	ob	ADV	ob	_	CP	48
351	sie	sie	PPER	Sie	nom|pl|*|3	SB	357
352	schon	schon	ADV	schon	_	MO	353
353	in	in	APPR	in	_	MO	358
354	der	der	ART	d	dat|sg|fem	NK	355
355	Welt	Welt	NN	Welt	dat|sg|fem	NK	353
356	nicht	nicht	PTKNEG	nicht	_	NG	32
357	solte	sollte	VMFIN	sollen	sg|3|past|subj	OC	140
358	gestrafft	gestrafft	VVPP	strafen	_	OC	359
359	werden	werden	VAINF	werden	_	OC	357
360	.	.	SENT	.	_	--	359

1	Als	Als	KOKOM	als	_	MO	18
2	Ammon	Ammon	NN	Ammon	nom|sg|masc	NK	1
3	der	der	ART	d	gen|sg|fem	NK	5
4	aͤltiste	älteste	NA	Älteste	nom|sg|masc|sup	NK	5
5	Sohn	Sohn	NN	Sohn	nom|sg|masc	SB	18
6	des	des	ART	d	gen|sg|masc	NK	7
7	Koͤnigs	Königs	NN	König	gen|sg|masc	AG	5
8	Davids	Davids	NE	David	gen|sg|masc	AG	7
9	sich	sich	PRF	er|es|sie	acc|sg|3	OA	18
10	in	in	APPR	in	_	MO	18
11	seine	seine	PPOSAT	sein	acc|sg|fem	NK	13
12	eigene	eigene	ADJA	eigen	acc|sg|fem|pos	NK	13
13	Stieffschwester	Stiefschwester	NN	Stiefschwester	nom|pl|masc	NK	10
14	die	die	ART	d	acc|sg|fem	NK	17
15	Thamar	Thamar	NE	Thamar	acc|sg|fem	PNC	17
16	dermassē	Därmasse	NN	Därmasse	nom|sg|fem	PNC	17
17	Brutalisch	Brutalisch	NN	Brutalisch	nom|sg|fem	SB	18
18	verliebet	verliebet	VVPP	verlieben	sg|3|pres|ind	--	0
19	/	/	$,	/	_	--	18
20	daß	daß	KOUS	daß	_	CP	36
21	er	er	PPER	er	nom|sg|masc|3	SB	36
22	vor	vor	APPR	vor	_	MO	25
23	liebe	liebe	ADJA	lieb	acc|sg|fem|pos	NK	22
24	kranck	krank	ADJD	krank	pos	PD	25
25	worden	worden	VAPP	werden	_	OC	36
26	/	/	$,	/	_	--	25
27	un̄	un	KON	und	_	SB	25
28	sie	sie	PPER	Sie	nom|pl|fem|3	SB	36
29	endlich	endlich	ADV	endlich	_	MO	30
30	uͤberwaͤltiget	überwältiget	VVFIN	überwältiget	_	MO	56
31	zu	zu	APPR	zu	_	MO	44
32	seinen	seinen	PPOSAT	sein	dat|pl|masc	NK	34
33	schaͤndlichē	schändliche	ADJA	schändliche	acc|pl|fem|pos	NK	34
34	Willen	Willen	NN	Wille	acc|sg|masc	NK	31
35	/	/	$,	/	_	--	34
36	ist	ist	VAFIN	sein	sg|3|pres|ind	OC	18
37	nach	nach	APPR	nach	_	MO	44
38	vollbrachter	vollbrachter	ADJA	vollbrachter	dat|sg|fem|pos	NK	39
39	That	Tat	NN	Tat	dat|sg|fem	NK	37
40	die	die	ART	d	nom|sg|fem	NK	41
41	Lieb	Lieb	NN	Liebe	nom|sg|fem	SB	36
42	bey	bei	APPR	bei	_	MO	44
43	ihm	ihm	PPER	er	dat|sg|masc|3	NK	42
44	verloschen	verloschen	VVINF	verloschen	_	OC	41
45	wie	wie	KOKOM	wie	_	CM	47
46	ein	ein	ART	ein	nom|sg|neut	NK	47
47	Liecht	Licht	NN	Licht	nom|sg|neut	MO	44
48	/	/	$,	/	_	--	47
49	un̄	un	KON	und	_	MO	56
50	auß	aus	APPR	aus	_	MO	56
51	der	der	ART	d	dat|sg|fem	NK	52
52	Lieb	Lieb	NN	Liebe	dat|sg|fem	NK	50
53	ein	ein	ART	ein	nom|sg|masc	NK	55
54	grim̄iger	Grimmiger	ADJA	Grimmiger	nom|sg|masc|pos	NK	55
55	Haß	Haß	NN	Haß	nom|sg|masc	PD	56
56	worden	worden	VAPP	werden	_	OC	36
57	/	/	$,	/	_	--	56
58	daß	daß	KOUS	daß	_	CP	64
59	er	er	PPER	er	nom|sg|masc|3	SB	64
60	die	die	ART	d	acc|sg|fem	NK	61
61	Thamar	Thamar	NE	Thamar	acc|sg|fem	OA	64
62	von	von	APPR	von	_	PG	61
63	ihm	ihm	PPER	er	dat|sg|masc|3	NK	62
64	hinaußgetrieben	hinausgetrieben	VVINF	hinausgetrieben	_	MNR	55
65	und	und	KON	und	_	CD	64
66	sie	sie	PPER	Sie	acc|pl|fem|3	OA	71
67	nicht	nicht	PTKNEG	nicht	_	NG	72
68	mehr	mehr	ADV	mehr	_	MO	67
69	vor	vor	APPR	vor	_	MO	71
70	Augen	Augen	NN	Auge	dat|pl|neut	NK	69
71	sehen	sehen	VVINF	sehen	_	OC	72
72	moͤgen	mögen	VMFIN	mögen	pl|3|pres|ind	MO	78
73	/	/	$,	/	_	--	72
74	welches	welches	PRELS	welch	acc|sg|neut	MO	78
75	ihm	ihm	PPER	er	dat|sg|*|3	DA	78
76	den	den	ART	d	acc|sg|masc	NK	77
77	Todt	Tot	NN	Tod	acc|sg|masc	OA	78
78	verursachet	verursachet	VVPP	verursachen	_	CJ	65
79	;	;	SENT	;	_	--	78

1	Als	Als	KOUS	als	_	CP	9
2	Simson	Simson	NE	Simson	nom|sg|*	SB	9
3	sich	sich	PRF	er|es|sie	acc|sg|3	OA	9
4	in	in	APPR	in	_	MO	9
5	die	die	ART	d	acc|sg|fem	NK	7
6	schoͤne	schöne	ADJA	schön	acc|sg|fem|pos	NK	7
7	Hure	Hure	NN	Hure	acc|sg|fem	NK	4
8	Delilam	Delilam	NE	Delilam	nom|sg|*	NK	7
