

1	§.	§.	$(	§	_	MO	2
33	Roͤmer	Römer	NN	Römer	gen|pl|masc	AG	31
34	,	,	$,	,	_	--	33
35	noch	noch	ADV	noch	_	MO	36
36	ins	ins	APPRART	ins	acc|sg|neut	MO	38
37	besondere	besondere	ADJA	besonder	acc|sg|neut|pos	NK	36
38	erbauet-gewesenen	erbauet-gewesenen	ADJA	erbauet-gewesenen	dat|sg|neut|pos	NK	39
39	Prætorio	Praetorio	NE	Praetorio	dat|sg|neut	NK	25
40	.	.	SENT	.	_	--	39

1	Der	Der	ART	d	nom|sg|masc	NK	2
2	Grund	Grund	NN	Grund	nom|sg|masc	SB	5
3	der	der	ART	d	gen|sg|fem	NK	4
4	Mauer	Mauer	NN	Mauer	gen|sg|fem	AG	2
5	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
6	mit	mit	APPR	mit	_	MO	12
7	stark	stark	ADJD	stark	pos	MO	8
8	behauenen	behauenen	ADJA	behauenen	dat|pl|neut|pos	NK	9
9	Mauersteinen	Mauersteinen	NN	Mauersteinen	dat|pl|neut	NK	6
10	sehr	sehr	ADV	sehr	_	MO	11
11	tief	tief	ADJD	tief	pos	MO	12
12	gelegt-	gelegt	VVPP	legen	_	PD	5
13	und	und	KON	und	_	CD	5
14	die	die	ART	d	nom|sg|fem	NK	15
15	Mauer	Mauer	NN	Mauer	nom|sg|fem	CJ	13
16	vier	vier	CARD	vier	_	NK	15
17	und	und	KON	und	_	CD	15
18	einen	einen	ART	ein	acc|sg|masc	NK	20
19	halben	halben	ADJA	halb	acc|sg|masc|pos	NK	20
20	Schuh	Schuh	NN	Schuh	acc|sg|masc	CJ	17
21	breit	breit	ADJD	breit	pos	MO	22
22	befunden	befunden	VVPP	befinden	_	OC	23
23	worden	worden	VAPP	werden	_	OC	15
24	.	.	SENT	.	_	--	23

1	Die	Die	ART	d	nom|sg|fem	NK	2
2	Form	Form	NN	Form	nom|sg|fem	SB	5
3	dieses	dieses	PDAT	dies	gen|sg|neut	NK	4
4	Kastells	Kastells	NN	Kastells	gen|sg|neut	AG	2
5	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
6	ohngefehr	ungefähr	ADJD	ungefähr	pos	MO	7
7	viereckigt	viereckigt	VVPP	viereckigt	_	PD	5
8	,	,	$,	,	_	--	7
9	jedoch	jedoch	ADV	jedoch	_	CD	7
10	so	so	ADV	so	_	CJ	9
11	,	,	$,	,	_	--	10
12	daß	daß	KOUS	daß	_	CP	20
13	jede	jede	PIS	jed	nom|sg|fem	SB	20
14	von	von	APPR	von	_	MO	20
15	denen	denen	ART	d	dat|pl|fem	NK	14
16	vier	vier	CARD	vier	_	NK	17
17	Ecken	Ecken	NN	Ecke	dat|pl|fem	DA	20
18	eine	eine	ART	ein	acc|sg|fem	NK	19
19	Rundung	Rundung	NN	Rundung	acc|sg|fem	OA	20
20	macht	macht	VVFIN	machen	sg|3|pres|ind	CC	10
21	,	,	$,	,	_	--	20
22	und	und	KON	und	_	CD	10
23	die	die	ART	d	nom|pl|fem	NK	24
24	Seiten	Seiten	NN	Seite	nom|pl|fem	OA	29
25	allda	allda	ADV	allda	_	MO	29
26	nicht	nicht	PTKNEG	nicht	_	NG	29
27	gespitzt	gespitzt	ADJD	gespitzt	_	MO	29
28	zusammen	zusammen	PTKVZ	zusammen	_	MO	29
29	stossen	stoßen	VVINF	stoßen	_	CJ	22
30	;	;	SENT	;	_	--	29

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	sind	sind	VAFIN	sein	pl|3|pres|ind	--	0
3	aber	aber	ADV	aber	_	MO	2
4	solche	solche	PIAT	solch	nom|pl|fem	NK	5
5	Seiten	Seiten	NN	Seite	nom|pl|fem	SB	2
6	nicht	nicht	PTKNEG	nicht	_	NG	2
7	voͤllig	völlig	ADJD	völlig	pos	PD	2
8	von	von	APPR	von	_	MO	2
9	gleicher	gleicher	ADJA	gleich	dat|sg|fem|pos	NK	10
10	Laͤnge	Länge	NN	Länge	dat|sg|fem	NK	8
11	;	;	SENT	;	_	--	10

1	dann	dann	ADV	dann	_	MO	3
2	die	die	ART	d	nom|sg|fem	NK	3
3	Suͤdliche	Südliche	NN	Südliche	nom|sg|fem	SB	4
4	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
5	36.	36.	CARD	@ord@	dat|sg|3	NK	6
6	Ruthen-	Ruten	NN	Rute	dat|pl|*	MO	4
7	die	die	ART	d	acc|sg|fem	NK	8
8	Westliche	Westliche	ADJA	westlich	acc|sg|fem	SB	9
9	32.	32.	CARD	@ord@	sg|3|pres|subj	CJ	4
10	die	die	ART	d	nom|sg|fem	NK	11
11	Ostliche	Ostliche	NN	Ostliche	nom|sg|fem	SB	9
12	ingleichem-	ingleichem	ADV	ingleichem	dat|sg|neut|pos	MO	19
13	und	und	KON	und	_	CD	12
14	die	die	ART	d	nom|sg|fem	NK	17
15	Nordliche	Nordliche	ADJA	Nordliche	nom|sg|fem|pos	NK	17
16	33.	33.	CARD	@ord@	nom|sg|fem|pos	NK	17
17	Ruthen	Ruten	NN	Rute	nom|sg|fem	CJ	13
18	lang	lang	ADJD	lang	pos	MO	19
19	befunden	befunden	VVPP	befinden	_	OC	20
20	worden	worden	VAPP	werden	_	OC	9
21	.	.	SENT	.	_	--	20

1	Am	Am	PTKA	am	dat|sg|neut	MO	56
2	Prætorio	Praetorio	NE	Praetorio	dat|sg|neut	NK	1
3	,	,	$,	,	_	--	2
4	welches	welches	PRELS	welch	nom|sg|neut	SB	15
5	von	von	APPR	von	_	MO	15
6	der	der	ART	d	dat|sg|fem	NK	8
7	westlichen	westlichen	ADJA	westlich	dat|sg|fem	NK	8
8	Seiten	Seiten	NN	Seite	nom|pl|fem	NK	5
9	der	der	ART	d	gen|sg|fem	NK	10
10	Mauer	Mauer	NN	Mauer	gen|sg|fem	AG	8
11	des	des	ART	d	gen|sg|masc	NK	12
12	Kastells	Kastells	NN	Kastells	gen|sg|masc	AG	10
13	8.	8.	CARD	@ord@	gen|sg|masc|pos	NK	14
14	Ruthen	Ruten	NN	Rute	gen|sg|masc	AG	12
15	abstehet	abstehet	VVFIN	abstehet	sg|3|pres|ind	RC	2
16	,	,	$,	,	_	--	15
17	und	und	KON	und	_	CD	2
18	6.	6.	CARD	@ord@	gen|sg|masc|pos	NK	19
19	Ruthen	Ruten	NN	Rute	dat|pl|*	CJ	17
20	,	,	$,	,	_	--	19
21	4.	4.	CARD	@ord@	dat|sg|masc|pos	NK	22
22	Schuh	Schuh	NN	Schuh	dat|sg|masc	AMS	23
23	lang	lang	ADJD	lang	pos	NK	27
24	,	,	$,	,	_	--	23
25	und	und	KON	und	_	CD	23
26	3.	3.	CARD	@ord@	dat|pl|*|pos	CJ	25
27	Ruthen	Ruten	NN	Rute	dat|pl|*	CJ	19
28	,	,	$,	,	_	--	27
29	10.	10.	CARD	@ord@	nom|sg|masc|pos	NK	30
30	Schuh	Schuh	NN	Schuh	nom|sg|masc	SB	32
31	breit	breit	ADJD	breit	pos	PD	32
32	ist	ist	VAFIN	sein	sg|3|pres|ind	RC	27
33	,	,	$,	,	_	--	32
34	findet	findet	VVFIN	finden	sg|3|pres|ind	--	0
35	man	man	PIS	man	nom|sg|*	SB	34
36	erstgedachte	erstgedachte	ADJA	erstgedachte	nom|sg|fem|pos	NK	37
37	Rundung	Rundung	NN	Rundung	acc|sg|fem	OA	34
38	an	an	APPR	an	_	MO	34
39	denen	denen	ART	d	dat|pl|fem	NK	40
40	Ecken	Ecken	NN	Ecke	dat|pl|fem	NK	38
41	nicht	nicht	PTKNEG	nicht	_	NG	34
42	,	,	$,	,	_	--	41
43	sondern	sondern	KON	sondern	_	CD	34
44	es	es	PPER	es	nom|sg|neut|3	PH	45
45	laufen	laufen	VVFIN	laufen	pl|3|pres|ind	CJ	43
46	allda	allda	ADV	allda	_	MO	45
47	die	die	ART	d	nom|pl|fem	NK	48
48	Seiten	Seiten	NN	Seite	nom|pl|fem	SB	45
49	,	,	$,	,	_	--	48
50	welche	welche	PRELS	welch	nom|pl|fem	SB	57
51	vier	vier	CARD	vier	_	SB	57
52	und	und	KON	und	_	CD	51
53	einen	einen	ART	ein	acc|sg|masc	NK	55
54	halben	halben	ADJA	halb	acc|sg|masc|pos	NK	55
55	Schuh	Schuh	NN	Schuh	acc|sg|masc	CJ	52
56	dick	dick	ADJD	dick	pos	PD	57
57	sind	sind	VAFIN	sein	pl|3|pres|ind	RC	48
58	,	,	$,	,	_	--	57
59	gespitzt	gespitzt	VVPP	gespitzt	pos	MO	45
60	zusammen	zusammen	PTKVZ	zusammen	_	SVP	45
61	.	.	SENT	.	_	--	60

1	Außerhalb	Außerhalb	APPR	außerhalb	_	MO	6
2	der	der	ART	d	dat|sg|fem	NK	3
3	Mauer	Mauer	NN	Mauer	dat|sg|fem	NK	1
4	des	des	ART	d	gen|sg|masc	NK	5
5	Kastells	Kastells	NN	Kastells	gen|sg|masc	AG	3
6	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
7	noch	noch	ADV	noch	_	MO	10
8	deutlich	deutlich	ADJD	deutlich	pos	MO	10
9	zu	zu	PTKZU	zu	_	PM	10
10	merken	merken	VVINF	merken	_	OC	6
11	,	,	$,	,	_	--	10
12	daß	daß	KOUS	daß	_	CP	16
13	an	an	APPR	an	_	MO	16
14	solcher	solcher	PIAT	solch	dat|sg|fem	NK	13
15	ein	ein	ART	ein	acc|sg|neut	NK	16
16	Graben	Graben	NN	Graben	nom|sg|masc	SB	6
17	herum	herum	PTKVZ	herum	_	MO	18
18	gegangen	gegangen	VVPP	gehen	_	OC	6
19	;	;	SENT	;	_	--	18

1	Ueber	Über	APPR	über	_	MO	4
2	dem	dem	ART	d	dat|sg|neut	NK	3
3	Graben	Graben	NN	Graben	dat|sg|neut	NK	1
4	findet	findet	VVFIN	finden	sg|3|pres|ind	--	0
5	man	man	PIS	man	nom|sg|*	SB	4
6	auch	auch	ADV	auch	_	MO	7
7	noch	noch	ADV	noch	_	MO	4
8	,	,	$,	,	_	--	7
9	sonderlich	sonderlich	ADJD	sonderlich	pos	MO	10
10	an	an	APPR	an	_	MO	4
11	der	der	ART	d	dat|sg|fem	NK	13
12	suͤndlichen	sündlichen	ADJA	sündlich	dat|sg|fem|pos	NK	13
13	Seite	Seite	NN	Seite	dat|sg|fem	NK	10
14	,	,	$,	,	_	--	13
15	fundamenta	Fundamentah	NN	Fundamentah	dat|sg|fem	CJ	13
16	von	von	APPR	von	_	MNR	15
17	einer	einer	ART	ein	dat|sg|fem	NK	19
18	andern	anderen	ADJA	ander	dat|sg|fem|pos	NK	19
19	Mauer	Mauer	NN	Mauer	dat|sg|fem	NK	16
20	,	,	$,	,	_	--	19
21	und	und	KON	und	_	CD	15
22	dann	dann	ADV	dann	_	MO	24
23	wiederum	wiederum	ADV	wiederum	_	MO	24
24	Spuhren	Spuren	NN	Spur	nom|pl|fem	CJ	21
25	von	von	APPR	von	_	PG	24
26	einem	einem	ART	ein	dat|sg|neut	NK	27
27	Graben	Graben	NN	Graben	dat|sg|neut	NK	25
28	.	.	SENT	.	_	--	27

1	In	In	APPR	in	_	MO	17
2	der	der	ART	d	dat|sg|fem	NK	3
3	Mitte	Mitte	NN	Mitte	dat|sg|fem	NK	1
4	dieser	dieser	PDAT	dies	gen|pl|neut	NK	6
5	beyden	beiden	PIAT	beide	gen|pl|neut	NK	6
6	Mauern	Mauern	NN	Mauer	gen|pl|fem	AG	3
7	,	,	$,	,	_	--	6
8	an	an	APPR	an	_	MO	15
9	deren	deren	PDAT	d	gen|pl|fem	AG	11
10	suͤdlichen	südlichen	ADJA	südlich	nom|pl|fem|pos	NK	11
11	Seiten	Seiten	NN	Seite	nom|pl|fem	NK	8
12	nach	nach	APPR	nach	_	MNR	11
13	der	der	ART	d	dat|sg|fem	NK	14
14	Laͤnge	Länge	NN	Länge	dat|sg|fem	NK	12
15	hin	hin	PTKVZ	hin	_	MO	1
16	,	,	$,	,	_	--	15
17	befindet	befindet	VVFIN	befinden	sg|3|pres|ind	--	0
18	sich	sich	PRF	er|es|sie	acc|sg|3	OA	17
19	,	,	$,	,	_	--	18
20	zwischen	zwischen	APPR	zwischen	_	MO	17
21	solchen	solchen	PIAT	solch	dat|pl|masc	NK	23
22	beyden	beiden	PIAT	beide	dat|pl|masc	NK	23
23	Mauern	Mauern	NN	Mauer	dat|pl|masc	NK	20
24	,	,	$,	,	_	--	23
25	ein	ein	ART	ein	nom|sg|masc	NK	26
26	Platz	Platz	NN	Platz	dat|sg|masc	AMS	29
27	5.	5.	CARD	@ord@	dat|sg|masc|pos	NK	28
28	Ruthen	Ruten	NN	Rute	dat|sg|masc	AG	26
29	lang	lang	ADJD	lang	pos	MO	17
30	,	,	$,	,	_	--	29
31	von	von	APPR	von	_	SBP	38
32	einer	einer	ART	ein	dat|sg|fem	NK	33
33	Mauer	Mauer	NN	Mauer	dat|sg|fem	NK	31
34	zur	zur	APPRART	zur	dat|sg|fem	MNR	33
35	andern	anderen	ADJA	ander	dat|sg|fem|pos	NK	34
36	,	,	$,	,	_	--	35
37	ganz	ganz	ADV	ganz	_	MO	38
38	ausgemauert	ausgemauert	VVPP	ausgemauert	_	CJ	29
39	.	.	SENT	.	_	--	38

1	Alles	Alles	PIS	all	nom|sg|neut	SB	2
2	kommt	kommt	VVFIN	kommen	sg|3|pres|ind	--	0
3	voͤllig	völlig	ADJD	völlig	pos	MO	2
4	mit	mit	APPR	mit	_	MO	2
5	dem	dem	ART	d	dat|sg|neut	NK	4
6	uͤberein	überein	PTKVZ	überein	_	SVP	2
7	,	,	$,	,	_	--	6
8	wie	wie	KOUS	wie	_	MO	16
9	die	die	ART	d	nom|pl|masc	NK	10
10	Roͤmer	Römer	NN	Römer	nom|pl|masc	SB	16
11	ihre	ihre	PPOSAT	ihr	acc|pl|fem	NK	12
12	Kastellen	Kastellen	NN	Kastellen	acc|pl|fem	OA	14
13	zu	zu	PTKZU	zu	_	PM	14
14	erbauen	erbauen	VVINF	erbauen	_	RE	5
15	,	,	$,	,	_	--	14
16	gewohnt	gewohnt	ADJD	gewohnt	_	OC	17
17	gewesen	gewesen	VAPP	sein	_	OC	12
18	;	;	SENT	;	_	--	17

1	Wie	Wie	PWAV	wie	_	MO	21
2	man	man	PIS	man	nom|sg|*	SB	21
3	solches	solches	PIS	solch	acc|sg|neut	OA	20
4	an	an	APPR	an	_	MO	20
5	denen	denen	ART	d	dat|pl|neut	NK	6
6	Grundrissen	Grundrissen	NN	Grundrissen	dat|pl|neut	NK	4
7	,	,	$,	,	_	--	6
8	welche	welche	PRELS	welch	nom|pl|neut	OA	17
9	die	die	ART	d	nom|pl|neut	NK	10
10	Schriftsteller	Schriftsteller	NN	Schriftsteller	nom|pl|masc	SB	18
11	von	von	APPR	von	_	SBP	17
12	andern	anderen	PIS	ander	dat|pl|masc|pos	NK	16
13	anderswo	anderswo	ADV	anderswo	_	MO	14
14	gestandenen	gestandenen	ADJA	gestandenen	dat|pl|masc|pos	NK	16
15	roͤmischen	römischen	ADJA	römisch	dat|pl|fem|pos	NK	16
16	Kastellen	Kastellen	NN	Kastellen	dat|pl|fem	NK	11
17	mitgetheilet	mitgeteilt	VVPP	mitteilen	_	OC	18
18	haben	haben	VAFIN	haben	pl|3|pres|ind	RC	6
19	,	,	$,	,	_	--	18
20	ersehen	ersehen	VVINF	ersehen	_	OC	21
21	kan	kann	VMFIN	können	sg|3|pres|ind	--	0
22	.	.	SENT	.	_	--	21

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	berufe	berufe	VVFIN	berufe	sg|1|pres|ind	--	0
3	mich	mich	PPER	ich	acc|sg|1	OA	2
4	allhier	allhier	ADV	allhier	_	MO	2
5	vornemlich	vornehmlich	ADJD	fürnehmlich	pos	MO	6
6	auf	auf	APPR	auf	_	MO	2
7	das	das	ART	d	acc|sg|neut	NK	8
8	Zeugnis	Zeugnis	NN	Zeugnis	acc|sg|neut	NK	6
9	ALEXANDER	Alexander	NE	Alexander	nom|sg|masc	PNC	10
10	GORDONS	Gordons	NE	Gordons	gen|sg|masc	AG	8
11	,	,	$,	,	_	--	10
12	in	in	APPR	in	_	MNR	8
13	seinem	seinem	PPOSAT	sein	dat|sg|masc	NK	14
14	Itinerario	Itinerario	NN	Itinerario	dat|sg|masc	NK	12
15	Septentrionali	Septentrionali	NE	Septentrionali	nom|sg|*	NK	14
16	,	,	$,	,	_	--	15
17	oder	oder	KON	oder	_	CD	2
18	Reisbeschreibung	Reisbeschreibung	NN	Reisbeschreibung	acc|sg|fem	CJ	17
19	durch	durch	APPR	durch	_	MNR	18
20	die	die	ART	d	acc|pl|fem	NK	21
21	mehresten	Mehresten	ADJA	Mehresten	acc|pl|fem	NK	19
22	Gegenden	Gegenden	NN	Gegend	acc|pl|*	NK	21
23	von	von	APPR	von	_	PG	22
24	Schottland	Schottland	NE	Schottland	dat|sg|neut	NK	23
25	und	und	KON	und	_	CD	24
26	Nord-Engelland	Nord-Engelland	NE	Nord-Engelland	dat|sg|neut	CJ	25
27	,	,	$,	,	_	--	26
28	welche	welche	PRELS	welch	nom|pl|masc	SB	40
29	zu	zu	APPR	zu	_	MO	40
30	London	London	NE	London	dat|sg|neut	NK	29
31	in	in	APPR	in	_	MO	40
32	Jahr	Jahr	NN	Jahr	dat|sg|neut	NK	31
33	1727.	1727.	CARD	@ord@	_	NK	32
34	in	in	APPR	in	_	MO	40
35	Englischer	Englischer	ADJA	Englischer	dat|sg|fem	PNC	36
36	Sprach	Sprach	NN	Sprache	dat|sg|fem	NK	34
37	in	in	APPR	in	_	MO	40
38	Folio	Folio	NN	Folio	dat|sg|neut	NK	37
39	heraus	heraus	PTKVZ	heraus	_	AC	37
40	gekommen	gekommen	VVPP	kommen	_	RC	22
41	.	.	SENT	.	_	--	40

1	In	In	APPR	in	_	MO	7
2	diesem	diesem	PDAT	dies	dat|sg|neut	NK	6
3	raren	raren	ADJA	rar	dat|sg|neut|pos	NK	6
4	und	und	KON	und	_	CD	3
5	schoͤnen	schönen	ADJA	schön	dat|sg|neut|pos	CJ	4
6	Werk	Werk	NN	Werk	dat|sg|neut	NK	1
7	kommen	kommen	VVFIN	kommen	pl|3|pres|ind	--	0
8	alle	alle	PIS	all	nom|pl|*	NK	13
9	in	in	APPR	in	_	MO	12
10	den	den	ART	d	dat|pl|fem	NK	11
11	Kupferplatten	Kupferplatten	NN	Kupferplatten	dat|pl|fem	NK	9
12	vorgestellte	vorgestellte	ADJA	vorgestellt	nom|sg|fem|pos	NK	13
13	Grundrisse	Grundrisse	NN	Grundrisse	gen|pl|neut	SB	7
14	der	der	ART	d	gen|sg|fem	NK	22
15	in	in	APPR	in	_	MO	20
16	Schottland	Schottland	NE	Schottland	dat|sg|neut	NK	15
17	und	und	KON	und	_	CD	16
18	Nord-Engelland	Nord-Engelland	NE	Nord-Engelland	dat|sg|neut	CJ	17
19	befindlich	befindlich	ADJD	befindlich	pos	MO	20
20	gewesenen	gewesenen	ADJA	gewesene	dat|sg|neut|pos	NK	22
21	roͤmischen	römischen	ADJA	römisch	dat|sg|neut|pos	NK	22
22	Kastellen	Kastellen	NN	Kastellen	dat|sg|neut	AG	13
23	,	,	$,	,	_	--	22
24	nemlich	nämlich	ADV	nämlich	_	MO	25
25	in	in	APPR	in	_	APP	22
26	der	der	ART	d	dat|sg|fem	NK	28
27	2.	2.	CARD	@ord@	dat|sg|fem|pos	NK	28
28	Platte	Platte	NN	Platte	dat|sg|fem	NK	25
29	des	des	ART	d	gen|sg|masc	NK	31
30	Middleby	Middleby	NE	Middleby	*|*|*	PNC	31
31	Fort	Fort	NN	Fort	*|*|*	AG	28
32	,	,	$,	,	_	--	31
33	in	in	APPR	in	_	CJ	25
34	der	der	ART	d	dat|sg|fem	NK	33
35	6	6	CARD	@card@	_	MO	33
36	ten	ten	FM	ten	_	MO	33
37	des	des	ART	d	gen|sg|masc	NK	38
38	Ardoch	Ardoch	NN	Ardoch	gen|sg|masc	AG	39
39	Fort	Fort	NN	Fort	nom|sg|masc	NK	36
40	,	,	$,	,	_	--	39
41	in	in	APPR	in	_	CJ	33
42	der	der	ART	d	dat|sg|fem	NK	41
43	17	17	CARD	@card@	_	MO	41
44	ten	ten	FM	ten	_	MO	41
45	des	des	ART	d	gen|sg|neut	NK	46
46	Castle-Hill	Castle-Hill	NE	Castle-Hill	*|sg|neut	NK	44
47	Fort	Fort	NN	Fort	*|sg|neut	NK	46
48	,	,	$,	,	_	--	47
49	in	in	APPR	in	_	CJ	41
50	der	der	ART	d	dat|sg|fem	NK	49
51	19	19	CARD	@card@	_	MO	49
52	ten	ten	FM	ten	_	MO	49
53	des	des	ART	d	gen|sg|neut	NK	54
54	Remulie-Fort	Remulie-Fort	NE	Remulie-Fort	gen|sg|neut	NK	52
55	,	,	$,	,	_	--	54
56	in	in	APPR	in	_	CJ	49
57	der	der	ART	d	dat|sg|fem	NK	56
58	22	22	CARD	@card@	_	MO	56
59	ten	ten	FM	ten	_	MO	56
60	des	des	ART	d	gen|sg|masc	NK	62
61	Bar-Hill	Bar-Hill	NE	Bar-Hill	*|*|*	PNC	62
62	Fort	Fort	NN	Fort	dat|sg|neut	NK	59
63	,	,	$,	,	_	--	62
64	in	in	APPR	in	_	CJ	56
65	der	der	ART	d	dat|sg|fem	NK	64
66	24	24	CARD	@card@	_	MO	64
67	ten	ten	FM	ten	_	MO	64
68	des	des	ART	d	gen|sg|neut	NK	70
69	Castle	Castle	NE	Castle	*|*|*	PNC	70
70	Cary-Fort	Cary-Fort	NE	Cary-Fort	nom|sg|masc	NK	67
71	,	,	$,	,	_	--	70
72	in	in	APPR	in	_	MO	75
73	der	der	ART	d	dat|sg|fem	NK	72
74	25	25	CARD	@card@	_	MO	75
75	ten	ten	FM	ten	pl|3|past|ind	RC	22
76	des	des	ART	d	gen|sg|neut	NK	77
77	Roug-Castle	Roug-Castle	NE	Roug-Castle	*|sg|neut	DA	75
78	Fort	Fort	NN	Fort	*|sg|neut	NK	77
79	,	,	$,	,	_	--	78
80	in	in	APPR	in	_	MO	75
81	der	der	ART	d	dat|sg|fem	NK	80
82	26	26	CARD	@card@	_	MO	80
83	ten	ten	FM	ten	_	MO	75
84	des	des	ART	d	gen|sg|masc	NK	85
85	Benvvell-Fort	Benvvell-Fort	NE	Benvvell-Fort	gen|sg|masc	NK	83
86	,	,	$,	,	_	--	85
87	in	in	APPR	in	_	MO	90
88	der	der	ART	d	dat|sg|fem	NK	87
89	27	27	CARD	@card@	_	MO	90
90	ten	ten	FM	ten	pl|3|past|ind	CJ	75
91	des	des	ART	d	gen|sg|neut	NK	92
92	Carabrough	Carabrough	NE	Carabrough	gen|sg|masc	SB	90
93	Fort	Fort	NN	Fort	*|sg|neut	NK	92
94	,	,	$,	,	_	--	93
95	und	und	KON	und	_	CD	90
96	in	in	APPR	in	_	CJ	95
97	der	der	ART	d	dat|sg|fem	NK	99
98	28	28	CARD	@card@	_	NK	99
99	ten	ten	FM	ten	_	NK	96
100	des	des	ART	d	gen|sg|neut	NK	102
101	Great-Chester	Great-Chester	NN	Great-Chester	*|*|*|pos	NK	102
102	Fort	Fort	NN	Fort	gen|sg|masc	AG	99
103	,	,	$,	,	_	--	102
104	mit	mit	APPR	mit	_	MNR	99
105	vorbeschriebenem	vorbeschriebenem	ADJA	vorbeschriebenem	dat|sg|masc|pos	NK	106
106	hiesigen	hiesigen	ADJA	hiesig	gen|sg|neut|pos	NK	104
107	groͤßtentheils	größtenteils	ADV	größtenteils	_	MO	104
108	,	,	$,	,	_	--	107
109	einige	einige	PIS	einig	nom|pl|neut	NK	104
110	davon	davon	PAV	davon	_	PG	109
111	aber	aber	ADV	aber	_	MO	104
112	ganz	ganz	ADV	ganz	_	MO	113
113	uͤberein	überein	PTKVZ	überein	_	MO	96
114	.	.	SENT	.	_	--	113

1	Ich	Ich	PPER	ich	nom|sg|*|1	NK	2
2	theile	Teile	NN	Teil	acc|pl|masc	--	0
3	von	von	APPR	von	_	MNR	2
4	dem	dem	ART	d	dat|sg|masc	NK	5
5	Unserigen	Unserigen	NN	Unserigen	dat|sg|masc	NK	3
6	,	,	$,	,	_	--	5
7	so	so	ADV	so	_	MO	2
8	wie	wie	KOUS	wie	_	CP	12
