

1	Es	Es	PPER	es	nom|sg|neut|3	EP	2
81	und	und	KON	und	_	CD	80
82	gruͤndliche	gründliche	ADJA	gründlich	acc|sg|fem|pos	CJ	81
83	Nachricht	Nachricht	NN	Nachricht	acc|sg|fem	OA	78
84	von	von	APPR	von	_	PG	83
85	allem	allem	PIS	all	dat|sg|neut	NK	84
86	was	was	PWREL	was	nom|sg|neut	SB	97
87	in	in	APPR	in	_	MO	97
88	die	die	ART	d	acc|sg|fem	NK	89
89	Erkaͤnntniß	Erkenntnis	NN	Erkenntnis	acc|sg|fem	NK	87
90	der	der	ART	d	gen|sg|fem	NK	91
91	Natur	Natur	NN	Natur	gen|sg|fem	AG	89
92	,	,	$,	,	_	--	91
93	Kunst	Kunst	NN	Kunst	nom|sg|fem	CJ	89
94	und	und	KON	und	_	CD	93
95	des	des	ART	d	gen|sg|masc	NK	96
96	Staats	Staats	NN	Staat	gen|sg|masc	CJ	94
97	einschlaͤgt	einschlägt	VVFIN	einschlägt	sg|3|pres|ind	SB	100
98	,	,	$,	,	_	--	97
99	ertheilet	erteilet	VVPP	erteilen	_	OC	100
100	wird	wird	VAFIN	werden	sg|3|pres|ind	MO	78
101	.	.	SENT	.	_	--	100

1	2.	2.	CARD	@ord@	_	--	0

1	Ferner	Ferner	ADV	fern	_	MO	2
2	stehet	stehet	VVFIN	stehen	sg|3|pres|ind	--	0
3	zu	zu	PTKZU	zu	_	PM	4
4	verkauffen	verkaufen	VVINF	verkaufen	_	OC	2
5	:	:	SENT	:	_	--	4

1	Ein	Ein	ART	ein	nom|sg|masc	NK	6
2	halb	halb	ADJD	halb	pos	MO	3
3	Dutzend	Dutzend	NN	Dutzend	nom|sg|neut	--	0
4	gute	gute	ADJA	gut	acc|sg|neut|pos	NK	6
5	starcke	starke	ADJA	stark	nom|sg|masc|pos	NK	6
6	Stroh-Sessel	Stroh-Sessel	NN	Stroh-Sessel	nom|sg|masc	NK	3
7	.	.	SENT	.	_	--	6

1	3.	3.	CARD	@ord@	_	--	0

1	Ein	Ein	ART	ein	nom|sg|neut	NK	2
2	Waag-Kengel	Waag-Kengel	NN	Waag-Kengel	nom|sg|masc	--	0
3	mit	mit	APPR	mit	_	MNR	2
4	kupfernen	kupfernen	ADJA	kupfernen	dat|pl|fem|pos	NK	5
5	Schaalen	Schalen	NN	Schale	dat|pl|fem	NK	3
6	zu	zu	APPR	zu	_	MNR	5
7	20.	20.	CARD	@ord@	dat|sg|masc|pos	NK	6
8	bis	bis	KON	bis	_	MNR	5
9	25.	25.	CARD	@ord@	acc|sg|masc|pos	NK	10
10	Pfund	Pfund	NN	Pfund	acc|sg|masc	NK	8
11	.	.	SENT	.	_	--	10

1	4.	4.	CARD	@ord@	_	--	0

1	Neues	Neues	ADJA	neu	nom|sg|neut|pos	NK	2
2	Bettwerck	Bettwerck	NE	Bettwerck	nom|sg|neut	--	0
3	,	,	$,	,	_	--	2
4	mit	mit	APPR	mit	_	MO	8
5	neuen	neuen	ADJA	neu	dat|pl|neut|pos	NK	7
6	koͤlschenen	kölschenen	ADJA	kölschenen	dat|pl|fem|pos	NK	7
7	Ziehen	Ziehen	VVFIN	ziehen	dat|pl|fem	NK	4
8	angezogen	angezogen	VVPP	anziehen	_	PAR	2
9	;	;	SENT	;	_	--	8
10	Jtem	Item	FM	Item	dat|sg|neut	APP	7
11	,	,	$,	,	_	--	10
12	neue	neue	ADJA	neu	acc|pl|masc|pos	NK	16
13	barchete	barchete	ADJA	barchete	nom|sg|neut|pos	NK	16
14	und	und	KON	und	_	CD	13
15	trilchene	trilchene	ADJA	trilchene	nom|pl|masc|pos	CJ	14
16	Einguͤsse	Eingüsse	NN	Eingüsse	nom|pl|masc	CJ	10
17	,	,	$,	,	_	--	16
18	samt	samt	APPR	samt	_	MNR	16
19	den	den	ART	d	dat|pl|neut	NK	20
20	Federn	Federn	NN	Feder	dat|pl|neut	NK	18
21	;	;	SENT	;	_	--	20
22	wie	wie	PWAV	wie	_	CD	16
23	auch	auch	ADV	auch	_	MO	24
24	Koͤlsch	Kölsch	NN	Kölsch	acc|sg|neut	CJ	22
25	und	und	KON	und	_	CD	24
26	anderes	anderes	ADJA	ander	nom|sg|neut|pos	NK	27
27	Bettwerck	Beetwerk	NN	Beetwerk	acc|sg|neut	CJ	25
28	,	,	$,	,	_	--	27
29	frisch	frisch	ADJD	frisch	pos	MO	30
30	geluͤckt	gelückt	VVPP	gelückt	_	CJ	8
31	und	und	KON	und	_	CD	30
32	angezogen	angezogen	VVPP	anziehen	_	CJ	31
33	,	,	$,	,	_	--	32
34	wie	wie	KOUS	wie	_	MO	37
35	man	man	PIS	man	nom|sg|*	SB	37
36	es	es	PPER	es	acc|sg|neut|3	OA	37
37	begehrt	begehrt	VVPP	begehren	_	OC	32
38	,	,	$,	,	_	--	37
39	um	um	APPR	um	_	OP	37
40	billichen	billichen	ADJA	billichen	acc|sg|masc|pos	NK	41
41	Preiß	Preis	NN	Preis	acc|sg|masc	NK	39
42	.	.	SENT	.	_	--	41

1	5.	5.	CARD	@ord@	_	--	0

1	Acht	Acht	NN	Acht	_	NK	3
2	nußbaͤumerne	nußbäumerne	ADJA	nußbäumerne	nom|pl|masc|pos	NK	3
3	Sessel	Sessel	NN	Sessel	nom|pl|masc	--	0
4	mit	mit	APPR	mit	_	MNR	3
5	Gaißfuͤssen	Gaißfüssen	NN	Gaißfüssen	dat|pl|masc	NK	4
6	,	,	$,	,	_	--	5
7	die	die	ART	d	nom|pl|masc	NK	10
8	obere	obere	ADJA	oberer	acc|sg|fem|pos	NK	10
9	hinterne	hinterne	ADJA	hinterne	nom|pl|fem|pos	NK	10
10	Lehnen	Lehnen	NN	Lehnen	nom|pl|fem	OA	12
11	sauber	sauber	ADJD	sauber	pos	MO	12
12	geschnitten	geschnitten	VVPP	schneiden	_	PAR	3
13	,	,	$,	,	_	--	12
14	samt	samt	APPR	samt	_	MO	12
15	einem	einem	ART	ein	dat|sg|masc	NK	16
16	Nacht-Tischlein	Nacht-Tischlein	NN	Nacht-Tischlein	dat|sg|masc	NK	14
17	,	,	$,	,	_	--	16
18	um	um	APPR	um	_	CJ	14
19	billichen	billichen	ADJA	billichen	acc|sg|masc|pos	NK	20
20	Preiß	Preis	NN	Preis	acc|sg|masc	NK	18
21	.	.	SENT	.	_	--	20

1	Hingegen	Hingegen	ADV	hingegen	_	MO	5
2	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
3	zu	zu	PTKZU	zu	_	PM	4
4	kauffen	kaufen	VVINF	kaufen	_	OC	5
5	begehrt	begehrt	VVPP	begehren	_	OC	2
6	:	:	SENT	:	_	--	5

1	Herr	Herr	NN	Herr	nom|sg|masc	SB	13
2	Andreas	Andreas	NE	Andreas	nom|sg|masc	PNC	3
3	Braun	Braun	NE	Braun	nom|sg|masc	NK	1
4	,	,	$,	,	_	--	3
5	Goldschmied	Goldschmied	NN	Goldschmied	nom|sg|*	PAR	1
6	in	in	APPR	in	_	MNR	5
7	Basel	Basel	NE	Basel	dat|sg|neut	NK	6
8	an	an	APPR	an	_	MNR	7
9	der	der	ART	d	dat|sg|fem	NK	11
10	weissen	weißen	ADJA	weiß	dat|sg|fem|pos	NK	11
11	Gasse	Gasse	NN	Gasse	dat|sg|fem	NK	8
12	,	,	$,	,	_	--	11
13	suchet	suchet	VVFIN	suchen	sg|3|pres|ind	--	0
14	leichte	leichte	ADJA	leicht	acc|pl|fem|pos	NK	15
15	Ducaten	Dukaten	NN	Ducaten	acc|pl|masc	OA	13
16	,	,	$,	,	_	--	15
17	die	die	PRELS	d	acc|sg|fem	OA	23
18	er	er	PPER	er	nom|sg|masc|3	SB	24
19	nach	nach	APPR	nach	_	MO	23
20	dem	dem	ART	d	dat|sg|masc	NK	22
21	innern	inneren	ADJA	innere	dat|sg|masc|pos	NK	22
22	Werth	Wert	NN	Wert	dat|sg|masc	NK	19
23	bezahlen	bezahlen	VVINF	bezahlen	_	OC	24
24	wird	wird	VAFIN	werden	sg|3|pres|ind	RC	15
25	;	;	SENT	;	_	--	24
26	wie	wie	PWAV	wie	_	CD	18
27	auch	auch	ADV	auch	_	MO	28
28	Basel-Goldgulden	Basel-Goldgulden	VVINF	Basel-Goldgulden	nom|pl|masc	CJ	26
29	,	,	$,	,	_	--	28
30	mit	mit	APPR	mit	_	MO	33
31	Agio	Agio	NN	Agio	dat|sg|neut	NK	30
32	zu	zu	PTKZU	zu	_	PM	33
33	kauffen	kaufen	VVINF	kaufen	_	OC	28
34	.	.	SENT	.	_	--	33

1	Zwoͤlf	Zwölf	CARD	zwölf	_	NK	2
2	Stuͤck	Stück	NN	Stück	nom|sg|neut	--	0
3	Englische	Englische	ADJA	englisch	nom|pl|masc|pos	NK	2
4	Huͤner	Hühner	NN	Huhn	nom|pl|masc	NK	2
5	von	von	APPR	von	_	PG	2
6	groͤster	größter	ADJA	groß	dat|sg|fem|pos	NK	7
7	Art,	Art	NN	Art	dat|sg|fem	NK	5
8	und	und	KON	und	_	CD	2
9	alle	alle	PIS	all	nom|pl|*	CJ	8
10	von	von	APPR	von	_	PG	9
11	diesem	diesem	PDAT	dies	dat|sg|neut	NK	12
12	Jahr	Jahr	NN	Jahr	dat|sg|neut	NK	10
13	.	.	SENT	.	_	--	12

1	Kost	Kost	NN	Kost	nom|sg|fem	SB	6
2	,	,	$,	,	_	--	1
3	Jnformation	Information	NN	Information	nom|sg|fem	CJ	1
4	und	und	KON	und	_	CD	3
5	Bedienung	Bedienung	NN	Bedienung	nom|sg|fem	CJ	4
6	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
7	angetragen	angetragen	VVPP	antragen	_	OC	6
8	und	und	KON	und	_	CD	7
9	gesucht	gesucht	VVPP	suchen	_	CJ	8
10	:	:	SENT	:	_	--	9

1	Zu	Zu	APPR	zu	_	OP	15
2	einer	einer	ART	ein	dat|sg|fem	NK	4
3	honetten	honetten	ADJA	honetten	dat|sg|fem|pos	NK	4
4	Profeßion	Profession	NN	Profession	dat|sg|fem	NK	1
5	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
6	ein	ein	ART	ein	nom|sg|masc	NK	7
7	Lehr-Jung	Lehr-Jung	NN	Lehr-Jung	nom|sg|masc	SB	5
8	,	,	$,	,	_	--	7
9	der	der	PRELS	d	nom|sg|masc	SB	13
10	schreiben	schreiben	VVINF	schreiben	_	OC	13
11	und	und	KON	und	_	CD	10
12	lesen	lesen	VVINF	lesen	_	CJ	11
13	kan	kann	VMFIN	können	sg|3|pres|ind	RC	7
14	,	,	$,	,	_	--	13
15	gesucht	gesucht	VVPP	suchen	_	OC	5
16	;	;	SENT	;	_	--	15

1	waͤre	wäre	VAFIN	sein	sg|3|past|subj	--	0
2	gut	gut	ADJD	gut	pos	PD	1
3	,	,	$,	,	_	--	2
4	wann	wann	KOUS	wann	_	MO	12
5	er	er	PPER	er	nom|sg|masc|3	SB	13
6	auch	auch	ADV	auch	_	MO	7
7	in	in	APPR	in	_	MO	12
8	der	der	ART	d	dat|sg|fem	NK	10
9	Lateinischen	Lateinischen	ADJA	lateinisch	dat|sg|fem|pos	NK	10
10	Sprache	Sprache	NN	Sprache	dat|sg|fem	NK	7
11	etwas	etwas	ADV	etwas	*|*|neut	MO	12
12	erlernet	erlernet	VVPP	erlernet	_	OC	13
13	haͤtte	hätte	VAFIN	haben	sg|3|past|subj	MO	1
14	,	,	$,	,	_	--	13
15	deme	dem	KOUS	d	dat|sg|masc	DA	20
16	man	man	PIS	man	nom|sg|*	SB	21
17	alsdann	alsdann	ADV	alsdann	pos	MO	18
18	billiche	billiche	ADJA	billiche	acc|pl|neut|pos	NK	19
19	Conditiones	Conditiones	NN	Conditiones	acc|pl|neut	OA	20
20	machen	machen	VVINF	machen	_	OC	21
21	wird	wird	VAFIN	werden	sg|3|pres|ind	RC	11
22	.	.	SENT	.	_	--	21

1	Ein	Ein	ART	ein	nom|sg|masc	NK	4
2	wohl	wohl	ADV	wohl	_	MO	3
3	erfahrner	erfahrener	ADJA	erfahren	nom|sg|masc|pos	NK	4
4	Gaͤrtner	Gärtner	NN	Gärtner	nom|sg|masc	SB	5
5	offeriret	offeriert	VVFIN	offerieren	sg|3|pres|ind	--	0
6	sich	sich	PRF	er|es|sie	acc|sg|3	OA	5
7	zu	zu	APPR	zu	_	MO	13
8	einer	einer	ART	ein	dat|sg|fem	NK	9
9	Privat-Person	Privat-Person	NN	Privat-Person	dat|sg|fem	NK	7
10	in	in	APPR	in	_	MO	13
11	Dienste	Dienste	NN	Dienst	acc|pl|masc	NK	10
12	zu	zu	PTKZU	zu	_	PM	13
13	gehen	gehen	VVINF	gehen	_	OC	5
14	,	,	$,	,	_	--	13

1	er	er	PPER	er	nom|sg|masc|3	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	einer	einer	PIS	ein	nom|sg|masc	PD	2
4	der	der	ART	d	gen|pl|masc	NK	8
5	besten	besten	ADJA	best	gen|pl|masc|sup	NK	8
6	und	und	KON	und	_	CD	5
7	erfahrensten	erfahrensten	ADJA	erfahren	nom|pl|masc|pos	CJ	6
8	Gaͤrtner	Gärtner	NN	Gärtner	nom|pl|masc	AG	3
9	,	,	$,	,	_	--	8
10	und	und	KON	und	_	CD	2
11	verstehet	verstehet	VVFIN	verstehen	sg|3|pres|ind	CJ	10
12	insonderheit	insonderheit	ADV	insonderheit	_	MO	11
13	das	das	PDS	d	acc|sg|neut	NK	14
14	Zeichnen	Zeichnen	VVFIN	zeichnen	acc|sg|neut	OA	11
15	wohl	wohl	ADV	wohl	_	MO	11
16	.	.	SENT	.	_	--	15

1	Allerhand	Allerhand	PIAT	allerhand	*|*|*	NK	2
2	Nachrichten	Nachrichten	NN	Nachricht	nom|pl|fem	--	0
3	:	:	SENT	:	_	--	2

1	Von	Von	APPR	von	_	SBP	7
2	dem	dem	ART	d	dat|sg|neut	NK	3
3	Clevischen	Clevischen	NN	Clevischen	dat|sg|neut	NK	1
4	Lotterie-Directorio	Lotterie-Directorio	NE	Lotterie-Directorio	nom|sg|*	NK	3
5	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
6	Nachricht	Nachricht	NN	Nachricht	nom|sg|fem	SB	5
7	eingelanget	eingelangt	VVPP	eingelangt	_	PD	5
8	,	,	$,	,	_	--	7
9	daß	daß	KOUS	daß	_	CP	30
10	die	die	ART	d	nom|sg|fem	NK	11
11	Ziehung	Ziehung	NN	Ziehung	nom|sg|fem	SB	30
12	der	der	ART	d	gen|sg|fem	NK	14
13	ersten	ersten	ADJA	erst	gen|sg|fem|pos	NK	14
14	Classe	Klasse	NN	Klasse	gen|sg|fem	AG	11
15	wegen	wegen	APPR	wegen	_	MO	29
16	verschiedenen	verschiedenen	ADJA	verschieden	dat|pl|fem|pos	NK	18
17	vorgefallenen	vorgefallenen	ADJA	vorgefallenen	dat|pl|masc|pos	NK	18
18	Umstaͤnden	Umständen	NN	Umstand	dat|pl|masc	NK	15
19	und	und	KON	und	_	CD	18
20	Hinternissen	Hindernissen	NN	Hindernis	dat|pl|neut	CJ	19
21	,	,	$,	,	_	--	20
22	ihren	ihren	PPOSAT	ihr	acc|sg|masc	NK	23
23	Fortgang	Fortgang	NN	Fortgang	acc|sg|masc	OA	29
24	auf	auf	APPR	auf	_	MNR	23
25	den	den	ART	d	acc|sg|masc	NK	27
26	8.	8.	CARD	@ord@	acc|sg|masc|pos	NK	27
27	Sept.	Septembris	NN	September	acc|sg|masc	NK	24
28	nicht	nicht	PTKNEG	nicht	_	NG	30
29	haben	haben	VAINF	haben	_	OC	30
30	koͤnnen	können	VMFIN	können	pl|3|pres|ind	OC	6
31	,	,	$,	,	_	--	30
32	sondern	sondern	KON	sondern	_	CD	30
33	weiter	weiter	ADV	weit	_	MO	41
34	hinaus	hinaus	ADV	hinaus	_	SB	52
35	bis	bis	APPR	bis	_	MO	41
36	Montags	Montags	NE	Montags	gen|sg|masc	NK	35
37	den	den	ART	d	acc|sg|masc	NK	39
38	8.	8.	CARD	@ord@	acc|sg|masc|pos	NK	39
39	Decembr.	Decembris	NN	Dezember	acc|sg|masc	OA	41
40	naͤchstkuͤnftig	nächstkünftig	ADJD	nächstkünftig	pos	MO	41
41	verschoben	verschoben	VVPP	verschieben	_	OC	42
42	werden	werden	VAINF	werden	_	OC	43
43	muͤssen	müssen	VMFIN	müssen	pl|3|pres|ind	CJ	32
44	;	;	SENT	;	_	--	43
45	welches	welches	PRELS	welch	acc|sg|neut	OA	51
46	hiermit	hiermit	PAV	hiermit	_	MO	51
47	denen	denen	ART	d	dat|pl|fem	AG	48
48	Herren	Herren	NN	Herr	nom|pl|masc	SB	50
49	Jnteressenten	Interessenten	NN	Interessent	nom|pl|masc	NK	48
50	kund	kund	PTKVZ	kund	pl|3|pres|ind	RE	46
51	gethan	getan	VVPP	tun	_	OC	52
52	wird	wird	VAFIN	werden	sg|3|pres|ind	OC	43
53	,	,	$,	,	_	--	52
54	auch	auch	ADV	auch	_	MO	78
55	daß	daß	KOUS	daß	_	CP	78
56	noch	noch	ADV	noch	_	MO	57
57	bis	bis	APPR	bis	_	MO	78
58	Montags	Montags	NE	Montags	gen|sg|masc	AG	61
59	den	den	ART	d	acc|sg|masc	NK	61
60	24.	24.	CARD	@ord@	acc|sg|masc|pos	NK	61
61	Novembr.	Novembris	NN	November	acc|sg|masc	NK	57
62	einige	einige	PIAT	einig	acc|pl|neut	NK	64
63	unvergebene	unvergebene	ADJA	unvergebene	acc|sg|neut|pos	NK	64
64	Loose	Lose	NN	Lose	acc|sg|neut	SB	78
65	oder	oder	KON	oder	_	CD	64
66	Billets	Billetts	NN	Billetts	gen|sg|*	CJ	65
67	,	,	$,	,	_	--	66
68	mit	mit	APPR	mit	_	MO	77
69	schon	schon	ADV	schon	_	MO	70
70	gemachten	gemachten	ADJA	gemacht	dat|pl|fem|pos	NK	71
71	Devisen	Devisen	NN	Devise	dat|pl|fem	NK	68
72	im	im	APPRART	im	dat|sg|neut	MNR	71
73	Bericht-Haus	Bericht-Haus	NN	Bericht-Haus	dat|sg|neut	NK	72
74	in	in	APPR	in	_	MNR	73
75	Basel	Basel	NE	Basel	dat|sg|neut	NK	74
76	zu	zu	PTKZU	zu	_	PM	77
77	haben	haben	VVINF	haben	_	OC	78
78	seyen	seien	VAFIN	sein	pl|3|pres|subj	MO	51
79	.	.	SENT	.	_	--	78

1	Verganth-	Verganth-	NN	Verganth-	_	CJ	2
2	und	und	KON	und	_	CD	3
3	Auskuͤndungen	Auskündungen	NN	Auskündungen	acc|pl|fem	--	0
4	.	.	SENT	.	_	--	3

1	Wer	Wer	PWS	wer	nom|sg|masc	SB	29
2	an	an	APPR	an	_	MO	28
3	Hanß	Hans	NE	Hans	nom|sg|masc	PNC	5
4	Ulrich	Ulrich	NE	Ulrich	nom|sg|masc	PNC	5
5	Hurth	Huard	NE	Huard	nom|sg|masc	NK	2
6	von	von	APPR	von	_	MNR	5
7	Wallbach	Wallbach	NE	Wallbach	dat|sg|neut	NK	6
8	,	,	$,	,	_	--	7
9	Johannes	Johannes	NE	Johannes	nom|sg|masc	PNC	10
10	Baͤumlin	Bäumlin	NN	Bäumlin	nom|sg|masc	CJ	5
11	,	,	$,	,	_	--	10
12	den	den	ART	d	acc|sg|masc	NK	13
13	Maurer	Maurer	NE	Maurer	acc|sg|masc	APP	10
14	von	von	APPR	von	_	PG	13
15	Offlingen	Offlingen	ADJA	Offlingen	dat|sg|neut	NK	14
16	,	,	$,	,	_	--	15
17	auch	auch	ADV	auch	_	MO	19
18	Antoni	Antoni	NE	Antoni	nom|sg|masc	PNC	19
19	Amman	Amman	NE	Amman	acc|sg|masc	CJ	10
20	,	,	$,	,	_	--	19
21	den	den	ART	d	acc|sg|masc	NK	22
22	Metzger	Metzger	NN	Metzger	acc|sg|masc	APP	19
23	von	von	APPR	von	_	PG	22
24	Schwerstadt	Schwerstadt	NN	Schwerstadt	dat|sg|fem	NK	23
25	,	,	$,	,	_	--	24
26	etwas	etwas	ADV	etwas	_	OA	28
27	zu	zu	PTKZU	zu	_	PM	28
28	fordern	fordern	VVINF	fordern	_	OC	29
29	hat	hat	VAFIN	haben	sg|3|pres|ind	SB	31
30	,	,	$,	,	_	--	29
31	solle	solle	VMFIN	sollen	sg|3|pres|subj	--	0
32	solches	solches	PIS	solch	nom|sg|neut	SB	31
33	den	den	ART	d	acc|sg|masc	NK	34
34	15.	15.	CARD	@ord@	acc|sg|masc|pos	OA	41
35	dieses	dieses	PDS	dies	gen|sg|neut	NK	40
36	bey	bei	APPR	bei	_	MO	41
37	dem	dem	ART	d	dat|sg|neut	NK	38
38	Amt	Amt	NN	Amt	dat|sg|neut	NK	36
39	zu	zu	APPR	zu	_	MNR	38
40	Schwerstadt	Schwerstadt	NN	Schwerstadt	dat|sg|fem	NK	39
41	eingeben	eingeben	VVINF	eingeben	_	OC	58
42	,	,	$,	,	_	--	41
43	und	und	KON	und	_	CD	41
44	seine	seine	PPOSAT	sein	acc|sg|fem	NK	45
45	Forderung	Forderung	NN	Forderung	acc|sg|fem	OA	46
46	liquidiren	liquidieren	VVINF	liquidieren	_	CJ	43
47	,	,	$,	,	_	--	46
48	alsdann	alsdann	ADV	alsdann	_	MO	51
49	der	der	ART	d	dat|sg|fem	NK	50
50	Verweisung	Verweisung	NN	Verweisung	dat|sg|fem	DA	51
51	gewaͤrtigen	gewärtigen	VVINF	gewärtigen	_	MO	46
52	,	,	$,	,	_	--	51
53	oder	oder	KON	oder	_	CD	41
54	nachhero	nachher	ADV	nachher	_	MO	57
55	nicht	nicht	PTKNEG	nicht	_	NG	57
56	mehr	mehr	ADV	mehr	_	MO	55
57	angehoͤret	angehöret	VVPP	angehöret	_	CJ	53
58	werden	werden	VAINF	werden	_	OC	31
59	.	.	SENT	.	_	--	58

1	Wer	Wer	PWS	wer	nom|sg|masc	SB	21
2	an	an	APPR	an	_	MO	20
3	Caspar	Caspar	NE	Caspar	nom|sg|masc	PNC	4
4	Kornkauff	Kornkauff	NN	Kornkauff	acc|sg|masc	NK	2
