

1	USUS	USUS	FM	usus	nom|sg|*	SB	3
3	/	/	$,	/	_	--	2
4	so	so	ADV	so	_	MO	5
5	sey	sei	VAFIN	sein	sg|3|pres|subj	--	0
6	er	er	PPER	er	nom|sg|masc|3	SB	5
7	sorgfaͤltig	sorgfältig	ADJD	sorgfältig	pos	PD	5
8	.	.	SENT	.	_	--	7

1	Massen	Massen	KOUS	maßen	nom|pl|fem	--	0
2	ein	ein	ART	ein	nom|sg|masc	NK	3
3	Regente	Regente	NN	Regente	nom|sg|neut	SB	9
4	immer	immer	ADV	immer	_	MO	8
5	und	und	KON	und	_	CD	4
6	allenthalben	allenthalben	ADV	allenthalb	_	CJ	5
7	zu	zu	PTKZU	zu	_	PM	8
8	sorgen	sorgen	VVINF	sorgen	_	OC	9
9	hat	hat	VAFIN	haben	sg|3|pres|ind	RC	1
10	.	.	SENT	.	_	--	9

1	Er	Er	PPER	Er	nom|sg|masc|3	SB	2
2	muß	muß	VMFIN	müssen	sg|3|pres|ind	--	0
3	sorgen	sorgen	VVINF	sorgen	_	OC	2
4	/	/	$,	/	_	--	3
5	daß	daß	KOUS	daß	_	CP	23
6	die	die	ART	d	nom|sg|fem	NK	8
7	hohe	hohe	ADJA	hoch	nom|sg|fem|pos	NK	8
8	Majestaͤt/	Majestät	NN	Majestät	nom|sg|fem	SB	23
9	welche	welche	PRELS	welch	nom|sg|fem	NK	11
10	ihm	ihm	PPER	er	dat|sg|masc|3	DA	12
11	GOtt	Gott	NE	Gott	acc|sg|masc	OA	12
12	verliehen	verliehen	VVPP	verleihen	_	CJ	3
13	/	/	$,	/	_	--	12
14	und	und	KON	und	_	CD	12
15	was	was	PWS	was	nom|sg|neut	NK	16
16	Goͤttliches	Göttliches	NN	Göttliches	nom|sg|neut	SB	17
17	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	14
18	/	/	$,	/	_	--	17
19	heilig	heilig	ADJD	heilig	pos	MO	22
20	und	und	KON	und	_	CD	19
21	unverletzt	unverletzt	ADJD	unverletzt	pos	CJ	20
22	erhalten	erhalten	VVPP	erhalten	_	OC	23
23	werde	werde	VAFIN	werden	sg|3|pres|subj	OC	3
24	/	/	$,	/	_	--	23
25	damit	damit	KOUS	damit	_	CP	32
26	er	er	PPER	er	nom|sg|masc|3	SB	32
27	nicht	nicht	PTKNEG	nicht	_	NG	32
28	bey	bei	APPR	bei	_	MO	32
29	GOTT	Gott	NE	Gott	dat|sg|masc	NK	28
30	in	in	APPR	in	_	MO	32
31	Verantwortung	Verantwortung	NN	Verantwortung	dat|sg|fem	NK	30
32	falle	falle	VVFIN	fallen	sg|3|pres|subj	MO	22
33	;	;	SENT	;	_	--	32

1	daß	daß	KOUS	daß	_	CP	21
2	die	die	ART	d	nom|sg|fem	NK	3
3	Kirche	Kirche	NN	Kirche	nom|sg|fem	SB	21
4	GOttes	Gottes	NE	Gott	gen|sg|masc	AG	3
5	auf	auf	APPR	auf	_	MNR	3
6	dem	dem	ART	d	dat|sg|masc	NK	7
7	Grunde	Grunde	NN	Grund	dat|sg|masc	NK	5
8	der	der	ART	d	gen|sg|fem	NK	9
9	Warheit	Wahrheit	NN	Wahrheit	gen|sg|fem	AG	7
10	feste	feste	ADJD	fest	nom|sg|neut|sup	--	0
11	und	und	KON	und	_	CD	10
12	sicher	sicher	ADJD	sicher	pos	MO	21
13	/	/	$,	/	_	--	12
14	wider	wider	APPR	wider	_	MO	21
15	die	die	ART	d	acc|pl|masc	NK	17
16	gewaltigen	gewaltigen	ADJA	gewaltig	acc|pl|masc|pos	NK	17
17	Anlaͤuffe	Anläufe	NN	Anlauf	acc|pl|masc	NK	14
18	des	des	ART	d	gen|sg|masc	NK	20
19	leidigen	leidigen	ADJA	leidigen	gen|sg|masc|pos	NK	20
20	Satans	Satans	NN	Satan	gen|sg|masc	AG	17
21	bestehe	bestehe	VVFIN	bestehen	sg|3|pres|subj	CJ	11
22	;	;	SENT	;	_	--	21

1	daß	daß	KOUS	daß	_	CP	7
2	Friede	Friede	NN	Friede	nom|sg|masc	SB	7
3	und	und	KON	und	_	CD	2
4	Ruhe	Ruhe	NN	Ruhe	nom|sg|fem	CJ	3
5	im	im	APPRART	im	dat|sg|neut	MO	7
6	Lande	Lande	NN	Land	dat|sg|neut	NK	5
7	bleibe	bleibe	VVFIN	bleiben	sg|3|pres|subj	--	0
8	;	;	SENT	;	_	--	7

1	daß	daß	KOUS	daß	_	CP	7
2	Recht	Recht	NN	Recht	nom|sg|neut	SB	7
3	und	und	KON	und	_	CD	2
4	Gerechtigkeit	Gerechtigkeit	NN	Gerechtigkeit	nom|sg|fem	CJ	3
5	im	im	APPRART	im	dat|sg|masc	MO	7
6	Schwange	Schwange	NN	Schwange	dat|sg|masc	NK	5
7	gehe	gehe	VVFIN	gehen	sg|3|pres|subj	--	0
8	;	;	SENT	;	_	--	7

1	daß	daß	KOUS	daß	_	CP	7
2	nicht	nicht	PTKNEG	nicht	_	NG	7
3	etwa	etwa	ADV	etwa	_	MO	7
4	eine	eine	ART	ein	nom|sg|fem	NK	6
5	boͤse	böse	ADJA	bös	nom|sg|fem|pos	NK	6
6	Wurtzel	Wurzel	NN	Wurzel	nom|sg|fem	SB	7
7	auffwachse	aufwachse	VVFIN	aufwachse	sg|3|pres|subj	--	0
8	/	/	$,	/	_	--	7
9	und	und	KON	und	_	CD	7
10	schaͤdliche	schädliche	ADJA	schädlich	acc|pl|fem|pos	NK	11
11	Fruͤchte	Früchte	NN	Frucht	acc|pl|fem	OA	18
12	/	/	$,	/	_	--	11
13	zum	zum	APPRART	zum	dat|sg|neut	MNR	11
14	Verderben	Verderben	NN	verderben	dat|sg|neut	NK	13
15	des	des	ART	d	gen|sg|neut	NK	16
16	Landes	Landes	NN	Land	gen|sg|neut	AG	14
17	/	/	$,	/	_	--	16
18	trage	trage	VVFIN	tragen	sg|3|pres|subj	CJ	9
19	/	/	$,	/	_	--	18
20	oder	oder	KON	oder	_	CD	18
21	es	es	PPER	es	nom|sg|neut|3	EP	27
22	an	an	APPR	an	_	MO	27
23	Vorrath	Vorrat	NN	Vorrat	dat|sg|masc	NK	22
24	und	und	KON	und	_	CD	23
25	heilsamen	heilsamen	ADJA	heilsam	dat|sg|masc|pos	NK	26
26	Rath	Rat	NN	Rat	dat|sg|masc	CJ	24
27	mangele	mangele	VVFIN	mangeln	sg|3|pres|subj	CJ	20
28	.	.	SENT	.	_	--	27

1	Ja	Ja	ITJ	ja	_	DM	3
2	es	es	PPER	es	nom|sg|neut|3	SB	3
3	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
4	ein	ein	ART	ein	acc|sg|neut	NK	5
5	Regent	Regent	NN	Regent	acc|sg|neut	OA	7
6	zu	zu	PTKZU	zu	_	PM	7
7	sorgen	sorgen	VVINF	sorgen	_	OC	3
8	/	/	$,	/	_	--	7
9	wie	wie	KOUS	wie	_	MO	33
10	er	er	PPER	er	nom|sg|masc|3	SB	33
11	ein	ein	ART	ein	acc|sg|neut	NK	13
12	heilsames	heilsames	ADJA	heilsames	acc|sg|neut|pos	NK	13
13	Regiment	Regiment	NN	Regiment	acc|sg|neut	OA	33
14	und	und	KON	und	_	CD	13
15	bestaͤndige	beständige	ADJA	beständig	acc|sg|fem|pos	NK	16
16	Ordnung	Ordnung	NN	Ordnung	acc|sg|fem	CJ	14
17	wider	wider	APPR	wider	_	MO	33
18	alle	alle	PIAT	all	acc|pl|masc	NK	19
19	Teufel	Teufel	NN	Teufel	acc|pl|neut	NK	17
20	in	in	APPR	in	_	MO	33
21	der	der	ART	d	dat|sg|fem	NK	22
22	Hoͤllen	Höllen	NN	Hölle	gen|pl|fem	NK	20
23	/	/	$,	/	_	--	22
24	die	die	PRELS	d	nom|sg|fem	SB	31
25	nach	nach	APPR	nach	_	MO	29
26	nichts	nichts	PIS	nichts	*|*|neut	NK	25
27	/	/	$,	/	_	--	26
28	als	als	KOKOM	als	_	CM	44
29	nach	nach	APPR	nach	_	MO	31
30	Zerruͤttung	Zerrüttung	NN	Zerrüttung	dat|sg|fem	NK	29
31	streben	streben	VVFIN	streben	_	RC	22
32	/	/	$,	/	_	--	31
33	behaupte	behaupte	VVFIN	behaupten	sg|3|past|ind	CJ	3
34	/	/	$,	/	_	--	33
35	und	und	KON	und	_	CD	33
36	GOttes	Gottes	NE	Gott	gen|sg|masc	AG	39
37	Schutz	Schutz	NN	Schutz	acc|sg|masc	OA	44
38	und	und	KON	und	_	CD	37
39	Gnade	Gnade	NN	Gnade	acc|sg|fem	CJ	38
40	Ihm	Ihm	PPER	Er	dat|sg|masc|3	RE	2
41	und	und	KON	und	_	CD	40
42	dem	dem	ART	d	dat|sg|neut	NK	43
43	Lande	Lande	NN	Land	dat|sg|neut	CJ	41
44	erhalte	erhalte	VVFIN	erhalten	sg|3|pres|subj	CJ	35
45	.	.	SENT	.	_	--	44

1	Wenn	Wenn	KOUS	wenn	_	MO	2
2	dorten	dorten	ADV	dort	pl|3|past|ind	MO	20
3	die	die	ART	d	nom|pl|masc	NK	4
4	Baͤume	Bäume	NN	Baum	nom|pl|masc	SB	2
5	zu	zu	APPR	zu	_	MO	2
6	dem	dem	ART	d	dat|sg|masc	NK	7
7	Oelbaum	Oelbaum	NE	Oelbaum	dat|sg|masc	NK	5
8	/	/	$,	/	_	--	7
9	Feigenbaum	Feigenbaum	NN	Feigenbaum	nom|sg|neut	SB	12
10	und	und	KON	und	_	CD	9
11	Weinstock	Weinstock	NN	Weinstock	nom|sg|neut	CJ	10
12	kamen	kamen	VVFIN	kommen	pl|3|past|ind	CJ	2
13	/	/	$,	/	_	--	12
14	und	und	KON	und	_	CD	12
15	diesen	diesen	PDS	dies	dat|pl|fem	DA	18
16	das	das	ART	d	acc|sg|neut	NK	17
17	Regiment	Regiment	NN	Regiment	acc|sg|neut	OA	18
18	aufftrugen	auftrugen	VVFIN	auftrugen	pl|3|past|ind	CJ	14
19	/	/	$,	/	_	--	18
20	bekamen	bekamen	VVFIN	bekommen	pl|3|past|ind	--	0
21	sie	sie	PPER	Sie	nom|pl|*|3	SB	20
22	eine	eine	ART	ein	acc|sg|fem	NK	24
23	abschlaͤgige	abschlägige	ADJA	abschlägige	acc|sg|fem|pos	NK	24
24	Antwort	Antwort	NN	Antwort	acc|sg|fem	OA	20
25	.	.	SENT	.	_	--	24

1	Des	Des	ART	d	gen|sg|*	NK	2
2	ersten	ersten	ADJA	erst	dat|pl|*	PD	3
3	war	war	VAFIN	sein	sg|3|past|ind	--	0
4	:	:	SENT	:	_	--	3

1	Soll	Soll	VMFIN	sollen	sg|1|pres|ind	--	0
2	ich	ich	PPER	ich	nom|sg|*|1	SB	1
3	meine	meine	PPOSAT	mein	acc|sg|fem	NK	4
4	Fettigkeit	Fettigkeit	NN	Fettigkeit	acc|sg|fem	OA	5
5	lassen	lassen	VVINF	lassen	_	OC	1
6	/	/	$,	/	_	--	5
7	die	die	PRELS	d	nom|sg|fem	NK	9
8	beyde	beide	PIS	beide	nom|pl|*	NK	9
9	GOtt	Gott	NE	Gott	acc|sg|masc	OA	14
10	und	und	KON	und	_	CD	9
11	Menschen	Menschen	NN	Mensch	nom|pl|masc	CJ	10
12	an	an	APPR	an	_	MO	14
13	mir	mir	PPER	ich	dat|sg|*|1	NK	12
14	preisen	preisen	VVINF	preis	_	CJ	5
15	/	/	$,	/	_	--	14
16	und	und	KON	und	_	CD	14
17	hingehen	hingehen	VVINF	hingehen	_	CJ	16
18	/	/	$,	/	_	--	17
19	daß	daß	KOUS	daß	_	CP	21
20	ich	ich	PPER	ich	nom|sg|*|1	SB	21
21	schwebe	schwebe	VVFIN	schwebe	sg|1|pres|ind	OC	4
22	uͤber	über	APPR	über	_	OP	21
23	die	die	ART	d	acc|pl|masc	NK	24
24	Baͤume	Bäume	NN	Baum	acc|pl|masc	NK	22
25	?	?	SENT	?	_	--	24

1	Des	Des	ART	d	gen|sg|*	NK	2
2	andern	anderen	PIS	ander	nom|pl|*	--	0
3	:	:	SENT	:	_	--	2

1	Soll	Soll	VMFIN	sollen	sg|1|pres|ind	--	0
2	ich	ich	PPER	ich	nom|sg|*|1	SB	1
3	meine	meine	PPOSAT	mein	acc|sg|fem	NK	4
4	Suͤßigkeit	Süßigkeit	NN	Süßigkeit	acc|sg|fem	OA	8
5	und	und	KON	und	_	CD	4
6	gute	gute	ADJA	gut	acc|sg|fem|pos	NK	7
7	Frucht	Frucht	NN	Frucht	acc|sg|fem	CJ	5
8	lassen	lassen	VVINF	lassen	_	OC	1
9	/	/	$,	/	_	--	8
10	und	und	KON	und	_	CD	8
11	hingehen	hingehen	VVINF	hingehen	_	CJ	10
12	/	/	$,	/	_	--	11
13	daß	daß	KOUS	daß	_	CP	18
14	ich	ich	PPER	ich	nom|sg|*|1	SB	18
15	uͤber	über	APPR	über	_	MO	18
16	den	den	ART	d	acc|sg|masc	NK	17
17	Baͤumen	Bäumen	NN	Baum	dat|pl|masc	NK	15
18	schwebe	schwebe	VVFIN	schwebe	sg|3|pres|subj	OC	11
19	?	?	SENT	?	_	--	18

1	Des	Des	ART	d	gen|sg|neut	NK	2
2	dritten	dritten	ADJA	dritt	gen|sg|neut|pos	--	0
3	:	:	SENT	:	_	--	2

1	Soll	Soll	VMFIN	sollen	sg|1|pres|ind	--	0
2	ich	ich	PPER	ich	nom|sg|*|1	SB	1
3	meinen	meinen	PPOSAT	mein	acc|sg|masc	NK	4
4	Kost	Kost	NN	Kost	acc|sg|masc	OA	5
5	lassen	lassen	VVINF	lassen	_	OC	1
6	/	/	$,	/	_	--	5
7	der	der	ART	d	gen|pl|masc	NK	8
8	Goͤtter	Götter	NN	Gott	gen|pl|masc	APP	4
9	und	und	KON	und	_	CD	8
10	Menschen	Menschen	NN	Mensch	gen|pl|masc	CJ	9
11	froͤlich	fröhlich	ADJD	fröhlich	pos	MO	12
12	macht	macht	VVFIN	machen	sg|3|pres|ind	MNR	8
13	/	/	$,	/	_	--	12
14	und	und	KON	und	_	CD	5
15	hingehen	hingehen	VVINF	hingehen	_	CJ	14
16	/	/	$,	/	_	--	15
17	daß	daß	KOUS	daß	_	CP	22
18	ich	ich	PPER	ich	nom|sg|*|1	SB	22
19	uͤber	über	APPR	über	_	MO	22
20	den	den	ART	d	acc|sg|masc	NK	21
21	Baͤumen	Bäumen	NN	Baum	dat|pl|masc	NK	19
22	schwebe	schwebe	VVFIN	schwebe	sg|3|pres|subj	OC	15
23	?	?	SENT	?	_	--	22

1	Aus	Aus	APPR	aus	_	MO	6
2	welcher	welcher	PWAT	welch	dat|sg|fem	NK	3
3	Antwort	Antwort	NN	Antwort	dat|sg|fem	NK	1
4	man	man	PIS	man	nom|sg|*	SB	6
5	abnehmen	abnehmen	VVINF	abnehmen	_	OC	6
6	muß	muß	VMFIN	müssen	sg|3|pres|ind	RE	49
7	/	/	$,	/	_	--	6
8	Regieren	Regieren	VVINF	regieren	nom|sg|neut	SB	9
9	sey	sei	VAFIN	sein	sg|3|pres|subj	OC	5
10	/	/	$,	/	_	--	9
11	in	in	APPR	in	_	MO	14
12	lauter	lauter	PIAT	lauter	*|*|*	NK	13
13	Unruhe	Unruhe	NN	Unruhe	dat|sg|fem	NK	11
14	leben	leben	VVINF	leben	pl|3|pres|ind	OC	6
15	/	/	$,	/	_	--	14
16	und	und	KON	und	_	CD	14
17	wie	wie	KOUS	wie	_	MO	24
18	die	die	ART	d	acc|pl|fem	NK	19
19	Wolcken	Wolken	NN	Wolke	acc|pl|fem	SB	24
20	/	/	$,	/	_	--	19
21	welche	welche	PRELS	welch	acc|pl|fem	SB	24
22	den	den	ART	d	acc|sg|masc	NK	23
23	Erdboden	Erdboden	NN	Erdboden	acc|sg|masc	OA	24
24	bedecken	bedecken	VVFIN	bedecken	_	CJ	16
25	/	/	$,	/	_	--	24
26	und	und	KON	und	_	CD	24
27	zwischen	zwischen	APPR	zwischen	_	MO	31
28	Himmel	Himmel	NN	Himmel	dat|sg|masc	NK	27
29	und	und	KON	und	_	CD	28
30	Erden	Erden	NN	Erde	dat|sg|fem	CJ	29
31	schweben	schweben	VVINF	schweben	_	CJ	26
32	/	/	$,	/	_	--	31
33	von	von	APPR	von	_	SBP	46
34	den	den	ART	d	dat|pl|fem	NK	35
35	Winden	Winden	NN	Winden	dat|pl|fem	NK	33
36	hie	hie	ADV	hie	_	MO	46
37	und	und	KON	und	_	CD	36
38	da	da	ADV	da	_	CJ	37
39	/	/	$,	/	_	--	38
40	aus	aus	APPR	aus	_	MO	46
41	einem	einem	ART	ein	dat|sg|masc	NK	42
42	Ort	Ort	NN	Ort	dat|sg|masc	NK	40
43	in	in	APPR	in	_	MO	46
44	den	den	ART	d	dat|pl|neut	NK	45
45	andern	anderen	PIS	ander	dat|pl|neut|pos	NK	43
46	getrieben	getrieben	VVPP	treiben	_	OC	47
47	werden	werden	VAINF	werden	_	OC	31
48	/	/	$,	/	_	--	47
49	so	so	ADV	so	_	MO	50
50	haben	haben	VAFIN	haben	pl|3|pres|ind	--	0
51	auch	auch	ADV	auch	_	MO	52
52	Regenten	Regenten	NN	Regent	nom|pl|masc	SB	50
53	keine	keine	PIAT	kein	acc|sg|fem	NK	54
54	Ruhe	Ruhe	NN	Ruhe	acc|sg|fem	OA	50
55	:	:	SENT	:	_	--	54

1	muͤssen	müssen	VMFIN	müssen	pl|3|pres|ind	--	0
2	allenthalben	allenthalben	ADV	allenthalb	_	MO	1
3	seyn	sein	VAINF	sein	_	OC	1
4	/	/	$,	/	_	--	3
5	und	und	KON	und	_	CD	1
6	die	die	ART	d	acc|pl|fem	NK	7
7	Regiments-Sorgen	Regiments-Sorgen	NN	Regiments-Sorgen	acc|pl|fem	OA	8
8	treiben	treiben	VVINF	treiben	pl|3|pres|ind	CJ	5
9	sie	sie	PPER	Sie	nom|pl|*|3	SB	8
10	/	/	$,	/	_	--	9
11	oder	oder	KON	oder	_	CD	9
12	aufs	aufs	PTKA	aufs	acc|sg|neut	CJ	11
13	wenigste	wenigste	NA	wenigst	acc|sg|neut	NK	12
14	ihre	ihre	PPOSAT	ihr	acc|pl|fem	NK	15
15	Gedancken	Gedanken	NN	Gedanke	acc|pl|masc	OA	8
16	von	von	APPR	von	_	MO	8
17	einem	einem	ART	ein	dat|sg|masc	NK	18
18	Orte	Orte	NN	Ort	dat|sg|masc	NK	16
19	zum	zum	APPRART	zum	dat|sg|neut	MO	12
20	andern	anderen	ADJA	ander	dat|sg|neut	NK	19
21	/	/	$,	/	_	--	20
22	daß	daß	KOUS	daß	_	CP	36
23	alles	alles	PIS	all	nom|sg|neut	SB	36
24	mit	mit	APPR	mit	_	MO	35
25	Ihrem	Ihrem	PPOSAT	Ihr	dat|sg|masc	NK	26
26	Schutz	Schutz	NN	Schutz	dat|sg|masc	NK	24
27	bedecket	bedecket	VVPP	bedecken	pos	MO	35
28	/	/	$,	/	_	--	27
29	und	und	KON	und	_	CD	27
30	mit	mit	APPR	mit	_	CJ	29
31	Ihrer	Ihrer	PPOSAT	Ihr	dat|sg|fem	NK	32
32	Krafft	Krafft	NN	Kraft	dat|sg|fem	NK	30
33	und	und	KON	und	_	CD	32
34	Rath	Rat	NN	Rat	dat|sg|masc	CJ	33
35	gestaͤrcket	gestärkt	VVPP	stärken	_	OC	36
36	werde	werde	VAFIN	werden	sg|3|pres|subj	OC	8
37	.	.	SENT	.	_	--	36

1	Ebenfalls	Ebenfalls	ADV	ebenfalls	_	MO	2
2	bestaͤrcket	bestärket	VVFIN	bestärket	sg|3|pres|ind	--	0
3	auch	auch	ADV	auch	_	MO	5
4	diese	diese	PDAT	dies	acc|sg|fem	NK	5
5	Antwort	Antwort	NN	Antwort	acc|sg|fem	SB	2
6	der	der	ART	d	gen|pl|masc	NK	7
7	Baͤume	Bäume	NN	Baum	gen|pl|masc	AG	5
8	/	/	$,	/	_	--	7
9	daß	daß	KOUS	daß	_	CP	12
10	der	der	ART	d	nom|sg|masc	NK	12
11	loͤbliche	löbliche	ADJA	löbliche	nom|sg|masc|pos	NK	12
12	Hertzog	Herzog	NN	Hertzog	nom|sg|masc	APP	5
13	Ernestus	Ernestus	NE	Ernestus	nom|sg|masc	NK	12
14	zu	zu	APPR	zu	_	MNR	12
15	Luͤneburg	Lüneburg	NE	Lüneburg	dat|sg|neut	NK	14
16	/	/	$,	/	_	--	15
17	welcher	welcher	PRELS	welch	dat|sg|fem	PAR	19
18	die	die	ART	d	nom|pl|fem	NK	19
19	Regenten	Regenten	NN	Regent	nom|pl|masc	CJ	15
20	durch	durch	APPR	durch	_	MNR	19
21	ein	ein	ART	ein	acc|sg|neut	NK	23
22	brennendes	brennendes	ADJA	brennendes	acc|sg|neut|pos	NK	23
23	Licht	Licht	NN	Licht	acc|sg|neut	NK	20
24	/	/	$,	/	_	--	23
25	mit	mit	APPR	mit	_	MNR	23
26	der	der	ART	d	dat|sg|fem	NK	27
27	Uberschrifft	Überschrift	NN	Überschrift	dat|sg|fem	NK	25
28	:	:	SENT	:	_	--	27

1	Aliis	Aliis	NE	Aliis	_	PNC	2
2	inservio	inservio	NE	inservio	_	--	0
3	,	,	$,	,	_	--	2
4	me	me	FM	--	_	--	0
5	ipsam	ipsam	PIAT	ipsam	_	PNC	6
6	contero	contero	FM	contero	_	MO	9
7	,	,	$,	,	_	--	6
8	ich	ich	PPER	ich	nom|sg|*|1	SB	9
9	diene	diene	VVFIN	dienen	nom|pl|*	--	0
10	andern	anderen	PIS	ander	acc|sg|masc	OA	9
11	/	/	$,	/	_	--	10
12	und	und	KON	und	_	CD	9
13	verzehre	verzehre	VVFIN	verzehre	sg|1|pres|ind	CJ	12
14	mich	mich	PPER	ich	acc|sg|*|1	OA	13
15	selbst	selbst	PRF	selbst	_	MO	13
16	/	/	$,	/	_	--	15
17	abgebildet	abgebildet	VVPP	abbilden	_	MO	13
18	/	/	$,	/	_	--	17
19	das	das	ART	d	acc|sg|neut	NK	20
20	Original	Original	NN	Original	acc|sg|neut	OA	23
21	aufs	aufs	PTKA	aufs	acc|sg|neut	MO	23
22	perfecteste	perfekteste	ADJA	perfekteste	acc|sg|neut|sup	NK	21
23	getroffen	getroffen	VVPP	treffen	_	PAR	17
24	.	.	SENT	.	_	--	23

1	Von	Von	APPR	von	_	MO	14
2	dem	dem	ART	d	dat|sg|neut	NK	3
3	Demosthene	Demosthene	ADJA	Demosthene	dat|sg|neut	NK	1
4	,	,	$,	,	_	--	3
5	welcher	welcher	PRELS	welch	nom|sg|masc	SB	12
6	zu	zu	APPR	zu	_	MO	9
7	Athen	Athen	NE	Athen	dat|sg|neut	NK	6
8	viel	viel	PIAT	viel	*|*|*	NK	9
9	Jahre	Jahre	NN	Jahr	acc|sg|neut	MO	12
10	am	am	APPRART	am	dat|sg|neut	MO	12
11	Regiment	Regiment	NN	Regiment	dat|sg|neut	NK	10
12	gesessen	gesessen	VVPP	sitzen	_	RC	3
13	/	/	$,	/	_	--	12
14	meldet	meldet	VVFIN	melden	sg|3|pres|ind	--	0
15	Stobæus	Stobaeus	NE	Stobaeus	nom|sg|masc	PNC	19
16	Serm.	Serm.	NE	Serm.	nom|sg|masc	PNC	19
17	43.	43.	CARD	@ord@	_	PNC	19
18	de	de	NE	de	*|*|*	PNC	19
19	Potentib	Potentib	NE	Potentib	nom|sg|masc	SB	14
20	.	.	SENT	.	_	--	19
21	in	in	APPR	in	_	MO	14
22	Civitate	Civitate	NE	Civitate	dat|sg|neut	NK	21
23	.	.	SENT	.	_	--	22
24	,	,	$,	,	_	--	23
25	daß	daß	KOUS	daß	_	CP	29
26	er	er	PPER	er	nom|sg|masc|3	SB	29
27	sich	sich	PRF	er|es|sie	acc|sg|3	OA	28
28	verlauten	verlauten	VVINF	verlauten	_	OC	29
29	lassen	lassen	VVINF	lassen	_	OC	14
30	:	:	SENT	:	_	--	29

1	Wenn	Wenn	KOUS	wenn	_	CP	32
2	einem	einem	ART	ein	dat|sg|masc	NK	4
3	klugen	klugen	ADJA	klug	dat|sg|neut|pos	NK	4
4	Manne	Manne	NN	Mann	dat|sg|masc	DA	32
5	/	/	$,	/	_	--	4
6	der	der	PRELS	d	gen|pl|masc	NK	13
7	ausser	außer	APPR	außer	_	MO	10
8	dem	dem	ART	d	dat|sg|neut	NK	9
9	Regiment	Regiment	NN	Regiment	dat|sg|neut	NK	7
10	waͤre	wäre	VAFIN	sein	sg|3|past|subj	NK	13
11	/	/	$,	/	_	--	10
12	zwey	zwei	CARD	zwei	_	NK	13
13	Wege	Wege	NN	Weg	nom|pl|masc	AG	4
14	/	/	$,	/	_	--	13
15	der	der	PRELS	d	gen|pl|fem	NK	16
16	einen	einen	ART	ein	acc|sg|masc	AG	4
17	zum	zum	APPRART	zum	dat|sg|masc	MO	32
18	Tode	Tode	NN	Tod	dat|sg|masc	NK	17
19	ins	ins	APPRART	ins	acc|sg|neut	MO	32
20	Grab	Grab	NN	Grab	acc|sg|neut	NK	19
21	/	/	$,	/	_	--	20
22	der	der	PRELS	d	gen|pl|masc	NK	23
23	ander	ander	PIS	ander	_	AG	20
24	zu	zu	APPR	zu	_	MNR	20
25	der	der	ART	d	dat|sg|fem	NK	27
26	hoͤchsten	höchsten	ADJA	hoch	dat|sg|fem|sup	NK	27
