

1	Hoert	Hört	VVIMP	hören	pl|2|imp	--	0
19	mir	mir	PPER	ich	dat|sg|*|1	DA	18
20	besser	besser	ADJD	gut	comp	MO	18
21	an	an	PTKVZ	an	_	SVP	18
22	/	/	$,	/	_	--	21
23	Wann	Wann	KOUS	wann	sg|1|pres|ind	MO	31
24	ich	ich	PPER	ich	nom|sg|masc|1	SB	31
25	beym	beim	APPRART	beim	dat|sg|neut	MO	31
26	guten	guten	ADJA	gut	dat|sg|masc|pos	NK	27
27	Wein	Wein	NN	Wein	dat|sg|masc	NK	25
28	ein	ein	ART	ein	acc|sg|neut	NK	29
29	Liedlein	Liedlein	NN	Liedlein	acc|sg|neut	OA	30
30	singen	singen	VVINF	singen	_	OC	31
31	kan	kann	VMFIN	können	sg|3|pres|ind	RC	3
32	.	.	SENT	.	_	--	31

1	Liebes-Schmertzen	Liebes-Schmertzen	NN	Liebes-Schmertzen	nom|sg|neut	--	0
2	/	/	$,	/	_	--	1
3	Geschossener	Geschossener	NN	Geschossener	*|*|*|pos	NK	4
4	Hertzen	Herzen	NN	Herz	nom|sg|neut	CJ	1
5	/	/	$,	/	_	--	4
6	Ey	Ei	ITJ	Ei	nom|sg|neut	CJ	4
7	!	!	SENT	!	_	--	6

1	wie	wie	PWAV	wie	_	MO	2
2	macht	macht	VVFIN	machen	sg|3|pres|ind	--	0
3	ihr	ihr	PPER	Ihr	dat|sg|fem|3	DA	2
4	die	die	ART	d	acc|pl|*	NK	5
5	Leute	Leute	NN	Leute	acc|pl|*	OA	2
6	so	so	ADV	so	_	MO	7
7	toll	toll	ADJD	toll	pos	MO	2
8	!	!	SENT	!	_	--	7

1	Mir	Mir	PPER	ich	dat|sg|*|1	DA	2
2	gibt	gibt	VVFIN	geben	sg|3|pres|ind	--	0
3	edler	edler	ADJA	edel	dat|sg|fem|pos	NK	4
4	Safft	Saft	NN	Saft	acc|sg|masc	OA	2
5	Rheinischer	Rheinischer	ADJA	Rheinischer	nom|pl|masc	NK	4
6	Reben	Reben	NN	Reben	_	MO	2
7	Ein	Ein	ART	ein	nom|sg|masc	NK	9
8	lustiger	lustiger	ADJA	lustig	*|*|*|pos	NK	9
9	Leben	Leben	NN	Leben	nom|sg|neut	NK	6
10	/	/	$,	/	_	--	9
11	Drum	Drum	PAV	darum	_	PAR	9
12	sauff	Sauf	NE	Sauf	_	UC	11
13	’	'	$'	'	_	--	12
14	ich	ich	PPER	ich	nom|sg|*|1	SB	12
15	mich	mich	PPER	ich	acc|sg|1	OA	12
16	voll	voll	ADJD	voll	pos	MO	2
17	.	.	SENT	.	_	--	16

1	Wann	Wann	KOUS	wann	_	MO	3
2	sie	sie	PPER	Sie	nom|pl|*|3	SB	3
3	sitzen	sitzen	VVINF	sitzen	_	--	0
4	/	/	$,	/	_	--	3
5	In	In	APPR	in	_	MO	3
6	Kummer	Kummer	NN	Kummer	dat|sg|masc	NK	5
7	/	/	$,	/	_	--	6
8	und	und	KON	und	_	CD	3
9	schwitzen	schwitzen	VVFIN	schwitzen	_	CJ	8
10	/	/	$,	/	_	--	9
11	Sing	Sing	NE	Sing	_	OA	9
12	und	und	KON	und	_	CD	9
13	spring	spring	NE	spring	_	CJ	12
14	’	'	$'	'	_	--	13
15	ich	ich	PPER	ich	nom|sg|*|1	SB	17
16	eins	eins	ADV	eins	acc|sg|neut	OA	17
17	wacker	wacker	ADJD	wacker	pos	MO	13
18	herum	herum	PTKVZ	herum	_	SVP	13
19	;	;	SENT	;	_	--	18

1	Und	Und	KON	und	_	JU	10
2	wann	wann	KOUS	wann	_	MO	10
3	sie	sie	PPER	Sie	nom|pl|masc|3	SB	10
4	/	/	$,	/	_	--	3
5	wie	wie	KOKOM	wie	_	CM	7
6	Maulhaͤnckische	Maulhänckische	ADJA	Maulhänckische	nom|pl|fem|pos	NK	7
7	Affen	Affen	NN	Affe	nom|sg|masc	MO	10
8	/	/	$,	/	_	--	7
9	Da	Da	ADV	da	_	MO	10
10	stehen	stehen	VVFIN	stehen	pl|3|pres|ind	--	0
11	und	und	KON	und	_	CD	10
12	gaffen	gaffen	VVFIN	gaffen	pl|3|pres|ind	CJ	11
13	/	/	$,	/	_	--	12
14	Lach	Lach	VVPP	Lach	*|*|*	UC	12
15	’	'	$'	'	_	--	14
16	ich	ich	PPER	ich	nom|sg|*|1	SB	19
17	mich	mich	PPER	ich	acc|sg|1	OA	19
18	schier	schier	ADJD	schier	pos	MO	19
19	krumm	krumm	ADJD	krumm	pos	MO	12
20	.	.	SENT	.	_	--	19

1	Weg	Weg	ADV	weg	nom|sg|masc	PD	6
2	ihr	ihr	PPOSAT	ihr	acc|sg|neut	NK	3
3	Spatzen	Spatzen	NN	Spatz	acc|sg|neut	MO	1
4	/	/	$,	/	_	--	3
5	Es	Es	PPER	es	nom|sg|neut|3	SB	6
6	sind	sind	VAFIN	sein	pl|3|pres|ind	--	0
7	doch	doch	ADV	doch	_	MO	6
8	nur	nur	ADV	nur	_	MO	9
9	Fratzen	Fratzen	VVINF	Fratzen	nom|pl|masc	PD	6
10	/	/	$,	/	_	--	9
11	Solt	Solt	VVPP	Solt	nom|sg|*	PAR	6
12	’	'	$'	'	_	--	11
13	ich	ich	PPER	ich	nom|sg|*|1	SB	11
14	auch	auch	ADV	auch	_	MO	17
15	so	so	ADV	so	_	MO	17
16	ein	ein	ART	ein	nom|sg|neut	NK	17
17	Naͤrrichen	Närrichen	NN	Närrichen	nom|sg|neut	PD	18
18	seyn	sein	VAINF	sein	_	RE	5
19	!	!	SENT	!	_	--	18

1	Wann	Wann	KOUS	wann	_	CM	2
2	im	im	APPRART	im	dat|sg|neut	MO	5
3	Hertzen	Herzen	NN	Herz	dat|sg|neut	NK	2
4	ich	ich	PPER	ich	nom|sg|*|1	SB	5
5	fuͤhl	fühle	VVFIN	fühlen	sg|1|pres|ind	--	0
6	eine	eine	ART	ein	acc|sg|fem	NK	7
7	Wunde	Wunde	NN	Wunde	acc|sg|fem	OA	5
8	/	/	$,	/	_	--	7
9	Die	Die	ART	d	nom|sg|fem	NK	10
10	heil	heil	ADJD	heil	sg|1|pres|ind	MO	5
11	ich	ich	PPER	ich	nom|sg|*|1	SB	10
12	zur	zur	APPRART	zur	dat|sg|fem	MO	10
13	Stunde	Stunde	NN	Stunde	dat|sg|fem	NK	12
14	Mit	Mit	APPR	mit	_	MNR	13
15	Rheinischem	Rheinischem	ADJA	Rheinischem	dat|sg|masc	PNC	16
16	Wein	Wein	NN	Wein	dat|sg|masc	NK	14
17	.	.	SENT	.	_	--	16

1	Darff	darf	VMFIN	dürfen	sg|3|pres|ind	--	0
2	Cirus	Cirus	NE	Cirus	nom|sg|*	SB	1
3	dann	dann	ADV	dann	_	MO	1
4	den	den	ART	d	acc|sg|masc	NK	5
5	Frieden	Frieden	NN	Frieden	acc|sg|masc	OA	8
6	mit	mit	APPR	mit	_	MO	8
7	uns	uns	PPER	wir	dat|pl|*|1	NK	6
8	brechen	brechen	VVINF	brechen	_	OC	1
9	/	/	$,	/	_	--	8
10	Und	Und	KON	und	_	JU	11
11	ist	ist	VAFIN	sein	sg|3|pres|ind	PAR	8
12	ihm	ihm	PPER	er	dat|sg|masc|3	DA	13
13	unbekandt	unbekannt	ADJD	unbekannt	pos	PD	11
14	/	/	$,	/	_	--	13
15	Daßmeine	Daßmeine	NE	Daßmeine	nom|pl|masc	SB	8
16	nie	nie	ADV	nie	_	MO	17
17	verzagte	verzagte	ADJA	verzagte	nom|sg|neut|pos	NK	18
18	Hand	Hand	NN	Hand	nom|sg|fem	CJ	22
19	Das	Das	ART	d	nom|sg|neut	NK	20
20	Hoͤhnen	Höhnen	NN	Höhnen	nom|sg|neut	PD	18
21	/	/	$,	/	_	--	20
22	und	und	KON	und	_	CD	8
23	das	das	ART	d	nom|sg|neut	NK	24
24	Unrecht	Unrecht	NN	Unrecht	acc|sg|neut	OA	26
25	weißzu	weißzu	PAV	weißzu	_	PM	26
26	raͤchen	rächen	VVINF	rächen	_	CJ	22
27	?	?	SENT	?	_	--	26

1	Sein	Sein	PPOSAT	Sein	nom|sg|neut	NK	2
2	Volck	Volck	NN	Volk	nom|sg|masc	SB	3
3	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
4	in	in	APPR	in	_	MO	7
5	dem	dem	ART	d	dat|sg|masc	NK	6
6	Krieg	Krieg	NN	Krieg	dat|sg|masc	NK	4
7	erfahren	erfahren	VVINF	erfahren	_	OC	3
8	/	/	$,	/	_	--	7
9	Und	Und	KON	und	_	MO	10
10	mehr	mehr	ADV	mehr	*|*|*	PD	3
11	/	/	$,	/	_	--	10
12	als	als	KOKOM	als	_	CM	14
13	unsre	unsre	PPOSAT	unser	nom|pl|fem|pos	NK	14
14	Scharen	Scharen	NN	Schar	nom|pl|fem	CC	10
15	/	/	$,	/	_	--	14
16	Des	Des	ART	d	gen|sg|neut	NK	17
17	Siegens	Siegens	NN	Siegens	gen|sg|neut	AG	14
18	laͤngst	längst	ADV	längst	_	MO	19
19	gewohnt	gewohnt	ADJD	gewohnt	_	OC	3
20	.	.	SENT	.	_	--	19

1	Wir	Wir	PPER	wir	nom|pl|*|1	SB	2
2	haben	haben	VAFIN	haben	pl|1|pres|ind	--	0
3	ihrer	ihrer	PPER	sie	gen|pl|masc	NK	4
4	doch	doch	ADV	doch	_	MO	8
5	bey	bei	APPR	bei	_	MO	8
6	Babel	Babel	NE	Babel	dat|sg|*	NK	5
7	nicht	nicht	PTKNEG	nicht	_	NG	8
8	geschont	geschont	VVPP	schonen	_	OC	2
9	;	;	SENT	;	_	--	8

1	An	An	APPR	an	_	MO	5
2	Muth	Mut	NN	Mut	dat|sg|masc	NK	1
3	und	und	KON	und	_	CD	2
4	Macht	Macht	NN	Macht	acc|sg|fem	CJ	3
5	sol	sol	VMFIN	sollen	sg|3|past|ind	--	0
6	mir	mir	PPER	ich	dat|sg|*|1	DA	9
7	s	s	PPER	es	_	DA	9
8	nicht	nicht	PTKNEG	nicht	_	NG	5
9	fehlen	fehlen	VVINF	fehlen	_	OC	5
10	/	/	$,	/	_	--	9
11	Wann	Wann	KOUS	wann	_	CD	4
12	nur	nur	ADV	nur	_	MO	14
13	das	das	ART	d	acc|sg|neut	NK	14
14	Gluͤck	Glück	NN	Glück	acc|sg|neut	CJ	11
15	wil	wil	VMFIN	wollen	pl|2|pres|ind	CJ	5
16	unsre	unsre	PPOSAT	unser	acc|pl|masc|pos	NK	17
17	Seite	Seite	NN	Seite	dat|sg|fem	OA	18
18	waͤhlen	wählen	VVINF	wählen	_	OC	15
19	.	.	SENT	.	_	--	18

1	Die	Die	ART	d	nom|sg|fem	NK	2
2	Furcht	Furcht	NN	Furcht	nom|sg|fem	SB	3
3	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
4	nuͤtz	nütz	ADJD	nütz	pos	MO	11
5	im	im	APPRART	im	dat|sg|masc	MO	11
6	Kriegen	Kriegen	NN	Krieg	dat|sg|masc	NK	5
7	/	/	$,	/	_	--	6
8	Die	Die	ART	d	nom|pl|masc	OA	18
9	auff	auf	APPR	auf	_	MO	11
10	Behutsamkeit	Behutsamkeit	NN	Behutsamkeit	acc|sg|fem	NK	9
11	gebaut	gebaut	VVPP	bauen	_	PD	3
12	/	/	$,	/	_	--	11
13	Und	Und	KON	und	_	CD	3
14	sieht	sieht	VVFIN	sehen	sg|3|pres|ind	CJ	13
15	man	man	PIS	man	nom|sg|*	SB	14
16	den	den	ART	d	acc|sg|masc	NK	19
17	zum	zum	APPRART	zum	dat|sg|masc	MO	19
18	oͤfftern	öfftern	NA	Öftere	_	NK	17
19	unterliegen	unterliegen	VVINF	unterliegen	pl|3|pres|ind	OC	14
20	/	/	$,	/	_	--	19
21	Der	Der	PRELS	d	nom|sg|masc	OA	14
22	gar	gar	ADV	gar	_	MO	24
23	zu	zu	APPR	zu	_	MO	24
24	viel	viel	ADV	viel	*|*|*	MO	28
25	auff	auf	APPR	auf	_	MO	28
26	seine	seine	PPOSAT	sein	acc|sg|fem	NK	27
27	Macht	Macht	NN	Macht	acc|sg|fem	NK	25
28	vertraut	vertraut	VVFIN	vertrauen	_	MO	14
29	.	.	SENT	.	_	--	28

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	der	der	ART	d	nom|sg|masc	NK	4
4	Feind	Feind	NN	Feind	nom|sg|masc	PD	2
5	im	im	APPRART	im	dat|sg|neut	MNR	4
6	Finstern	Finstern	NN	Finstern	dat|sg|neut	NK	5
7	dieser	dieser	PDAT	dies	gen|sg|fem	NK	8
8	Nacht	Nacht	NN	Nacht	gen|sg|fem	AG	6
9	So	So	ADV	so	_	MO	12
10	nah	nah	ADJD	nah	pos	MO	12
11	heran	heran	PTKVZ	heran	_	MO	12
12	geruͤckt	gerückt	VVPP	rücken	_	OC	2
13	/	/	$,	/	_	--	12
14	Daß	Dass	KOUS	Dass	_	MO	12
15	man	man	PIS	man	nom|sg|*	SB	29
16	ihn	ihn	PPER	er	acc|sg|masc|3	OA	12
17	schon	schon	ADV	schon	_	MO	12
18	/	/	$,	/	_	--	17
19	in	in	APPR	in	_	MO	12
20	Ordnung	Ordnung	NN	Ordnung	dat|sg|fem	NK	19
21	zu	zu	APPR	zu	_	MNR	20
22	der	der	ART	d	dat|sg|fem	NK	23
23	Schlacht	Schlacht	NN	Schlacht	dat|sg|fem	NK	21
24	/	/	$,	/	_	--	23
25	Von	Von	APPR	von	_	MNR	23
26	unsers	unseres	PPOSAT	unser	gen|sg|masc	NK	28
27	Laͤgers	Laegers	NN	Laegers	gen|sg|masc	AG	28
28	Waͤllen	Wällen	NN	Wall	acc|pl|fem	NK	25
29	hat	hat	VAFIN	haben	sg|3|pres|ind	CJ	2
30	erblickt	erblickt	VVPP	erblicken	_	OC	29
31	.	.	SENT	.	_	--	30

1	Gantz	ganz	ADV	ganz	_	MO	2
2	Sardis	Sardis	NE	Sardis	nom|sg|*	SB	3
3	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
4	empoͤrt	empört	ADJD	empört	pos	PD	3
5	/	/	$,	/	_	--	4
6	Und	Und	KON	und	_	CD	3
7	merckt	merkt	VVFIN	merken	sg|3|pres|ind	CJ	6
8	man	man	PIS	man	nom|sg|*	SB	7
9	/	/	$,	/	_	--	8
10	daß	daß	KOUS	daß	_	CP	16
11	die	die	ART	d	nom|sg|fem	NK	12
12	Furcht	Furcht	NN	Furcht	nom|sg|fem	SB	16
13	bey	bei	APPR	bei	_	MO	16
14	jedem	jedem	PIAT	jed	dat|sg|masc	NK	13
15	sich	sich	PRF	er|es|sie	acc|pl|3	DA	16
16	vermehrt	vermehrt	ADJD	vermehrt	pos	MO	7
17	.	.	SENT	.	_	--	16

1	Ist	Ist	VAFIN	sein	sg|3|pres|ind	--	0
2	er	er	PPER	er	nom|sg|masc|3	SB	1
3	so	so	ADV	so	_	MO	4
4	kuͤhn	kühn	ADJD	kühn	pos	PD	1
5	/	/	$,	/	_	--	4
6	und	und	KON	und	_	CD	1
7	hat	hat	VAFIN	haben	sg|3|pres|ind	CJ	6
8	er	er	PPER	er	nom|sg|masc|3	SB	7
9	Lust	Lust	NN	Lust	acc|sg|fem	OA	7
10	zum	zum	APPRART	zum	dat|sg|masc	MNR	9
11	Schlagen	Schlagen	NN	Schlagen	dat|sg|masc	NK	10
12	/	/	$,	/	_	--	11
13	Wohlan	Wohlan	NN	Wohlan	dat|sg|masc	OA	16
14	wir	wir	PPER	wir	nom|pl|*|1	SB	15
15	wollens	wollens	ADJD	wollens	pl|1|pres|ind	CJ	7
16	wagen	wagen	VVINF	wagen	_	OC	15
17	/	/	$,	/	_	--	16
18	Und	Und	KON	und	_	CD	16
19	seinen	seinen	PPOSAT	sein	acc|sg|masc	NK	20
20	Frevel	Frevel	NN	Frevel	acc|sg|masc	OA	23
21	nach	nach	APPR	nach	_	MO	23
22	Verdienste	Verdienste	NN	Verdienst	dat|sg|masc	NK	21
23	straffen	straffen	VVINF	strafen	_	CJ	18
24	.	.	SENT	.	_	--	23

1	Geschwind	Geschwind	ADJD	geschwind	nom|sg|neut	SB	3
2	/	/	$,	/	_	--	1
3	gebt	gebt	VVFIN	geben	sg|3|pres|ind	--	0
4	Helm	Helm	NN	Helm	nom|sg|neut	OA	3
5	und	und	KON	und	_	CD	4
6	Waffen	Waffen	NN	Waffe	acc|pl|fem	CJ	5
7	!	!	SENT	!	_	--	6

1	Der	Der	ART	d	nom|sg|masc	NK	3
2	Koͤnigliche	Königliche	ADJA	königlich	nom|sg|masc|pos	NK	3
3	Printz	Prinz	NN	Prinz	nom|sg|masc	SB	4
4	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
5	mit	mit	APPR	mit	_	MO	8
6	mir	mir	PPER	ich	dat|sg|*|1	NK	5
7	nicht	nicht	PTKNEG	nicht	_	NG	8
8	verweilen	verweilen	VVFIN	verweilen	_	OC	4
9	/	/	$,	/	_	--	8
10	Dem	Dem	ART	d	dat|sg|masc	NK	11
11	Herren	Herren	NN	Herr	dat|sg|masc	PAR	4
12	Vater	Vater	NN	Vater	nom|sg|masc	NK	11
13	nach	nach	APPO	nach	_	MO	15
14	zu	zu	PTKZU	zu	_	PM	15
15	eilen	eilen	VVFIN	eilen	_	OC	4
16	/	/	$,	/	_	--	15
17	Sein	Sein	PPOSAT	Sein	nom|sg|masc	NK	19
18	tapffrer	tapffrer	ADJA	tapffrer	nom|sg|masc|pos	NK	19
19	Arm	Arm	NN	Arm	nom|sg|masc	SB	20
20	ersetzt	ersetzt	VVFIN	ersetzen	sg|3|pres|ind	CJ	4
21	des	des	ART	d	gen|sg|masc	NK	22
22	Mund	Mund	TRUNC	Mund-	gen|sg|masc	NK	13
23	'	'	$'	'	_	--	22
24	s	s	PPER	es	_	NK	25
25	Gebrechen	Gebrechen	NN	Gebrechen	_	MO	20
26	/	/	$,	/	_	--	25
27	Wann	Wann	KOUS	wann	_	MO	30
28	man	man	PIS	man	nom|sg|*	SB	30
29	ihn	ihn	PPER	er	acc|sg|masc|3	OA	30
30	sieht	sieht	VVFIN	sehen	sg|3|pres|ind	MO	20
31	mit	mit	APPR	mit	_	OP	34
32	seinem	seinem	PPOSAT	sein	dat|sg|masc	NK	33
33	Schwerdte	Schwerte	NN	Schwerte	dat|sg|masc	NK	31
34	sprechen	sprechen	VVINF	sprechen	_	OC	30
35	.	.	SENT	.	_	--	34

1	Ihr	Ihr	PPER	Sie	nom|pl|*|2	DA	9
2	die	die	ART	d	nom|sg|fem	SB	7
3	ihr	ihr	PPOSAT	ihr	acc|sg|fem	NK	4
4	Ehr	Ehr	NN	Ehre	acc|sg|fem	OA	9
5	und	und	KON	und	_	CD	4
6	Ruhm	Ruhm	NN	Ruhm	acc|sg|masc	CJ	5
7	verlanget	verlanget	VVPP	verlangen	sg|3|pres|ind	OA	9
8	zu	zu	PTKZU	zu	_	PM	9
9	erwerben	erwerben	VVINF	erwerben	_	SB	11
10	/	/	$,	/	_	--	9
11	Folgt	Folgt	VVFIN	folgen	sg|3|pres|ind	--	0
12	meinem	meinem	PPOSAT	mein	dat|sg|masc	NK	14
13	kuͤhnen	kühnen	ADJA	kühn	acc|sg|masc|pos	NK	14
14	Muth	Mut	NN	Mut	acc|sg|masc	DA	11
15	/	/	$,	/	_	--	14
16	Mein	Mein	PPOSAT	mein	nom|sg|neut	NK	18
17	Purpur-reiches	Purpur-reiches	NN	Purpur-reiches	nom|sg|neut|pos	NK	18
18	Kleid	Kleid	NN	Kleid	nom|sg|neut	SB	19
19	wil	wil	VMFIN	wollen	sg|1|pres|ind	CJ	11
20	ich	ich	PPER	ich	nom|sg|*|1	SB	19
21	noch	noch	ADV	noch	_	MO	22
22	rother	roter	ADJA	rot	comp	MO	23
23	faͤrben	färben	VVINF	färben	_	OC	19
24	/	/	$,	/	_	--	23
25	Durch	Durch	APPR	durch	_	MO	19
26	unsrer	unsrer	PPOSAT	unser	dat|sg|fem|pos	NK	27
27	Feinde	Feinde	NN	Feind	dat|sg|fem	NK	25
28	Blut	Blut	NN	Blut	nom|sg|neut	NK	27
29	.	.	SENT	.	_	--	28

1	Du	Du	PPER	du	nom|sg|*|2	SB	19
2	aber	aber	ADV	aber	_	MO	1
3	/	/	$,	/	_	--	2
4	Eliat	Eliat	NE	Eliat	dat|sg|masc	APP	1
5	,	,	$,	,	_	--	4
6	Verbleib	Verbleib	NN	Verbleib	dat|sg|masc	CJ	4
7	/	/	$,	/	_	--	6
8	du	du	PPER	du	*|*|*	NK	9
9	solt	Sold	VMFIN	sollen	acc|sg|neut	PAR	6
10	an	an	APPR	an	_	MNR	9
11	meiner	meiner	PPER	ich	dat|sg|fem	NK	12
12	Statt	Statt	PTKVZ	statt	dat|sg|fem	NK	10
13	/	/	$,	/	_	--	12
14	So	So	ADV	so	_	MO	15
15	lang	lang	ADJD	lang	pos	MO	19
16	ich	ich	PPER	ich	nom|sg|masc|1	SB	19
17	diesen	diesen	PDAT	dies	acc|sg|masc	NK	18
18	Krieg	Krieg	NN	Krieg	acc|sg|masc	OA	20
19	muß	muß	VMFIN	müssen	sg|3|pres|ind	--	0
20	fuͤhren	führen	VVINF	führen	_	OC	19
21	/	/	$,	/	_	--	20
22	Mein	Mein	PPOSAT	mein	acc|sg|neut	NK	23
23	Reich	Reich	NN	Reich	acc|sg|neut	OA	27
24	und	und	KON	und	_	CD	23
25	diese	diese	PDAT	dies	acc|sg|fem	NK	26
26	Stadt	Stadt	NN	Stadt	acc|sg|fem	CJ	24
27	regieren	regieren	VVINF	regieren	_	OC	19
28	.	.	SENT	.	_	--	27

1	Geneigtes	Geneigtes	ADJA	Geneigtes	nom|sg|neut|pos	NK	2
