

1	Umbstaͤndige	Umbständige	ADJA	Umbständige	nom|sg|fem|pos	NK	2
102	daß	daß	KOUS	daß	_	CP	111
103	mehristen	Mehrristen	ADJA	Mehrristen	nom|pl|masc	SB	111
104	Theil	Teil	NN	Teil	nom|sg|masc	NK	103
105	die	die	ART	d	acc|sg|fem	NK	107
106	vnsaubere	vnsaubere	NN	vnsaubere	acc|sg|fem|pos	NK	107
107	Winckel	Winckel	NN	Winkel	acc|sg|fem	OA	111
108	von	von	APPR	von	_	SBP	111
109	diesem	diesem	PDAT	dies	dat|sg|masc	NK	110
110	Ubel	Übel	NN	Übel	dat|sg|masc	NK	108
111	angegriffen	angegriffen	VVPP	angreifen	_	OC	77
112	/	/	$,	/	_	--	111
113	vnd	und	KON	und	_	CD	111
114	nun	nun	ADV	nun	_	MO	115
115	gemeiner	gemeiner	ADJA	gemein	gen|pl|neut|pos	NK	116
116	Poͤbel	Pöbel	NN	Pöbel	gen|pl|neut	OA	128
117	/	/	$,	/	_	--	116
118	wie	wie	KOUS	wie	_	CD	116
119	auch	auch	ADV	auch	_	MO	122
120	das	das	ART	d	nom|sg|neut	NK	122
121	schlimme	schlimme	ADJA	schlimme	nom|sg|neut|pos	NK	122
122	Lotter-Gesindel	Lotter-Gesindel	NN	Lotter-Gesindel	nom|sg|neut	CJ	118
123	/	/	$,	/	_	--	122
124	von	von	APPR	von	_	OP	128
125	welchen	welchen	PRELS	welch	dat|pl|masc	OA	22
126	kein	kein	PIAT	kein	nom|sg|masc	NK	127
127	Statt	Statt	PTKVZ	statt	nom|sg|masc	NK	124
128	befreyt	befreit	VVPP	befreien	_	MO	135
129	/	/	$,	/	_	--	128
130	dem	dem	ART	d	dat|sg|masc	NK	131
131	Todt	Tot	NN	Tod	dat|sg|masc	DA	135
132	vnter	unter	APPR	unter	_	MO	135
133	die	die	ART	d	acc|pl|masc	NK	134
134	Sensen	Sensen	NE	Sensen	acc|pl|masc	NK	132
135	gerathen	geraten	VVPP	geraten	_	CJ	113
136	/	/	$,	/	_	--	135
137	daß	daß	KOUS	daß	_	CP	144
138	also	also	ADV	also	_	MO	144
139	nicht	nicht	PTKNEG	nicht	_	NG	144
140	ohne	ohne	APPR	ohne	_	MO	144
141	Frevel	Frevel	NN	Frevel	acc|sg|fem	NK	140
142	die	die	ART	d	acc|sg|fem	NK	143
143	Red	Red	NE	Red	acc|sg|fem	OA	144
144	gangen	ganzen	ADJA	ganz	_	OC	135
145	/	/	$,	/	_	--	144
146	der	der	ART	d	gen|sg|fem	NK	147
147	Todt	Tot	NN	Tod	nom|sg|masc	SB	148
148	nehme	nehme	VVFIN	nehmen	sg|3|pres|subj	OC	187
149	nur	nur	ADV	nur	_	MO	151
150	die	die	ART	d	acc|pl|masc	NK	151
151	Spreyer	Sprayer	NN	Sprayer	acc|pl|masc	OA	148
152	hinweg	hinweg	PTKVZ	hinweg	_	SVP	148
153	/	/	$,	/	_	--	152
154	durch	durch	ADV	durch	_	PAR	148
155	suche	suche	VVFIN	suchen	sg|3|pres|subj	NK	154
156	die	die	ART	d	nom|sg|fem	NK	157
157	Bettler-Saͤck	Bettler-Säck	NN	Bettler-Säck	nom|sg|fem	SB	155
158	/	/	$,	/	_	--	157
159	vnd	und	KON	und	_	CD	155
160	wolle	wolle	ADV	wohl	sg|3|pres|subj	CJ	159
161	seinen	seinen	PPOSAT	sein	acc|sg|masc	NK	162
162	Hunger	Hunger	NN	Hunger	acc|sg|masc	OA	169
163	mit	mit	APPR	mit	_	MO	169
164	gemeinen	gemeinen	ADJA	gemein	dat|pl|neut|pos	NK	165
165	Gesindl-Brod	Gesindl-Brod	NN	Gesindl-Brod	dat|pl|neut	NK	163
166	in	in	APPR	in	_	MO	169
167	den	den	ART	d	dat|pl|fem	NK	168
168	Vorstaͤtten	Vorstätten	NN	Vorstätten	dat|pl|fem	NK	166
169	stillen	stillen	ADJA	still	_	OC	160
170	/	/	$,	/	_	--	169
171	also	also	ADV	also	_	MO	160
172	gar	gar	ADV	gar	_	MO	173
173	vermuthlich	vermutlich	ADV	vermutlich	_	MO	160
174	vor	vor	APPR	vor	_	MO	185
175	seiner	seiner	PPOSAT	sein	dat|sg|fem	NK	180
176	die	die	ART	d	nom|pl|*	NK	177
177	Herrn-Haͤuser	Herrn-Häuser	NN	Herrn-Häuser	nom|pl|neut	NK	174
178	vnd	und	KON	und	_	CD	177
179	reicher	reicher	ADJD	reich	dat|sg|fem|pos	NK	180
180	Leuth	Lloyd	NE	Lloyd	dat|sg|fem	CJ	178
181	Bewohnungen	Bewohnungen	NN	Bewohnungen	nom|pl|fem	NK	177
182	die	die	ART	d	acc|sg|fem	NK	183
183	Salv.	Salv.	NE	Salv.	acc|sg|fem	OA	185
184	Quard.	Quard.	NN	Quard.	nom|sg|fem	NK	183
185	erhalten	erhalten	VVPP	erhalten	_	OC	160
186	/	/	$,	/	_	--	185
187	holla	holla	NE	holla	_	NK	5
188	!	!	SENT	!	_	--	187

1	sagt	sagt	VVFIN	sagen	sg|3|pres|ind	--	0
2	der	der	ART	d	nom|sg|masc	NK	3
3	Todt	Tot	NN	Tod	nom|sg|masc	SB	1
4	/	/	$,	/	_	--	3
5	damit	damit	KOUS	damit	_	MO	1
6	ihr	ihr	PPER	Ihr	dat|sg|fem|3	SB	8
7	gleichwohl	gleichwohl	ADV	gleichwohl	_	MO	6
8	solt	sollt	VMFIN	sollen	sg|3|pres|ind	OC	1
9	wissen	wissen	VVINF	wissen	_	OC	8
10	/	/	$,	/	_	--	9
11	daß	daß	KOUS	daß	_	CP	19
12	mir	mir	PPER	ich	dat|sg|*|1	DA	22
13	keine	keine	PIAT	kein	acc|sg|fem	NK	14
14	Vestung	Festung	NN	Festung	acc|sg|fem	CJ	19
15	zu	zu	PTKA	zu	_	MO	16
16	starck	stark	ADJD	stark	pos	PD	14
17	/	/	$,	/	_	--	16
18	vnd	und	KON	und	_	JU	19
19	solle	solle	VMFIN	sollen	sg|3|pres|subj	OC	9
20	sie	sie	PPER	Sie	nom|sg|fem|3	SB	19
21	auch	auch	ADV	auch	_	MO	22
22	versehen	versehen	VVPP	versehen	_	PD	23
23	seyn	sein	VAINF	sein	_	OC	19
24	mit	mit	APPR	mit	_	MO	22
25	Pasteyen	Pastayen	NE	Pastayen	dat|pl|masc	NK	24
26	/	/	$,	/	_	--	25
27	die	die	PRELS	d	acc|sg|fem	SB	29
28	so	so	ADV	so	_	MO	29
29	hoch	hoch	ADJD	hoch	pos	CJ	18
30	/	/	$,	/	_	--	29
31	wie	wie	KOUS	wie	_	CM	33
32	der	der	ART	d	nom|sg|masc	NK	33
33	Diezberg	Diezberg	NE	Diezberg	nom|sg|masc	CC	28
34	in	in	APPR	in	_	MNR	33
35	Karnten	Karnten	NN	Karnten	dat|sg|neut	NK	34
36	/	/	$,	/	_	--	35
37	der	der	ART	d	nom|sg|masc	NK	38
38	Schoͤckl	Schöckl	NN	Schöckl	nom|sg|masc	APP	33
39	in	in	APPR	in	_	MNR	38
40	Steyermarck	Steiermark	NE	Steiermark	dat|sg|neut	NK	39
41	/	/	$,	/	_	--	40
42	der	der	ART	d	nom|sg|masc	NK	43
43	Chasteiner	Chasteiner	NN	Chasteiner	nom|sg|masc	SB	82
44	in	in	APPR	in	_	MNR	43
45	Saltzburg	Salzburg	NE	Salzburg	dat|sg|neut	NK	44
46	/	/	$,	/	_	--	45
47	der	der	ART	d	nom|sg|masc	NK	48
48	Caravancas	Caravancas	NE	Caravancas	gen|sg|fem	AG	45
49	in	in	APPR	in	_	MNR	48
50	Bayern	Bayern	NE	Bayern	dat|sg|neut	NK	49
51	/	/	$,	/	_	--	50
52	der	der	ART	d	dat|sg|fem	NK	53
53	Laͤber-Berg	Leberberg	NN	Leberberg	dat|sg|fem	CJ	50
54	in	in	APPR	in	_	MNR	53
55	Schweitzerland	Schweitzerland	NE	Schweitzerland	dat|sg|neut	NK	54
56	/	/	$,	/	_	--	55
57	der	der	ART	d	gen|sg|fem	NK	58
58	Fichtelberg	Fichtelberg	NE	Fichtelberg	nom|sg|masc	CJ	53
59	in	in	APPR	in	_	MNR	58
60	Boͤhmen	Böhmen	NE	Böhme	dat|sg|neut	NK	59
61	/	/	$,	/	_	--	60
62	der	der	ART	d	dat|sg|fem	NK	63
63	Kallenberg	Kallenberg	NE	Kallenberg	dat|sg|fem	APP	60
64	in	in	APPR	in	_	MNR	63
65	Oesterreich	Österreich	NE	Österreich	dat|sg|neut	NK	64
66	/	/	$,	/	_	--	65
67	etc.	etc.	ADV	etc.	_	CJ	65
68	vnd	und	KON	und	_	CD	53
69	soll	soll	VMFIN	sollen	sg|3|pres|ind	CJ	68
70	sie	sie	PPER	Sie	nom|sg|fem|3	SB	69
71	auch	auch	ADV	auch	_	MO	72
72	vmbgeben	vmbgeben	VVPP	vmbgeben	_	OC	73
73	seyn	sein	VAINF	sein	_	OC	69
74	mit	mit	APPR	mit	_	MO	72
75	einen	einen	ART	ein	dat|pl|fem|pos	NK	76
76	Graben	Graben	NN	Graben	dat|pl|fem	NK	74
77	/	/	$,	/	_	--	76
78	der	der	PRELS	d	dat|sg|fem	NK	90
79	dem	dem	ART	d	dat|sg|neut	NK	81
80	grossen	großen	ADJA	groß	dat|sg|neut|pos	NK	81
81	Oceano	Oceano	NN	Oceano	dat|sg|neut	CJ	68
82	koͤnte	könnte	VMFIN	können	sg|3|past|subj	RE	86
83	Wasser	Wasser	NN	Wasser	dat|sg|neut	OA	84
84	leihen	leihen	VVINF	leihen	_	OC	82
85	/	/	$,	/	_	--	84
86	so	so	ADV	so	_	MO	87
87	will	will	VMFIN	wollen	sg|1|pres|ind	CJ	8
88	ich	ich	PPER	ich	nom|sg|*|1	SB	87
89	ohngeacht	ohngeacht	ADJD	ohngeacht	_	MO	87
90	alles	alles	PIS	all	acc|sg|neut	SB	87
91	diß	dies	PDS	dies	acc|sg|neut	OA	94
92	die	die	ART	d	acc|sg|fem	NK	93
93	Statt	Statt	PTKVZ	statt	acc|sg|fem	OA	94
94	erobern	erobern	VVINF	erobern	_	OC	87
95	;	;	SENT	;	_	--	94

1	welches	welches	PRELS	welch	nom|sg|neut	SB	5
2	dann	dann	ADV	dann	_	MO	4
3	leyder	leider	ADJD	leider	_	MO	4
4	geschehen	geschehen	VVPP	geschehen	_	OC	5
5	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
6	in	in	APPR	in	_	MO	4
7	dem	dem	ART	d	dat|sg|neut	NK	8
8	Julio	Julio	NE	Julio	dat|sg|masc	NK	6
9	/	/	$,	/	_	--	8
10	vnd	und	KON	und	_	CD	5
11	hat	hat	VAFIN	haben	sg|3|pres|ind	CJ	10
12	solcher	solcher	PIAT	solch	nom|sg|masc	NK	13
13	Todt	Tot	NN	Tod	nom|sg|masc	SB	11
14	fast	fast	ADV	fast	_	MO	15
15	mitten	mitten	ADV	mitten	_	MO	11
16	im	im	APPRART	im	dat|sg|masc	MO	11
17	August	August	NE	August	dat|sg|masc	NK	16
18	:	:	SENT	:	_	--	17

1	das	das	ART	d	nom|sg|neut	NK	3
2	offenlich	ofenlich	ADJD	ofenlich	pos	MO	3
3	Pluͤndern	Plündern	NN	Plündern	nom|sg|neut	OA	8
4	/	/	$,	/	_	--	3
5	vnd	und	KON	und	_	CD	3
6	grausame	grausame	ADJA	grausam	nom|pl|fem|pos	NK	7
7	Rauben	Rauben	NN	Rauben	nom|pl|fem	CJ	5
8	vorgenommen	vorgenommen	VVPP	vornehmen	_	--	0
9	.	.	SENT	.	_	--	8

1	Zu	Zu	APPR	zu	_	MO	10
2	Zeiten	Zeiten	NN	Zeit	dat|pl|fem	NK	1
3	Caæsaris	Caaesaris	NE	Caaesaris	nom|sg|masc	PNC	4
4	Dictatoris	Dictatoris	NE	Dictatoris	nom|sg|masc	NK	2
5	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
6	in	in	APPR	in	_	MO	10
7	Rom	Rom	NE	Rom	dat|sg|neut	NK	6
8	ein	ein	ART	ein	acc|sg|neut	NK	9
9	Ochs	Ochs	NN	Ochs	acc|sg|neut	OA	10
10	geredt	gerät	VVFIN	geraten	sg|3|pres|ind	OC	5
11	/	/	$,	/	_	--	10

1	Zu	Zu	APPR	zu	_	MO	9
2	Zeiten	Zeiten	NN	Zeit	dat|pl|fem	NK	1
3	deß	dessen	PDAT	d	gen|sg|masc	AG	4
4	Propheten	Propheten	NN	Prophet	dat|sg|neut|pos	AG	2
5	Balaam	Balaam	NE	Balaam	nom|sg|masc	NK	4
6	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
7	ein	ein	ART	ein	acc|sg|neut	NK	8
8	Eßlin	Eßlin	NN	Eßlin	acc|sg|neut	OA	9
9	geredt	gerät	VVFIN	geraten	sg|3|pres|ind	OC	6
10	/	/	$,	/	_	--	9

1	Zu	Zu	APPR	zu	_	MO	9
2	Zeiten	Zeiten	NN	Zeit	dat|pl|fem	NK	1
3	Kaysers	Kaisers	NN	Kaiser	gen|sg|*	PNC	4
4	Mauritij	Mauritij	NE	Mauritij	nom|sg|masc	NK	2
5	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
6	ein	ein	ART	ein	acc|sg|neut	NK	7
7	Metalline	Metalline	NN	Metalline	nom|sg|masc	OA	9
8	Bildnuß	Bildnuß	NN	Bildnuß	nom|sg|masc	NK	7
9	geredt	gerät	VVFIN	geraten	sg|3|pres|ind	OC	5
10	/	/	$,	/	_	--	9

1	Zu	Zu	APPR	zu	_	OP	8
2	Zeiten	Zeiten	NN	Zeit	dat|pl|fem	NK	1
3	Tarquinij	Tarquinij	NE	Tarquinij	nom|sg|masc	PNC	4
4	Superbi	Superbi	NE	Superbi	nom|sg|masc	NK	2
5	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
6	ein	ein	ART	ein	nom|sg|masc	NK	7
7	Hund	Hund	NN	Hund	nom|sg|masc	SB	5
8	geredt	geredet	VVPP	reden	_	OC	5
9	.	.	SENT	.	_	--	8

1	Zu	Zu	APPR	zu	_	MO	7
2	Zeiten	Zeiten	NN	Zeit	dat|pl|fem	NK	1
3	Bedaæ	Bedaae	ADJD	Bedaae	gen|sg|*	AG	2
4	haben	haben	VAFIN	haben	pl|3|pres|ind	--	0
5	die	die	ART	d	nom|pl|fem	NK	6
6	Stein	Stein	NN	Stein	acc|sg|masc	OA	7
7	geredt	gerät	VVFIN	geraten	_	OC	4

1	Bey	Bei	APPR	bei	_	MO	15
2	der	der	ART	d	dat|sg|fem	NK	3
3	Zeit	Zeit	NN	Zeit	dat|sg|fem	NK	1
4	zu	zu	APPR	zu	_	MNR	3
5	Wienn	Wien	NE	Wien	dat|sg|neut	NK	4
6	aber	aber	ADV	aber	_	MO	15
7	/	/	$,	/	_	--	6
8	weil	weil	KOUS	weil	_	CP	15
9	bald	bald	ADV	bald	_	MO	15
10	an	an	APPR	an	_	MO	15
11	disen	diesen	PDAT	dies	acc|sg|masc	NK	12
12	Eck	Eck	NN	eck	acc|sg|masc	NK	10
13	ein	ein	ART	ein	nom|sg|masc	NK	14
14	Krancker	Kranker	NN	kranke	nom|sg|masc	SB	15
15	lainte	leinte	VVFIN	leinte	sg|3|past|ind	--	0
16	/	/	$,	/	_	--	15
17	auff	auf	APPR	auf	_	MO	15
18	der	der	ART	d	dat|sg|fem	NK	20
19	anderen	anderen	ADJA	ander	*|sg|fem|pos	NK	20
20	Seyten	Seiten	NN	Seite	dat|pl|fem	NK	17
21	ein	ein	ART	ein	nom|sg|masc	NK	22
22	Sterbender	Sterbender	NN	Sterbender	nom|sg|masc	SB	23
23	seufftzte	seufzte	ADJA	seufzte	sg|3|past|ind	CJ	15
24	/	/	$,	/	_	--	23
25	uͤber	über	APPR	über	_	MO	29
26	etlich	etlich	PIAT	etlich	pos	NK	27
27	Schritt	Schritt	NN	Schritt	acc|sg|masc	NK	25
28	ein	ein	ART	ein	nom|sg|masc	NK	29
29	Todter	Toter	NN	Toter	nom|sg|masc	PAR	22
30	lage	Lage	NN	Lage	nom|sg|fem	NK	29
31	/	/	$,	/	_	--	30
32	vnd	und	KON	und	_	CD	23
33	die	die	ART	d	nom|sg|fem	NK	34
34	Coͤrper	Körper	NN	Körper	acc|pl|masc	SB	43
35	auff	auf	APPR	auf	_	MO	43
36	offentlichen	öffentlichen	ADJA	öffentlich	dat|pl|masc|pos	NK	37
37	Waͤgen	Wägen	NN	Wagen	dat|pl|masc	NK	35
38	auch	auch	ADV	auch	_	MO	40
39	den	den	ART	d	dat|pl|masc	NK	40
40	Fuhr-Leuthen	Fuhr-Leuthen	NN	Fuhr-Leuthen	dat|pl|fem	DA	43
41	den	den	ART	d	acc|sg|masc	NK	42
42	Paß	Paß	NN	Paß	acc|sg|masc	OA	43
43	verstellten	verstellten	VVFIN	verstellten	pl|3|past|ind	SB	50
44	/	/	$,	/	_	--	43
45	auff	auf	APPR	auf	_	MO	43
46	solche	solche	PIAT	solch	acc|pl|masc	NK	47
47	Weiß	Weiß	NN	weiße	dat|sg|masc	NK	45
48	zu	zu	APPR	zu	_	MNR	47
49	Wienn	Wien	NE	Wien	dat|sg|neut	NK	48
50	haben	haben	VAFIN	haben	pl|3|pres|ind	CJ	32
51	die	die	ART	d	nom|pl|fem	NK	52
52	Gassen	Gassen	NN	Gasse	nom|pl|fem	SB	50
53	geredt	gerät	VVFIN	geraten	pos	MO	62
54	/	/	$,	/	_	--	53
55	vnd	und	KON	und	_	CD	53
56	menniglich	menniglich	ADJD	menniglich	pos	MO	57
57	gleichsamb	gleichsam	ADV	gleichsam	pos	CJ	55
58	zur	zur	APPRART	zur	dat|sg|fem	MO	62
59	Buß	Buße	NN	Buße	dat|sg|fem	NK	58
60	vnd	und	KON	und	_	CD	59
61	Penitentz	Penitentz	NN	Penitentz	dat|sg|masc	CJ	60
62	ermahnt	ermahnt	VVPP	ermahnen	_	OC	50
63	:	:	SENT	:	_	--	62

1	auff	auf	APPR	auf	_	--	0
2	auff	auf	APPR	auf	_	MO	4
3	ihr	ihr	PPOSAT	ihr	dat|sg|fem|3	NK	2
4	suͤndige	sündige	ADJA	sündig	acc|pl|fem|pos	NK	5
5	Menschen	Menschen	NN	Mensch	acc|pl|masc	NK	1
6	!	!	SENT	!	_	--	5

1	die	die	ART	d	nom|sg|fem	NK	2
2	Axt	Axt	NN	Axt	nom|sg|fem	SB	3
3	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
4	schon	schon	ADV	schon	_	MO	8
5	an	an	APPR	an	_	MO	8
6	dem	dem	ART	d	dat|sg|masc	NK	7
7	Baum	Baum	NN	Baum	dat|sg|masc	NK	5
8	gesetzt	gesetzt	VVPP	setzen	_	OC	3
9	/	/	$,	/	_	--	8
10	der	der	ART	d	nom|sg|masc	NK	11
11	Zorn	Zorn	NN	Zorn	nom|sg|masc	SB	13
12	GOttes	Gottes	NE	Gott	gen|sg|masc	AG	11
13	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	3
14	vor	vor	APPR	vor	_	MO	13
15	der	der	ART	d	dat|sg|fem	NK	16
16	Thuͤr	Tür	NN	Tür	dat|sg|fem	NK	14
17	/	/	$,	/	_	--	16
18	die	die	ART	d	nom|sg|fem	NK	19
19	Stimm	Stimm	NN	Stimme	nom|sg|fem	SB	13
20	deß	dessen	PDAT	d	gen|sg|masc	AG	21
21	Allerhoͤchsten	Allerhöchsten	NN	Allerhöchsten	gen|sg|masc	AG	19
22	wird	wird	VAFIN	werden	sg|3|pres|ind	CJ	13
23	euch	euch	PPER	ihr	dat|pl|*|2	DA	24
24	beruffen	berufen	VVPP	berufen	_	OC	22
25	zur	zur	APPRART	zur	dat|sg|fem	OP	24
26	Ewigkeit	Ewigkeit	NN	Ewigkeit	dat|sg|fem	NK	25
27	/	/	$,	/	_	--	26
28	der	der	ART	d	gen|sg|fem	NK	30
29	H.	H.	NN	H.	nom|sg|masc|pos	NK	30
30	Ertz-Engel	Erzengel	NN	Erzengel	nom|sg|masc	SB	32
31	Michael	Michael	NE	Michael	nom|sg|masc	NK	30
32	halt	halt	ADV	halt	sg|3|pres|ind	CJ	22
33	schon	schon	ADV	schon	_	MO	35
34	die	die	ART	d	acc|sg|fem	NK	35
35	Waag	Waag	NN	Waag	acc|sg|fem	SB	32
36	/	/	$,	/	_	--	35
37	eure	eure	PPOSAT	euer	acc|sg|fem	NK	38
38	Werck	Werk	NN	Werk	acc|sg|neut	OA	40
39	hierdurch	hierdurch	PAV	hierdurch	_	MO	40
40	zubeurtlen	zubeurtlen	VVPP	zubeurtlen	_	OC	32
41	/	/	$,	/	_	--	40
42	auff	auf	APPR	auf	_	SVP	32
43	/	/	$,	/	_	--	42
44	auff	auf	APPR	auf	_	SVP	32
45	!	!	SENT	!	_	--	44

1	vnd	und	KON	und	_	JU	2
2	thut	tut	VVFIN	tun	sg|3|pres|ind	--	0
3	die	die	ART	d	acc|pl|masc	NK	5
4	wenige	wenige	PIAT	wenig	acc|pl|masc	NK	5
5	Tag	Tag	NN	Tag	acc|sg|masc	OA	2
6	vnd	und	KON	und	_	CD	5
7	Stund	Stunde	NN	Stunde	acc|sg|fem	CJ	6
8	so	so	ADV	so	_	MO	15
9	euch	euch	PPER	ihr	dat|pl|*|2	DA	15
10	noch	noch	ADV	noch	_	MO	15
11	uͤbrig	übrig	ADJD	übrig	_	SVP	2
12	/	/	$,	/	_	--	11
13	der	der	ART	d	gen|sg|fem	NK	14
