

1	III.	III.	CARD	3	*|*|*	PNC	2
35	von	von	APPR	von	_	OP	42
36	Goͤttlichen	Göttlichen	ADJA	göttlich	dat|sg|fem|pos	NK	37
37	Erscheinung-	Erscheinung	NN	Erscheinung	dat|sg|fem	NK	35
38	und	und	KON	und	_	CD	37
39	Offenbarungen	Offenbarungen	NN	Offenbarungen	dat|pl|fem	CJ	38
40	gar	gar	ADV	gar	_	MO	41
41	nichts	nichts	PIS	nichts	*|*|neut	OA	42
42	wissen	wissen	VVINF	wissen	_	OC	45
43	oder	oder	KON	oder	_	CD	42
44	hoͤren	hören	VVINF	hören	_	CJ	43
45	wil	will	VMFIN	wollen	sg|3|pres|ind	CC	12
46	;	;	SENT	;	_	--	45

1	dieweilen	dieweilen	VVFIN	dieweilen	pl|3|pres|ind	--	0
2	einige	einige	PIAT	einig	nom|pl|*	SB	1
3	derselben	derselben	PDS	derselbe	nom|pl|*	NK	4
4	mißbrauchen	mißbrauchen	VVINF	mißbrauchen	pl|3|pres|ind	OC	1
5	/	/	$,	/	_	--	4
6	zu	zu	APPR	zu	_	MO	7
7	weit	weit	ADJD	weit	pos	MO	8
8	gehen	gehen	VVINF	gehen	_	CJ	4
9	und	und	KON	und	_	CD	8
10	die	die	ART	d	acc|pl|fem	NK	11
11	Ordnungen	Ordnungen	NN	Ordnung	acc|pl|fem	OA	15
12	des	des	ART	d	gen|sg|neut	NK	13
13	Heylandes	Heilandes	NN	Heiland	gen|sg|neut	AG	11
14	druͤber	drüber	PAV	drüber	_	MO	15
15	verachten	verachten	VVFIN	verachten	pl|3|past|ind	CJ	9
16	.	.	SENT	.	_	--	15

1	Allein	Allein	ADV	allein	_	MO	4
2	/	/	$,	/	_	--	1
3	wer	wer	PWS	wer	nom|sg|masc	SB	4
4	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
5	so	so	ADV	so	_	MO	6
6	thoͤricht	töricht	ADJD	töricht	pos	PD	4
7	/	/	$,	/	_	--	6
8	daß	daß	KOUS	daß	_	CP	17
9	er	er	PPER	er	nom|sg|masc|3	SB	17
10	um	um	APPR	um	_	MO	17
11	des	des	ART	d	gen|sg|masc	NK	12
12	Mißbrauchs	Mißbrauchs	NN	Mißbrauch	gen|sg|masc	NK	10
13	willen	willen	APPO	willen	_	AC	10
14	eine	eine	ART	ein	acc|sg|fem	NK	16
15	gute	gute	ADJA	gut	acc|sg|fem|pos	NK	16
16	Sache	Sache	NN	Sache	acc|sg|fem	OA	17
17	verwerffe	verwerfe	VVFIN	verwerfe	sg|3|pres|subj	CC	5
18	?	?	SENT	?	_	--	17

1	Wir	Wir	PPER	wir	nom|pl|*|1	SB	2
2	halten	halten	VVFIN	halten	pl|1|pres|ind	--	0
3	die	die	ART	d	acc|pl|neut	NK	4
4	Mittel	Mittel	NN	Mittel	acc|pl|neut	OA	19
5	/	/	$,	/	_	--	4
6	welche	welche	PRELS	welch	acc|sg|fem	OA	2
7	JEsus	JEsus	NE	Jesus	nom|sg|masc	OA	2
8	nach	nach	APPR	nach	_	MO	2
9	seiner	seiner	PPOSAT	sein	dat|sg|fem	NK	10
10	Weißheit	Weisheit	NN	Weisheit	dat|sg|fem	NK	8
11	/	/	$,	/	_	--	10
12	(	(	$(	(	_	--	11
13	die	die	PRELS	d	nom|sg|fem	SB	23
14	ein	ein	ART	ein	nom|sg|masc	NK	16
15	armer	armer	ADJA	arm	nom|sg|masc|pos	NK	16
16	Staub	Staub	NN	Staub	nom|sg|masc	SB	17
17	mag	mag	VMFIN	mögen	sg|3|pres|ind	OC	22
18	ungetadelt	ungetadelt	VVPP	ungetadelt	pos	MO	19
19	lassen	lassen	VVINF	lassen	_	OC	17
20	/	/	$,	/	_	--	19
21	)	)	$)	)	_	--	20
22	verordnet	verordnet	VVPP	verordnen	_	OC	23
23	hat	hat	VAFIN	haben	sg|3|pres|ind	RC	10
24	/	/	$,	/	_	--	23
25	billich	billig	ADJD	billig	pos	MO	26
26	hoch	hoch	ADJD	hoch	_	MO	2
27	;	;	SENT	;	_	--	26

1	Hat	Hat	VAFIN	haben	sg|3|pres|ind	--	0
2	aber	aber	ADV	aber	_	MO	1
3	deswegen	deswegen	PAV	deswegen	_	MO	1
4	die	die	ART	d	acc|sg|fem	NK	6
5	herrliche	herrliche	ADJA	herrlich	acc|sg|fem|pos	NK	6
6	Verheissung	Verheissung	NN	Verheißung	acc|sg|fem	SB	1
7	des	des	ART	d	gen|sg|masc	NK	8
8	HERRN	Herrn	NN	Herr	gen|sg|masc	AG	6
9	ihr	ihr	PPOSAT	ihr	acc|sg|neut	NK	11
10	voͤlliges	völliges	ADJA	völlig	acc|sg|neut|pos	NK	11
11	Ende	Ende	NN	Ende	acc|sg|neut	OA	1
12	:	:	SENT	:	_	--	11

1	Und	Und	KON	und	_	JU	4
2	nach	nach	APPR	nach	_	MO	4
3	diesem	diesem	PDS	dies	dat|sg|neut	NK	2
4	wil	will	VMFIN	wollen	sg|1|pres|ind	--	0
5	ich	ich	PPER	ich	nom|sg|*|1	SB	4
6	meinen	meinen	PPOSAT	mein	acc|sg|masc	NK	7
7	Geist	Geist	NN	Geist	acc|sg|masc	OA	8
8	ausgiessen	ausgießen	VVFIN	ausgießen	pl|3|pres|ind	OC	4
9	uͤber	über	APPR	über	_	MO	8
10	alles	alles	PIAT	all	acc|sg|neut	NK	11
11	Fleisch	Fleisch	NN	Fleisch	acc|sg|neut	NK	9
12	/	/	$,	/	_	--	11
13	und	und	KON	und	_	CD	4
14	eure	eure	PPOSAT	euer	nom|pl|masc|pos	NK	15
15	Soͤhne	Söhne	NN	Sohn	nom|pl|masc	SB	18
16	und	und	KON	und	_	CD	15
17	Toͤchter	Töchter	NN	Tochter	nom|pl|masc	CJ	16
18	sollen	sollen	VMFIN	sollen	pl|3|pres|ind	CJ	13
19	weissagen	weissagen	NN	weissagen	_	OC	18
20	/	/	$,	/	_	--	19
21	eure	eure	PPOSAT	euer	nom|pl|fem	NK	22
22	Aeltesten	ältesten	ADJA	alt	dat|pl|fem|sup	SB	23
23	sollen	sollen	VMFIN	sollen	pl|3|pres|ind	CJ	18
24	Traͤume	Träume	NN	Traum	nom|pl|masc	SB	23
25	haben	haben	VAFIN	haben	_	OC	23
26	/	/	$,	/	_	--	25
27	und	und	KON	und	_	CD	23
28	eure	eure	PPOSAT	euer	nom|pl|masc	NK	29
29	Juͤnglinge	Jünglinge	NN	Jünglinge	nom|pl|masc	SB	30
30	sollen	sollen	VMFIN	sollen	pl|3|pres|ind	CJ	27
31	Gesichte	Gesichte	NN	Gesicht	acc|pl|neut	OA	32
32	sehen	sehen	VVINF	sehen	_	OC	30
33	;	;	SENT	;	_	--	32

1	auch	auch	ADV	auch	_	MO	2
2	wil	will	VMFIN	wollen	sg|1|pres|ind	--	0
3	ich	ich	PPER	ich	nom|sg|*|1	SB	2
4	zur	zur	APPRART	zur	dat|sg|fem	MO	14
5	selbigen	selbigen	ADJA	selbig	dat|sg|fem|pos	NK	6
6	Zeit	Zeit	NN	Zeit	dat|sg|fem	NK	4
7	beyde	beide	PIS	beide	nom|pl|*	SB	14
8	uͤber	über	APPR	über	_	MO	14
9	Knechte	Knechte	NN	Knecht	acc|pl|neut	NK	8
10	und	und	KON	und	_	CD	9
11	Maͤgde	Mägde	NN	Magd	acc|pl|neut	CJ	10
12	meinen	meinen	PPOSAT	mein	acc|sg|masc	NK	13
13	Geist	Geist	NN	Geist	acc|sg|masc	OA	14
14	ausgiessen	ausgießen	VVFIN	ausgießen	_	OC	2
15	?	?	SENT	?	_	--	14

1	Und	Und	KON	und	_	JU	2
2	damit	damit	KOUS	damit	_	--	0
3	ich	ich	PPER	ich	nom|sg|*|1	SB	2
4	einfaͤltig	einfältig	ADJD	einfältig	pos	MO	15
5	bey	bei	APPR	bei	_	MO	15
6	dem	dem	ART	d	dat|sg|masc	NK	7
7	bleibe	bleibe	VVFIN	bleiben	dat|sg|neut	NK	5
8	/	/	$,	/	_	--	7
9	was	was	PWREL	was	nom|sg|neut	OA	15
10	schon	schon	ADV	schon	_	MO	11
11	in	in	APPR	in	_	MO	15
12	H.	H.	ADJA	heilig	dat|sg|neut	NK	11
13	Schrifft	Schrift	NN	Schrift	acc|sg|fem	OA	15
14	zu	zu	PTKZU	zu	_	PM	15
15	finden	finden	VVINF	finden	_	NK	2
16	;	;	SENT	;	_	--	15

1	Hat	Hat	VAFIN	haben	sg|3|pres|ind	--	0
2	dann	dann	ADV	dann	_	MO	8
3	der	der	ART	d	nom|sg|masc	NK	5
4	fromme	fromme	ADJA	fromm	nom|sg|masc|pos	NK	5
5	ARND	Arndt	NE	Arndt	nom|sg|masc	SB	1
6	die	die	ART	d	acc|sg|fem	NK	7
7	Unwarheit	Unwahrheit	NN	Unwahrheit	acc|sg|fem	OA	8
8	geredet	geredet	VVPP	reden	_	OC	1
9	/	/	$,	/	_	--	8
10	wann	wann	KOUS	wann	_	MO	12
11	er	er	PPER	er	nom|sg|masc|3	SB	12
12	gesagt	gesagt	VVPP	sagen	_	RC	1
13	:	:	SENT	:	_	--	12

1	GOtt	Gott	NE	Gott	nom|sg|masc	SB	2
2	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
3	die	die	ART	d	acc|sg|fem	NK	6
4	gantze	ganze	ADJA	ganz	acc|sg|fem|pos	NK	6
5	H.	H.	NN	H.	acc|sg|fem|pos	NK	6
6	Schrifft	Schrift	NN	Schrift	acc|sg|fem	OA	12
7	in	in	APPR	in	_	MO	12
8	den	den	ART	d	acc|sg|masc	NK	9
9	Geist	Geist	NN	Geist	acc|sg|masc	NK	7
10	und	und	KON	und	_	CD	9
11	Glauben	Glauben	NN	Glaube	acc|sg|masc	CJ	10
12	gelegt	gelegt	VVPP	legen	_	OC	2
13	/	/	$,	/	_	--	12
14	und	und	KON	und	_	CD	2
15	muß	muß	VMFIN	müssen	sg|3|pres|ind	CJ	14
16	alles	alles	PIS	all	nom|sg|neut	SB	15
17	in	in	APPR	in	_	MO	20
18	dir	dir	PPER	du	dat|sg|*|2	NK	17
19	geistlich	geistlich	ADJD	geistlich	pos	MO	20
20	geschehen	geschehen	VVINF	geschehen	_	OC	15
21	;	;	SENT	;	_	--	20

1	die	die	ART	d	nom|sg|fem	NK	3
2	gantze	ganze	ADJA	ganz	nom|sg|fem|pos	NK	3
3	Bibel	Bibel	NN	Bibel	nom|sg|fem	SB	4
4	fleust	fleust	ADJD	fleust	sg|3|pres|ind	--	0
5	zusammen	zusammen	PTKVZ	zusammen	_	MO	6
6	in	in	APPR	in	_	MO	4
7	ein	ein	ART	ein	acc|sg|neut	NK	8
8	Centrum	Zentrum	NN	Zentrum	acc|sg|neut	NK	6
9	oder	oder	KON	oder	_	CD	8
10	Mittel-Punct	Mittelpunkt	NN	Mittelpunkt	nom|sg|masc	CJ	9
11	in	in	APPR	in	_	MNR	8
12	dem	dem	ART	d	dat|sg|masc	NK	13
13	Menschen	Menschen	NN	Mensch	dat|sg|masc	NK	11
14	/	/	$,	/	_	--	13
15	gleichwie	gleichwie	ADV	gleichwie	_	CD	8
16	auch	auch	ADV	auch	_	MO	19
17	die	die	ART	d	acc|sg|fem	NK	19
18	gantze	ganze	ADJA	ganz	nom|sg|fem|pos	NK	19
19	Natur	Natur	NN	Natur	nom|sg|fem	CJ	15
20	?	?	SENT	?	_	--	19

1	Liebste	Liebste	ADJA	lieb	nom|sg|fem	--	0
2	Seele	Seele	NN	Seele	acc|sg|fem	NK	1
3	!	!	SENT	!	_	--	2

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	die	die	ART	d	nom|sg|fem	NK	5
4	heilsame	heilsame	ADJA	heilsam	nom|sg|fem|pos	NK	5
5	Gnade	Gnade	NN	Gnade	nom|sg|fem	PD	2
6	GOttes	Gottes	NE	Gott	gen|sg|masc	AG	5
7	allen	allen	PIAT	all	dat|pl|masc	NK	8
8	Menschen	Menschen	NN	Mensch	dat|pl|masc	DA	9
9	erschienen	erschienen	VVPP	erscheinen	_	OC	2
10	und	und	KON	und	_	CD	9
11	auffgegangen	aufgegangen	VVPP	aufgehen	_	CJ	10
12	/	/	$,	/	_	--	11
13	wie	wie	KOUS	wie	_	CM	15
14	die	die	ART	d	nom|sg|fem	NK	15
15	Schrifft	Schrift	NN	Schrift	nom|sg|fem	MO	16
16	zeuget	zeuget	VVFIN	zeugen	_	RE	1
17	;	;	SENT	;	_	--	16

1	Soll	Soll	VMFIN	sollen	sg|3|pres|ind	--	0
2	sie	sie	PPER	Sie	nom|sg|fem|3	SB	1
3	aber	aber	ADV	aber	_	MO	1
4	nicht	nicht	PTKNEG	nicht	_	NG	1
5	auch	auch	ADV	auch	_	MO	6
6	in	in	APPR	in	_	MO	11
7	dir	dir	PPER	du	dat|sg|*|2	NK	6
8	und	und	KON	und	_	CD	6
9	in	in	APPR	in	_	CJ	8
10	mir	mir	PPER	ich	dat|sg|*|1	NK	9
11	auffgehen	aufgehen	VVINF	aufgehen	_	OC	1
12	?	?	SENT	?	_	--	11

1	Maria	Maria	NE	Maria	nom|sg|fem	SB	2
2	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
3	den	den	ART	d	acc|sg|masc	NK	4
4	Sohn	Sohn	NN	Sohn	acc|sg|masc	OA	12
5	GOttes	Gottes	NE	Gott	gen|sg|masc	AG	4
6	/	/	$,	/	_	--	5
7	JEsum	JEsum	NE	Jesus	nom|sg|masc	CJ	5
8	/	/	$,	/	_	--	7
9	nach	nach	APPR	nach	_	MO	12
10	dem	dem	ART	d	dat|sg|masc	NK	11
11	Fleisch	Fleisch	NN	Fleisch	dat|sg|masc	NK	9
12	geboren	geboren	VVPP	gebären	_	OC	2
13	/	/	$,	/	_	--	12
14	wie	wie	KOUS	wie	_	MO	17
15	die	die	ART	d	nom|sg|fem	NK	16
16	Schrifft	Schrift	NN	Schrift	nom|sg|fem	SB	17
17	lehret	lehrt	VVFIN	lehren	sg|3|pres|ind	MO	12
18	;	;	SENT	;	_	--	17

1	Soll	Soll	VMFIN	sollen	sg|3|pres|ind	--	0
2	aber	aber	ADV	aber	_	MO	1
3	JEsus	JEsus	NE	Jesus	nom|sg|masc	SB	1
4	nicht	nicht	PTKNEG	nicht	_	NG	1
5	auch	auch	ADV	auch	_	MO	6
6	in	in	APPR	in	_	MO	14
7	dir	dir	PPER	du	dat|sg|*|2	NK	6
8	und	und	KON	und	_	CD	6
9	in	in	APPR	in	_	CJ	8
10	mir	mir	PPER	ich	dat|sg|*|1	NK	9
11	geistlich	geistlich	ADJD	geistlich	pos	MO	14
12	und	und	KON	und	_	CD	11
13	warhafftig	wahrhaftig	ADJD	wahrhaftig	pos	CJ	12
14	geboren	geboren	VVPP	gebären	_	OC	15
15	werden	werden	VAINF	werden	_	OC	1
16	?	?	SENT	?	_	--	15

1	Der	Der	ART	d	nom|sg|masc	NK	2
2	Vater	Vater	NN	Vater	nom|sg|masc	SB	3
3	will	will	VMFIN	wollen	sg|3|pres|ind	--	0
4	sein	sein	PPOSAT	sein	acc|sg|neut	NK	6
5	heiliges	heiliges	ADJA	heiliges	acc|sg|neut|pos	NK	6
6	Kind	Kind	NN	Kind	acc|sg|neut	OA	11
7	JEsum	JEsum	NE	Jesus	acc|sg|neut	NK	6
8	in	in	APPR	in	_	MO	11
9	der	der	ART	d	dat|sg|fem	NK	10
10	Welt	Welt	NN	Welt	dat|sg|fem	NK	8
11	verklaͤren	verklären	VVINF	verklären	_	OC	3
12	und	und	KON	und	_	CD	11
13	offenbaren	offenbaren	VVINF	offenbaren	_	CJ	12
14	/	/	$,	/	_	--	13
15	wie	wie	KOUS	wie	_	MO	18
16	die	die	ART	d	nom|sg|fem	NK	17
17	Schrifft	Schrift	NN	Schrift	nom|sg|fem	SB	18
18	sagt	sagt	VVFIN	sagen	sg|3|pres|ind	MO	13
19	;	;	SENT	;	_	--	18

1	Soll	Soll	VMFIN	sollen	sg|3|pres|ind	--	0
2	aber	aber	ADV	aber	_	MO	1
3	der	der	ART	d	nom|sg|masc	NK	5
4	treue	treue	ADJA	treu	nom|sg|masc|pos	NK	5
5	Vater	Vater	NN	Vater	nom|sg|masc	SB	1
6	diesen	diesen	PDAT	dies	acc|sg|masc	NK	7
7	Heyland	Heiland	NN	Heiland	acc|sg|masc	OA	15
8	nicht	nicht	PTKNEG	nicht	_	NG	1
9	auch	auch	ADV	auch	_	MO	10
10	in	in	APPR	in	_	MO	15
11	dir	dir	PPER	du	dat|sg|*|2	NK	10
12	und	und	KON	und	_	CD	10
13	in	in	APPR	in	_	CJ	12
14	mir	mir	PPER	ich	dat|sg|*|1	NK	13
15	offenbaren	offenbaren	VVINF	offenbaren	_	OC	1
16	?	?	SENT	?	_	--	15

1	Wann	Wann	KOUS	wann	_	MO	17
2	du	du	PPER	du	nom|sg|*|2	EP	17
3	auff	auf	APPR	auf	_	MO	17
4	das	das	ART	d	acc|sg|neut	NK	7
5	festere	festere	ADJA	festere	acc|sg|neut|pos	NK	7
6	Prophetische	Prophetische	NN	Prophetische	acc|sg|neut|pos	NK	7
7	Wort	Wort	NN	Wort	acc|sg|neut	NK	3
8	achtest	achtest	VVFIN	achtest	nom|sg|masc	NK	7
9	/	/	$,	/	_	--	8
10	als	als	KOKOM	als	_	CM	11
11	auff	auf	APPR	auf	_	CC	7
12	ein	ein	ART	ein	acc|sg|neut	NK	13
13	Licht	Licht	NN	Licht	acc|sg|neut	NK	11
14	/	/	$,	/	_	--	13
15	das	das	PRELS	d	nom|sg|neut	SB	17
16	da	da	ADV	da	_	MO	17
17	scheinet	scheinet	VVFIN	scheinen	sg|3|pres|ind	--	0
18	in	in	APPR	in	_	MO	17
19	einem	einem	ART	ein	dat|sg|masc	NK	21
20	duncklen	dunklen	ADJA	dunkel	dat|sg|masc|pos	NK	21
21	Ort	Ort	NN	Ort	dat|sg|masc	NK	18
22	;	;	SENT	;	_	--	21

1	Soll	Soll	VMFIN	sollen	sg|3|pres|ind	--	0
2	es	es	PPER	es	nom|sg|neut|3	EP	1
3	darum	darum	PAV	darum	_	MO	1
4	nicht	nicht	PTKNEG	nicht	_	NG	1
5	weiter	weiter	ADV	weit	_	MO	6
6	kommen	kommen	VVINF	kommen	_	OC	1
7	?	?	SENT	?	_	--	6

1	Soll	Soll	VMFIN	sollen	sg|3|pres|ind	--	0
2	es	es	PPER	es	nom|sg|neut|3	SB	1
3	nicht	nicht	PTKNEG	nicht	_	NG	1
4	Tag	Tag	NN	Tag	dat|sg|masc	PD	7
5	in	in	APPR	in	_	MNR	4
6	dir	dir	PPER	du	dat|sg|*|2	NK	5
7	werden	werden	VAINF	werden	_	OC	1
8	?	?	SENT	?	_	--	7

1	Soll	Soll	VMFIN	sollen	sg|3|pres|ind	--	0
2	nicht	nicht	PTKNEG	nicht	_	NG	1
3	der	der	ART	d	nom|sg|masc	NK	5
4	helle	helle	ADJA	hell	nom|sg|masc|pos	NK	5
5	Morgenstern	Morgenstern	NN	Morgenstern	nom|sg|masc	SB	1
6	/	/	$,	/	_	--	5
7	JEsus	JEsus	NE	Jesus	nom|sg|masc	PNC	8
8	CHristus	CHristus	NE	Christus	nom|sg|masc	NK	5
9	selbst	selbst	PRF	selbst	_	MO	14
10	/	/	$,	/	_	--	9
11	in	in	APPR	in	_	MO	14
12	deinem	deinem	PPOSAT	dein	dat|sg|masc	NK	13
13	Hertzen	Herzen	NN	Herz	dat|sg|neut	NK	11
14	auffgehen	aufgehen	VVINF	aufgehen	_	OC	1
15	?	?	SENT	?	_	--	14

1	In	In	APPR	in	_	MO	4
2	Betrachtung	Betrachtung	NN	Betrachtung	dat|sg|fem	NK	1
3	dessen	dessen	PDS	d	gen|sg|neut	AG	2
4	hoffe	hoffe	VVFIN	hoffen	sg|1|pres|ind	--	0
5	ich	ich	PPER	ich	nom|sg|*|1	SB	4
6	nicht	nicht	PTKNEG	nicht	_	NG	4
7	/	/	$,	/	_	--	6
8	daß	daß	KOUS	daß	_	CP	13
9	jemand	jemand	PIS	jemand	nom|sg|masc	SB	13
10	unter	unter	APPR	unter	_	MO	12
11	uns	uns	PPER	wir	dat|pl|*|1	NK	10
12	seyn	sein	VAINF	sein	_	OC	13
13	wird	wird	VAFIN	werden	sg|3|pres|ind	OC	4
14	/	/	$,	/	_	--	13
15	der	der	PRELS	d	nom|sg|masc	NK	17
16	solche	solche	PIAT	solch	acc|pl|fem	NK	17
17	Erscheinungen	Erscheinungen	NN	Erscheinung	gen|pl|fem	SB	27
18	des	des	ART	d	gen|sg|masc	NK	19
19	HErrn	Herrn	NN	Herr	gen|sg|masc	AG	17
20	JEsu	JEsu	NE	Jesus	nom|sg|masc	NK	19
21	nur	nur	ADV	nur	_	MO	22
22	in	in	APPR	in	_	MO	26
23	den	den	ART	d	acc|sg|masc	NK	25
24	geringsten	geringsten	ADJA	gering	acc|sg|masc|sup	NK	25
25	Zweiffel	Zweifel	NN	Zweifel	acc|sg|masc	NK	22
26	ziehen	ziehen	VVINF	ziehen	_	OC	27
27	werde	werde	VAFIN	werden	sg|3|pres|subj	SB	13
28	;	;	SENT	;	_	--	27

1	Ach	Ach	ITJ	ach	_	DM	9
2	/	/	$,	/	_	--	1
3	ich	ich	PPER	ich	nom|sg|*|1	SB	4
4	meine	meine	VVFIN	meinen	sg|1|pres|ind	--	0
5	ja	ja	ADV	ja	_	MO	4
6	/	/	$,	/	_	--	5
7	wir	wir	PPER	wir	nom|pl|*|1	SB	8
8	bedoͤrffen	bedörffen	VVFIN	bedörffen	pl|1|pres|ind	OC	4
9	taͤglich	täglich	ADJD	täglich	pos	MO	8
10	der	der	ART	d	dat|sg|fem	NK	11
11	Erscheinung	Erscheinung	NN	Erscheinung	dat|sg|fem	DA	8
12	und	und	KON	und	_	CD	11
13	Offenbarung	Offenbarung	NN	Offenbarung	dat|sg|fem	CJ	12
14	JEsu	JEsu	NE	Jesus	nom|sg|masc	PNC	15
15	CHristi	CHristi	NE	Christus	nom|sg|masc	NK	11
16	!	!	SENT	!	_	--	15

1	Liegen	Liegen	VVFIN	liegen	pl|1|pres|ind	--	0
2	wir	wir	PPER	wir	nom|pl|*|1	SB	1
3	nicht	nicht	PTKNEG	nicht	_	NG	4
4	alle	alle	PIAT	all	nom|pl|*	NK	2
5	von	von	APPR	von	_	PG	4
6	Natur	Natur	NN	Natur	dat|sg|fem	NK	5
7	in	in	APPR	in	_	MO	1
8	einer	einer	ART	ein	dat|sg|fem	NK	12
9	stock-dicken	stock-dicken	ADJA	stock-dicken	dat|sg|fem|pos	NK	12
10	/	/	$,	/	_	--	9
11	grausamen	grausamen	ADJA	grausam	acc|sg|masc|pos	NK	12
12	Finsternuß	Finsternuß	NN	Finsternuß	acc|sg|masc	NK	7
13	?	?	SENT	?	_	--	12

1	Ist	Ist	VAFIN	sein	sg|3|pres|ind	MO	16
2	nicht	nicht	PTKNEG	nicht	_	NG	3
3	Verstand	Verstand	NN	Verstand	nom|sg|masc	SB	1
4	/	/	$,	/	_	--	3
5	Wille	Wille	NN	Wille	nom|sg|masc	CJ	3
6	/	/	$,	/	_	--	5
7	Hertz	Herz	NN	Herz	nom|sg|neut	CJ	5
8	/	/	$,	/	_	--	7
9	Sinn	Sinn	NN	Sinn	acc|sg|masc	CJ	7
10	/	/	$,	/	_	--	9
11	Affecten	Affekten	NN	Affekt	dat|pl|masc	CJ	9
12	/	/	$,	/	_	--	11
13	Begierden	Begierden	NN	Begierde	dat|pl|*	CJ	11
14	und	und	KON	und	_	CD	11
15	alles	alles	PIS	all	acc|sg|neut	CJ	14
16	verfinstert	verfinstert	VVPP	verfinstert	sg|3|pres|ind	--	0
17	?	?	SENT	?	_	--	16

1	Nun	Nun	ADV	nun	_	MO	3
2	aber	aber	ADV	aber	_	MO	1
3	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
