

1	PNC	CAPVT.	FM	CAPVT.	abbr	CAPVT.	2
17	NG	nicht	PTKNEG	nicht	word	nicht	15
18	--	,	$,	,	punctuation	,	17
19	MO	wie	KOKOM	wie	word	wie	20
20	MO	gnädig	ADJD	gnädig	word	gnaͤdig	26
21	SB	er	PPER	er	word	er	26
22	OA	sich	PRF	er|es|sie	word	sich	25
23	MO	gegen	APPR	gegen	word	gegen	25
24	NK	mich	PPER	ich	word	mich	23
25	OC	erweisen	VVINF	erweisen	word	erweisen	26
26	OC	sollte	VMFIN	sollen	word	solte	15
27	--	,	$,	,	punctuation	,	26
28	CJ	ließ	VVFIN	lassen	word	ließ	15
29	DA	mir	PPER	ich	word	mir	28
30	MO	auch	ADV	auch	word	auch	28
31	MO	alsbald	ADV	alsbald	word	alsbald	42
32	MO	nach	APPR	nach	word	nach	42
33	NK	kurzem	ADV	kurz	word	kurtzem	34
34	NK	Aufenthalte	NN	Aufenthalt	word	Aufenthalte	32
35	NK	eine	ART	ein	word	eine	39
36	NK	prächtige	ADJA	prächtig	word	praͤchtige	39
37	CD	und	KON	und	word	und	36
38	CJ	kostbare	ADJA	kostbar	word	kostbare	37
39	OA	Kutsche	NN	Kutsche	word	Kutsche	42
40	CD	oder	KON	oder	word	oder	39
41	CJ	Wagen	NN	Wagen	word	Wagen	40
42	OC	verfertigen	VVINF	verfertigen	word	verfertigen	28
43	--	,	$,	,	punctuation	,	42
44	MO	auf	APPR	auf	word	auf	50
45	NK	welcher	PRELAT	welch	word	welcher	44
46	--	,	$,	,	punctuation	,	45
47	CP	wenn	KOUS	wenn	word	wenn	51
48	NK	dieser	PDAT	dies	word	dieser	49
49	SB	Kaiser	NN	Kaiser	word	Kayser	51
50	OC	ausfahren	VVFIN	ausfahren	word	ausfahren	51
51	MO	würde	VAFIN	werden	word	wuͤrde	28
52	--	,	$,	,	punctuation	,	51
53	OA	demselben	PDS	derselbe	word	demselben	54
54	OC	begleiten	VVFIN	begleiten	word	begleiten	50
55	--	,	$,	,	punctuation	,	54
56	CD	und	KON	und	word	und	51
57	MO	bei	APPR	bei	word	bey	60
58	NK	solcher	PIAT	solch	word	solcher	59
59	NK	Gelegenheit	NN	Gelegenheit	word	Gelegenheit	57
60	OC	erlustigen	VVINF	erlustigen	word	erlustigen	63
61	CD	und	KON	und	word	und	60
62	CJ	vergnügen	VVINF	vergnügen	word	vergnuͤgen	61
63	CJ	sollte	VMFIN	sollen	word	solte	56
64	--	.	SENT	.	punctuation	.	63

1	NK	Diese	PDAT	dies	word	Diese	2
2	SB	Anstalt	NN	Anstalt	word	Anstalt	7
3	CD	und	KON	und	word	und	2
4	CJ	Einrichtung	NN	Einrichtung	word	Einrichtung	3
5	NK	des	ART	d	word	des	6
6	AG	Kaisers	NN	Kaiser	word	Kaysers	2
7	--	sah	VVFIN	sehen	word	sahe	0
8	NG	nicht	PTKNEG	nicht	word	nicht	7
9	MO	ungern	ADV	ungern	word	ungerne	7
10	--	,	$,	,	punctuation	,	9
11	CD	sondern	KON	sondern	word	sondern	7
12	CJ	war	VAFIN	sein	word	war	11
13	MO	im	APPRART	im	word	im	16
14	NK	Gegenteil	NN	Gegenteil	word	Gegentheil	13
15	NK	Recht	NN	Recht	word	recht	14
16	OC	angenehm	ADJD	angenehm	word	angenehm	12
17	--	,	$,	,	punctuation	,	16
18	CP	indem	KOUS	indem	word	indem	29
19	DA	mir	PPER	ich	word	mir	28
20	NK	solches	PIS	solch	word	solches	22
21	NK	manche	PIAT	manch	word	manche	22
22	OA	Gelegenheit	NN	Gelegenheit	word	Gelegenheit	28
23	CD	und	KON	und	word	und	22
24	CJ	Ursache	NN	Ursache	word	Ursache	23
25	MO	an	APPR	an	word	an	28
26	NK	die	ART	d	word	die	27
27	NK	Hand	NN	Hand	word	Hand	25
28	OC	geben	VVINF	geben	word	geben	29
29	MO	würde	VAFIN	werden	word	wuͤrde	16
30	--	,	$,	,	punctuation	,	29
31	NK	diese	PDS	dies	word	diese	34
32	CD	und	KON	und	word	und	31
33	CJ	jene	PDS	jen	word	jene	32
34	OA	Veränderung	NN	Veränderung	word	Veraͤnderung	35
35	OC	anzustellen	VVIZU	anstellen	word	anzustellen	27
36	CD	und	KON	und	word	und	35
37	MO	dabei	PAV	dabei	word	dabey	38
38	CJ	auszuüben	VVIZU	ausüben	word	auszuuͤben	36
39	--	.	SENT	.	punctuation	.	38

1	JU	Denn	KON	denn	word	Denn	26
2	--	,	$,	,	punctuation	,	1
3	CP	nachdem	KOUS	nachdem	word	nachdem	8
4	NK	der	ART	d	word	der	5
5	SB	Kaiser	NN	Kaiser	word	Kayser	8
6	OA	sich	PRF	er|es|sie	word	sich	8
7	NK	einsmalen	ADV	einsmalen	word	einsmalen	43
8	RE	entschlossen	VVPP	entschließen	word	entschlossen	25
9	--	,	$,	,	punctuation	,	8
10	MO	auf	APPR	auf	word	auf	14
11	NK	die	ART	d	word	die	12
12	NK	Jagd	NN	Jagd	word	Jagd	10
13	PM	zu	PTKZU	zu	word	zu	14
14	OC	begeben	VVINF	begeben	word	begeben	8
15	--	,	$,	,	punctuation	,	14
16	CP	um	KOUI	um	word	um	21
17	OA	sich	PRF	er|es|sie	word	sich	21
18	MO	auf	APPR	auf	word	auf	21
19	NK	derselben	PDS	derselbe	word	derselben	18
20	PM	zu	PTKZU	zu	word	zu	21
21	MO	divertieren	VVINF	divertieren	word	divertiren	14
22	CD	und	KON	und	word	und	21
23	CJ	belustigen	VVINF	belustigen	word	belustigen	22
24	--	,	$,	,	punctuation	,	23
25	MO	so	ADV	so	word	so	33
26	--	wurde	VAFIN	werden	word	wurde	0
27	DA	mir	PPER	ich	word	mir	33
28	SB	solches	PIS	solch	word	solches	26
29	MO	alsobald	ADV	alsbald	word	alsobald	33
30	SBP	von	APPR	von	word	von	33
31	NK	demselben	PDS	derselbe	word	demselben	30
32	MO	allergnädigst	ADJD	allergnädigst	word	allergnaͤdigst	33
33	OC	angetragen	VVPP	antragen	word	angetragen	26
34	--	,	$,	,	punctuation	,	33
35	CP	daß	KOUS	daß	word	daß	38
36	MO	nämlich	ADV	nämlich	word	nemlich	38
37	SB	derselben	PDS	derselbe	word	derselben	38
38	CC	beiwohnen	VVINF	beiwohnen	word	beywohnen	25
39	--	,	$,	,	punctuation	,	38
40	CD	und	KON	und	word	und	26
41	OA	Kompanie	NN	Kompanie	word	Compagnie	44
42	CD	oder	KON	oder	word	oder	41
43	CJ	Gesellschaft	NN	Gesellschaft	word	Gesellschaft	42
44	OC	leisten	VVINF	leisten	word	leisten	45
45	CJ	möchte	VMFIN	mögen	word	moͤchte	40
46	--	,	$,	,	punctuation	,	45
47	NK	welches	PRELS	welch	word	welches	48
48	OA	Verlangen	NN	Verlangen	word	Verlangen	53
49	CD	und	KON	und	word	und	48
50	CJ	Begehren	NN	begehren	word	Begehren	49
51	MO	auch	ADV	auch	word	auch	52
52	MO	nachgehend	ADJA	nachgehend	word	nachgehends	53
53	RC	erfüllte	VVFIN	erfüllen	word	erfuͤllete	31
54	--	.	SENT	.	punctuation	.	53

1	NK	Der	ART	d	word	Der	2
2	SB	Kaiser	NN	Kaiser	word	Kayser	3
3	--	ließ	VVFIN	lassen	word	ließ	0
4	MO	derohalben	PAV	derohalben	word	derohalben	3
5	MO	an	APPR	an	word	an	11
6	NK	seine	PPOSAT	sein	word	seine	8
7	NK	sämtliche	ADJA	sämtlich	word	saͤmtliche	8
8	NK	Bedienung	NN	Bedienung	word	Bedienung	5
9	NK	den	ART	d	word	den	10
10	OA	Befehl	NN	Befehl	word	Befehl	11
11	OC	ergehen	VVINF	ergehen	word	ergehen	3
12	--	,	$,	,	punctuation	,	11
13	CP	daß	KOUS	daß	word	daß	24
14	SB	die	PRELS	d	word	die	24
15	OA	sich	PRF	er|es|sie	word	sich	20
16	MO	zu	APPR	zu	word	zu	20
17	NK	dieser	PDAT	dies	word	dieser	18
18	NK	Lust-Jagd	NN	Lust-Jagd	word	Lust-Jagd	16
19	MO	wohl	ADV	wohl	word	wohl	20
20	OC	präparieren	VVFIN	präparieren	word	præpariren	24
21	CD	und	KON	und	word	und	20
22	MO	bereit	ADJD	bereit	word	bereit	23
23	CJ	halten	VVINF	halten	word	halten	21
24	OC	sollten	VMFIN	sollen	word	solten	11
25	--	,	$,	,	punctuation	,	24
26	CP	damit	KOUS	damit	word	damit	35
27	SB	alles	PIS	all	word	alles	35
28	MO	ordentlich	ADJD	ordentlich	word	ordentlich	32
29	CD	und	KON	und	word	und	28
30	MO	wohl	ADV	wohl	word	wohl	31
31	CJ	eingerichtet	VVPP	einrichten	word	eingerichtet	29
32	OC	angetroffen	VVPP	antreffen	word	angetroffen	35
33	CD	und	KON	und	word	und	32
34	CJ	erfunden	VVPP	erfinden	word	erfunden	33
35	MO	werde	VAFIN	werden	word	werde	24
36	--	.	SENT	.	punctuation	.	35

1	MO	Nun	ADV	nun	word	Nun	2
2	--	geschahe	VVFIN	geschehen	word	geschahe	0
3	OA	es	PPER	es	word	es	2
4	--	,	$,	,	punctuation	,	3
5	CP	daß	KOUS	daß	word	daß	13
6	NK	der	ART	d	word	der	7
7	SB	Kaiser	NN	Kaiser	word	Kayser	13
8	MNR	zu	APPR	zu	word	zu	7
9	NK	der	ART	d	word	der	10
10	NK	Jagd	NN	Jagd	word	Jagd	8
11	OA	sich	PRF	er|es|sie	word	sich	13
12	MO	wirklich	ADJD	wirklich	word	wuͤrcklich	13
13	RE	aufmachte	VVFIN	aufmachte	word	aufmachte	3
14	--	,	$,	,	punctuation	,	13
15	OA	sich	PRF	er|es|sie	word	sich	21
16	MO	nach	APPR	nach	word	nach	21
17	NK	dem	ART	d	word	dem	19
18	NK	hohen	ADJA	hoch	word	hohen	19
19	NK	Walde	NE	Walde	word	Walde	16
20	PM	zu	PTKVZ	zu	word	zu	21
21	CJ	begab	VVFIN	begeben	word	begab	13
22	--	,	$,	,	punctuation	,	21
23	MO	wobei	KOUS	wobei	word	wobey	29
24	NK	die	ART	d	word	die	26
25	NK	sämtlichen	PIAT	sämtlicher	word	saͤmtlichen	26
26	SB	Bedienten	NA	Bediente	word	Bedienten	29
27	OA	denselben	PDS	derselbe	word	denselben	28
28	OC	begleiten	VVINF	begleiten	word	begleiten	29
29	MO	mußten	VMFIN	müssen	word	musten	21
30	--	,	$,	,	punctuation	,	29
31	MO	worunter	ADV	worunter	word	worunter	38
32	MO	allerdings	ADV	allerdings	word	allerdings	38
33	NK	meine	PPOSAT	mein	word	meine	34
34	SB	Person	NN	Person	word	Person	38
35	MO	auch	ADV	auch	word	auch	38
36	MO	mit	ADV	mit	word	mit	37
37	PD	begriffen	VVPP	begreifen	word	begriffen	38
38	MO	war	VAFIN	sein	word	war	29
39	--	,	$,	,	punctuation	,	38
40	MO	bei	APPR	bei	word	bey	54
41	NK	welcher	PRELAT	welch	word	welcher	42
42	NK	Gelegenheit	NN	Gelegenheit	word	Gelegenheit	40
43	NK	einen	ART	ein	word	einen	36
44	CD	und	KON	und	word	und	43
45	NK	den	ART	d	word	den	46
46	CJ	anderen	PIS	ander	word	andern	44
47	PG	von	APPR	von	word	von	43
48	NK	diesen	PDAT	dies	word	diesen	49
49	NK	Bedienten	NA	Bediente	word	Bedienten	47
50	MO	auf	APPR	auf	word	auf	54
51	NK	dem	ART	d	word	dem	52
52	NK	Wege	NN	Weg	word	Wege	50
53	MO	ziemlich	ADV	ziemlich	word	ziemlich	54
54	CJ	vexirte	VVFIN	vexirte	word	vexirte	21
55	--	,	$,	,	punctuation	,	54
56	CP	indem	KOUS	indem	word	indem	73
57	SB	dieselben	PDS	derselbe	word	dieselben	73
58	MO	bald	ADV	bald	word	bald	73
59	MO	mit	APPR	mit	word	mit	73
60	NK	der	ART	d	word	der	61
61	NK	Gestalt	NN	Gestalt	word	Gestalt	59
62	NK	eines	ART	ein	word	eines	64
63	NK	ungeheuren	ADJA	ungeheuer	word	ungeheuren	64
64	AG	Vogels	NE	Vogel	word	Vogels	61
65	--	,	$,	,	punctuation	,	64
66	MO	bald	ADV	bald	word	bald	73
67	MO	aber	ADV	aber	word	aber	73
68	MO	auch	ADV	auch	word	auch	71
69	NK	eines	ART	ein	word	eines	71
70	NK	unvernünftigen	ADJA	unvernünftigen	word	unvernuͤnftigen	71
71	SB	Tiersäfte	NN	Tiersaft	word	Thieresaͤffete	73
74	--	,	$,	,	punctuation	,	73
75	CD	und	KON	und	word	und	73
76	CP	ob	KOUS	ob	word	ob	87
77	SB	dieselbe	PDS	derselbe	word	dieselbe	87
78	MO	zwar	ADV	zwar	word	zwar	87
79	MO	anfänglich	ADJD	anfänglich	word	anfaͤnglich	87
80	OA	sich	PRF	er|es|sie	word	sich	87
81	OP	über	APPR	über	word	uͤber	87
82	NK	die	ART	d	word	die	86
83	SBP	von	APPR	von	word	von	85
84	NK	mir	PPER	ich	word	mir	83
85	NK	hervorgebrachte	ADJA	hervorgebrachte	word	hervorgebrachte	86
86	NK	Kunst-Stücke	NN	Kunst-Stücke	word	Kunst-Stuͤcke	81
87	RE	erfreueten	VVFIN	erfreueten	word	erfreueten	89
88	--	,	$,	,	punctuation	,	87
89	MO	so	ADV	so	word	so	90
90	CJ	nahm	VVFIN	nehmen	word	nahm	75
91	MO	doch	ADV	doch	word	doch	90
92	OA	solches	PIS	solch	word	solches	102
93	NK	ein	ART	ein	word	ein	97
94	NK	betrübtes	ADJA	betrübtes	word	betruͤbtes	97
95	CD	und	KON	und	word	und	94
96	CJ	trauriges	ADJA	traurig	word	trauriges	95
97	OA	Ende	NN	Ende	word	Ende	90
98	--	,	$,	,	punctuation	,	97
99	SB	welches	PRELS	welch	word	welches	103
100	MO	hernachmals	ADV	hernachmals	word	hernachmals	102
101	MO	bald	ADV	bald	word	bald	102
102	OC	anführen	VVINF	anführen	word	anfuͤhren	103
103	RC	werde	VAFIN	werden	word	werde	97
104	--	.	SENT	.	punctuation	.	103

1	MO	Damit	KOUS	damit	word	Damit	9
2	MO	aber	ADV	aber	word	aber	9
3	MO	bei	APPR	bei	word	bey	9
4	NK	der	ART	d	word	der	5
5	NK	Klinge	NN	Klinge	word	Klinge	3
6	CD	und	KON	und	word	und	5
7	CJ	Sache	NN	Sache	word	Sache	6
8	MO	selbst	PRF	selbst	word	selbsten	9
9	RE	verbleibe	VVFIN	verbleiben	word	verbleibe	24
10	--	,	$,	,	punctuation	,	9
11	CD	und	KON	und	word	und	9
12	MO	vorher	ADV	vorher	word	vorher	13
13	CJ	Tiersaefte	VVPP	erwähne	word	erwehne	11
14	--	,	$,	,	punctuation	,	13
15	MO	wie	KOUS	wie	word	wie	31
16	EP	es	PPER	es	word	es	22
17	MO	auf	APPR	auf	word	auf	22
18	NK	gegenwärtiger	ADJA	gegenwärtig	word	gegenwaͤrtiger	19
19	NK	Jagd	NN	Jagd	word	Jagd	17
20	MO	selbst	PRF	selbst	word	selbst	22
21	PM	zu	APPR	zu	word	zu	22
22	OC	ganzen	ADJA	ganz	word	gangen	13
23	--	,	$,	,	punctuation	,	22
24	MO	so	ADV	so	word	so	25
25	--	will	VMFIN	wollen	word	will	0
26	SB	dasselbe	PDS	derselbe	word	dasselbe	25
27	MO	nun	ADV	nun	word	nun	25
28	MO	mit	APPR	mit	word	mit	31
29	NK	nachstehenden	ADJA	nachstehenden	word	nachstehenden	30
30	NK	Umständen	NN	Umstand	word	Umstaͤnden	28
31	OC	bemerken	VVINF	bemerken	word	bemercken	25
32	CD	und	KON	und	word	und	31
33	CJ	anführen	VVINF	anführen	word	anfuͤhren	32
34	--	.	SENT	.	punctuation	.	33

1	NK	Diese	PDAT	dies	word	Diese	2
2	SB	Jagd	NN	Jagd	word	Jagd	3
3	--	gewohne	VVFIN	gewohne	word	gewonne	0
4	MO	also	ADV	also	word	also	3
5	NK	ihren	PPOSAT	ihr	word	ihren	7
6	NK	wirklichen	ADJA	wirklich	word	wuͤrcklichen	7
7	OA	Anfang	NN	Anfang	word	Anfang	3
8	--	,	$,	,	punctuation	,	7
9	CD	und	KON	und	word	und	3
10	CJ	ging	VVFIN	gehen	word	gieng	9
11	NK	das	ART	d	word	das	12
12	OA	Schiesen	ADJA	Schiesen	word	Schiesen	10
13	MO	hin	TRUNC	hin-	word	hin	10
14	CD	und	KON	und	word	und	13
15	CJ	wieder	ADV	wieder	word	wieder	14
16	SVP	los	PTKVZ	los	word	loß	10
17	--	,	$,	,	punctuation	,	16
18	MO	so	ADV	so	word	so	36
19	CP	daß	KOUS	daß	word	daß	36
20	MO	auch	ADV	auch	word	auch	22
21	NK	ziemlicher	ADJA	ziemlich	word	ziemlicher	22
22	AG	Massen	NN	Masse	word	massen	12
23	MO	mit	PTKVZ	mit	word	mit	35
24	NK	losfeuerte	VVFIN	losfeuerte	word	loßfeuerte	23
25	--	,	$,	,	punctuation	,	24
26	MO	selten	ADJD	selten	word	selten	36
27	MO	aber	ADV	aber	word	aber	26
28	NK	ein	ART	ein	word	ein	29
29	OA	Stück	NN	Stück	word	Stuͤck	35
30	PG	von	APPR	von	word	von	29
31	NK	denen	ART	d	word	denen	34
32	NK	aufgebrachten	ADJA	aufgebracht	word	aufgebrachten	34
33	NK	wilden	ADJA	wild	word	wilden	34
34	NK	Tieren	NN	Tier	word	Thieren	30
35	OC	erlegen	VVINF	erliegen	word	erlegen	36
36	MO	konnte	VMFIN	können	word	konte	10
37	--	,	$,	,	punctuation	,	36
38	CD	sondern	KON	sondern	word	sondern	36
39	MO	zum	PTKA	zum	word	zum	42
40	NK	öfteren	PIS	öfter	word	oͤftern	39
41	MO	vorbei	ADV	vorbei	word	vorbey	42
42	CJ	Schoße	NN	Schoß	word	schosse	38
43	CD	und	KON	und	word	und	38
44	CJ	fehlte	VVFIN	fehlen	word	fehlete	43
45	--	,	$,	,	punctuation	,	44
46	MO	weshalben	ADV	weshalben	word	weshalben	56
47	SBP	von	APPR	von	word	von	56
48	NK	denen	ART	d	word	denen	50
49	NK	anderen	ADJA	ander	word	andern	50
50	NK	Bedienten	NA	Bediente	word	Bedienten	47
51	NK	meines	PPOSAT	mein	word	meines	52
52	AG	Kaisers	NN	Kaiser	word	Kaysers	50
53	MO	sehr	ADV	sehr	word	sehr	54
54	MO	verhöhnet	VVPP	verhöhnet	word	verhoͤhnet	36
55	--	,	$,	,	punctuation	,	54
56	OC	verspottet	VVPP	verspotten	word	verspottet	59
57	CD	und	KON	und	word	und	56
58	CJ	verlachet	VVPP	verlachet	word	verlachet	57
59	CJ	wurde	VAFIN	werden	word	wurde	38
60	--	,	$,	,	punctuation	,	59
61	MO	zugleich	ADV	zugleich	word	zugleich	67
62	MO	auch	ADV	auch	word	auch	67
63	NK	diese	PDAT	dies	word	diese	65
64	NK	empfindliche	ADJA	empfindlich	word	empfindliche	65
65	OA	Worte	NN	Wort	word	Worte	66
66	OC	vernehmen	VVINF	vernehmen	word	vernehmen	67
67	CJ	mußte	VMFIN	müssen	word	muste	59
68	--	,	$,	,	punctuation	,	67
69	CP	daß	KOUS	daß	word	daß	74
70	MO	doch	ADV	doch	word	doch	74
71	MO	nur	ADV	nur	word	nur	74
72	NK	meine	PPOSAT	mein	word	meine	73
73	OA	Kunst	NN	Kunst	word	Kunst	74
74	MO	abwarten	VVINF	abwarten	word	abwarten	67
75	CD	oder	KON	oder	word	oder	74
76	MO	bei	APPR	bei	word	bey	81
77	NK	der	ART	d	word	der	78
78	NK	Schere	NN	Schere	word	Scheere	76
79	CD	und	KON	und	word	und	78
80	CJ	Biegeleisen	NN	Biegeleisen	word	Biegeleisen	79
81	OC	verbleiben	VVINF	verbleiben	word	verbleiben	82
82	CJ	solle	VMFIN	sollen	word	solle	75
83	--	,	$,	,	punctuation	,	82
84	SB	welches	PRELS	welch	word	welches	91
85	NK	alles	PIAT	all	word	alles	87
86	NK	große	ADJA	groß	word	grosse	87
87	OA	Empfindung	NN	Empfindung	word	Empfindung	91
88	MO	in	APPR	in	word	in	91
89	NK	meiner	PPOSAT	mein	word	meiner	90
90	NK	Seele	NN	Seele	word	Seele	88
91	RC	erregte	VVFIN	erregen	word	erregete	78
92	--	.	SENT	.	punctuation	.	91

1	NK	Dieser	PDAT	dies	word	Dieser	2
2	SB	Kaiser	NN	Kaiser	word	Kayser	14
3	MO	aber	ADV	aber	word	aber	2
4	--	,	$,	,	punctuation	,	3
5	SB	welcher	PRELS	welch	word	welcher	12
6	MO	nun	ADV	nun	word	nun	12
7	MO	auch	ADV	auch	word	auch	8
8	MO	mit	APPR	mit	word	mit	14
9	NK	mir	PPER	ich	word	mir	8
10	NK	seinen	PPOSAT	sein	word	seinen	11
11	OA	Zeitvertreib	NN	Zeitvertreib	word	Zeitvertreib	12
12	RC	suchte	VVFIN	suchen	word	suchte	2
13	--	,	$,	,	punctuation	,	12
14	--	befahl	VVFIN	befehlen	word	befahl	0
15	--	,	$,	,	punctuation	,	14
16	CP	daß	KOUS	daß	word	daß	26
17	NK	eine	ART	ein	word	eine	19
18	NK	andere	ADJA	ander	word	andere	19
19	SB	Gestalt	NN	Gestalt	word	Gestalt	26
20	OC	annehmen	VVINF	annehmen	word	annehmen	26
21	CD	und	KON	und	word	und	20
22	MO	hingegen	ADV	hingegen	word	hingegen	25
23	NK	die	ART	d	word	die	24
24	OA	menschliche	ADJA	menschlich	word	menschliche	25
25	CJ	verlassen	VVINF	verlassen	word	verlassen	21
26	OC	möchte	VMFIN	mögen	word	moͤchte	14
27	--	,	$,	,	punctuation	,	26
28	NK	welchem	PRELAT	welch	word	welchem	29
29	OA	Befehle	NN	Befehl	word	Befehle	34
30	CD	und	KON	und	word	und	29
31	NK	hohen	ADJA	hoch	word	hohen	32
32	CJ	Willen	NN	Wille	word	Willen	30
33	MO	baldigst	ADJD	baldigst	word	baldigst	34
34	APP	gehorsamete	VVFIN	gehorsamete	word	gehorsamete	19
35	--	,	$,	,	punctuation	,	34
36	OA	mich	PRF	ich	word	mich	40
37	MO	in	APPR	in	word	in	40
38	NK	einem	ART	ein	word	einem	39
39	NK	Bär	NN	Bär	word	Baͤr	37
40	CJ	veränderte	VVFIN	verändern	word	veraͤnderte	34
41	--	,	$,	,	punctuation	,	40
42	CD	und	KON	und	word	und	40
43	MO	in	APPR	in	word	in	54
44	NK	solcher	PIAT	solch	word	solcher	45
45	NK	Gestalt	NN	Gestalt	word	Gestalt	43
46	MO	mitten	ADV	mitten	word	mitten	47
47	MO	unter	APPR	unter	word	unter	54
48	NK	denen	ART	d	word	denen	50
49	NK	wilden	ADJA	wild	word	wilden	50
50	NK	Tieren	NN	Tier	word	Thieren	47
51	NK	dieses	PDAT	dies	word	dieses	52
52	AG	Waldes	NN	Wald	word	Waldes	50
53	AC	herum	PTKVZ	herum	word	herum	47
54	CJ	lief	VVFIN	laufen	word	lieff	42
55	--	.	SENT	.	punctuation	.	54

1	CP	Nachdem	KOUS	nachdem	word	Nachdem	11
2	MO	aber	ADV	aber	word	aber	11
3	NK	einer	PIS	ein	word	einer	10
4	SBP	von	APPR	von	word	von	11
5	NK	denen	ART	d	word	denen	6
6	NK	Bedienten	NA	Bediente	word	Bedienten	4
7	OA	mich	PPER	ich	word	mich	11
8	MO	in	APPR	in	word	in	11
9	NK	solcher	PIAT	solch	word	solcher	10
10	NK	Verstellung	NN	Verstellung	word	Verstellung	8
11	RE	wahrgenommen	VVPP	wahrnehmen	word	wahrgenommen	30
12	--	,	$,	,	punctuation	,	11
13	OA	welcher	PRELS	welch	word	welcher	16
14	DA	mir	PPER	ich	word	mir	20
15	NG	nicht	PTKNEG	nicht	word	nicht	16
16	RC	allzugewogen	ADJD	allzugewogen	word	allzugewogen	11
17	--	,	$,	,	punctuation	,	16
18	CD	sondern	KON	sondern	word	sondern	11
19	MO	längstens	ADV	längstens	word	laͤngstens	20
20	CJ	gewünscht	VVPP	wünschen	word	gewuͤnschet	18
21	--	,	$,	,	punctuation	,	20
22	CP	daß	KOUS	daß	word	daß	28
23	MO	nimmermehr	ADV	nimmermehr	word	nimmermehr	27
24	MO	an	APPR	an	word	an	27
25	NK	diesen	PDAT	dies	word	diesen	26
26	NK	Hof	NN	Hof	word	Hof	24
27	OC	gelanget	VVPP	gelangen	word	gelanget	28
28	OC	wäre	VAFIN	sein	word	waͤre	20
29	--	,	$,	,	punctuation	,	28
30	MO	so	ADV	so	word	so	31
31	--	spannte	VVFIN	spannte	word	spannete	0
32	NK	den	ART	d	word	den	33
33	OA	Hahn	NN	Hahn	word	Hahn	31
34	--	,	$,	,	punctuation	,	33
35	CJ	schoß	VVFIN	schießen	word	schoß	31
36	MO	auf	APPR	auf	word	auf	35
37	NK	mich	PPER	ich	word	mich	36
