Gesetzsammlung	NN	Gesetzsammlung
I.	NE	I.
Bildung	NN	Bildung
einer	ART	eine
Gemeinschaft	NN	Gemeinschaft
der	ART	die
thüringischen	ADJA	thüringisch
Staaten	NN	Staat
.	$.	.
Zweck	NN	Zweck
,	$,	,
Zuständigkeit	NN	Zuständigkeit
und	KON	und
Kosten	NN	Kosten
der	ART	die
Gemeinschaft	NN	Gemeinschaft
.	$.	.
Artikel	NN	Artikel
1	CARD	@card@
.	$.	.
Die	ART	die
thüringischen	ADJA	thüringisch
Staaten	NN	Staat
(	$(	(
Einzelstaaten	NN	Einzelstaat
)	$(	)
Sachsen	NE	Sachsen
=	$(	=
Weimar	NE	Weimar
=	$(	=
Eisenach	NE	Eisenach
,	$,	,
Sachsen	NE	Sachsen
=	$(	=
Meiningen	NE	Meiningen
,	$,	,
Sachsen	NE	Sachsen
=	$(	=
Gotha	NE	Gotha
,	$,	,
Sachsen	NE	Sachsen
=	$(	=
Coburg	NE	Coburg
,	$,	,
Sachsen	NE	Sachsen
=	$(	=
Altenburg	NN	Altenburg
,	$,	,
Schwarzburg	NN	Schwarzburg
=	$(	=
Rudolfstadt	NN	Rudolfstadt
,	$,	,
Schwarzburg	NN	Schwarzburg
=	$(	=
Sondershausen	NN	Sondershausen
und	KON	und
Reuß	NN	Reuß
vereinigen	VVFIN	vereinigen
sich	PRF	sich
zu	APPR	zu
einer	ART	eine
Gemeinschaft	NN	Gemeinschaft
mit	APPR	mit
dem	ART	die
Zwecke	NN	Zweck
der	ART	die
Vorbereitung	NN	Vorbereitung
einer	ART	eine
gänzlichen	ADJA	gänzlich
Verschmelzung	NN	Verschmelzung
aller	PIAT	alle
dieser	PDAT	dies
Staaten	NN	Staat
zu	APPR	zu
einem	ART	eine
Staat	NN	Staat
(	$(	(
Gesamtstaat	NN	Gesamtstaat
)	$(	)
Thüringen	NE	Thüringen
,	$,	,
sowie	KON	sowie
ferner	ADJD	fern
zu	APPR	zu
dem	ART	die
Zwecke	NN	Zweck
der	ART	die
Verbindung	NN	Verbindung
mit	APPR	mit
preußischen	ADJA	preußisch
Gebietsteilen	NN	Gebietsteilen
durch	APPR	durch
Verhandlungen	NN	Verhandlung
mit	APPR	mit
dem	ART	die
Freistaat	NN	Freistaat
Preußen	NE	Preußen
.	$.	.
Artikel	NN	Artikel
2	CARD	@card@
.	$.	.
Zur	APPRART	zu+die
Vorbereitung	NN	Vorbereitung
der	ART	die
gänzlichen	ADJA	gänzlich
Verschmelzung	NN	Verschmelzung
wird	VAFIN	werden
die	ART	die
Gemeinschaft	NN	Gemeinschaft
zur	APPRART	zu+die
einheitlichen	ADJA	einheitlich
Regelung	NN	Regelung
sämtlicher	PIAT	sämtliche
Gebiete	NN	Gebiet
der	ART	die
Gesetzgebung	NN	Gesetzgebung
und	KON	und
Verwaltung	NN	Verwaltung
für	APPR	für
die	ART	die
Einzelstaaten	NN	Einzelstaat
ermächtigt	VVPP	ermächtigen
.	$.	.
Artikel	NN	Artikel
3	CARD	@card@
.	$.	.
Zur	APPRART	zu+die
Vorbereitung	NN	Vorbereitung
der	ART	die
finanziellen	ADJA	finanziell
Auseinandersetzung	NN	Auseinandersetzung
der	ART	die
Einzelstaaten	NN	Einzelstaat
mit	APPR	mit
dem	ART	die
Gesamtstaat	NN	Gesamtstaat
wird	VAFIN	werden
ein	ART	eine
besonderer	ADJA	besonder
Ausschuß	NN	Ausschuss
aus	APPR	aus
mindestens	ADV	mindestens
je	APPR	je
einem	ART	eine
Beamten	NN	Beamter
oder	KON	oder
Sachverständigen	NN	Sachverständige
aller	PIAT	alle
Einzelstaaten	NN	Einzelstaat
durch	APPR	durch
die	ART	die
Gemeinschaft	NN	Gemeinschaft
eingesetzt	VVPP	einsetzen
.	$.	.
Bringt	VVFIN	bringen
dieser	PDAT	dies
Ausschuß	NN	Ausschuss
eine	ART	eine
Einigung	NN	Einigung
in	APPR	in
der	ART	die
Frage	NN	Frage
der	ART	die
finanziellen	ADJA	finanziell
Auseinandersetzung	NN	Auseinandersetzung
nicht	PTKNEG	nicht
zustande	PTKVZ	zustande
,	$,	,
so	ADV	so
werden	VAFIN	werden
die	ART	die
entstandenen	ADJA	entstanden
Streitfragen	NN	Streitfrage
durch	APPR	durch
ein	ART	eine
besonderes	ADJA	besonder
Schiedsgericht	NN	Schiedsgericht
entschieden	VVPP	entscheiden
,	$,	,
gegen	APPR	gegen
dessen	PRELAT	die
Beschlüsse	NN	Beschluss
und	KON	und
Entscheidungen	NN	Entscheidung
den	ART	die
Beteiligten	NN	Beteiligte
nur	ADV	nur
die	ART	die
Berufung	NN	Berufung
an	APPR	an
den	ART	die
Staatsgerichtshof	NN	Staatsgerichtshof
des	ART	die
Deutschen	ADJA	deutsch
Reiches	NN	Reich
zusteht	VVFIN	zustehen
.	$.	.
Die	ART	die
Zusammensetzung	NN	Zusammensetzung
und	KON	und
das	ART	die
Verfahren	NN	Verfahren
des	ART	die
Schiedsgerichts	NN	Schiedsgericht
wird	VAFIN	werden
von	APPR	von
der	ART	die
Gemeinschaft	NN	Gemeinschaft
geregelt	VVPP	regeln
.	$.	.
Artikel	NN	Artikel
4	CARD	@card@
.	$.	.
Die	ART	die
Gemeinschaft	NN	Gemeinschaft
ist	VAFIN	sein
ermächtigt	VVPP	ermächtigen
,	$,	,
Verhandlungen	NN	Verhandlung
zwischen	APPR	zwischen
den	ART	die
Einzelstaaten	NN	Einzelstaat
über	APPR	über
die	ART	die
vor	APPR	vor
der	ART	die
Verschmelzung	NN	Verschmelzung
zum	APPRART	zu+die
Gesamtstaat	NN	Gesamtstaat
etwa	ADV	etwa
notwendig	ADJD	notwendig
werdenden	ADJA	werdend
Gebietsabtretungen	NN	Gebietsabtretung
und	KON	und
=	$(	=
Abrundungen	NN	Abrundung
,	$,	,
sowie	KON	sowie
über	APPR	über
die	ART	die
Zusammenlegung	NN	Zusammenlegung
von	APPR	von
Gebietsteilen	NN	Gebietsteilen
zu	PTKA	zu
Kommunal	ADJD	kommunal
=	$(	=
oder	KON	oder
Wirtschaftsverbänden	NN	Wirtschaftsverband
einzuleiten	VVIZU	einleiten
und	KON	und
im	APPRART	in+die
Wege	NN	Weg
des	ART	die
Vertrags	NN	Vertrag
oder	KON	oder
der	ART	die
Gemeinschaftsgesetzgebung	NN	Gemeinschaftsgesetzgebung
zum	APPRART	zu+die
Abschluß	NN	Abschluss
zu	PTKZU	zu
bringen	VVINF	bringen
.	$.	.
Artikel	NN	Artikel
5	CARD	@card@
.	$.	.
Die	ART	die
Gemeinschaft	NN	Gemeinschaft
ist	VAFIN	sein
ermächtigt	VVPP	ermächtigen
,	$,	,
zur	APPRART	zu+die
Herbeiführung	NN	Herbeiführung
des	ART	die
Anschlusses	NN	Anschluss
oder	KON	oder
der	ART	die
Abtretung	NN	Abtretung
von	APPR	von
Gebietsteilen	NN	Gebietsteilen
im	APPRART	in+die
Namen	NN	Name
und	KON	und
in	APPR	in
Vollmacht	NN	Vollmacht
sämtlicher	PIAT	sämtliche
Einzelstaaten	NN	Einzelstaat
mit	APPR	mit
außerthüringischen	ADJA	außerthüringischen
Gliedstaaten	NN	Gliedstaat
des	ART	die
Deutschen	ADJA	deutsch
Reiches	NN	Reich
Verträge	NN	Vertrag
abzuschließen	VVIZU	abschließen
.	$.	.
Artikel	NN	Artikel
6	CARD	@card@
.	$.	.
Die	ART	die
Gemeinschaft	NN	Gemeinschaft
ist	VAFIN	sein
ermächtigt	VVPP	ermächtigen
,	$,	,
sämtliche	PIAT	sämtliche
Einzelstaaten	NN	Einzelstaat
und	KON	und
erforderlichenfalls	NN	Erforderlichenfall
ihre	PPOSAT	ihr
Gebietsteile	NN	Gebietsteil
dem	ART	die
Deutschen	ADJA	deutsch
Reiche	NN	Reich|Reiche
und	KON	und
seinen	PPOSAT	sein
Gliedstaaten	NN	Gliedstaat
gegenüber	APPO	gegenüber
zu	PTKZU	zu
vertreten	VVINF	vertreten
.	$.	.
Artikel	NN	Artikel
7	CARD	@card@
.	$.	.
Die	ART	die
Kosten	NN	Kosten
der	ART	die
Gemeinschaft	NN	Gemeinschaft
und	KON	und
ihrer	PPOSAT	ihr
Tätigkeit	NN	Tätigkeit
werden	VAFIN	werden
von	APPR	von
der	ART	die
Gemeinschaft	NN	Gemeinschaft
festgestellt	VVPP	feststellen
und	KON	und
auf	APPR	auf
die	ART	die
Einzelstaaten	NN	Einzelstaat
nach	APPR	nach
dem	ART	die
Maßstab	NN	Maßstab
ihrer	PPOSAT	ihr
Bevölkerung	NN	Bevölkerung
verteilt	VVPP	verteilen
.	$.	.
Abschnitt	NN	Abschnitt
II	CARD	II
.	$.	.
Organisation	NN	Organisation
der	ART	die
Gemeinschaft	NN	Gemeinschaft
.	$.	.
Artikel	NN	Artikel
8	CARD	@card@
.	$.	.
Organe	NN	Organ
der	ART	die
Gemeinschaft	NN	Gemeinschaft
sind	VAFIN	sein
die	ART	die
Gemeinschaftsvertretung	NN	Gemeinschaftsvertretung
(	$(	(
Volksrat	NN	Volksrat
von	APPR	von
Thüringen	NE	Thüringen
)	$(	)
und	KON	und
der	ART	die
Verwaltungsrat	NN	Verwaltungsrat
(	$(	(
Staatsrat	NN	Staatsrat
von	APPR	von
Thüringen	NE	Thüringen
)	$(	)
.	$.	.
Artikel	NN	Artikel
9	CARD	@card@
.	$.	.
Die	ART	die
gesetzgebende	ADJA	gesetzgebend
Gewalt	NN	Gewalt
innerhalb	APPR	innerhalb
der	ART	die
Gemeinschaft	NN	Gemeinschaft
wird	VAFIN	werden
ausgeübt	VVPP	ausüben
durch	APPR	durch
den	ART	die
Volksrat	NN	Volksrat
.	$.	.
Der	ART	die
Volksrat	NN	Volksrat
ist	VAFIN	sein
das	ART	die
oberste	ADJA	ober
Organ	NN	Organ
der	ART	die
Gemeinschaft	NN	Gemeinschaft
.	$.	.
Er	PPER	er
setzt	VVFIN	setzen
sich	PRF	sich
zusammen	ADV	zusammen
aus	APPR	aus
Abgeordneten	NN	Abgeordnete
der	ART	die
Einzelstaaten	NN	Einzelstaat
.	$.	.
Die	ART	die
Gesamtzahl	NN	Gesamtzahl
der	ART	die
Mitglieder	NN	Mitglied
beträgt	VVFIN	betragen
42	CARD	@card@
.	$.	.
Es	PPER	es
entfallen	VVFIN	entfallen
auf	PTKVZ	auf
:	$.	:
Sachsen	NE	Sachsen
=	$(	=
Weimar	NE	Weimar
=	$(	=
Eisenach	NE	Eisenach
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.10	CARD	@card@
Abgeordnete	NN	Abgeordnete
Sachsen	NE	Sachsen
=	$(	=
Meiningen	NE	Meiningen
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.	$.	.
.7	CARD	@card@
"	$(	"
Sachsen	NE	Sachsen
=	$(	=
Gotha	NE	Gotha
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.	$.	.
.	$.	.
.5	CARD	@card@
"	$(	"
Sachsen	NE	Sachsen
=	$(	=
Coburg	NN	Coburg
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.3	CARD	@card@
"	$(	"
Sachsen	NE	Sachsen
=	$(	=
Altenburg	NN	Altenburg
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.	$.	.
.	$.	.
.5	CARD	@card@
"	$(	"
Schwarzburg	NN	Schwarzburg
=	$(	=
Rudolfstadt	NN	Rudolfstadt
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.	$.	.
.3	CARD	@card@
"	$(	"
Schwarzburg	NN	Schwarzburg
=	$(	=
Sondershausen	NN	Sondershausen
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.	$.	.
.3	CARD	@card@
"	$(	"
Reuß	NN	Reuß
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.	$.	.
.6	CARD	@card@
"	$(	"
Jn	NE	Jn
jedem	PIAT	jede
Einzelstaat	NN	Einzelstaat
werden	VAFIN	werden
die	ART	die
Abgeordneten	NN	Abgeordnete
und	KON	und
für	APPR	für
jeden	PIAT	jede
Abgeordneten	NN	Abgeordnete
ein	ART	eine
Stellvertreten	NN	Stellvertreten
von	APPR	von
der	ART	die
Volksvertretung	NN	Volksvertretung
(	$(	(
Landtag	NN	Landtag
,	$,	,
Landesversammlung	NN	Landesversammlung
,	$,	,
Volksrat	NN	Volksrat
)	$(	)
unter	APPR	unter
möglichster	ADJA	möglich
Berücksichtigung	NN	Berücksichtigung
der	ART	die
Stärke	NN	Stärke
der	ART	die
in	APPR	in
ihr	PPOSAT	ihr
vertretenen	ADJA	vertreten
politischen	ADJA	politisch
Parteien	NN	Partei
gewählt	VVPP	wählen
.	$.	.
Artikel	NN	Artikel
10	CARD	@card@
.	$.	.
Die	ART	die
Wahlen	NN	Wahl
zum	APPRART	zu+die
Volksrat	NN	Volksrat
haben	VAFIN	haben
in	APPR	in
den	ART	die
Einzelstaaten	NN	Einzelstaat
bis	APPR	bis
spätestens	ADV	spätestens
zum	APPRART	zu+die
1	CARD	@card@
.	$.	.
Juli	NN	Juli
1919	ADJA	@card@
stattzufinden	VVIZU	stattfinden
.	$.	.
Die	ART	die
Prüfung	NN	Prüfung
der	ART	die
Gültigkeit	NN	Gültigkeit
der	ART	die
Abgeordnetenwahlen	NN	Abgeordnetenwahlen
gehört	VVFIN	gehören
zur	APPRART	zu+die
Zuständigkeit	NN	Zuständigkeit
des	ART	die
Volksrates	NN	Volksrates
.	$.	.
Artikel	NN	Artikel
11	CARD	@card@
.	$.	.
Die	ART	die
laufende	ADJA	laufend
Geschäftsführung	NN	Geschäftsführung
der	ART	die
Gemeinschaft	NN	Gemeinschaft
sowie	KON	sowie
die	ART	die
Vollziehung	NN	Vollziehung
der	ART	die
Gemeinschaftsgesetze	NN	Gemeinschaftsgesetze
und	KON	und
=	$(	=
Beschlüsse	NN	Beschluss
liegt	VVFIN	liegen
dem	ART	die
Staatsrat	NN	Staatsrat
ob	ADV	ob
.	$.	.
Er	PPER	er
besteht	VVFIN	bestehen
aus	APPR	aus
Vertretern	NN	Vertreter
der	ART	die
Regierungen	NN	Regierung
der	ART	die
Einzelstaaten	NN	Einzelstaat
,	$,	,
von	APPR	von
denen	PRELS	die
Sachsen	NE	Sachsen
=	$(	=
Weimar	NE	Weimar
=	$(	=
Eisenach	NE	Eisenach
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.	$.	.
.3	CARD	@card@
stimmberechtigte	ADJA	stimmberechtigt
Vertreter	NN	Vertreter
Sachsen	NE	Sachsen
=	$(	=
Meiningen	NE	Meiningen
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.2	CARD	@card@
"	$(	"
Sachsen	NE	Sachsen
=	$(	=
Gotha	NE	Gotha
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.	$.	.
.1	CARD	@card@
"	$(	"
Sachsen	NE	Sachsen
=	$(	=
Coburg	NN	Coburg
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.1	CARD	@card@
"	$(	"
Sachsen	NE	Sachsen
=	$(	=
Altenburg	NN	Altenburg
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.	$.	.
.	$.	.
.1	CARD	@card@
"	$(	"
Schwarzburg	NN	Schwarzburg
=	$(	=
Rudolfstadt	NN	Rudolfstadt
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.	$.	.
.1	CARD	@card@
"	$(	"
Schwarzburg	NN	Schwarzburg
=	$(	=
Sondershausen	NN	Sondershausen
...	$.	...
...	$.	...
...	$.	...
.	$.	.
.1	CARD	@card@
"	$(	"
Reuß	NN	Reuß
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
...	$.	...
.	$.	.
.2	CARD	@card@
"	$(	"
und	KON	und
nach	APPR	nach
Bedarf	NN	Bedarf
Stellvertreter	NN	Stellvertreter
zu	PTKZU	zu
entsenden	VVINF	entsenden
hat	VAFIN	haben
.	$.	.
Artikel	NN	Artikel
12	CARD	@card@
.	$.	.
Die	ART	die
Bezeichnung	NN	Bezeichnung
der	ART	die
Regierungsvertreter	NN	Regierungsvertreter
hat	VAFIN	haben
bis	APPR	bis
zum	APPRART	zu+die
1	CARD	@card@
.	$.	.
Juli	NN	Juli
1919	CARD	@card@
bei	APPR	bei
der	ART	die
Staatsregierung	NN	Staatsregierung
in	APPR	in
Weimar	NE	Weimar
zu	PTKZU	zu
erfolgen	VVINF	erfolgen
.	$.	.
Diese	PDS	diese
hat	VAFIN	haben
den	ART	die
Staatsrat	NN	Staatsrat
bis	KON	bis
zum	APPRART	zu+die
15	CARD	@card@
.	$.	.
Juli	NN	Juli
1919	CARD	@card@
zur	APPRART	zu+die
ersten	ADJA	erst
Sitzung	NN	Sitzung
einzuberufen	VVIZU	einberufen
.	$.	.
Die	ART	die
Berufung	NN	Berufung
des	ART	die
Volksrates	NN	Volksrates
erfolgt	VVFIN	erfolgen
durch	APPR	durch
den	ART	die
Staatsrat	NN	Staatsrat
bis	APPR	bis
spätestens	ADV	spätestens
15	CARD	@card@
.	$.	.
August	NN	August
1919	CARD	@card@
.	$.	.
Abschnitt	NN	Abschnitt
III	CARD	III
.	$.	.
Weitere	ADJA	weit
Befugnisse	NN	Befugnis
der	ART	die
Gemeinschaft	NN	Gemeinschaft
und	KON	und
Verpflichtungen	NN	Verpflichtung
der	ART	die
Einzelstaaten	NN	Einzelstaat
.	$.	.
Artikel	NN	Artikel
13	CARD	@card@
.	$.	.
Jm	NE	Jm
übrigen	ADJA	übrig
regelt	VVFIN	regeln
die	ART	die
Gemeinschaft	NN	Gemeinschaft
selbst	ADV	selbst
ihre	PPOSAT	ihr
Verfassung	NN	Verfassung
(	$(	(
Gemeinschaftssatzung	NN	Gemeinschaftssatzung
)	$(	)
und	KON	und
Organisation	NN	Organisation
,	$,	,
das	ART	die
Verhältnis	NN	Verhältnis
zum	APPRART	zu+die
Deutschen	ADJA	deutsch
Reiche	NN	Reich|Reiche
und	KON	und
zu	APPR	zu
anderen	PIS	andere
Gliedstaaten	NN	Gliedstaat
des	ART	die
Reiches	NN	Reich
.	$.	.
Der	ART	die
Staatsrat	NN	Staatsrat
hat	VAFIN	haben
dem	ART	die
Volksrat	NN	Volksrat
den	ART	die
Entwurf	NN	Entwurf
der	ART	die
Gemeinschaftssatzung	NN	Gemeinschaftssatzung
alsbald	ADV	alsbald
vorzulegen	VVIZU	vorlegen
.	$.	.
Artikel	NN	Artikel
14	CARD	@card@
.	$.	.
Zu	APPR	zu
einem	ART	eine
von	APPR	von
der	ART	die
Gemeinschaft	NN	Gemeinschaft
zu	APPR	zu
bestimmenden	ADJA	bestimmend
Zeitpunkt	NN	Zeitpunkt
wird	VAFIN	werden
eine	ART	eine
Landesversammlung	NN	Landesversammlung
von	APPR	von
Thüringen	NE	Thüringen
einberufen	VVPP	einberufen
.	$.	.
Artikel	NN	Artikel
15	CARD	@card@
.	$.	.
Der	ART	die
Volksrat	NN	Volksrat
erläßt	VVFIN	erlassen
mit	APPR	mit
bindender	ADJA	bindend
Kraft	NN	Kraft
für	APPR	für
alle	PIS	alle
der	ART	die
Gemeinschaft	NN	Gemeinschaft
angehörenden	ADJA	angehörend
Staaten	NN	Staat
die	ART	die
Wahlordnung	NN	Wahlordnung
für	APPR	für
die	ART	die
Landesversammlung	NN	Landesversammlung
von	APPR	von
Thüringen	NE	Thüringen
.	$.	.
Artikel	NN	Artikel
16	CARD	@card@
.	$.	.
Alle	PIAT	alle
Behörden	NN	Behörde
der	ART	die
Einzelstaaten	NN	Einzelstaat
sind	VAFIN	sein
