Verkehrspolizeiverordnung	NN	Verkehrspolizeiverordnung
Rheinprovinz	NN	Rheinprovinz
-	$(	-
folgende	ADJA	folgend
Polizeiverordnung	NN	Polizeiverordnung
erlassen	VVPP	erlassen
:	$.	:
§	NN	§
1	CARD	@card@
.	$.	.
Allgemeine	ADJA	allgemein
Bestimmungen	NN	Bestimmung
.	$.	.
1	CARD	@card@
.	$.	.
Als	KOKOM	als
Hauptverkehrswege	NN	Hauptverkehrsweg
im	APPRART	in+die
Sinne	NN	Sinn
der	ART	die
bestehenden	ADJA	bestehend
Verkehrsbestimmungen	NN	Verkehrsbestimmung
gelten	VVINF	gelten
:	$.	:
a	FM	a
)	$(	)
die	ART	die
Verkehrsstraßen	NN	Verkehrsstraße
I.	NE	I.
Ordnung	NN	Ordnung
(	$(	(
§	NN	§
1	CARD	@card@
)	$(	)
,	$,	,
b	VVFIN	b
)	$(	)
sämtliche	PIAT	sämtliche
Straßen	NN	Straße
mit	APPR	mit
Straßenbahngleisen	NN	Straßenbahngleis
,	$,	,
c	ADJD	c
)	$(	)
die	ART	die
durch	APPR	durch
ein	ART	eine
weißes	ADJA	weiß
stehendes	ADJA	stehend
Viereck	NN	Viereck
mit	APPR	mit
roter	ADJA	rot
Randung	NN	Randung
gekennzeichneten	ADJA	gekennzeichnet
,	$,	,
in	APPR	in
der	ART	die
Anlage	NN	Anlage
A	NN	A
aufgeführten	ADJA	aufgeführt
Straßen	NN	Straße
.	$.	.
2	CARD	@card@
.	$.	.
Verkehrsstraßen	NN	Verkehrsstraße
I.	NE	I.
Ordnung	NN	Ordnung
sind	VAFIN	sein
die	ART	die
durch	APPR	durch
zwei	CARD	zwei
ineinander	ADV	ineinander
stehende	ADJA	stehend
weiße	ADJA	weiß
Vierecke	NN	Viereck
mit	APPR	mit
roter	ADJA	rot
Randung	NN	Randung
gekennzeichneten	ADJA	gekennzeichnet
,	$,	,
in	APPR	in
der	ART	die
Anlage	NN	Anlage
B	NE	B
aufgeführten	ADJA	aufgeführt
Straßen	NN	Straße
.	$.	.
3	CARD	@card@
.	$.	.
Einbahnstraßen	NN	Einbahnstraße
sind	VAFIN	sein
diejenigen	PDAT	diejenigen
Straßen	NN	Straße
,	$,	,
in	APPR	in
denen	PRELS	die
die	ART	die
Fahrbahn	NN	Fahrbahn
nur	ADV	nur
für	APPR	für
den	ART	die
Verkehr	NN	Verkehr
in	APPR	in
einer	ART	eine
Richtung	NN	Richtung
freigegeben	VVPP	freigeben
ist	VAFIN	sein
.	$.	.
Die	ART	die
Richtung	NN	Richtung
wird	VAFIN	werden
angezeigt	VVPP	anzeigen
durch	APPR	durch
weiße	ADJA	weiß
,	$,	,
rotgeränderte	ADJA	rotgeränderte
Richtungspfeile	NN	Richtungspfeil
mit	APPR	mit
der	ART	die
Aufschrift	NN	Aufschrift
„	$(	„
Einbahnstraße	NN	Einbahnstraße
"	$(	"
.	$.	.
Die	ART	die
Einbahnstraßen	NN	Einbahnstraße
sind	VAFIN	sein
in	APPR	in
der	ART	die
Anlage	NN	Anlage
C	NN	C
aufgeführt	VVPP	aufführen
.	$.	.
4	CARD	@card@
.	$.	.
Plätze	NN	Platz
mit	APPR	mit
Rundverkehr	NN	Rundverkehr
sind	VAFIN	sein
diejenigen	PDAT	diejenigen
Plätze	NN	Platz
,	$,	,
die	PRELS	die
nur	ADV	nur
in	APPR	in
der	ART	die
angegebenen	ADJA	angegeben
Rechtsrichtung	NN	Rechtsrichtung
umfahren	VVPP	umfahren
werden	VAINF	werden
dürfen	VMFIN	dürfen
.	$.	.
Sie	PPER	Sie
sind	VAFIN	sein
durch	APPR	durch
weiße	ADJA	weiß
,	$,	,
rotgeränderte	ADJA	rotgeränderte
Richtungspfeile	NN	Richtungspfeil
gekennzeichnet	VVPP	kennzeichnen
.	$.	.
5	CARD	@card@
.	$.	.
Parkplätze	NN	Parkplatz
sind	VAFIN	sein
die	ART	die
besonderen	ADJA	besonder
Anlagen	NN	Anlage
oder	KON	oder
Teile	NN	Teil
der	ART	die
Fahrbahn	NN	Fahrbahn
,	$,	,
die	PRELS	die
als	KOKOM	als
Halteplätze	NN	Halteplatz
für	APPR	für
Fahrzeuge	NN	Fahrzeug
dienen	VVFIN	dienen
.	$.	.
Sie	PPER	Sie
sind	VAFIN	sein
durch	APPR	durch
Linien	NN	Linie
oder	KON	oder
in	APPR	in
anderer	PIAT	andere
Weise	NN	Weise
,	$,	,
insbesondere	ADV	insbesondere
durch	APPR	durch
ein	ART	eine
weißes	ADJA	weiß
.	$.	.
rotgerändertes	ADJA	rotgerändertes
Schild	NN	Schild
mit	APPR	mit
dem	ART	die
Buchstaben	NN	Buchstabe
„	$(	„
B	NE	B
"	$(	"
gekennzeichnet	VVPP	kennzeichnen
.	$.	.
6	CARD	@card@
.	$.	.
Schutzwege	ADJD	Schutzwege
sind	VAFIN	sein
die	ART	die
in	APPR	in
der	ART	die
Verlängerung	NN	Verlängerung
der	ART	die
Gehbahnen	NN	Gehbahnen
gedachten	VVFIN	gedenken
oder	KON	oder
durch	APPR	durch
Linien	NN	Linie
oder	KON	oder
in	APPR	in
anderer	PIAT	andere
Weise	NN	Weise
auf	APPR	auf
der	ART	die
Fahrbahn	NN	Fahrbahn
gekennzeichneten	ADJA	gekennzeichnet
Fußgängerüberwege	NN	Fußgängerüberweg
über	APPR	über
die	ART	die
Fahrbahn	NN	Fahrbahn
.	$.	.
7	CARD	@card@
.	$.	.
Anhalten	NN	Anhalten
ist	VAFIN	sein
das	PDS	die
zum	APPRART	zu+die
Stillstandbringen	NN	Stillstandbringen
eines	ART	eine
Fahrzeuges	NN	Fahrzeug
.	$.	.
8	CARD	@card@
.	$.	.
Halten	VVINF	halten
ist	VAFIN	sein
das	ART	die
Stehen	NN	Stehen
=	$(	=
oder	KON	oder
Wartenlassen	NN	Wartenlassen
eines	ART	eine
Fahrzeuges	NN	Fahrzeug
für	APPR	für
die	ART	die
zum	APPRART	zu+die
Ein	PTKVZ	ein
=	$(	=
oder	KON	oder
Aussteigen	NN	Aussteigen
oder	KON	oder
Be	NE	be
=	$(	=
oder	KON	oder
Entladen	NN	Entladen
erforderliche	ADJA	erforderlich
Zeit	NN	Zeit
.	$.	.
9	CARD	@card@
.	$.	.
Parken	NN	Parken
ist	VAFIN	sein
das	ART	die
Stehen	NN	Stehen
=	$(	=
oder	KON	oder
Wartenlassen	NN	Wartenlassen
eines	ART	eine
Fahrzeuges	NN	Fahrzeug
für	APPR	für
längere	ADJA	lang
Zeit	NN	Zeit
als	KOKOM	als
zum	APPRART	zu+die
Ein	PTKVZ	ein
=	$(	=
oder	KON	oder
Aussteigen	NN	Aussteigen
oder	KON	oder
Be	NE	be
=	$(	=
oder	KON	oder
Entladen	NN	Entladen
erforderlich	ADJD	erforderlich
ist	VAFIN	sein
.	$.	.
10	CARD	@card@
.	$.	.
Schrittgeschwindigkeit	NN	Schrittgeschwindigkeit
ist	VAFIN	sein
die	ART	die
Geschwindigkeit	NN	Geschwindigkeit
von	APPR	von
höchstens	ADV	höchstens
8	CARD	@card@
km	NN	km
in	APPR	in
der	ART	die
Stunde	NN	Stunde
.	$.	.
11	CARD	@card@
.	$.	.
Straßensperrungen	NN	Straßensperrung
werden	VAFIN	werden
durch	APPR	durch
einen	ART	eine
abwärts	ADV	abwärts
gerichteten	ADJA	gerichtet
Pfeil	NN	Pfeil
von	APPR	von
weißer	ADJA	weiß
Farbe	NN	Farbe
und	KON	und
roter	ADJA	rot
Randung	NN	Randung
mit	APPR	mit
1	CARD	@card@
bis	KON	bis
5	CARD	@card@
Punkten	NN	Punkt
oder	KON	oder
in	APPR	in
ähnlicher	ADJA	ähnlich
Weise	NN	Weise
gekennzeichnet	VVPP	kennzeichnen
.	$.	.
Die	ART	die
betreffenden	ADJA	betreffend
Straßen	NN	Straße
sind	VAFIN	sein
in	APPR	in
der	ART	die
Anlage	NN	Anlage
D	NN	D
aufgeführt	VVPP	aufführen
.	$.	.
12	CARD	@card@
.	$.	.
Geschwindigkeitsbeschränkungen	NN	Geschwindigkeitsbeschränkung
werden	VAFIN	werden
durch	APPR	durch
ein	ART	eine
weißes	ADJA	weiß
,	$,	,
rotgerändertes	ADJA	rotgerändertes
Viereck	NN	Viereck
gekennzeichnet	VVPP	kennzeichnen
.	$.	.
Die	ART	die
betreffenden	ADJA	betreffend
Straßen	NN	Straße
sind	VAFIN	sein
in	APPR	in
der	ART	die
Anlage	NN	Anlage
E	NN	E
aufgeführt	VVPP	aufführen
.	$.	.
§	NN	§
2	CARD	@card@
.	$.	.
Fahrverkehr	NN	Fahrverkehr
.	$.	.
1	CARD	@card@
.	$.	.
Jn	NE	Jn
sämtlichen	PIAT	sämtliche
Straßen	NN	Straße
mit	APPR	mit
Ausnahme	NN	Ausnahme
der	ART	die
Einbahnstraßen	NN	Einbahnstraße
ist	VAFIN	sein
das	ART	die
Anfahren	NN	Anfahren
,	$,	,
Halten	NN	Halt|Halten
(	$(	(
§	NN	§
1	CARD	@card@
)	$(	)
und	KON	und
Parken	NN	Parken
(	$(	(
§	NN	§
1	CARD	@card@
)	$(	)
nur	ADV	nur
an	APPR	an
der	ART	die
in	APPR	in
der	ART	die
Fahrtrichtung	NN	Fahrtrichtung
rechts	ADV	rechts
gelegenen	ADJA	gelegen
Straßenseite	NN	Straßenseite
gestattet	VVPP	gestatten|statten
,	$,	,
soweit	KOUS	soweit
dies	PDS	dies
nicht	PTKNEG	nicht
aus	APPR	aus
zwingenden	ADJA	zwingend
Gründen	NN	Grund
ausgeschlossen	VVPP	ausschließen
ist	VAFIN	sein
.	$.	.
2	CARD	@card@
.	$.	.
Das	ART	die
Halten	NN	Halt|Halten
und	KON	und
Parken	NN	Parken
ist	VAFIN	sein
verboten	VVPP	verbieten
:	$.	:
a	FM	a
)	$(	)
innerhalb	APPR	innerhalb
einer	ART	eine
Entfernung	NN	Entfernung
von	APPR	von
10	CARD	@card@
m	NN	m
vor	PTKVZ	vor
und	KON	und
hinter	APPR	hinter
den	ART	die
Straßenecken	NN	Straßenecke
oder	KON	oder
den	ART	die
Haltestellen	NN	Haltestelle
der	ART	die
Straßenbahnen	NN	Straßenbahn
und	KON	und
Kraftomnibusse	NN	Kraftomnibus
,	$,	,
b	ADJA	b
)	$(	)
in	APPR	in
Straßen	NN	Straße
mit	APPR	mit
einer	ART	eine
Fahrbahn	NN	Fahrbahn
unter	APPR	unter
4	CARD	@card@
,	$,	,
in	APPR	in
Einbahnstraßen	NN	Einbahnstraße
unter	APPR	unter
3	CARD	@card@
Fahrzeugbreiten	NN	Fahrzeugbreiten
an	APPR	an
allen	PIAT	alle
Stellen	NN	Stelle|Stellen
,	$,	,
wo	PWAV	wo
der	ART	die
gegenüberliegende	ADJA	gegenüberliegend
Rand	NN	Rand
der	ART	die
Fahrbahn	NN	Fahrbahn
bereits	ADV	bereits
durch	APPR	durch
ein	ART	eine
haltendes	ADJA	haltend
oder	KON	oder
parkendes	ADJA	parkend
Fahrzeug	NN	Fahrzeug
in	APPR	in
Anspruch	NN	Anspruch
genommen	VVPP	nehmen
wird	VAFIN	werden
,	$,	,
c	VVFIN	c
)	$(	)
an	APPR	an
Droschkenhalteplätzen	NN	Droschkenhalteplätzen
,	$,	,
d	ADJA	d
)	$(	)
in	APPR	in
Verkehrsstraßen	NN	Verkehrsstraße
I.	NE	I.
Ordnung	NN	Ordnung
(	$(	(
§	NN	§
1	CARD	@card@
)	$(	)
in	APPR	in
der	ART	die
Zeit	NN	Zeit
von	APPR	von
11,30	CARD	@card@
bis	KON	bis
13	CARD	@card@
Uhr	NN	Uhr
und	KON	und
von	APPR	von
17	CARD	@card@
bis	KON	bis
19,30	CARD	@card@
Uhr	NN	Uhr
mit	APPR	mit
Ausnahme	NN	Ausnahme
von	APPR	von
Personenfahrzeugen	NN	Personenfahrzeugen
zum	APPRART	zu+die
Ein	PTKVZ	ein
=	$(	=
und	KON	und
Aussteigen	NN	Aussteigen
innerhalb	APPR	innerhalb
der	ART	die
hierfür	PAV	hierfür
erforderlichen	ADJA	erforderlich
kürzesten	ADJA	kurz
Zeit	NN	Zeit
.	$.	.
3	CARD	@card@
.	$.	.
Das	ART	die
Parken	NN	Parken
ist	VAFIN	sein
verboten	VVPP	verbieten
:	$.	:
a	FM	a
)	$(	)
an	APPR	an
Stellen	NN	Stelle|Stellen
,	$,	,
die	PRELS	die
durch	APPR	durch
ein	ART	eine
polizeiliches	ADJA	polizeilich
Verkehrszeichen	NN	Verkehrszeichen
mit	APPR	mit
der	ART	die
Angabe	NN	Angabe
„	$(	„
Parken	NN	Parken
verboten	VVPP	verbieten
"	$(	"
gekennzeichnet	VVPP	kennzeichnen
sind	VAFIN	sein
,	$,	,
b	VVFIN	b
)	$(	)
vor	APPR	vor
Grundstückseinfahrten	NN	Grundstückseinfahrt
,	$,	,
c	ADJA	c
)	$(	)
auf	APPR	auf
den	ART	die
Parkplätzen	NN	Parkplatz
(	$(	(
§	NN	§
1	CARD	@card@
)	$(	)
den	ART	die
nicht	PTKNEG	nicht
bestellten	ADJA	bestellt
Droschken	NN	Droschke
.	$.	.
4	CARD	@card@
.	$.	.
Das	ART	die
Wenden	NN	Wende/Wenden
von	APPR	von
Fahrzeugen	NN	Fahrzeug
ist	VAFIN	sein
in	APPR	in
Verkehrsstraßen	NN	Verkehrsstraße
I.	NE	I.
Ordnung	NN	Ordnung
(	$(	(
§	NN	§
1	CARD	@card@
)	$(	)
verboten	VVPP	verbieten
.	$.	.
5	CARD	@card@
.	$.	.
Die	ART	die
Fahrzeuge	NN	Fahrzeug
sind	VAFIN	sein
auf	APPR	auf
den	ART	die
Parkplätzen	NN	Parkplatz
nach	APPR	nach
den	ART	die
dort	ADV	dort
angebrachten	ADJA	angebracht
Angaben	NN	Angabe
aufzustellen	VVIZU	aufstellen
.	$.	.
§	NN	§
3	CARD	@card@
.	$.	.
Fahrbeschränkungen	NN	Fahrbeschränkung
.	$.	.
1	CARD	@card@
.	$.	.
Einbahnstraßen	NN	Einbahnstraße
(	$(	(
§	NN	§
1	CARD	@card@
)	$(	)
dürfen	VMFIN	dürfen
nur	ADV	nur
in	APPR	in
der	ART	die
angezeigten	ADJA	angezeigt
Richtung	NN	Richtung
befahren	VVPP	befahren
werden	VAINF	werden
.	$.	.
2	CARD	@card@
.	$.	.
Straßen	NN	Straße
mit	APPR	mit
zwei	CARD	zwei
Fahrbahnen	NN	Fahrbahn
dürfen	VMFIN	dürfen
nur	ADV	nur
auf	APPR	auf
der	ART	die
in	APPR	in
der	ART	die
Fahrtrichtung	NN	Fahrtrichtung
rechtsliegenden	ADJA	rechtsliegenden
Fahrbahn	NN	Fahrbahn
befahren	VVPP	befahren
werden	VAINF	werden
.	$.	.
3	CARD	@card@
.	$.	.
Plätze	NN	Platz
mit	APPR	mit
Rundverkehr	NN	Rundverkehr
(	$(	(
§	NN	§
1	CARD	@card@
)	$(	)
dürfen	VMFIN	dürfen
nur	ADV	nur
in	APPR	in
der	ART	die
angezeigten	ADJA	angezeigt
Rechtsrichtung	NN	Rechtsrichtung
umfahren	VVPP	umfahren
werden	VAINF	werden
.	$.	.
4	CARD	@card@
.	$.	.
Soweit	ADV	soweit
Straßen	NN	Straße
für	APPR	für
den	ART	die
Verkehr	NN	Verkehr
gesperrt	VVPP	sperren
sind	VAFIN	sein
,	$,	,
ist	VAFIN	sein
ihre	PPOSAT	ihr
Benutzung	NN	Benutzung
in	APPR	in
dem	ART	die
jeweils	ADV	jeweils
angegebenen	ADJA	angegeben
Umfange	NN	Umfang
untersagt	VVPP	untersagen
(	$(	(
§	NN	§
1	CARD	@card@
)	$(	)
.	$.	.
§	NN	§
4	CARD	@card@
.	$.	.
Fahrgeschwindigkeit	NN	Fahrgeschwindigkeit
.	$.	.
1	CARD	@card@
.	$.	.
Fuhrwerke	NN	Fuhrwerk
dürfen	VMFIN	dürfen
nicht	PTKNEG	nicht
im	APPRART	in+die
Galopp	NN	Galopp
fahren	VVINF	fahren
.	$.	.
2	CARD	@card@
.	$.	.
Fahrzeuge	NN	Fahrzeug
,	$,	,
die	PRELS	die
wegen	APPR	wegen
ihrer	PPOSAT	ihr
Bauart	NN	Bauart
oder	KON	oder
Ladung	NN	Ladung
bei	APPR	bei
schnellerer	ADJA	schnell
Fahrt	NN	Fahrt
ein	ART	eine
außergewöhnliches	ADJA	außergewöhnlich
Geräusch	NN	Geräusch
oder	KON	oder
starke	ADJA	stark
Erschütterungen	NN	Erschütterung
verursachen	VVFIN	verursachen
,	$,	,
insbesondere	ADV	insbesondere
schwer	ADJD	schwer
beladene	ADJA	beladen
Arbeitsfahrzeuge	NN	Arbeitsfahrzeuge
und	KON	und
ungefederte	ADJA	ungefederte
Fahrzeuge	NN	Fahrzeug
,	$,	,
sowie	KON	sowie
Fuhrwerke	NN	Fuhrwerk
mit	APPR	mit
Anhängern	NN	Anhänger
dürfen	VMFIN	dürfen
innerhalb	APPR	innerhalb
geschlossener	ADJA	geschlossen
Ortsteile	NN	Ortsteil
überall	ADV	überall
nur	ADV	nur
in	APPR	in
Schrittgeschwindigkeit	NN	Schrittgeschwindigkeit
(	$(	(
§	NN	§
1	CARD	@card@
)	$(	)
fahren	VVINF	fahren
.	$.	.
3	CARD	@card@
.	$.	.
Fahrzeuge	NN	Fahrzeug
und	KON	und
Fahrräder	NN	Fahrrad
dürfen	VMFIN	dürfen
nur	ADV	nur
in	APPR	in
Schrittgeschwindigkeit	NN	Schrittgeschwindigkeit
(	$(	(
§	NN	§
1	CARD	@card@
)	$(	)
fahren	VVFIN	fahren
a	FM	a
)	$(	)
während	KOUS	während
des	ART	die
Einbiegens	NN	Einbiegens
in	APPR	in
eine	ART	eine
andere	PIAT	andere
Straße	NN	Straße
,	$,	,
solange	KOUS	solange
die	ART	die
Schutzwege	NN	Schutzwege
(	$(	(
§	NN	§
1	CARD	@card@
)	$(	)
überquert	VVPP	überqueren
werden	VAFIN	werden
,	$,	,
b	VVFIN	b
)	$(	)
während	KOUS	während
des	ART	die
Einbiegens	NN	Einbiegens
oder	KON	oder
Einfahrens	NN	Einfahren
in	APPR	in
einen	ART	eine
Hauptverkehrsweg	NN	Hauptverkehrsweg
(	$(	(
§	NN	§
1	CARD	@card@
)	$(	)
,	$,	,
falls	KOUS	falls
an	APPR	an
der	ART	die
Kreuzung	NN	Kreuzung
keine	PIAT	keine
Verkehrsregelung	NN	Verkehrsregelung
stattfindet	VVFIN	stattfinden
,	$,	,
c	VVFIN	c
)	$(	)
während	KOUS	während
der	ART	die
Ausfahrt	NN	Ausfahrt
von	APPR	von
einem	ART	eine
Grundstück	NN	Grundstück
auf	APPR	auf
die	ART	die
Straße	NN	Straße
sowie	KON	sowie
der	ART	die
Einfahrt	NN	Einfahrt
von	APPR	von
der	ART	die
Straße	NN	Straße
auf	APPR	auf
ein	ART	eine
Grundstück	NN	Grundstück
,	$,	,
d	ADJA	d
)	$(	)
in	APPR	in
allen	PIAT	alle
Straßen	NN	Straße
,	$,	,
die	PRELS	die
durch	APPR	durch
Verkehrsschilder	NN	Verkehrsschild
mit	APPR	mit
entsprechender	ADJA	entsprechend
Angabe	NN	Angabe
gekennzeichnet	VVPP	kennzeichnen
sind	VAFIN	sein
.	$.	.
4	CARD	@card@
.	$.	.
Soweit	ADV	soweit
für	APPR	für
Straßen	NN	Straße
Geschwindigkeitsbeschränkungen	NN	Geschwindigkeitsbeschränkung
(	$(	(
§	NN	§
1	CARD	@card@
)	$(	)
angeordnet	VVPP	anordnen
sind	VAFIN	sein
,	$,	,
sind	VAFIN	sein
diese	PDS	diese
zu	PTKZU	zu
beachten	VVINF	beachten
.	$.	.
§	NN	§
5	CARD	@card@
.	$.	.
Rheinbrücken	NN	Rheinbrücke
.	$.	.
1	CARD	@card@
.	$.	.
Der	ART	die
gesamte	ADJA	gesamt
Verkehr	NN	Verkehr
hat	VAFIN	haben
sich	PRF	sich
auf	APPR	auf
der	ART	die
jeweils	ADV	jeweils
rechten	ADJA	recht|rechts
Brückenhälfte	NN	Brückenhälfte
zu	PTKZU	zu
bewegen	VVINF	bewegen
.	$.	.
2	CARD	@card@
.	$.	.
Fahrzeuge	NN	Fahrzeug
dürfen	VMFIN	dürfen
auf	APPR	auf
den	ART	die
Brücken	NN	Brücke
und	KON	und
Brückenrampen	NN	Brückenrampen
nicht	PTKNEG	nicht
halten	VVINF	halten
oder	KON	oder
wenden	VVINF	wenden
.	$.	.
3	CARD	@card@
.	$.	.
Fahrzeuge	NN	Fahrzeug
von	APPR	von
mehr	ADV	mehr
als	KOKOM	als
7,5	CARD	@card@
t	NN	t
Achsdruck	NN	Achsdruck
dürfen	VMFIN	dürfen
die	ART	die
Brücken	NN	Brücke
nur	ADV	nur
mit	APPR	mit
polizeilicher	ADJA	polizeilich
Erlaubnis	NN	Erlaubnis
und	KON	und
nur	ADV	nur
bei	APPR	bei
ruhendem	ADJA	ruhend
Straßenbahnverkehr	NN	Straßenbahnverkehr
und	KON	und
nur	ADV	nur
innerhalb	APPR	innerhalb
der	ART	die
Straßenbahnzone	NN	Straßenbahnzone
überfahren	VVPP	überfahren
.	$.	.
4	CARD	@card@
.	$.	.
Fußgänger	NN	Fußgänger
haben	VAFIN	haben
den	ART	die
in	APPR	in
der	ART	die
Gehrichtung	NN	Gehrichtung
liegenden	ADJA	liegend
rechten	ADJA	recht|rechts
Gehweg	NN	Gehweg
zu	PTKZU	zu
benutzen	VVINF	benutzen
.	$.	.
Verkehrhinderndes	ADJA	Verkehrhinderndes
Stehendbleiben	NN	Stehendbleiben
von	APPR	von
Personen	NN	Person
auf	APPR	auf
den	ART	die
Brücken	NN	Brücke
,	$,	,
Brückenrampen	NN	Brückenrampen
und	KON	und
Treppen	NN	Treppe
sowie	KON	sowie
unbefugtes	ADJA	unbefugt
Besteigen	NN	Besteigen
der	ART	die
Brückenaufbauten	NN	Brückenaufbauten
ist	VAFIN	sein
verboten	VVPP	verbieten
.	$.	.
5	CARD	@card@
.	$.	.
Geschlossene	ADJA	geschlossen
Personengruppen	NN	Personengruppe
dürfen	VMFIN	dürfen
nicht	PTKNEG	nicht
Tritt	NN	Tritt
halten	VVINF	halten
.	$.	.
Marschmusik	NN	Marschmusik
ist	VAFIN	sein
nicht	PTKNEG	nicht
gestattet	VVPP	gestatten|statten
.	$.	.
Für	APPR	für
die	ART	die
Beachtung	NN	Beachtung
dieser	PDAT	dies
Vorschrift	NN	Vorschrift
ist	VAFIN	sein
auch	ADV	auch
der	ART	die
Führer	NN	Führer
verantwortlich	ADJD	verantwortlich
.	$.	.
§	NN	§
6	CARD	@card@
.	$.	.
Ladung	NN	Ladung
.	$.	.
1	CARD	@card@
.	$.	.
Die	ART	die
Ladung	NN	Ladung
eines	ART	eine
Fahrzeuges	NN	Fahrzeug
mit	APPR	mit
Ausnahme	NN	Ausnahme
der	ART	die
Wirtschaftsfuhren	NN	Wirtschaftsfuhren
landwirtschaftlicher	ADJA	landwirtschaftlich
Betriebe	NN	Betrieb
darf	VMFIN	dürfen
seitwärts	ADV	seitwärts
nicht	PTKNEG	nicht
über	APPR	über
die	ART	die
Achsschenkel	NN	Achsschenkel
und	KON	und
über	APPR	über
das	ART	die
hintere	ADJA	hinter
Ende	NN	Ende
des	ART	die
Fahrzeuges	NN	Fahrzeug
nicht	PTKNEG	nicht
mehr	ADV	mehr
als	KOKOM	als
4,50	CARD	@card@
m	NN	m
hinausragen	VVINF	hinausragen
.	$.	.
2	CARD	@card@
.	$.	.
Die	ART	die
Bestimmungen	NN	Bestimmung
über	APPR	über
die	ART	die
Länge	NN	Länge
der	ART	die
Fuhrwerke	NN	Fuhrwerk
gilt	VVFIN	gelten
nicht	PTKNEG	nicht
für	APPR	für
Fuhrwerke	NN	Fuhrwerk
mit	APPR	mit
Holz	NN	Holz
,	$,	,
Eisenschienen	NN	Eisenschienen
und	KON	und
Trägern	NN	Träger
,	$,	,
Gerüstleitern	NN	Gerüstleitern
und	KON	und
ähnlichen	ADJA	ähnlich
Ladungen	NN	Ladung
.	$.	.
3	CARD	@card@
.	$.	.
Die	ART	die
Länge	NN	Länge
eines	ART	eine
Fahrzeugzuges	NN	Fahrzeugzuges
darf	VMFIN	dürfen
einschließlich	APPR	einschließlich
der	ART	die
Ladung	NN	Ladung
18	CARD	@card@
m	NN	m
nicht	PTKNEG	nicht
übersteigen	VVINF	übersteigen
.	$.	.
4	CARD	@card@
.	$.	.
Ausnahmen	NN	Ausnahme
bedürfen	VVFIN	bedürfen
der	ART	die
polizeilichen	ADJA	polizeilich
Erlaubnis	NN	Erlaubnis
.	$.	.
§	NN	§
7	CARD	@card@
.	$.	.
Handwagen	NN	Handwagen
.	$.	.
1	CARD	@card@
.	$.	.
Handwagen	NN	Handwagen
,	$,	,
Schub	NN	Schub
=	$(	=
und	KON	und
Ziehkarren	NN	Ziehkarren
müssen	VMFIN	müssen
während	APPR	während
der	ART	die
Dunkelheit	NN	Dunkelheit
