Spät	ADJD	spät
denn	KON	denn
du	PPER	du
nachher	ADV	nachher
?	$.	?
Dirne	NN	Dirne
.	$.	.
Zahlen	NN	Zahl
tun	VVFIN	tun
mir	PPER	ich
die	ART	die
Zivilisten	NN	Zivilist
.	$.	.
So	ADV	so
einer	ART	eine
wie	KOKOM	wie
du	PPER	du
,	$,	,
kann	VMFIN	können
'	$(	'
s	NN	s
immer	ADV	immer
umsonst	ADV	umsonst
bei	APPR	bei
mir	PPER	ich
haben	VAINF	haben
.	$.	.
Soldat	NN	Soldat
.	$.	.
Du	PPER	du
bist	VAFIN	sein
am	APPRART	an+die
End	NE	end
'	$(	'
die	PRELS	die
,	$,	,
von	APPR	von
der	PRELS	die
mir	PPER	ich
der	ART	die
Huber	NE	Huber
erzählt	VVPP	erzählen
hat	VAFIN	haben
.	$.	.
-	$(	-
Dirne	NN	Dirne
.	$.	.
Ich	PPER	ich
kenn	VVIMP	kennen
'	$(	'
kein	PIAT	keine
'	$(	'
Huber	NE	Huber
nicht	PTKNEG	nicht
.	$.	.
Soldat	NN	Soldat
.	$.	.
Du	PPER	du
wirst	VAFIN	werden
schon	ADV	schon
die	ART	die
sein	VAINF	sein
.	$.	.
Weißt	VVFIN	wissen
-	$(	-
in	APPR	in
dem	ART	die
Kaffeehaus	NN	Kaffeehaus
in	APPR	in
der	ART	die
Schiffgassen	NN	Schiffgassen
-	$(	-
von	APPR	von
dort	ADV	dort
ist	VAFIN	sein
er	PPER	er
mit	APPR	mit
dir	PPER	du
z	ADJA	z
'	$(	'
Haus	NN	Haus
gangen	ADJD	gangen
.	$.	.
Dirne	NN	Dirne
.	$.	.
Von	APPR	von
dem	ART	die
Kaffeehaus	NN	Kaffeehaus
bin	VAFIN	sein
ich	PPER	ich
schon	ADV	schon
mit	APPR	mit
gar	ADV	gar
vielen	PIAT	viele
z	ADJA	z
'	$(	'
Haus	NN	Haus
gangen	ADJD	gangen
...	$.	...
oh	ITJ	oh
!	$.	!
oh	ITJ	oh
!	$.	!
-	$(	-
Soldat	NN	Soldat
.	$.	.
Also	ADV	also
geh	VVIMP	gehen
'	$(	'
n	VVFIN	n
wir	PPER	wir
,	$,	,
geh	VVIMP	gehen
'	$(	'
n	VVFIN	n
wir	PPER	wir
.	$.	.
Dirne	NN	Dirne
.	$.	.
Was	PWS	was
,	$,	,
jetzt	ADV	jetzt
hast	VAFIN	haben
'	$(	'
s	NN	s
eilig	ADJD	eilig
?	$.	?
Soldat	NN	Soldat
.	$.	.
Na	ITJ	na
,	$,	,
worauf	PWAV	worauf
soll	VMFIN	sollen
'	$(	'
n	VVFIN	n
wir	PPER	wir
noch	ADV	noch
warten	VVINF	warten
?	$.	?
Und	KON	und
um	APPR	um
Zehn	NN	Zehn
muß	VMFIN	müssen
ich	PPER	ich
in	APPR	in
der	ART	die
Kasern	NN	Kasern
'	$(	'
sein	VAINF	sein
.	$.	.
Dirne	NN	Dirne
.	$.	.
Wie	KOUS	wie
lang	ADJD	lang
dienst	VVFIN	dienen
denn	KON	denn
schon	ADV	schon
?	$.	?
Soldat	NN	Soldat
.	$.	.
Was	PWS	was
geht	VVFIN	gehen
denn	ADV	denn
das	PDS	die
dich	PPER	du
an	PTKVZ	an
?	$.	?
Wohnst	VVFIN	wohnen
weit	ADJD	weit
?	$.	?
Dirne	NN	Dirne
.	$.	.
Zehn	CARD	zehn
Minuten	NN	Minute
zum	APPRART	zu+die
geh	VVIMP	gehen
'	$(	'
n.	APPR	n.
Soldat	NN	Soldat
.	$.	.
Das	PDS	die
ist	VAFIN	sein
mir	PPER	ich
zu	PTKA	zu
weit	ADJD	weit
.	$.	.
Gib	VVIMP	geben
mir	PPER	ich
ein	ART	eine
Pussel	NN	Pussel
.	$.	.
Dirne	NN	Dirne
(	$(	(
küßt	VVFIN	küssen
ihn	PPER	er
)	$(	)
.	$.	.
Das	PDS	die
ist	VAFIN	sein
mir	PPER	ich
eh	ADV	eh
das	ART	die
liebste	ADJA	lieb
,	$,	,
wenn	KOUS	wenn
ich	PPER	ich
einen	PIS	eine
gern	ADV	gern
'	$(	'
hab	VAIMP	haben
'	$(	'
!	$.	!
Soldat	NN	Soldat
.	$.	.
Mir	PPER	ich
nicht	PTKNEG	nicht
.	$.	.
Nein	PTKANT	nein
,	$,	,
ich	PPER	ich
geh	VVIMP	gehen
'	$(	'
nicht	PTKNEG	nicht
mit	APPR	mit
dir	PPER	du
,	$,	,
es	PPER	es
ist	VAFIN	sein
mir	PPER	ich
zu	PTKA	zu
weit	ADJD	weit
.	$.	.
Dirne	NN	Dirne
.	$.	.
Weißt	VVFIN	wissen
was	PIS	was
,	$,	,
komm	VVIMP	kommen
'	$(	'
morgen	ADV	morgen
am	APPRART	an+die
Nachmittag	NN	Nachmittag
.	$.	.
Soldat	NN	Soldat
.	$.	.
Gut	ADJD	gut
is	NE	is
.	$.	.
Gib	VVIMP	geben
mir	PRF	ich
deine	PPOSAT	dein
Adresse	NN	Adresse
.	$.	.
Dirne	NN	Dirne
.	$.	.
Aber	KON	aber
du	PPER	du
kommst	VVFIN	kommen
am	APPRART	an+die
End	NE	end
'	$(	'
nicht	PTKNEG	nicht
.	$.	.
Soldat	NN	Soldat
.	$.	.
Wenn	KOUS	wenn
ich	PPER	ich
dir	PPER	du
'	$(	'
s	NN	s
sag	VVIMP	sagen
'	$(	'
!	$.	!
Dirne	NN	Dirne
.	$.	.
Du	PPER	du
,	$,	,
weißt	VVFIN	wissen
was	PIS	was
-	$(	-
wenn	KOUS	wenn
'	$(	'
s	NN	s
dir	PRF	du
zu	APPR	zu
weit	ADJD	weit
ist	VAFIN	sein
heut	VVFIN	heuen
'	$(	'
Abend	NN	Abend
zu	APPR	zu
mir	PPER	ich
-	$(	-
da	ADV	da
...	$.	...
da	ADV	da
...	$.	...
(	$(	(
weist	VVFIN	weisen
auf	APPR	auf
die	ART	die
Donau	NE	Donau
)	$(	)
.	$.	.
Soldat	NN	Soldat
.	$.	.
Was	PWS	was
ist	VAFIN	sein
das	PDS	die
?	$.	?
Dirne	NN	Dirne
.	$.	.
Da	ADV	da
ist	VAFIN	sein
auch	ADV	auch
schön	ADJD	schön
ruhig	ADJD	ruhig
...	$.	...
jetzt	ADV	jetzt
kommt	VVFIN	kommen
kein	PIAT	keine
Mensch	NN	Mensch
.	$.	.
Soldat	NN	Soldat
.	$.	.
Ah	ITJ	ah
,	$,	,
das	PDS	die
ist	VAFIN	sein
nicht	PTKNEG	nicht
das	PDS	die
rechte	VVFIN	rechen
.	$.	.
Dirne	NN	Dirne
.	$.	.
Bei	APPR	bei
mir	PPER	ich
is	XY	is
immer	ADV	immer
das	PDS	die
rechte	VVFIN	rechen
.	$.	.
Geh	VVIMP	gehen
'	$(	'
,	$,	,
bleib	VVIMP	bleiben
'	$(	'
jetzt	ADV	jetzt
bei	APPR	bei
mir	PPER	ich
.	$.	.
Wer	PWS	wer
weiß	VVFIN	wissen
,	$,	,
ob	KOUS	ob
wir	PPER	wir
morgen	ADV	morgen
noch	ADV	noch
'	$(	'
s	NN	s
Leben	NN	Leben
haben	VAFIN	haben
.	$.	.
Soldat	NN	Soldat
.	$.	.
So	ADV	so
komm	VVIMP	kommen
'	$(	'
-	$(	-
aber	ADV	aber
g	NN	g
'	$(	'
schwind	ADJD	schwind
!	$.	!
Dirne	NN	Dirne
.	$.	.
Gib	VVIMP	geben
obacht	VVFIN	obacht
,	$,	,
da	KOUS	da
ist	VAFIN	sein
so	ADV	so
dunkel	ADJD	dunkel
.	$.	.
Wennst	VVFIN	Wennst
ausrutsch	ADJD	ausrutsch
'	$(	'
st	VVFIN	st
,	$,	,
liegst	VVFIN	liegen
in	APPR	in
der	ART	die
Donau	NE	Donau
.	$.	.
Soldat	NN	Soldat
.	$.	.
Wär	NN	Wär
'	$(	'
eh	ADV	eh
das	ART	die
Beste	NN	Beste
.	$.	.
Dirne	NN	Dirne
.	$.	.
Pst	NN	Pst
,	$,	,
so	ADV	so
wart	VAFIN	sein
'	$(	'
nur	ADV	nur
ein	ART	eine
bissel	NN	bissel
.	$.	.
Gleich	ADJD	gleich
kommen	VVFIN	kommen
wir	PPER	wir
zu	APPR	zu
einer	ART	eine
Bank	NN	Bank
.	$.	.
Soldat	NN	Soldat
.	$.	.
Kennst	VVFIN	kennen
dich	PPER	du
da	ADV	da
gut	ADJD	gut
aus	PTKVZ	aus
.	$.	.
Dirne	NN	Dirne
.	$.	.
So	ADV	so
einen	ART	eine
wie	KOKOM	wie
dich	PPER	du
möcht	VVFIN	möcht
'	$(	'
ich	PPER	ich
zum	APPRART	zu+die
Geliebten	NN	Geliebte
.	$.	.
Soldat	NN	Soldat
.	$.	.
Ich	PPER	ich
tät	NN	tät
'	$(	'
dir	PRF	du
zu	APPR	zu
viel	ADV	viel
eifern	VVFIN	eifern
.	$.	.
Dirne	NN	Dirne
.	$.	.
Das	PDS	die
möcht	VVFIN	möcht
'	$(	'
ich	PPER	ich
dir	PPER	du
schon	ADV	schon
abgewöhnen	VVINF	abgewöhnen
.	$.	.
Soldat	NN	Soldat
.	$.	.
Ha	NE	Ha
-	$(	-
Dirne	NN	Dirne
.	$.	.
Nicht	PTKNEG	nicht
so	ADV	so
laut	ADJD	laut
.	$.	.
Manchmal	ADV	manchmal
is	NE	is
doch	ADV	doch
,	$,	,
daß	KOUS	dass
sich	PRF	sich
ein	ART	eine
Wachter	NN	Wachter
her	APZR	her
verirrt	VVPP	verirren
.	$.	.
Sollt	VMFIN	sollen
man	PIS	man
glauben	VVINF	glauben
,	$,	,
daß	KOUS	dass
wir	PPER	wir
da	ADV	da
mitten	ADV	mitten
in	APPR	in
der	ART	die
Wienerstadt	NN	Wienerstadt
sind	VAFIN	sein
?	$.	?
Soldat	NN	Soldat
.	$.	.
Daher	PAV	daher
komm	VVIMP	kommen
'	$(	'
,	$,	,
daher	ADV	daher
.	$.	.
Dirne	NN	Dirne
.	$.	.
Aber	KON	aber
was	PWS	was
fällt	VVFIN	fallen|fällen
dir	PRF	du
denn	ADV	denn
ein	PTKVZ	ein
,	$,	,
wenn	KOUS	wenn
wir	PPER	wir
da	ADV	da
ausrutschen	VVFIN	ausrutschen
,	$,	,
liegen	VVFIN	liegen
wir	PPER	wir
im	APPRART	in+die
Wasser	NN	Wasser
unten	PTKVZ	unten
.	$.	.
Soldat	NN	Soldat
(	$(	(
hat	VAFIN	haben
sie	PPER	sie
gepackt	VVPP	packen
)	$(	)
.	$.	.
Ah	ITJ	ah
,	$,	,
du	PPER	du
-	$(	-
Dirne	NN	Dirne
.	$.	.
Halt	ADV	halt
dich	PPER	du
nur	ADV	nur
fest	ADJD	fest
an	PTKVZ	an
.	$.	.
Soldat	NN	Soldat
.	$.	.
Hab	NN	Hab
kein	PIAT	keine
'	$(	'
Angst	NN	Angst
...	$.	...
.	$.	.
Dirne	NN	Dirne
.	$.	.
Auf	APPR	auf
der	ART	die
Bank	NN	Bank
wär	ADJD	wär
'	$(	'
s	NN	s
schon	ADV	schon
besser	ADJD	gut
gewesen	VAPP	sein
.	$.	.
Soldat	NN	Soldat
.	$.	.
Da	ADV	da
oder	KON	oder
da	ADV	da
...	$.	...
.	$.	.
Na	ITJ	na
,	$,	,
krall	VVFIN	krall
'	$(	'
aufi	VVFIN	aufi
.	$.	.
Dirne	NN	Dirne
.	$.	.
Was	PWS	was
laufst	VVFIN	laufst
denn	ADV	denn
so	ADV	so
-	$(	-
Soldat	NN	Soldat
.	$.	.
Ich	PPER	ich
muß	VMFIN	müssen
in	APPR	in
die	ART	die
Kasern	NN	Kasern
'	$(	'
,	$,	,
ich	PPER	ich
komm	VVIMP	kommen
'	$(	'
eh	ADV	eh
schon	ADV	schon
zu	PTKA	zu
spät	ADJD	spät
.	$.	.
Dirne	NN	Dirne
.	$.	.
Geh	VVIMP	gehen
'	$(	'
,	$,	,
du	PPER	du
,	$,	,
wie	KOUS	wie
heißt	VVFIN	heißen
denn	ADV	denn
?	$.	?
Soldat	NN	Soldat
.	$.	.
Was	PWS	was
interessiert	VVFIN	interessieren
dich	PPER	du
denn	ADV	denn
das	PDS	die
,	$,	,
wie	KOUS	wie
ich	PPER	ich
heiß	ADJD	heiß
?	$.	?
Dirne	NN	Dirne
.	$.	.
Ich	PPER	ich
heiß	ADJD	heiß
Leocadia	NE	Leocadia
.	$.	.
Soldat	NN	Soldat
.	$.	.
Ha	NE	Ha
!	$.	!
-	$(	-
So	ADV	so
an	APPR	an
'	$(	'
Namen	NN	Name
hab	VAIMP	haben
'	$(	'
ich	PPER	ich
auch	ADV	auch
noch	ADV	noch
nie	ADV	nie
gehört	VVFIN	gehören
.	$.	.
Dirne	NN	Dirne
.	$.	.
Du	PPER	du
!	$.	!
Soldat	NN	Soldat
.	$.	.
Na	ITJ	na
,	$,	,
was	PWS	was
willst	VMFIN	wollen
denn	ADV	denn
?	$.	?
Dirne	NN	Dirne
.	$.	.
Geh	VVIMP	gehen
,	$,	,
ein	ART	eine
Sechserl	NE	Sechserl
für'n	NE	für'n
Hausmeister	NN	Hausmeister
gib	VVIMP	geben
mir	PRF	ich
wenigstens	ADV	wenigstens
!	$.	!
-	$(	-
Soldat	NN	Soldat
.	$.	.
Ha	NE	Ha
!	$.	!
...	$.	...
Glaubst	VVFIN	glauben
,	$,	,
ich	PPER	ich
bin	VAFIN	sein
deine	PPOSAT	dein
Wurzen	NN	Wurzen
…	$.	...
Servus	NE	Servus
!	$.	!
Leocadia	NE	Leocadia
...	$.	...
Dirne	NN	Dirne
.	$.	.
Strizzi	NE	Strizzi
!	$.	!
Fallott	ADJD	Fallott
!	$.	!
-	$(	-
(	$(	(
Er	PPER	er
ist	VAFIN	sein
verschwunden	VVPP	verschwinden
.	$.	.
)	$(	)
