Wer	PWS	wer
begriffen	VVPP	begreifen
.	$.	.
Dann	ADV	dann
fängt	VVFIN	fangen
die	ART	die
Nadel	NN	Nadel
an	APPR	an
anfangs	ADV	anfangs
rasch	ADJD	rasch
,	$,	,
nachher	ADV	nachher
aber	ADV	aber
sehr	ADV	sehr
langsam	ADJD	langsam
auf	APPR	auf
den	ART	die
früheren	ADJA	früh
Stand	NN	Stand
zurückzukehren	VVIZU	zurückkehren
,	$,	,
den	PRELS	die
sie	PPER	sie
erst	ADV	erst
am	APPRART	an+die
Morgen	NN	Morgen
des	ART	die
nächsten	ADJA	nah
Tages	NN	Tag
wieder	ADV	wieder
erreicht	VVPP	erreichen
,	$,	,
um	KOUI	um
dann	ADV	dann
dasselbe	PDAT	dasselb
Spiel	NN	Spiel
zu	PTKZU	zu
wiederholen	VVINF	wiederholen
.	$.	.
So	ADV	so
sind	VAFIN	sein
wir	PPER	wir
im	APPRART	in+die
Stande	NN	Stand
,	$,	,
selbst	ADV	selbst
in	APPR	in
den	ART	die
Kellerräumen	NN	Kellerraum
der	ART	die
Observatorien	NN	Observatorium
,	$,	,
in	APPR	in
die	PRELS	die
kein	PIAT	keine
Sonnenstrahl	NN	Sonnenstrahl
dringt	VVFIN	dringen
,	$,	,
aus	APPR	aus
dem	ART	die
Stande	NN	Stand
der	ART	die
Magnetnadel	NN	Magnetnadel
den	ART	die
ungefähren	ADJA	ungefähr
Stand	NN	Stand
der	ART	die
Sonne	NN	Sonne
zu	PTKZU	zu
erkennen	VVINF	erkennen
.	$.	.
Merkwürdig	ADJD	merkwürdig
ist	VAFIN	sein
,	$,	,
daß	KOUS	dass
die	ART	die
ganze	ADJA	ganz
Schwankung	NN	Schwankung
der	ART	die
Nadelstellung	NN	Nadelstellung
sich	PRF	sich
auf	APPR	auf
etwa	ADV	etwa
8	CARD	@card@
Tagesstunden	NN	Tagesstunde
zusammendrängt	VVFIN	zusammendrängen
,	$,	,
während	KOUS	während
in	APPR	in
der	ART	die
Nacht	NN	Nacht
die	ART	die
Bewegung	NN	Bewegung
kleiner	ADJD	klein
und	KON	und
regelmäßiger	ADJD	regelmäßig
ist	VAFIN	sein
.	$.	.
Auf	APPR	auf
der	ART	die
südlichen	ADJA	südlich
Halbkugel	NN	Halbkugel
bewegt	VVFIN	bewegen
sich	PRF	sich
der	ART	die
Südpol	NE	Südpol
der	ART	die
Nadel	NN	Nadel
so	ADV	so
wie	KOKOM	wie
auf	APPR	auf
unserer	PPOSAT	unser
nördlichen	ADJA	nördlich
der	ART	die
Nordpol	NE	Nordpol
.	$.	.
Entsprechend	ADJD	entsprechend
dem	ART	die
stärker	ADJD	stark
ausgeprägten	ADJA	ausgeprägt
Gang	NN	Gang
der	ART	die
Sonnenstrahlung	NN	Sonnenstrahlung
im	APPRART	in+die
Sommer	NN	Sommer
,	$,	,
besitzt	VVFIN	besitzen
auch	ADV	auch
die	ART	die
Wanderung	NN	Wanderung
der	ART	die
Magnetpole	NN	Magnetpole
in	APPR	in
dieser	PDAT	dies
Jahreszeit	NN	Jahreszeit
eine	ART	eine
größere	ADJA	groß
Amplitude	NN	Amplitude
und	KON	und
einen	ART	eine
regelmäßigeren	ADJA	regelmäßig
Verlauf	NN	Verlauf
.	$.	.
Die	ART	die
Schwankungen	NN	Schwankung
der	ART	die
mittleren	ADJA	mittler
Stellung	NN	Stellung
der	ART	die
Nadel	NN	Nadel
im	APPRART	in+die
Laufe	NN	Lauf
eines	ART	eine
Jahres	NN	Jahr
ist	VAFIN	sein
weniger	ADV	weniger
ausgeprägt	VVPP	ausprägen
und	KON	und
wie	KOUS	wie
es	PPER	es
scheint	VVFIN	scheinen
nur	ADV	nur
durch	APPR	durch
die	ART	die
Größe	NN	Größe
des	ART	die
Winkels	NN	Winkel
,	$,	,
den	PRELS	die
die	ART	die
Erdachse	NN	Erdachse
mit	APPR	mit
der	ART	die
Sonnenbahn	NN	Sonnenbahn
bildet	VVFIN	bilden
,	$,	,
bedingt	VVPP	bedingen
.	$.	.
In	APPR	in
welcher	PIS	welche
Weise	NN	Weise
nun	ADV	nun
können	VMFIN	können
wir	PPER	wir
uns	PRF	wir
die	ART	die
Einwirkung	NN	Einwirkung
der	ART	die
Sonne	NN	Sonne
auf	APPR	auf
die	ART	die
Magnetnadel	NN	Magnetnadel
denken	VVINF	denken
?	$.	?
Jedermann	PIS	jedermann
weiß	VVFIN	wissen
,	$,	,
daß	KOUS	dass
die	ART	die
Magnetnadel	NN	Magnetnadel
abgelenkt	VVPP	ablenken
wird	VAFIN	werden
durch	APPR	durch
elektrische	ADJA	elektrisch
Ströme	NN	Strom
.	$.	.
Solche	PIAT	solche
Ströme	NN	Strom
sind	VAFIN	sein
in	APPR	in
unserer	PPOSAT	unser
Atmosphäre	NN	Atmosphäre
vorhanden	ADJD	vorhanden
.	$.	.
Seit	APPR	seit
Franklins	NE	Franklins
Zeiten	NN	Zeit
ist	VAFIN	sein
bekannt	ADJD	bekannt
,	$,	,
daß	KOUS	dass
zwischen	APPR	zwischen
einem	ART	eine
beliebigen	ADJA	beliebig
Punkt	NN	Punkt
der	ART	die
Atmosphäre	NN	Atmosphäre
und	KON	und
der	ART	die
festen	ADJA	fest
Erde	NN	Erde
elektrische	ADJA	elektrisch
Spannungsunterschiede	NN	Spannungsunterschiede
bestehen	VVFIN	bestehen
,	$,	,
und	KON	und
vor	APPR	vor
etwa	ADV	etwa
20	CARD	@card@
Jahren	NN	Jahr
haben	VAFIN	haben
zwei	CARD	zwei
deutsche	ADJA	deutsch
Gymnasiallehrer	NN	Gymnasiallehrer
,	$,	,
die	ART	die
Herren	NN	Herr
Elster	NN	Elster
und	KON	und
Geitel	NN	Geitel
,	$,	,
in	APPR	in
Wolfenbüttel	NN	Wolfenbüttel
gezeigt	VVPP	zeigen
,	$,	,
daß	KOUS	dass
die	ART	die
Atmosphäre	NN	Atmosphäre
nicht	PTKNEG	nicht
,	$,	,
wie	KOUS	wie
man	PIS	man
früher	ADV	früher
angenommen	VVPP	annehmen
hat	VAFIN	haben
,	$,	,
ein	ART	eine
Isolator	NN	Isolator
,	$,	,
sondern	KON	sondern
ein	ART	eine
Leiter	NN	Leiter
der	ART	die
Elektrizität	NN	Elektrizität
ist	VAFIN	sein
,	$,	,
und	KON	und
daß	KOUS	dass
sie	PPER	sie
,	$,	,
ganz	ADV	ganz
im	APPRART	in+die
Gegensatz	NN	Gegensatz
zu	APPR	zu
der	ART	die
allgemeinen	ADJA	allgemein
Anschauung	NN	Anschauung
,	$,	,
umso	ADV	umso
besser	ADJD	gut
leitet	VVFIN	leiten
,	$,	,
je	ADV	je
trockener	ADJD	trocken
und	KON	und
je	ADV	je
staubfreier	VVFIN	staubfreier
sie	PPER	sie
ist	VAFIN	sein
;	$.	;
daß	KOUS	dass
ferner	ADJD	fern
die	ART	die
Leitfähigkeit	NN	Leitfähigkeit
mit	APPR	mit
Ort	NN	Ort
und	KON	und
Zeit	NN	Zeit
wechselt	VVFIN	wechseln
,	$,	,
im	APPRART	in+die
Gebirge	NN	Gebirge
z.	APPRART	zu+die
B.	NN	B.
durchweg	ADV	durchweg
größer	ADJD	groß
ist	VAFIN	sein
als	KOKOM	als
in	APPR	in
der	ART	die
Ebene	NN	Ebene
,	$,	,
und	KON	und
daß	KOUS	dass
die	ART	die
Ursachen	NN	Ursache
dieser	PDAT	dies
Leitfähigkeit	NN	Leitfähigkeit
die	ART	die
Strahlen	NN	Strahl|Strahlen
radioaktiver	ADJA	radioaktiv
Substanzen	NN	Substanz
sind	VAFIN	sein
,	$,	,
die	PRELS	die
sich	PRF	sich
,	$,	,
wenn	KOUS	wenn
auch	ADV	auch
in	APPR	in
sehr	ADV	sehr
geringen	ADJA	gering
Mengen	NN	Menge
,	$,	,
überall	ADV	überall
im	APPRART	in+die
Erdboden	NN	Erdboden
und	KON	und
infolgedessen	ADV	infolgedessen
auch	ADV	auch
in	APPR	in
der	ART	die
Atmosphäre	NN	Atmosphäre
ﬁnden	ADJD	ﬁnden
.	$.	.
Durch	APPR	durch
diese	PDAT	dies
in	APPR	in
einer	ART	eine
Reihe	NN	Reihe
von	APPR	von
sehr	ADV	sehr
wichtigen	ADJA	wichtig
Arbeiten	NN	Arbeit|Arbeiten
niedergelegten	ADJA	niedergelegt
Entdeckungen	NN	Entdeckung
,	$,	,
haben	VAFIN	haben
Elster	NN	Elster
und	KON	und
Geitel	NN	Geitel
die	ART	die
Lehre	NN	Lehre
von	APPR	von
der	ART	die
Luftelektrizität	NN	Luftelektrizität
auf	APPR	auf
eine	ART	eine
ganz	ADV	ganz
neue	ADJA	neu
Grundlage	NN	Grundlage
gestellt	VVPP	stellen
;	$.	;
ihre	PPOSAT	ihr
Arbeiten	NN	Arbeit|Arbeiten
wirkten	VVFIN	wirken
aber	ADV	aber
auch	ADV	auch
umwälzend	ADJD	umwälzend
in	APPR	in
der	ART	die
Meteorologie	NN	Meteorologie
und	KON	und
in	APPR	in
der	ART	die
Geologie	NN	Geologie
insofern	ADV	insofern
,	$,	,
als	KOUS	als
sie	PPER	sie
eine	ART	eine
neue	ADJA	neu
Erklärung	NN	Erklärung
für	APPR	für
die	ART	die
innere	ADJA	inner
Erdwärme	NN	Erdwärme
gaben	VVFIN	geben
und	KON	und
in	APPR	in
ihrer	PPOSAT	ihr
weiteren	ADJA	weit
Anwendung	NN	Anwendung
sogar	ADV	sogar
das	ART	die
Alter	NN	Alter
der	ART	die
Erde	NN	Erde
zu	PTKZU	zu
berechnen	VVINF	berechnen
gestatteten	VVFIN	gestatten
.	$.	.
Ich	PPER	ich
habe	VAFIN	haben
vorhin	ADV	vorhin
mit	APPR	mit
Absicht	NN	Absicht
den	ART	die
Beruf	NN	Beruf
der	ART	die
beiden	PIAT	beide
Herren	NN	Herr
als	KOKOM	als
Gymnasialprofessoren	NN	Gymnasialprofessoren
erwähnt	VVPP	erwähnen
.	$.	.
Ich	PPER	ich
wollte	VMFIN	wollen
damit	PAV	damit
der	ART	die
weitverbreiteten	ADJA	weitverbreitet
Anschauung	NN	Anschauung
entgegentreten	VVINF	entgegentreten
,	$,	,
daß	KOUS	dass
nur	ADV	nur
derjenige	PDAT	diejenig
wissenschaftliche	ADJA	wissenschaftlich
Entdeckungen	NN	Entdeckung
machen	VVINF	machen
kann	VMFIN	können
,	$,	,
dem	ART	die
reich	ADJD	reich
ausgestattete	ADJA	ausgestattet
.	$.	.
Laboratorien	NN	Laboratorium
einer	ART	eine
Hochschule	NN	Hochschule
und	KON	und
von	APPR	von
jeder	PIAT	jede
andern	PIAT	andere
Berufsarbeit	NN	Berufsarbeit
freie	ADJA	frei
Zeit	NN	Zeit
zur	APPRART	zu+die
Verfügung	NN	Verfügung
steht	VVFIN	stehen
.	$.	.
Das	PDS	die
ist	VAFIN	sein
nicht	PTKNEG	nicht
richtig	ADJD	richtig
:	$.	:
Viele	PIS	viele
der	ART	die
bedeutendsten	ADJA	bedeutend
Entdeckungen	NN	Entdeckung
sind	VAFIN	sein
mit	APPR	mit
den	ART	die
einfachsten	ADJA	einfach
Hilfsmitteln	NN	Hilfsmittel
,	$,	,
oder	KON	oder
wie	KOUS	wie
die	ART	die
Entdeckung	NN	Entdeckung
des	ART	die
Radiums	NN	Radiums
durch	APPR	durch
Frau	NN	Frau
Curie	VVFIN	Curie
in	APPR	in
Räumen	NN	Raum|Räumen
ausgeführt	VVPP	ausführen
worden	VAPP	werden
,	$,	,
denen	PRELS	die
man	PIS	man
kaum	ADV	kaum
die	ART	die
stolze	ADJA	stolz
Bezeichnung	NN	Bezeichnung
Laboratorium	NN	Laboratorium
geben	VVINF	geben
kann	VMFIN	können
.	$.	.
Wer	PWS	wer
während	APPR	während
seiner	PPOSAT	sein
Studienzeit	NN	Studienzeit
gelernt	VVPP	lernen
hat	VAFIN	haben
,	$,	,
sich	PRF	sich
selbst	ADV	selbst
zu	PTKZU	zu
helfen	VVINF	helfen
,	$,	,
wird	VAFIN	werden
in	APPR	in
unserer	PPOSAT	unser
Wissenschaft	NN	Wissenschaft
später	ADJD	spät
mehr	ADV	mehr
leisten	VVINF	leisten
können	VMINF	können
als	KOKOM	als
derjenige	PDS	diejenige
,	$,	,
der	PRELS	die
durch	APPR	durch
die	ART	die
Beschäftigung	NN	Beschäftigung
mit	APPR	mit
kostbaren	ADJA	kostbar
Apparaten	NN	Apparat
verwöhnt	VVPP	verwöhnen
wurde	VAFIN	werden
.	$.	.
Kehren	VVFIN	kehren
wir	PPER	wir
nun	ADV	nun
zu	APPR	zu
den	ART	die
elektrischen	ADJA	elektrisch
Erscheinungen	NN	Erscheinung
in	APPR	in
der	ART	die
Atmosphäre	NN	Atmosphäre
zurück	PTKVZ	zurück
.	$.	.
Wenn	KOUS	wenn
in	APPR	in
einem	ART	eine
Leiter	NN	Leiter
,	$,	,
wie	KOUS	wie
es	PPER	es
die	ART	die
Atmosphäre	NN	Atmosphäre
ist	VAFIN	sein
,	$,	,
Spannungsunterschiede	NN	Spannungsunterschiede
bestehen	VVFIN	bestehen
,	$,	,
so	ADV	so
müssen	VMFIN	müssen
diese	PDAT	dies
elektrische	ADJA	elektrisch
Ströme	NN	Strom
hervorrufen	VVINF	hervorrufen
.	$.	.
Solche	PIS	solche
beobachten	VVFIN	beobachten
wir	PPER	wir
nun	ADV	nun
tatsächlich	ADJD	tatsächlich
in	APPR	in
der	ART	die
Atmosphäre	NN	Atmosphäre
.	$.	.
Die	ART	die
Erde	NN	Erde
ist	VAFIN	sein
gegenüber	APPR	gegenüber
letzterer	ADJA	letzt
in	APPR	in
der	ART	die
Regel	NN	Regel
negativ	ADJD	negativ
geladen	VVPP	laden
.	$.	.
Infolgedessen	ADV	infolgedessen
strömen	VVFIN	strömen
ihr	PPER	ihr
ständig	ADJD	ständig
positiv	ADJD	positiv
geladene	ADJA	geladen
Luftteilchen	NN	Luftteilchen
zu	PTKVZ	zu
,	$,	,
Ionen	NN	Ion
nennt	VVFIN	nennen
sie	PPER	sie
der	ART	die
Physiker	NN	Physiker
.	$.	.
Die	ART	die
Stärke	NN	Stärke
dieser	PDAT	dies
Ströme	NN	Strom
wechselt	VVFIN	wechseln
wie	KOKOM	wie
die	ART	die
Leitfähigkeit	NN	Leitfähigkeit
mit	APPR	mit
Ort	NN	Ort
und	KON	und
Zeit	NN	Zeit
und	KON	und
ist	VAFIN	sein
in	APPR	in
hohem	ADJA	hoch
Maße	NN	Maß
abhängig	ADJD	abhängig
vom	APPRART	von+die
Sonnenstand	NN	Sonnenstand
und	KON	und
was	PIS	was
uns	PPER	wir
hier	ADV	hier
besonders	ADV	besonders
interessiert	VVPP	interessieren
,	$,	,
ihre	PPOSAT	ihr
Veränderungen	NN	Veränderung
stehen	VVFIN	stehen
,	$,	,
wie	KOUS	wie
ich	PPER	ich
zeigen	VVINF	zeigen
konnte	VMFIN	können
,	$,	,
in	APPR	in
engem	ADJA	eng
Zusammenhang	NN	Zusammenhang
mit	APPR	mit
denen	PDS	die
der	ART	die
magnetischen	ADJA	magnetisch
Elemente	NN	Element
,	$,	,
und	KON	und
zwar	ADV	zwar
ist	VAFIN	sein
dieser	PDAT	dies
Zusammenhang	NN	Zusammenhang
derart	ADV	derart
,	$,	,
daß	KOUS	dass
der	ART	die
Richtung	NN	Richtung
nach	APPR	nach
die	ART	die
Schwankungen	NN	Schwankung
des	ART	die
Stromes	NN	Strom
die	ART	die
der	ART	die
Magnetnadel	NN	Magnetnadel
wohl	ADV	wohl
erklären	VVINF	erklären
können	VMFIN	können
,	$,	,
der	ART	die
Größe	NN	Größe
nach	APPO	nach
aber	ADV	aber
nicht	PTKNEG	nicht
.	$.	.
Der	ART	die
Erde-Luftstrom	NN	Erde-Luftstrom
ist	VAFIN	sein
I0	NN	I0
,	$,	,
000-mal	NN	000-mal
schwächer	ADJD	schwach
als	KOKOM	als
der	ART	die
Strom	NN	Strom
der	ART	die
zur	APPRART	zu+die
Erklärung	NN	Erklärung
derjenigen	PDAT	diejenig
Komponente	NN	Komponente
des	ART	die
erdmagnetischen	ADJA	erdmagnetischen
Feldes	NN	Feld
nötig	ADJD	nötig
ist	VAFIN	sein
,	$,	,
die	PRELS	die
wir	PPER	wir
auf	APPR	auf
die	ART	die
Existenz	NN	Existenz
von	APPR	von
elektrischen	ADJA	elektrisch
Vertikalströmen	NN	Vertikalströmen
zurückführen	VVINF	zurückführen
können	VMINF	können
und	KON	und
reicht	VVFIN	reichen
auch	ADV	auch
nicht	PTKNEG	nicht
zur	APPRART	zu+die
Erklärung	NN	Erklärung
der	ART	die
täglichen	ADJA	täglich
Variationen	NN	Variation
aus	PTKVZ	aus
.	$.	.
Wir	PPER	wir
müssen	VMFIN	müssen
uns	PRF	wir
daher	PAV	daher
umsehen	VVINF	umsehen
,	$,	,
ob	KOUS	ob
wir	PPER	wir
nicht	PTKNEG	nicht
mit	APPR	mit
dem	ART	die
Erde-Luftstrom	NN	Erde-Luftstrom
in	APPR	in
Verbindung	NN	Verbindung
stehende	ADJA	stehend
Ströme	NN	Strom
anderer	PIAT	andere
Art	NN	Art
ﬁnden	NN	ﬁnden
können	VMFIN	können
.	$.	.
Ständig	ADJD	ständig
ﬂießen	NN	ﬂießen
,	$,	,
wie	KOUS	wie
die	ART	die
Herren	NN	Herr
Elster	NN	Elster
und	KON	und
Geitel	NN	Geitel
zeigten	VVFIN	zeigen
,	$,	,
positiv	ADJD	positiv
geladene	ADJA	geladen
Luftteilchen	NN	Luftteilchen
der	ART	die
negativ	ADJD	negativ
geladenen	ADJA	geladen
Erde	NN	Erde
zu	PTKVZ	zu
,	$,	,
und	KON	und
in	APPR	in
kurzer	ADJA	kurz
Zeit	NN	Zeit
,	$,	,
vielleicht	ADV	vielleicht
in	APPR	in
einer	ART	eine
Viertelstunde	NN	Viertelstunde
schon	ADV	schon
,	$,	,
würde	VAFIN	werden
sich	PRF	sich
die	ART	die
ganze	ADJA	ganz
Spannungsdifferenz	NN	Spannungsdifferenz
zwischen	APPR	zwischen
Erde	NN	Erde
und	KON	und
Atmosphäre	NN	Atmosphäre
ausgeglichen	VVPP	ausgleichen
haben	VAINF	haben
,	$,	,
wenn	KOUS	wenn
nicht	PTKNEG	nicht
irgend	ADV	irgend
eine	ART	eine
andere	PIAT	andere
Ursache	NN	Ursache
dieselbe	PDAT	dieselb
immer	ADV	immer
wieder	ADV	wieder
herstellte	VVFIN	herstellen
.	$.	.
Welches	PWAT	welche
ist	VAFIN	sein
nun	ADV	nun
diese	PDAT	dies
Ursache	NN	Ursache
?	$.	?
Man	PIS	man
hat	VAFIN	haben
zunächst	ADV	zunächst
daran	PAV	daran
gedacht	VVPP	denken|gedenken
,	$,	,
daß	KOUS	dass
Regen	NN	Regen
auch	ADV	auch
negative	ADJA	negativ
Ladungen	NN	Ladung
aus	APPR	aus
der	ART	die
Atmosphäre	NN	Atmosphäre
auf	APPR	auf
die	ART	die
Erde	NN	Erde
führen	VVINF	führen
könnte	VMFIN	können
,	$,	,
oder	KON	oder
daß	KOUS	dass
umgekehrt	ADJD	umgekehrt
aufsteigende	ADJA	aufsteigend
Luftströme	NN	Luftstrom
positive	ADJA	positiv
Ladungen	NN	Ladung
wieder	ADV	wieder
in	APPR	in
die	ART	die
Höhe	NN	Höhe
bringen	VVFIN	bringen
.	$.	.
Beobachtung	NN	Beobachtung
und	KON	und
Rechnung	NN	Rechnung
zeigten	VVFIN	zeigen
,	$,	,
daß	KOUS	dass
beide	PIAT	beide
Faktoren	NN	Faktor
nicht	PTKNEG	nicht
ausreichen	VVFIN	ausreichen
,	$,	,
um	APPR	um
den	PRELS	die
ständig	ADJD	ständig
zur	APPRART	zu+die
Erde	NN	Erde
gehenden	ADJA	gehend
positiven	ADJA	positiv
Strom	NN	Strom
zu	PTKZU	zu
kompensieren	VVINF	kompensieren
und	KON	und
daß	KOUS	dass
wir	PPER	wir
noch	ADV	noch
nach	APPR	nach
einer	ART	eine
anderen	PIS	andere
elektrischen	ADJA	elektrisch
Strömung	NN	Strömung
suchen	VVINF	suchen
müssen	VMFIN	müssen
.	$.	.
Nun	ADV	nun
haben	VAFIN	haben
schon	ADV	schon
Elster	NN	Elster
und	KON	und
Geitel	NN	Geitel
gefunden	VVPP	finden
,	$,	,
daß	KOUS	dass
auch	ADV	auch
in	APPR	in
einem	ART	eine
geschlossenen	ADJA	geschlossen
Gefäße	NN	Gefäß
immer	ADV	immer
eine	ART	eine
Ursache	NN	Ursache
wirkend	ADJD	wirkend
ist	VAFIN	sein
,	$,	,
welche	PRELS	welche
die	ART	die
Luftmoleküle	NN	Luftmoleküle
in	APPR	in
elektrisch	ADJD	elektrisch
geladene	ADJA	geladen
Teilchen	NN	Teilchen
spaltet	VVFIN	spalten
.	$.	.
Wir	PPER	wir
wissen	VVFIN	wissen
,	$,	,
daß	KOUS	dass
eine	ART	eine
solche	PIAT	solche
Wirkung	NN	Wirkung
,	$,	,
wir	PPER	wir
nennen	VVFIN	nennen
sie	PPER	sie
Ionisation	NN	Ionisation
,	$,	,
von	APPR	von
den	ART	die
Strahlen	NN	Strahl|Strahlen
radioaktiver	ADJA	radioaktiv
Körper	NN	Körper
hervorgebracht	VVPP	hervorbringen
wird	VAFIN	werden
.	$.	.
Englische	ADJA	englisch
Forscher	NN	Forscher
haben	VAFIN	haben
dann	ADV	dann
weiter	ADV	weiter
beobachtet	VVPP	beobachten
,	$,	,
daß	KOUS	dass
die	ART	die
Ionisation	NN	Ionisation
in	APPR	in
einem	ART	eine
Gefäße	NN	Gefäß
abnimmt	VVFIN	abnehmen
,	$,	,
wenn	KOUS	wenn
man	PIS	man
dasselbe	PDS	dasselbe
mit	APPR	mit
Bleischirmen	NN	Bleischirmen
umgibt	VVFIN	umgeben
.	$.	.
Damit	PAV	damit
war	VAFIN	sein
nachgewiesen	VVPP	nachweisen
,	$,	,
daß	KOUS	dass
die	ART	die
Strahlung	NN	Strahlung
,	$,	,
welche	PRELS	welche
die	ART	die
Luft	NN	Luft
in	APPR	in
dem	ART	die
Gefäße	NN	Gefäß
leitend	ADJD	leitend
macht	VVFIN	machen
,	$,	,
von	APPR	von
außen	ADV	außen
kommt	VVFIN	kommen
.	$.	.
Wiederum	ADV	wiederum
waren	VAFIN	sein
es	PPER	es
Elster	NN	Elster
und	KON	und
Geitel	NN	Geitel
,	$,	,
welche	PRELS	welche
zeigten	VVFIN	zeigen
,	$,	,
daß	KOUS	dass
der	ART	die
Erdboden	NN	Erdboden
Substanzen	NN	Substanz
enthält	VVFIN	enthalten
,	$,	,
welche	PRELS	welche
ionisierende	ADJA	ionisierend
Strahlen	NN	Strahl|Strahlen
aussenden	VVFIN	aussenden
,	$,	,
und	KON	und
daß	KOUS	dass
solche	PIAT	solche
Substanzen	NN	Substanz
,	$,	,
nämlich	ADV	nämlich
Radium-	TRUNC	Radium-
und	KON	und
Thoriumemanation	NN	Thoriumemanation
,	$,	,
aus	APPR	aus
den	ART	die
genannten	ADJA	genannt
Stoffen	NN	Stoff
sich	PRF	sich
bildende	ADJA	bildend
Gase	NN	Gas
,	$,	,
aus	APPR	aus
der	ART	die
Erde	NN	Erde
auch	ADV	auch
in	APPR	in
die	ART	die
Atmosphäre	NN	Atmosphäre
übergehen	VVFIN	übergehen
.	$.	.
Aber	KON	aber
die	ART	die
Beobachtung	NN	Beobachtung
,	$,	,
daß	KOUS	dass
die	ART	die
aus	APPR	aus
der	ART	die
Höhe	NN	Höhe
kommende	ADJA	kommend
Luft	NN	Luft
stärker	ADJD	stark
ionisiert	VVPP	ionisieren
ist	VAFIN	sein
als	KOKOM	als
die	ART	die
in	APPR	in
der	ART	die
Nähe	NN	Nähe
des	ART	die
Erdbodens	NN	Erdboden
,	$,	,
ließen	VVFIN	lassen
in	APPR	in
mir	PPER	ich
Zweifel	NN	Zweifel
entstehen	VVINF	entstehen
,	$,	,
ob	KOUS	ob
diese	PDAT	dies
Strahlung	NN	Strahlung
aus	APPR	aus
schließlich	ADV	schließlich
oder	KON	oder
auch	ADV	auch
nur	ADV	nur
vorwiegend	ADJD	vorwiegend
aus	APPR	aus
der	ART	die
Erde	NN	Erde
stammt	VVFIN	stammen
.	$.	.
Bei	APPR	bei
Ballonfahrten	NN	Ballonfahrt
,	$,	,
zu	APPR	zu
denen	PRELS	die
mir	PPER	ich
die	ART	die
Schweizerische	ADJA	schweizerisch
Meteorologische	ADJA	meteorologisch
Zentralanstalt	NN	Zentralanstalt
und	KON	und
der	ART	die
Schweizerische	ADJA	schweizerisch
Aeroklub	NN	Aeroklub
die	ART	die
Mittel	NN	Mittel
gewährten	VVFIN	gewähren
,	$,	,
konnte	VMFIN	können
ich	PPER	ich
zeigen	VVINF	zeigen
,	$,	,
daß	KOUS	dass
diese	PDAT	dies
Strahlung	NN	Strahlung
mit	APPR	mit
der	ART	die
Entfernung	NN	Entfernung
vom	APPRART	von+die
Erdboden	NN	Erdboden
zunächst	ADV	zunächst
zwar	ADV	zwar
abnimmt	VVFIN	abnehmen
,	$,	,
in	APPR	in
größeren	ADJA	groß
Höhen	NN	Höhe
aber	ADV	aber
,	$,	,
etwa	ADV	etwa
von	APPR	von
3000	CARD	@card@
Metern	NN	Meter
an	PTKVZ	an
,	$,	,
annähernd	ADJD	annähernd
konstant	ADJD	konstant
bleibt	VVFIN	bleiben
und	KON	und
weiter	ADV	weiter
hinauf	ADV	hinauf
eher	ADV	eher
etwas	ADV	etwas
zunimmt	VVFIN	zunehmen
.	$.	.
Damit	PAV	damit
war	VAFIN	sein
