I.	NE	I.
an	APPR	an
sie	PPER	sie
stellen	VVINF	stellen
und	KON	und
nichts	PIS	nichts
von	APPR	von
ihr	PPER	ihr
verlangen	VVINF	verlangen
,	$,	,
was	PRELS	was
sie	PPER	sie
eben	ADV	eben
nicht	PTKNEG	nicht
zu	PTKZU	zu
leisten	VVINF	leisten
vermag	VVFIN	vermag
.	$.	.
Die	ART	die
Anlässe	NN	Anlass
zur	APPRART	zu+die
Unzufriedenheit	NN	Unzufriedenheit
und	KON	und
Enttäuschung	NN	Enttäuschung
wären	VAFIN	sein
dann	ADV	dann
wenigstens	ADV	wenigstens
in	APPR	in
dieser	PDAT	dies
Hinsicht	NN	Hinsicht
aus	APPR	aus
der	ART	die
Welt	NN	Welt
geschafft	VVPP	schaffen
,	$,	,
und	KON	und
die	ART	die
Menschen	NN	Mensch
könnten	VMFIN	können
sich	PRF	sich
ohne	APPR	ohne
Heuchelei	NN	Heuchelei
nach	APPR	nach
ihrer	PPOSAT	ihr
wahren	ADJA	wahr
Natur	NN	Natur
ausleben	VVINF	ausleben
.	$.	.
Versucht	VVFIN	versuchen
man	PIS	man
aber	ADV	aber
,	$,	,
näher	ADJD	nah
zu	PTKZU	zu
bestimmen	VVINF	bestimmen
,	$,	,
wie	KOUS	wie
denn	KON	denn
diese	PDAT	dies
wahre	ADJA	wahr
Natur	NN	Natur
beschaffen	VVINF	beschaffen
ist	VAFIN	sein
,	$,	,
so	ADV	so
sieht	VVFIN	sehen
man	PIS	man
gleich	ADJD	gleich
,	$,	,
daß	KOUS	dass
die	ART	die
Auffassungen	NN	Auffassung
darüber	PAV	darüber
weit	ADJD	weit
auseinandergehen	VVFIN	auseinandergehen
,	$,	,
daß	KOUS	dass
keine	PIAT	keine
Übereinstimmung	NN	Übereinstimmung
über	APPR	über
dasjenige	PDS	dasjenige
herrscht	VVFIN	herrschen
,	$,	,
was	PRELS	was
jeden	PIAT	jede
einzelnen	ADJA	einzeln
zunächst	ADV	zunächst
angeht	VVFIN	angehen
,	$,	,
was	PRELS	was
jeder	PIS	jede
unmittelbar	ADJD	unmittelbar
zu	PTKZU	zu
wissen	VVINF	wissen
und	KON	und
zu	PTKZU	zu
besitzen	VVINF	besitzen
glaubt	VVFIN	glauben
,	$,	,
das	ART	die
Menschentum	NN	Menschentum
.	$.	.
Wir	PPER	wir
kennen	VVFIN	kennen
die	ART	die
„	$(	„
wahre	ADJA	wahr
Natur	NN	Natur
“	$(	“
des	ART	die
Menschen	NN	Mensch
im	APPRART	in+die
letzten	ADJA	letzt
Grunde	NN	Grund
nicht	PTKNEG	nicht
;	$.	;
wir	PPER	wir
wissen	VVFIN	wissen
nicht	PTKNEG	nicht
mit	APPR	mit
Sicherheit	NN	Sicherheit
,	$,	,
was	PRELS	was
dem	ART	die
Menschen	NN	Mensch
als	KOKOM	als
Gattungswesen	NN	Gattungswesen
zukommt	VVFIN	zukommen
,	$,	,
was	PRELS	was
seinen	PPOSAT	sein
Gattungscharakter	NN	Gattungscharakter
bestimmt	VVPP	bestimmen
.	$.	.
Das	ART	die
spezifisch	ADJD	spezifisch
Menschliche	ADJA	menschlich
,	$,	,
der	ART	die
Artcharakter	NN	Artcharakter
und	KON	und
insbesondere	ADV	insbesondere
die	ART	die
Artgrenze	NN	Artgrenze
des	ART	die
Menschentums	NN	Menschentum
ist	VAFIN	sein
nicht	PTKNEG	nicht
ohne	APPR	ohne
weiteres	ADJA	weit
erkennbar	ADJD	erkennbar
.	$.	.
Eine	ART	eine
so	ADV	so
allgemeine	ADJA	allgemein
Bestimmung	NN	Bestimmung
wie	KOKOM	wie
„	$(	„
die	ART	die
wahre	ADJA	wahr
Natur	NN	Natur
des	ART	die
Menschen	NN	Mensch
“	$(	“
läßt	VVFIN	lassen
sich	PRF	sich
nicht	PTKNEG	nicht
durchführen	VVINF	durchfahren|durchführen
;	$.	;
die	ART	die
generalisierende	ADJA	generalisierend
Darstellung	NN	Darstellung
des	ART	die
Menschentums	NN	Menschentum
wird	VAFIN	werden
immer	ADV	immer
unzulänglich	ADJD	unzulänglich
sein	VAINF	sein
,	$,	,
selbst	ADV	selbst
wenn	KOUS	wenn
man	PIS	man
von	APPR	von
der	ART	die
Teilung	NN	Teilung
in	APPR	in
zwei	CARD	zwei
Geschlechter	NN	Geschlecht
absieht	VVFIN	absehen
,	$,	,
die	PRELS	die
sich	PRF	sich
angeblich	ADJD	angeblich
bei	APPR	bei
der	ART	die
menschlichen	ADJA	menschlich
Gattung	NN	Gattung
wesentlich	ADJD	wesentlich
unterscheiden	VVFIN	unterscheiden
.	$.	.
Größer	ADJD	groß
als	KOKOM	als
die	ART	die
Verschiedenheit	NN	Verschiedenheit
,	$,	,
die	PRELS	die
der	ART	die
Geschlechtsdifferenzierung	NN	Geschlechtsdifferenzierung
zugeschrieben	VVPP	zuschreiben
wird	VAFIN	werden
,	$,	,
ist	VAFIN	sein
die	ART	die
Verschiedenheit	NN	Verschiedenheit
der	ART	die
einzelnen	ADJA	einzeln
Völker	NN	Volk
,	$,	,
am	APPRART	an+die
größten	ADJA	groß
der	ART	die
Abstand	NN	Abstand
zwischen	APPR	zwischen
den	ART	die
Einzelnen	NN	Einzelne
kraft	APPR	kraft
individueller	ADJA	individuell
Eigenschaften	NN	Eigenschaft
bei	APPR	bei
den	ART	die
Kulturvölkern	NN	Kulturvolk
.	$.	.
Vom	APPRART	von+die
gewöhnlichen	ADJA	gewöhnlich
Augenblicksmenschen	NN	Augenblicksmenschen
,	$,	,
der	PRELS	die
im	APPRART	in+die
Leben	NN	Leben
nur	ADV	nur
Genußziele	NN	Genußziele
kennt	VVFIN	kennen
,	$,	,
aufwärts	ADV	aufwärts
zu	APPR	zu
jenen	PDAT	jen
Typen	NN	Typ
,	$,	,
die	PRELS	die
von	APPR	von
einer	ART	eine
ideellen	ADJA	ideell
Aufgabe	NN	Aufgabe
bis	KON	bis
zur	APPRART	zu+die
Selbstaufopferung	NN	Selbstaufopferung
ergriffen	VVPP	ergreifen
werden	VAFIN	werden
,	$,	,
bestehen	VVFIN	bestehen
zahllose	ADJA	zahllos
Übergänge	NN	Übergang
;	$.	;
ja	ADV	ja
zwischen	APPR	zwischen
der	ART	die
untersten	ADJA	unter
Stufe	NN	Stufe
des	ART	die
Menschentums	NN	Menschentum
und	KON	und
der	ART	die
obersten	ADJA	ober
gibt	VVFIN	geben
es	PPER	es
kaum	ADV	kaum
gemeinsame	ADJA	gemeinsam
Merkmale	NN	Merkmal
außer	APPR	außer
den	ART	die
physiologischen	ADJA	physiologisch
.	$.	.
Und	KON	und
doch	ADV	doch
muß	VMFIN	müssen
uns	PRF	wir
nichts	PIS	nichts
angelegener	VVPP	angelegener
sein	VAINF	sein
,	$,	,
als	KOKOM	als
unabhängig	ADJD	unabhängig
von	APPR	von
allen	PIAT	alle
Verschiedenheiten	NN	Verschiedenheit
zu	PTKZU	zu
erkennen	VVINF	erkennen
,	$,	,
was	PRELS	was
es	PPER	es
mit	APPR	mit
der	ART	die
wahren	ADJA	wahr
Natur	NN	Natur
des	ART	die
Menschen	NN	Mensch
auf	APPR	auf
sich	PRF	sich
hat	VAFIN	haben
,	$,	,
was	PRELS	was
an	APPR	an
ihr	PPOSAT	ihr
durch	APPR	durch
äußere	ADJA	äußer
Einrichtungen	NN	Einrichtung
zu	PTKZU	zu
verändern	VVINF	verändern
ist	VAFIN	sein
und	KON	und
was	PWS	was
dem	ART	die
feststehenden	ADJA	feststehend
,	$,	,
unabänderlichen	ADJA	unabänderlich
Gattungscharakter	NN	Gattungscharakter
angehört	VVPP	angehören|anhören
.	$.	.
Man	PIS	man
legt	VVFIN	legen
gegenwärtig	ADJD	gegenwärtig
solchen	PIAT	solche
Betrachtungen	NN	Betrachtung
,	$,	,
die	PRELS	die
geringschätzig	ADJD	geringschätzig
ideologische	ADJA	ideologisch
genannt	VVPP	nennen
werden	VAFIN	werden
,	$,	,
wenig	PIAT	wenige
Wert	NN	Wert
bei	APPR	bei
–	$(	-
sehr	ADV	sehr
mit	APPR	mit
Unrecht	NN	Unrecht
,	$,	,
wie	KOUS	wie
mir	PPER	ich
scheint	VVFIN	scheinen
.	$.	.
Es	PPER	es
ist	VAFIN	sein
ein	ART	eine
Problem	NN	Problem
von	APPR	von
großer	ADJA	groß
Bedeutung	NN	Bedeutung
,	$,	,
ob	KOUS	ob
die	ART	die
Veränderungen	NN	Veränderung
,	$,	,
die	PRELS	die
geschichtlich	ADJD	geschichtlich
nachweisbar	ADJD	nachweisbar
sind	VAFIN	sein
,	$,	,
in	APPR	in
das	ART	die
Wesen	NN	Wesen
der	ART	die
menschlichen	ADJA	menschlich
Gattung	NN	Gattung
hinabreichen	VVFIN	hinabreichen
,	$,	,
ob	KOUS	ob
mit	APPR	mit
den	ART	die
zuständlichen	ADJA	zuständlichen
Fortschritten	NN	Fortschritt
der	ART	die
äußeren	ADJA	äußer
Lebenshaltung	NN	Lebenshaltung
,	$,	,
mit	APPR	mit
den	ART	die
technischen	ADJA	technisch
Fortschritten	NN	Fortschritt
in	APPR	in
der	ART	die
Naturbeherrschung	NN	Naturbeherrschung
auch	ADV	auch
eine	ART	eine
Höherentwicklung	NN	Höherentwicklung
dessen	PDS	die
einhergeht	VVFIN	einhergehen
,	$,	,
was	PRELS	was
wir	PPER	wir
als	KOKOM	als
das	ART	die
gattungsmäßige	ADJA	gattungsmäßige
Grundwesen	NN	Grundwesen
des	ART	die
Menschen	NN	Mensch
ansprechen	VVINF	ansprechen
dürfen	VMFIN	dürfen
,	$,	,
oder	KON	oder
ob	KOUS	ob
es	PPER	es
sich	PRF	sich
dabei	PAV	dabei
nur	ADV	nur
um	APPR	um
formale	ADJA	formal
Veränderungen	NN	Veränderung
an	APPR	an
der	ART	die
Oberfläche	NN	Oberfläche
handelt	VVFIN	handeln
,	$,	,
die	PRELS	die
das	ART	die
Grundwesen	NN	Grundwesen
nicht	PTKNEG	nicht
berühren	VVFIN	berühren
.	$.	.
Dieses	PDAT	dies
Problem	NN	Problem
erstreckt	VVFIN	erstrecken
sich	PRF	sich
bis	APPR	bis
in	APPR	in
die	ART	die
letzten	ADJA	letzt
Tiefen	NN	Tiefe
der	ART	die
modernen	ADJA	modern
Weltanschauung	NN	Weltanschauung
;	$.	;
es	PPER	es
steht	VVFIN	stehen
im	APPRART	in+die
Hintergrund	NN	Hintergrund
aller	PIAT	alle
sozialen	ADJA	sozial
Bewegungen	NN	Bewegung
,	$,	,
wie	KOUS	wie
es	PPER	es
auch	ADV	auch
für	APPR	für
die	ART	die
Auffassung	NN	Auffassung
des	ART	die
Lebens	NN	Leben
als	KOKOM	als
Sinnerfüllung	NN	Sinnerfüllung
,	$,	,
als	KOKOM	als
Leistung	NN	Leistung
,	$,	,
als	KOKOM	als
Aufgabe	NN	Aufgabe
entscheidend	ADJD	entscheidend
ist	VAFIN	sein
.	$.	.
Schon	ADV	schon
bei	APPR	bei
der	ART	die
ersten	ADJA	erst
Frage	NN	Frage
,	$,	,
die	PRELS	die
von	APPR	von
diesem	PDAT	dies
Problem	NN	Problem
ausgeht	VVFIN	ausgehen
,	$,	,
der	ART	die
Frage	NN	Frage
nach	APPR	nach
der	ART	die
wahren	ADJA	wahr
Natur	NN	Natur
des	ART	die
Menschen	NN	Mensch
,	$,	,
begegnen	VVFIN	begegnen
wir	PPER	wir
einer	ART	eine
Schwierigkeit	NN	Schwierigkeit
,	$,	,
die	PRELS	die
dem	ART	die
menschlichen	ADJA	menschlich
Wesen	NN	Wesen
selbst	ADV	selbst
entspringt	VVFIN	entspringen
.	$.	.
Die	ART	die
Erkenntnis	NN	Erkenntnis
dessen	PDS	die
,	$,	,
was	PRELS	was
der	ART	die
Mensch	NN	Mensch
ist	VAFIN	sein
,	$,	,
wird	VAFIN	werden
immer	ADV	immer
durch	APPR	durch
die	ART	die
Vorstellung	NN	Vorstellung
durchkreuzt	VVPP	durchkreuzen
,	$,	,
die	PRELS	die
er	PPER	er
sich	PRF	sich
über	APPR	über
das	PDS	die
bildet	VVFIN	bilden
,	$,	,
was	PWS	was
er	PPER	er
ist	VAFIN	sein
oder	KON	oder
was	PRELS	was
er	PPER	er
sein	VAINF	sein
soll	VMFIN	sollen
.	$.	.
Deshalb	PAV	deshalb
hat	VAFIN	haben
Kant	NE	Kant
die	ART	die
Lehre	NN	Lehre
von	APPR	von
der	ART	die
Kenntnis	NN	Kenntnis
des	ART	die
Menschen	NN	Mensch
in	APPR	in
eine	ART	eine
physiologische	ADJA	physiologisch
und	KON	und
eine	ART	eine
pragmatische	ADJA	pragmatisch
geteilt	VVPP	teilen
;	$.	;
die	ART	die
physiologische	ADJA	physiologisch
geht	VVFIN	gehen
auf	APPR	auf
die	ART	die
Erforschung	NN	Erforschung
dessen	PDS	die
,	$,	,
was	PRELS	was
die	ART	die
Natur	NN	Natur
aus	APPR	aus
dem	ART	die
Menschen	NN	Mensch
macht	VVFIN	machen
,	$,	,
die	ART	die
pragmatische	ADJA	pragmatisch
auf	APPR	auf
das	PDS	die
,	$,	,
was	PWS	was
er	PPER	er
aus	PTKVZ	aus
sich	PRF	sich
selber	ADV	selber
macht	VVFIN	machen
oder	KON	oder
machen	VVINF	machen
kann	VMFIN	können
und	KON	und
soll	VMFIN	sollen
.	$.	.
Diese	PDAT	dies
Einteilung	NN	Einteilung
der	ART	die
Lehre	NN	Lehre
vom	APPRART	von+die
Menschen	NN	Mensch
weist	VVFIN	weisen
auf	APPR	auf
das	ART	die
Besondere	NN	Besondere
und	KON	und
Spezifische	NN	Spezifische
der	ART	die
menschlichen	ADJA	menschlich
Gattung	NN	Gattung
hin	PTKVZ	hin
.	$.	.
Alle	PIAT	alle
anderen	PIS	andere
Lebewesen	NN	Lebewesen
sind	VAFIN	sein
bloß	ADJD	bloß
durch	APPR	durch
die	ART	die
Natur	NN	Natur
gemacht	VVPP	machen
,	$,	,
der	ART	die
Mensch	NN	Mensch
aber	KON	aber
strebt	VVFIN	streben
darüber	PAV	darüber
hinaus	PTKVZ	hinaus
,	$,	,
selbst	ADV	selbst
etwas	ADV	etwas
aus	APPR	aus
sich	PRF	sich
zu	PTKZU	zu
machen	VVINF	machen
.	$.	.
Denn	KON	denn
er	PPER	er
ist	VAFIN	sein
in	APPR	in
Triebwesen	NN	Triebwesen
und	KON	und
Erkenntniswesen	NN	Erkenntniswesen
gespalten	VVPP	spalten
;	$.	;
was	PRELS	was
er	PPER	er
als	KOKOM	als
Triebwesen	NN	Triebwesen
ist	VAFIN	sein
,	$,	,
spiegelt	VVFIN	spiegeln
sich	PRF	sich
in	APPR	in
seiner	PPOSAT	sein
Erkenntnis	NN	Erkenntnis
,	$,	,
und	KON	und
diese	PDAT	dies
Erkenntnis	NN	Erkenntnis
befähigt	VVFIN	befähigen
ihn	PPER	er
,	$,	,
sich	PRF	sich
selbst	ADV	selbst
eine	ART	eine
Richtung	NN	Richtung
zu	PTKZU	zu
geben	VVINF	geben
,	$,	,
ein	VVIMP	einen
Sollen	VMFIN	sollen
über	APPR	über
sich	PRF	sich
zu	PTKZU	zu
setzen	VVINF	setzen
.	$.	.
Die	ART	die
Uneinheitlichkeit	NN	Uneinheitlichkeit
seines	PPOSAT	sein
natürlichen	ADJA	natürlich
Gefüges	NN	Gefüge
durch	APPR	durch
Trieb	NN	Trieb
und	KON	und
Erkenntnis	NN	Erkenntnis
wird	VAFIN	werden
in	APPR	in
dem	ART	die
Gegensatz	NN	Gegensatz
von	APPR	von
Sein	NN	Sein
und	KON	und
Sollen	VMFIN	sollen
am	APPRART	an+die
stärksten	ADJA	stark
sichtbar	ADJD	sichtbar
.	$.	.
Welche	PWAT	welche
Bewandtnis	NN	Bewandtnis
es	PPER	es
mit	APPR	mit
dem	ART	die
Verhältnis	NN	Verhältnis
von	APPR	von
Sein	NN	Sein
und	KON	und
Sollen	VMFIN	sollen
hat	VAFIN	haben
,	$,	,
geht	VVFIN	gehen
unmittelbar	ADJD	unmittelbar
schon	ADV	schon
aus	APPR	aus
der	ART	die
Bezeichnung	NN	Bezeichnung
hervor	PTKVZ	hervor
,	$,	,
die	PRELS	die
dem	ART	die
gattungsmäßigen	ADJA	gattungsmäßigen
Wesen	NN	Wesen
des	ART	die
Menschen	NN	Mensch
in	APPR	in
den	ART	die
Kultursprachen	NN	Kultursprache
gegeben	VVPP	geben
wird	VAFIN	werden
.	$.	.
Denn	KON	denn
das	ART	die
Wort	NN	Wort
Menschlichkeit	NN	Menschlichkeit
oder	KON	oder
Humanität	NN	Humanität
,	$,	,
sinngemäß	ADJD	sinngemäß
angewendet	VVPP	anwenden
,	$,	,
bedeutet	VVFIN	bedeuten
keineswegs	ADV	keineswegs
die	ART	die
reale	ADJA	real
Beschaffenheit	NN	Beschaffenheit
des	ART	die
Menschentums	NN	Menschentum
;	$.	;
es	PPER	es
schließt	VVFIN	schließen
eine	ART	eine
Aufforderung	NN	Aufforderung
zu	APPR	zu
etwas	PIAT	etwas
Höherem	NN	Höhere
ein	PTKVZ	ein
,	$,	,
das	PRELS	die
auch	ADV	auch
im	APPRART	in+die
Gegensatz	NN	Gegensatz
zu	APPR	zu
dem	ART	die
hervortritt	VVFIN	hervortreten
,	$,	,
was	PWS	was
Unmenschlichkeit	NN	Unmenschlichkeit
heißt	VVFIN	heißen
–	$(	-
beides	PIS	beide
Bezeichnungen	NN	Bezeichnung
,	$,	,
denen	PRELS	die
eine	ART	eine
Bewertung	NN	Bewertung
zugrunde	ADV	zugrunde
liegt	VVFIN	liegen
.	$.	.
Will	VMFIN	wollen
man	PIS	man
den	ART	die
Begriff	NN	Begriff
der	ART	die
Menschlichkeit	NN	Menschlichkeit
als	KOKOM	als
Bezeichnung	NN	Bezeichnung
für	APPR	für
das	ART	die
gattungsmäßige	ADJA	gattungsmäßige
Wesen	NN	Wesen
des	ART	die
Menschen	NN	Mensch
anwenden	VVINF	anwenden
,	$,	,
dann	ADV	dann
muß	VMFIN	müssen
man	PIS	man
ihn	PPER	er
analog	ADJD	analog
der	ART	die
Kantschen	NN	Kantschen
Teilung	NN	Teilung
nach	APPR	nach
zwei	CARD	zwei
Gesichtspunkten	NN	Gesichtspunkt
betrachten	VVFIN	betrachten
.	$.	.
Nach	APPR	nach
der	ART	die
realen	ADJA	real
Beschaffenheit	NN	Beschaffenheit
der	ART	die
Gattung	NN	Gattung
würde	VAFIN	werden
dieser	PDAT	dies
Begriff	NN	Begriff
die	ART	die
physiologischen	ADJA	physiologisch
Tatsachen	NN	Tatsache
als	KOKOM	als
Menschlichkeit	NN	Menschlichkeit
des	ART	die
Seins	NN	Sein
in	APPR	in
sich	PRF	sich
schließen	VVINF	schließen
,	$,	,
und	KON	und
nach	APPR	nach
den	ART	die
Vorstellungen	NN	Vorstellung
über	APPR	über
die	ART	die
Menschheit	NN	Menschheit
und	KON	und
ihre	PPOSAT	ihr
höheren	ADJA	hoch
Aufgaben	NN	Aufgabe
die	ART	die
pragmatischen	ADJA	pragmatisch
Tatsachen	NN	Tatsache
als	KOKOM	als
Menschlichkeit	NN	Menschlichkeit
des	ART	die
Sollens	NN	Sollens
.	$.	.
Also	ADV	also
ist	VAFIN	sein
unter	APPR	unter
Menschlichkeit	NN	Menschlichkeit
zweierlei	PIS	zweierlei
zu	PTKZU	zu
verstehen	VVINF	verstehen
:	$.	:
einmal	ADV	einmal
das	PDS	die
,	$,	,
was	PRELS	was
der	ART	die
menschlichen	ADJA	menschlich
Natur	NN	Natur
nach	APPR	nach
ihrer	PPOSAT	ihr
realen	ADJA	real
Beschaffenheit	NN	Beschaffenheit
entspricht	VVFIN	entsprechen
,	$,	,
und	KON	und
das	ART	die
andere	PIAT	andere
Mal	NN	Mal
das	PDS	die
,	$,	,
was	PRELS	was
der	ART	die
Menschheit	NN	Menschheit
in	APPR	in
ihrer	PPOSAT	ihr
Vorstellung	NN	Vorstellung
von	APPR	von
sich	PRF	sich
selbst	ADV	selbst
gemäß	ADJD	gemäß
ist	VAFIN	sein
.	$.	.
Das	ART	die
menschliche	ADJA	menschlich
Leben	NN	Leben
und	KON	und
Treiben	NN	Treiben
,	$,	,
wie	KOUS	wie
es	PPER	es
durch	APPR	durch
die	ART	die
Geschichte	NN	Geschichte
überliefert	VVPP	überliefern
und	KON	und
durch	APPR	durch
die	ART	die
tägliche	ADJA	täglich
Erfahrung	NN	Erfahrung
bestätigt	VVPP	bestätigen
wird	VAFIN	werden
,	$,	,
zeigt	VVFIN	zeigen
,	$,	,
daß	KOUS	dass
zwischen	APPR	zwischen
diesen	PDAT	dies
beiden	PIAT	beide
Menschlichkeiten	NN	Menschlichkeit
ein	ART	eine
erheblicher	ADJA	erheblich
Abstand	NN	Abstand
klafft	VVFIN	klaffen
.	$.	.
In	APPR	in
Gestalt	NN	Gestalt
der	ART	die
Religion	NN	Religion
,	$,	,
der	ART	die
Moral	NN	Moral
,	$,	,
des	ART	die
Gesetzes	NN	Gesetz
,	$,	,
der	ART	die
Sitte	NN	Sitte
herrscht	VVFIN	herrschen
das	PDS	die
Sollen	VMFIN	sollen
durch	APPR	durch
Forderungen	NN	Forderung
,	$,	,
die	PRELS	die
beständig	ADJD	beständig
mißachtet	VVPP	missachten
und	KON	und
übertreten	VVPP	übertreten
werden	VAFIN	werden
,	$,	,
weil	KOUS	weil
sie	PPER	sie
dem	ART	die
Menschen	NN	Mensch
als	KOKOM	als
Triebwesen	NN	Triebwesen
nicht	PTKNEG	nicht
entsprechen	VVFIN	entsprechen
,	$,	,
oder	KON	oder
mit	APPR	mit
anderen	PIS	andere
Worten	NN	Wort
:	$.	:
weil	KOUS	weil
sie	PPER	sie
die	ART	die
reale	ADJA	real
Beschaffenheit	NN	Beschaffenheit
der	ART	die
menschlichen	ADJA	menschlich
Natur	NN	Natur
,	$,	,
die	ART	die
Menschlichkeit	NN	Menschlichkeit
des	ART	die
Seins	NN	Sein
,	$,	,
höheren	ADJA	hoch
Ansprüchen	NN	Anspruch
unterwerfen	VVINF	unterwerfen
wollen	VMFIN	wollen
.	$.	.
Wie	KOUS	wie
groß	ADJD	groß
die	ART	die
Gefahren	NN	Gefahr
und	KON	und
Nachteile	NN	Nachteil
auch	ADV	auch
sind	VAFIN	sein
,	$,	,
die	PRELS	die
mit	APPR	mit
der	ART	die
