Als	KOKOM	als
die	ART	die
Pilger	NN	Pilger
dem	ART	die
heiligen	ADJA	heilig
Vater	NN	Vater
vorstellen	VVINF	vorstellen
wird	VAFIN	werden
.	$.	.
Anmeldungen	NN	Anmeldung
zu	APPR	zu
dieser	PDAT	dies
Pilgerfahrt	NN	Pilgerfahrt
müssen	VMFIN	müssen
bis	KON	bis
längstens	ADV	längstens
anfangs	ADV	anfangs
April	NN	April
1	CARD	@card@
.	$.	.
J.	NE	J.
erfolgen	VVINF	erfolgen
und	KON	und
sind	VAFIN	sein
Programme	NN	Programm
sowie	KON	sowie
Auskünfte	NN	Auskunft
bei	APPR	bei
dem	ART	die
Rompilgerkomitee	NN	Rompilgerkomitee
Wien	NE	Wien
,	$,	,
1	CARD	@card@
.	$.	.
Bez.	NN	Bez.
,	$,	,
Wollzeile	NN	Wollzeile
,	$,	,
4	CARD	@card@
kostenlos	ADJD	kostenlos
erhältlich	ADJD	erhältlich
.	$.	.
Tierseuchenstand	NN	Tierseuchenstand
am	APPRART	an+die
5	CARD	@card@
.	$.	.
März	NN	März
1914	CARD	@card@
.	$.	.
Es	PPER	es
herrschen	VVFIN	herrschen
:	$.	:
im	APPRART	in+die
politischen	ADJA	politisch
Bezirke	NN	Bezirk
Horn	NE	Horn
:	$.	:
Schweinepest	NN	Schweinepest
in	APPR	in
Geras	NE	Gera
und	KON	und
Eggenburg	NE	Eggenburg
;	$.	;
Schweinerotlauf	NN	Schweinerotlauf
in	APPR	in
Reinprechtspölla	NE	Reinprechtspölla
und	KON	und
Eggenburg	NE	Eggenburg
.	$.	.
Im	APPRART	in+die
politischen	ADJA	politisch
Bezirke	NN	Bezirk
Oberhollabrunn	NN	Oberhollabrunn
herrscht	VVFIN	herrschen
die	ART	die
Maul	NN	Maul
=	$(	=
und	KON	und
Klauenseuche	NN	Klauenseuche
in	APPR	in
Untergrub	VVFIN	untergraben
;	$.	;
der	ART	die
Bläschenausschlag	NN	Bläschenausschlag
in	APPR	in
Eggendorf	NN	Eggendorf
a.	APPR	a.
W.	NE	W.
;	$.	;
der	ART	die
Rotlauf	NN	Rotlauf
in	APPR	in
Parisdorf	NN	Parisdorf
und	KON	und
Eggendorf	NN	Eggendorf
i.	APPR	in
T.	NE	T.
und	KON	und
die	ART	die
Tuberkulose	NN	Tuberkulose
in	APPR	in
Maissau	NN	Maissau
und	KON	und
Stranzendorf	NN	Stranzendorf
.	$.	.
Im	APPRART	in+die
polit	ADJA	polit
Bezirke	NN	Bezirk
Gmünd	NE	Gmünd
:	$.	:
Schweinerotlauf	NN	Schweinerotlauf
in	APPR	in
Heidenreichstein	NE	Heidenreichstein
.	$.	.
Im	APPRART	in+die
polit.	ADJA	polit.
Bezirke	NN	Bezirk
Waidhofen	NN	Waidhofen
a.	APPR	a.
d.	ART	d.
Thaya	NE	Thaya
:	$.	:
Schweinerotlauf	NN	Schweinerotlauf
in	APPR	in
Drösiedl	NN	Drösiedl
und	KON	und
Pommersdorf	NN	Pommersdorf
.	$.	.
Im	APPRART	in+die
polit.	ADJA	polit.
Bezirke	NN	Bezirk
Zwettl	NE	Zwettl
:	$.	:
Schweinepest	NN	Schweinepest
in	APPR	in
Allentsteig	NN	Allentsteig
,	$,	,
Eschabruck	NN	Eschabruck
und	KON	und
Groß	NE	Groß
=	$(	=
Gerungs	NN	Gerungs
;	$.	;
Schweinerotlauf	NN	Schweinerotlauf
in	APPR	in
Neu	ADJD	neu
=P	NN	=P
ölla	ADJD	ölla
.	$.	.
Erloschen	VVPP	erlöschen
erklärt	VVPP	erklären
:	$.	:
Hundswut	NN	Hundswut
in	APPR	in
Groß	NE	Groß
=	$(	=
Siegharts	NE	Siegharts
;	$.	;
Bläschenausschlag	NN	Bläschenausschlag
in	APPR	in
Zabernreith	NE	Zabernreith
.	$.	.
