IV	NE	IV
sowohl	KON	sowohl
,	$,	,
wie	KOUS	wie
aus	APPR	aus
der	ART	die
Zuleitung	NN	Zuleitung
eines	ART	eine
Sinnesreizes	NN	Sinnesreizes
zum	APPRART	zu+die
Gehirn	NN	Gehirn
,	$,	,
geht	VVFIN	gehen
vollständig	ADJD	vollständig
klar	ADJD	klar
hervor	PTKVZ	hervor
,	$,	,
daß	KOUS	dass
innerhalb	APPR	innerhalb
des	ART	die
lebenden	ADJA	lebend
Nerves	NN	Nerv
und	KON	und
zwar	ADV	zwar
des	ART	die
Achsenzylinders	NN	Achsenzylinders
(	$(	(
Nervenfortsatzes	NN	Nervenfortsatzes
der	ART	die
Ganglienzelle	NN	Ganglienzelle
)	$(	)
eine	ART	eine
wellenartige	ADJA	wellenartige
Molekularbewegung	NN	Molekularbewegung
vor	APPR	vor
sich	PRF	sich
geht	VVFIN	gehen
,	$,	,
die	PRELS	die
wir	PPER	wir
Neurokym	NN	Neurokym
genannt	VVPP	nennen
haben	VAFIN	haben
und	KON	und
die	PRELS	die
sich	PRF	sich
außerordentlich	ADJD	außerordentlich
geschwind	ADJD	geschwind
,	$,	,
nämlich	ADV	nämlich
ungefähr	ADJD	ungefähr
30	CARD	@card@
Meter	NN	Meter
per	APPR	per
Sekunde	NN	Sekunde
(	$(	(
für	APPR	für
den	ART	die
motorischen	ADJA	motorisch
Nerv	NN	Nerv
)	$(	)
fortpflanzt	VVFIN	fortpflanzen
.	$.	.
Die	ART	die
Schnelligkeit	NN	Schnelligkeit
der	ART	die
Fortpflanzung	NN	Fortpflanzung
beim	APPRART	bei+die
sensiblen	ADJA	sensibel
Nerv	NN	Nerv
ist	VAFIN	sein
sehr	ADV	sehr
schwer	ADJD	schwer
zu	PTKZU	zu
messen	VVINF	messen
;	$.	;
die	ART	die
Angaben	NN	Angabe
schwanken	VVFIN	schwanken
zwischen	APPR	zwischen
26	CARD	@card@
und	KON	und
225	CARD	@card@
Meter	NN	Meter
per	APPR	per
Sekunde	NN	Sekunde
.	$.	.
Bei	APPR	bei
niederen	ADJA	nieder
Tieren	NN	Tier
ist	VAFIN	sein
die	ART	die
Fortpflanzung	NN	Fortpflanzung
des	ART	die
Neurokyms	NN	Neurokyms
viel	ADV	viel
langsamer	ADJD	langsam
und	KON	und
sehr	ADV	sehr
wechselnd	ADJD	wechselnd
.	$.	.
Die	ART	die
Experimente	NN	Experiment
der	ART	die
Physiologen	NN	Physiologe
haben	VAFIN	haben
dargetan	VVPP	dartun
,	$,	,
daß	KOUS	dass
der	ART	die
gleiche	ADJA	gleich
Nerv	NN	Nerv
in	APPR	in
beiden	PIAT	beide
Richtungen	NN	Richtung
einen	ART	eine
Reiz	NN	Reiz
fortpflanzen	VVINF	fortpflanzen
kann	VMFIN	können
.	$.	.
Für	APPR	für
gewöhnlich	ADJD	gewöhnlich
leiten	VVINF	leiten
aber	KON	aber
die	ART	die
Muskelnerven	NN	Muskelnerven
zentrifugal	ADJD	zentrifugal
und	KON	und
die	ART	die
Sinnesnerven	NN	Sinnesnerven
zentripetal	ADJD	zentripetal
.	$.	.
Daß	KOUS	dass
jede	PIAT	jede
Nervenfaser	NN	Nervenfaser
isoliert	ADJD	isoliert
leitet	VVFIN	leiten
,	$,	,
wie	KOUS	wie
ein	ART	eine
Telegraphendraht	NN	Telegraphendraht
,	$,	,
steht	VVFIN	stehen
fest	ADJD	fest
,	$,	,
sonst	ADV	sonst
wären	VAFIN	sein
die	ART	die
fein	ADJD	fein
getrennten	ADJA	getrennt
Reizungen	NN	Reizung
der	ART	die
Muskelfasern	NN	Muskelfaser
und	KON	und
die	ART	die
fein	ADJD	fein
getrennten	ADJA	getrennt
Leitungen	NN	Leitung
der	ART	die
einzelnen	ADJA	einzeln
Sinnesreize	NN	Sinnesreiz
unmöglich	ADJD	unmöglich
.	$.	.
Aber	KON	aber
innerhalb	APPR	innerhalb
der	ART	die
markhaltigen	ADJA	markhaltigen
Nervenfaser	NN	Nervenfaser
muß	VMFIN	müssen
auch	ADV	auch
die	ART	die
Neurofibrille	NN	Neurofibrille
großenteils	ADV	großenteils
wenigstens	ADV	wenigstens
isoliert	ADJD	isoliert
leiten	VVINF	leiten
,	$,	,
sonst	ADV	sonst
wäre	VAFIN	sein
das	ART	die
feine	ADJA	fein
Spiel	NN	Spiel
des	ART	die
Nervenlebens	NN	Nervenlebens
undenkbar	ADJD	undenkbar
und	KON	und
die	ART	die
fein	ADJD	fein
verzweigte	ADJA	verzweigt
Entbündelung	NN	Entbündelung
der	ART	die
Nervenfaser	NN	Nervenfaser
an	APPR	an
beiden	PIAT	beide
Enden	NN	Ende|Enden
in	APPR	in
ihre	PPOSAT	ihr
Neurofibrillen	NN	Neurofibrillen
sinnlos	ADJD	sinnlos
.	$.	.
Welcher	PWAT	welche
Natur	NN	Natur
ist	VAFIN	sein
nur	ADV	nur
das	ART	die
Neurokym	NN	Neurokym
,	$,	,
die	ART	die
Nervenwelle	NN	Nervenwelle
,	$,	,
die	PRELS	die
sich	PRF	sich
in	APPR	in
der	ART	die
Neurofibrille	NN	Neurofibrille
fortpflanzt	VVFIN	fortpflanzen
?	$.	?
Sicher	ADJD	sicher
ist	VAFIN	sein
es	PPER	es
,	$,	,
daß	KOUS	dass
die	ART	die
lebendige	ADJA	lebendig
Kraft	NN	Kraft
(	$(	(
die	ART	die
Bewegungsreize	NN	Bewegungsreize
)	$(	)
der	ART	die
Außenwelt	NN	Außenwelt
,	$,	,
welche	PRELS	welche
die	ART	die
Sinne	NN	Sinn
trifft	VVFIN	treffen
,	$,	,
sich	PRF	sich
in	APPR	in
Spannkräfte	NN	Spannkräfte
umsetzt	VVFIN	umsetzen
und	KON	und
innerhalb	APPR	innerhalb
des	ART	die
zentralen	ADJA	zentral
Nervensystems	NN	Nervensystem
aufspeichert	VVFIN	aufspeichert
;	$.	;
ferner	ADJD	fern
,	$,	,
daß	KOUS	dass
sich	PRF	sich
umgekehrt	ADJD	umgekehrt
die	ART	die
Spannkräfte	NN	Spannkräfte
(	$(	(
Energien	NN	Energie
)	$(	)
des	ART	die
zentralen	ADJA	zentral
Nervensystems	NN	Nervensystem
wiederum	ADV	wiederum
in	APPR	in
den	ART	die
Muskeln	NN	Muskel
in	APPR	in
Bewegungen	NN	Bewegung
umsetzen	VVFIN	umsetzen
.	$.	.
Eine	ART	eine
einfache	ADJA	einfach
sogenannte	ADJA	sogenannt
physikalische	ADJA	physikalisch
Welle	NN	Welle
,	$,	,
wie	KOKOM	wie
Elektrizität	NN	Elektrizität
,	$,	,
Licht	NN	Licht
oder	KON	oder
Schall	NN	Schall
kann	VMFIN	können
das	ART	die
Neurokym	NN	Neurokym
nicht	PTKNEG	nicht
sein	VAINF	sein
.	$.	.
Es	PPER	es
müßten	VMFIN	müssen
sich	PRF	sich
sonst	ADV	sonst
seine	PPOSAT	sein
allerfeinsten	ADJA	allerfeinst
und	KON	und
schwächsten	ADJA	schwach
Wellen	NN	Welle
erschöpfen	VVINF	erschöpfen
,	$,	,
ohne	KOUI	ohne
die	ART	die
mächtigen	ADJA	mächtig
Entladungen	NN	Entladung
zu	PTKZU	zu
bewirken	VVINF	bewirken
,	$,	,
die	PRELS	die
diese	PDAT	dies
tatsächlich	ADJD	tatsächlich
im	APPRART	in+die
Gehirn	NN	Gehirn
und	KON	und
vom	APPRART	von+die
Gehirn	NN	Gehirn
aus	PTKVZ	aus
,	$,	,
durch	APPR	durch
die	ART	die
Muskeln	NN	Muskel
hervorrufen	VVFIN	hervorrufen
.	$.	.
Man	PIS	man
muß	VMFIN	müssen
daher	PAV	daher
annehmen	VVINF	annehmen
,	$,	,
daß	KOUS	dass
auf	APPR	auf
seinem	PPOSAT	sein
Weg	NN	Weg
durch	APPR	durch
die	ART	die
Neuronen	NN	Neuron
das	ART	die
Neurokym	NN	Neurokym
neue	ADJA	neu
Kräfte	NN	Kraft
auslöst	VVFIN	auslösen
und	KON	und
dies	PDS	dies
dürfte	VMFIN	dürfen
mittelst	ADJD	mittel
seinen	PPOSAT	sein
sogenannten	ADJA	sogenannt
isomerischen	ADJA	isomerischen
chemischen	ADJA	chemisch
Vorgängen	NN	Vorgang
geschehen	VVPP	geschehen
,	$,	,
die	PRELS	die
sich	PRF	sich
wellenartig	ADJD	wellenartig
fortpflanzen	VVFIN	fortpflanzen
,	$,	,
indem	KOUS	indem
die	ART	die
chemische	ADJA	chemisch
Umsetzung	NN	Umsetzung
sofort	ADV	sofort
nach	APPR	nach
ihrem	PPOSAT	ihr
Geschehen	NN	Geschehen
sich	PRF	sich
wieder	ADV	wieder
zurückbildet	VVFIN	zurückbildet
,	$,	,
aber	KON	aber
den	ART	die
folgenden	ADJA	folgend
anliegenden	ADJA	anliegend
Teil	NN	Teil
des	ART	die
Nervs	NN	Nerv
zur	APPRART	zu+die
weiteren	ADJA	weit
Umsetzung	NN	Umsetzung
veranlaßt	VVPP	veranlassen
.	$.	.
Je	ADV	je
nach	APPR	nach
dem	ART	die
Molekularzustand	NN	Molekularzustand
,	$,	,
den	PRELS	die
diese	PDAT	dies
„	$(	„
chemische	ADJA	chemisch
Welle	NN	Welle
“	$(	“
am	APPRART	an+die
Ende	NN	Ende
eines	ART	eine
Neurons	NN	Neurons
antrifft	VVFIN	antreffen
,	$,	,
kann	VMFIN	können
sie	PPER	sie
im	APPRART	in+die
weiteren	ADJA	weit
eine	ART	eine
Verstärkung	NN	Verstärkung
oder	KON	oder
eine	ART	eine
Auslöschung	NN	Auslöschung
des	ART	die
Reizes	NN	Reiz
bewirken	VVINF	bewirken
.	$.	.
Dies	PDS	dies
sind	VAFIN	sein
nur	ADV	nur
Hypothesen	NN	Hypothese
;	$.	;
denn	KON	denn
die	ART	die
wirkliche	ADJA	wirklich
Natur	NN	Natur
des	ART	die
Neurokyms	NN	Neurokyms
kennen	VVFIN	kennen
wir	PPER	wir
nicht	PTKNEG	nicht
.	$.	.
Aber	KON	aber
v.	APPR	von
Bunge	NN	Bunge
sagt	VVFIN	sagen
gewiß	ADJD	gewiss
mit	APPR	mit
vollem	ADJA	voll
Recht	NN	Recht
in	APPR	in
seinem	PPOSAT	sein
Lehrbuch	NN	Lehrbuch
der	ART	die
Physiologie	NN	Physiologie
(	$(	(
erster	ADJA	erst
Band	NN	Band
)	$(	)
folgendes	ADJA	folgend
:	$.	:
„	$(	„
Nur	ADV	nur
die	ART	die
innigste	ADJA	innig
Verknüpfung	NN	Verknüpfung
der	ART	die
Mechanik	NN	Mechanik
mit	APPR	mit
der	ART	die
Chemie	NN	Chemie
kann	VMFIN	können
uns	PPER	wir
der	ART	die
Lösung	NN	Lösung
des	ART	die
Rätsels	NN	Rätsel
näher	ADJD	nah
führen	VVINF	führen
.	$.	.
Die	ART	die
Mechanik	NN	Mechanik
der	ART	die
chemischen	ADJA	chemisch
Elemente	NN	Element
–	$(	-
das	PDS	die
ist	VAFIN	sein
die	ART	die
Physik	NN	Physik
der	ART	die
Zukunft	NN	Zukunft
.	$.	.
“	$(	“
Dies	PDS	dies
gilt	VVFIN	gelten
vom	APPRART	von+die
Neurokym	NN	Neurokym
,	$,	,
wie	KOUS	wie
von	APPR	von
der	ART	die
Muskelphysiologie	NN	Muskelphysiologie
und	KON	und
Bunge´s	NN	Bunge´s
Worte	NN	Wort
stimmen	VVFIN	stimmen
mit	APPR	mit
der	ART	die
Ansicht	NN	Ansicht
überein	PTKVZ	überein
,	$,	,
die	PRELS	die
ich	PPER	ich
1894	CARD	@card@
in	APPR	in
meinem	PPOSAT	mein
Vortrag	NN	Vortrag
über	APPR	über
Gehirn	NN	Gehirn
und	KON	und
Seele	NN	Seele
geäußert	VVPP	äußern
habe	VAFIN	haben
.	$.	.
Vor	APPR	vor
allem	PIS	alle
wissen	VVFIN	wissen
wir	PPER	wir
von	APPR	von
der	ART	die
vermuteten	ADJA	vermutet
Chemie	NN	Chemie
und	KON	und
Mechanik	NN	Mechanik
des	ART	die
Lebens	NN	Leben
selbst	ADV	selbst
,	$,	,
d.	PDS	d.
h.	VVFIN	heißen
des	ART	die
Zellprotoplasmas	NN	Zellprotoplasmas
,	$,	,
rein	ADV	rein
nichts	PIS	nichts
.	$.	.
Wir	PPER	wir
beobachten	VVFIN	beobachten
Tatsachen	NN	Tatsache
,	$,	,
d.	PDS	d.
h.	VVFIN	heißen
Erscheinungen	NN	Erscheinung
,	$,	,
und	KON	und
suchen	VVFIN	suchen
ihre	PPOSAT	ihr
Gesetze	NN	Gesetz
.	$.	.
In	APPR	in
dieser	PDAT	dies
Hinsicht	NN	Hinsicht
enthält	VVFIN	enthalten
das	ART	die
neue	ADJA	neu
Buch	NN	Buch
Richard	NE	Richard
Semon´s	NE	Semon´s
:	$.	:
„	$(	„
Die	ART	die
Mneme	NN	Mneme
als	KOKOM	als
erhaltendes	ADJA	erhaltend
Prinzip	NN	Prinzip
im	APPRART	in+die
Wechsel	NN	Wechsel
des	ART	die
organischen	ADJA	organisch
Geschehens	NN	Geschehen
“	$(	“
,	$,	,
Leipzig	NE	Leipzig
,	$,	,
Engelmann	NE	Engelmann
1904	CARD	@card@
,	$,	,
einen	ART	eine
ganz	ADV	ganz
wesentlichen	ADJA	wesentlich
Fortschritt	NN	Fortschritt
in	APPR	in
der	ART	die
Auffassung	NN	Auffassung
der	ART	die
Lebensvorgänge	NN	Lebensvorgang
,	$,	,
speziell	ADJD	speziell
derjenigen	PDS	diejenige
des	ART	die
Nervensystems	NN	Nervensystem
.	$.	.
Unter	APPR	unter
Engramm	NN	Engramm
versteht	VVFIN	verstehen
Semon	NN	Semon
dasjenige	PDS	dasjenige
,	$,	,
was	PWS	was
wir	PPER	wir
im	APPRART	in+die
Kapitel	NN	Kapitel
1	CARD	@card@
Gedächtnisspur	NN	Gedächtnisspur
oder	KON	oder
Erinnerungsbild	NN	Erinnerungsbild
nannten	VVFIN	nennen
,	$,	,
aber	ADV	aber
nicht	PTKNEG	nicht
nur	ADV	nur
introspektiv	ADJD	introspektiv
,	$,	,
sondern	KON	sondern
als	KOKOM	als
allgemeine	ADJA	allgemein
Naturerscheinung	NN	Naturerscheinung
.	$.	.
Somit	ADV	somit
besteht	VVFIN	bestehen
auch	ADV	auch
alles	PIS	alle
Ererbte	VVFIN	ererben
aus	APPR	aus
Engrammkomplexeren	NN	Engrammkomplexeren
,	$,	,
die	PRELS	die
durch	APPR	durch
die	ART	die
Vererbung	NN	Vererbung
übertragen	VVPP	übertragen
werden	VAFIN	werden
.	$.	.
Darin	PAV	darin
geht	VVFIN	gehen
Semon	NN	Semon
von	APPR	von
dem	ART	die
genialen	ADJA	genial
Gedanken	NN	Gedanke
Hering´s	NN	Hering´s
aus	PTKVZ	aus
,	$,	,
der	PRELS	die
den	ART	die
Instinkt	NN	Instinkt
als	KOKOM	als
Artgedächtnis	NN	Artgedächtnis
betrachtet	VVPP	betrachten
.	$.	.
Jedes	PIAT	jede
Engramm	NN	Engramm
besteht	VVFIN	bestehen
stets	ADV	stets
aus	APPR	aus
Komplexeren	ADJA	komplex
simultaner	ADJA	simultan
oder	KON	oder
sulkzedenter	ADJA	sulkzedenter
(	$(	(
sich	PRF	sich
folgender	ADJA	folgend
)	$(	)
Reize	NN	Reiz
.	$.	.
Als	KOKOM	als
Ekphorie	NN	Ekphorie
versteht	VVFIN	verstehen
Semon	NN	Semon
die	ART	die
Fähigkeit	NN	Fähigkeit
eines	ART	eine
Engramms	NN	Engramms
später	ADJD	spät
simultan	ADJD	simultan
mit	APPR	mit
ihm	PPER	er
entstandene	ADJA	entstanden
Engramme	NN	Engramme
zurückzurufen	VVIZU	zurückrufen
(	$(	(
wieder	ADV	wieder
aufleben	VVINF	aufleben
zu	PTKZU	zu
lassen	VVINF	lassen
)	$(	)
oder	KON	oder
auch	ADV	auch
nur	ADV	nur
identisch	ADJD	identisch
durch	APPR	durch
den	ART	die
gleichen	ADJA	gleich
,	$,	,
aber	ADV	aber
abgeschwächten	ADJA	abgeschwächt
Reiz	NN	Reiz
selbst	ADV	selbst
wieder	ADV	wieder
zu	PTKZU	zu
entstehen	VVINF	entstehen
.	$.	.
Die	ART	die
Ekphorie	NN	Ekphorie
entspricht	VVFIN	entsprechen
somit	ADV	somit
der	ART	die
Assoziation	NN	Assoziation
.	$.	.
Doch	ADV	doch
sind	VAFIN	sein
jene	PDAT	jen
Begriffe	NN	Begriff
viel	ADV	viel
weiter	ADV	weiter
gefaßt	VVPP	fassen
und	KON	und
sehen	VVFIN	sehen
zunächst	ADV	zunächst
von	APPR	von
der	ART	die
Introspektion	NN	Introspektion
ab	PTKVZ	ab
,	$,	,
das	PDS	die
heißt	VVFIN	heißen
benutzen	VVFIN	benutzen
dieselbe	PDS	dieselbe
nur	ADV	nur
als	KOKOM	als
Hilfe	NN	Hilfe
.	$.	.
Die	ART	die
Mneme	NN	Mneme
ist	VAFIN	sein
die	ART	die
Summe	NN	Summe
der	ART	die
ererbten	ADJA	ererbt
oder	KON	oder
individuell	ADJD	individuell
erworbenen	ADJA	erworben
Engramme	NN	Engramme
eines	ART	eine
Organismus	NN	Organismus
.	$.	.
Wir	PPER	wir
verweisen	VVFIN	verweisen
auf	APPR	auf
das	ART	die
Originalwerk	NN	Originalwerk
,	$,	,
das	PRELS	die
wesentlich	ADJD	wesentlich
zum	APPRART	zu+die
Verständnis	NN	Verständnis
des	ART	die
organischen	ADJA	organisch
Geschehens	NN	Geschehen
beiträgt	VVFIN	beitragen
.	$.	.
3	CARD	@card@
.	$.	.
Der	ART	die
Reflex	NN	Reflex
.	$.	.
Wenn	KOUS	wenn
man	PIS	man
einem	ART	eine
Frosch	NN	Frosch
den	ART	die
Kopf	NN	Kopf
abschneidet	VVFIN	abschneiden
,	$,	,
hat	VAFIN	haben
er	PPER	er
kein	PIAT	keine
Gehirn	NN	Gehirn
mehr	ADV	mehr
.	$.	.
Wenn	KOUS	wenn
man	PIS	man
nun	ADV	nun
seine	PPOSAT	sein
Haut	NN	Haut
reizt	VVFIN	reizen
,	$,	,
erfolgt	VVFIN	erfolgen
eine	ART	eine
Abwehrbewegung	NN	Abwehrbewegung
des	ART	die
Fußes	NN	Fuß
.	$.	.
Diese	PDAT	dies
Bewegung	NN	Bewegung
kann	VMFIN	können
nur	ADV	nur
durch	APPR	durch
das	ART	die
Rückenmark	NN	Rückenmark
übermittelt	VVPP	übermitteln
worden	VAPP	werden
sein	VAINF	sein
,	$,	,
in	APPR	in
welches	PRELS	welche
der	ART	die
sensible	ADJA	sensibel
Hautnerv	NN	Hautnerv
verläuft	VVFIN	verlaufen
und	KON	und
aus	APPR	aus
