Was	PWS	was
zeigt	VVFIN	zeigen
sie	PPER	sie
uns	PRF	wir
doch	ADV	doch
zuletzt	ADV	zuletzt
nur	ADV	nur
noch	ADV	noch
eine	PIS	eine
,	$,	,
durch	APPR	durch
Himmelsglanz	NN	Himmelsglanz
verklärte	ADJA	verklärt
Gegend	NN	Gegend
,	$,	,
wo	PWAV	wo
himmlische	ADJA	himmlisch
Heerschaaren	NN	Heerschaaren
zur	APPRART	zu+die
Verherrlichung	NN	Verherrlichung
des	ART	die
neugeborenen	ADJA	neugeboren
Heilandes	NN	Heiland
sichtbar	ADJD	sichtbar
werden	VAFIN	werden
,	$,	,
und	KON	und
fromme	ADJA	fromm
Hirten	NN	Hirte
,	$,	,
durch	APPR	durch
die	ART	die
Botschaft	NN	Botschaft
:	$.	:
„	$(	„
der	ART	die
Herr	NN	Herr
ist	VAFIN	sein
geboren	VVPP	gebären
“	$(	“
erschüttert	VVFIN	erschüttern
,	$,	,
ihre	PPOSAT	ihr
Heerden	NN	Heerden
weideten	VVFIN	weiden
.	$.	.
Im	APPRART	in+die
Grunde	NN	Grund
aber	ADV	aber
,	$,	,
und	KON	und
bei	APPR	bei
Aufmerksamkeit	NN	Aufmerksamkeit
betrachtet	VVPP	betrachten
,	$,	,
bietet	VVFIN	bieten
uns	PPER	wir
die	ART	die
Geburtsgeschichte	NN	Geburtsgeschichte
des	ART	die
Herrn	NN	Herr
unendlich	ADJD	unendlich
viel	PIS	viele
;	$.	;
denn	KON	denn
sie	PPER	sie
läßt	VVFIN	lassen
uns	PPER	wir
im	APPRART	in+die
Bilde	NN	Bild
das	ART	die
ganze	ADJA	ganz
große	ADJA	groß
und	KON	und
erhabene	ADJA	erhaben
Leben	NN	Leben
und	KON	und
Wirken	NN	Wirken
schauen	VVINF	schauen
,	$,	,
das	PRELS	die
der	ART	die
Heiland	NN	Heiland
auf	APPR	auf
Erden	NN	Erde|Erden
zu	PTKZU	zu
zeigen	VVINF	zeigen
berufen	VVINF	berufen
war	VAFIN	sein
.	$.	.
Wir	PPER	wir
betrachten	VVFIN	betrachten
deshalb	PAV	deshalb
,	$,	,
meine	PPOSAT	mein
Lieben	NN	Liebe|Lieben
,	$,	,
an	APPR	an
diesem	PDAT	dies
schönen	ADJA	schön
Feste	NN	Fest
die	ART	die
Geburtsgeschichte	NN	Geburtsgeschichte
Jesu	NN	Jesu
als	KOKOM	als
ein	ART	eine
Bild	NN	Bild
,	$,	,
in	APPR	in
welchem	PRELS	welche
wir	PPER	wir
das	ART	die
Leben	NN	Leben
und	KON	und
Wirken	NN	Wirken
unseres	PPOSAT	unser
Heilandes	NN	Heiland
schauen	VVFIN	schauen
.	$.	.
Wir	PPER	wir
sagen	VVFIN	sagen
:	$.	:
Die	ART	die
Geburtsgeschichte	NN	Geburtsgeschichte
des	ART	die
Herrn	NN	Herr
ein	ART	eine
Spiegelbild	NN	Spiegelbild
seines	PPOSAT	sein
spätern	ADJA	spätern
Lebens	NN	Leben
und	KON	und
Wirkens	NN	Wirken
;	$.	;
denn	ADV	denn
1	CARD	@card@
.	$.	.
In	APPR	in
Armuth	TRUNC	Armuth
und	KON	und
Dürftigkeit	NN	Dürftigkeit
wird	VAFIN	werden
der	ART	die
Herr	NN	Herr
geboren	VVPP	gebären
;	$.	;
als	KOUS	als
ein	ART	eine
Armer	NN	Arme
sollte	VMFIN	sollen
er	PPER	er
unter	APPR	unter
Armen	NN	Arm|Arme
und	KON	und
Hilfsbedürftigen	NN	Hilfsbedürftige
sein	PPOSAT	sein
Evangelium	NN	Evangelium
predigen	VVINF	predigen
.	$.	.
2	CARD	@card@
.	$.	.
Unter	APPR	unter
wunderbaren	ADJA	wunderbar
Fügungen	NN	Fügung
erfolgt	VVFIN	erfolgen
des	ART	die
Herrn	NN	Herr
Geburt	NN	Geburt
in	APPR	in
Bethlehem	NE	Bethlehem
;	$.	;
unter	APPR	unter
wunderbaren	ADJA	wunderbar
Umständen	NN	Umstand
beginnt	VVFIN	beginnen
und	KON	und
vollendet	VVFIN	vollenden
er	PPER	er
sein	PPOSAT	sein
Erlösungswerk	NN	Erlösungswerk
in	APPR	in
Bethlehems	NE	Bethlehem
Nähe	NN	Nähe
.	$.	.
3	CARD	@card@
.	$.	.
Arme	NN	Arm|Arme
,	$,	,
aber	ADV	aber
im	APPRART	in+die
Herzen	NN	Herz
reiche	ADJA	reich
Leute	NN	Leute
sind	VAFIN	sein
die	ART	die
ersten	ADJA	erst
Zeugen	NN	Zeuge
seiner	PPOSAT	sein
Geburt	NN	Geburt
;	$.	;
arme	ADJA	arm
aber	ADV	aber
im	APPRART	in+die
Herzen	NN	Herz
reiche	ADJA	reich
Leute	NN	Leute
sind	VAFIN	sein
berufen	VVPP	berufen
,	$,	,
die	ART	die
ersten	ADJA	erst
Sendboten	NN	Sendbote
und	KON	und
Bekenner	NN	Bekenner
Christi	NE	Christi
zu	PTKZU	zu
sein	VAINF	sein
.	$.	.
4	CARD	@card@
.	$.	.
Furcht	NN	Furcht
und	KON	und
Freude	NN	Freude
wirkt	VVFIN	wirken
die	ART	die
Nachricht	NN	Nachricht
von	APPR	von
der	ART	die
Geburt	NN	Geburt
des	ART	die
Heilandes	NN	Heiland
;	$.	;
Furcht	NN	Furcht
und	KON	und
Freude	NN	Freude
erweckten	VVFIN	erwecken
von	APPR	von
jeher	ADV	jeher
des	ART	die
Heilandes	NN	Heiland
Lehren	NN	Lehre|Lehren
,	$,	,
Leben	NN	Leben
und	KON	und
Wirken	NN	Wirken
im	APPRART	in+die
Herzen	NN	Herz
der	ART	die
Menschen	NN	Mensch
.	$.	.
1	CARD	@card@
.	$.	.
In	APPR	in
Armuth	TRUNC	Armuth
und	KON	und
Dürftigkeit	NN	Dürftigkeit
wird	VAFIN	werden
der	ART	die
Herr	NN	Herr
geboren	VVPP	gebären
;	$.	;
als	KOUS	als
ein	ART	eine
Armer	NN	Arme
sollt	VMFIN	sollen
er	PPER	er
unter	APPR	unter
Armen	NN	Arm|Arme
und	KON	und
Hilfsbedürftigen	NN	Hilfsbedürftige
sein	PPOSAT	sein
Evangelium	NN	Evangelium
verkündigen	VVINF	verkündigen
.	$.	.
Nicht	PTKNEG	nicht
in	APPR	in
einem	ART	eine
prächtig	ADJD	prächtig
ausgestatteten	ADJA	ausgestattet
Gemache	NN	Gemach
;	$.	;
nicht	PTKNEG	nicht
in	APPR	in
einem	ART	eine
glänzend	ADJD	glänzend
erleuchteten	ADJA	erleuchtet
Fürstensaale	NN	Fürstensaale
;	$.	;
nicht	PTKNEG	nicht
auf	APPR	auf
dem	ART	die
weichen	ADJA	weich
Lager	NN	Lager
eines	ART	eine
Königssohnes	NN	Königssohn
;	$.	;
auch	ADV	auch
nicht	PTKNEG	nicht
in	APPR	in
Sammt	NN	Sammt
und	KON	und
Seide	NN	Seide
,	$,	,
in	APPR	in
Purpur	NN	Purpur
und	KON	und
köstlicher	ADJA	köstlich
Leinewand	NN	Leinewand
,	$,	,
wie	KOUS	wie
der	ART	die
Volksglaube	NN	Volksglaube
es	PPER	es
träumte	VVFIN	träumen
,	$,	,
schauet	VVFIN	schauen
die	ART	die
Welt	NN	Welt
ihren	PPOSAT	ihr
Heiland	NN	Heiland
bei	APPR	bei
seinem	PPOSAT	sein
Eintritt	NN	Eintritt
in	APPR	in
’	ADJA	’
s	NN	s
Leben	NN	Leben
;	$.	;
der	ART	die
Heilige	NN	Heilige
des	ART	die
Herrn	NN	Herr
der	ART	die
da	ADV	da
auserwählet	ADJA	auserwählet
war	VAFIN	sein
die	ART	die
Geschlechter	NN	Geschlecht
aller	PIAT	alle
Zeiten	NN	Zeit
zu	PTKZU	zu
beglücken	VVINF	beglücken
,	$,	,
begrüßt	VVFIN	begrüßen
in	APPR	in
einem	ART	eine
vom	APPRART	von+die
Sonnenlichte	NN	Sonnenlicht
spärlich	ADJD	spärlich
erleuchteten	ADJA	erleuchtet
Stalle	NN	Stall
das	ART	die
Licht	NN	Licht
der	ART	die
Welt	NN	Welt
,	$,	,
und	KON	und
seine	PPOSAT	sein
erste	ADJA	erst
Lagerstatt	NN	Lagerstatt
findet	VVFIN	finden
er	PPER	er
da	PTKVZ	da
,	$,	,
wo	PWAV	wo
die	ART	die
Thiere	NN	Thiere
ihre	PPOSAT	ihr
Nahrung	NN	Nahrung
empfingen	VVFIN	empfangen
,	$,	,
in	APPR	in
einer	ART	eine
harten	ADJA	hart
,	$,	,
elenden	ADJA	elend
,	$,	,
engen	ADJA	eng
Krippe	NN	Krippe
.	$.	.
In	APPR	in
Einsamkeit	NN	Einsamkeit
und	KON	und
Stille	NN	Stille
,	$,	,
unter	APPR	unter
Mangel	NN	Mangel
und	KON	und
Entbehrung	NN	Entbehrung
,	$,	,
in	APPR	in
Armuth	NN	Armuth
und	KON	und
Beschränkung	NN	Beschränkung
nimmt	VVFIN	nehmen
das	ART	die
Leben	NN	Leben
des	ART	die
Weltheilandes	NN	Weltheilandes
seinen	PPOSAT	sein
Anfang	NN	Anfang
.	$.	.
Ja	ADV	ja
!	$.	!
die	ART	die
Füchse	NN	Fuchs
haben	VAFIN	haben
Gruben	NN	Grube
,	$,	,
die	ART	die
Vögel	NN	Vogel
unter	APPR	unter
dem	ART	die
Himmel	NN	Himmel
haben	VAFIN	haben
Nester	NN	Nest
,	$,	,
aber	KON	aber
der	ART	die
Menschensohn	NN	Menschensohn
hat	VAFIN	haben
gleich	ADJD	gleich
bei	APPR	bei
seiner	PPOSAT	sein
Geburt	NN	Geburt
nicht	PTKNEG	nicht
,	$,	,
wohin	PWAV	wohin
er	PPER	er
sein	PPOSAT	sein
Haupt	NN	Haupt
lege	VVFIN	legen
.	$.	.
–	$(	-
Schauen	NN	Schau|Schauen
wir	PPER	wir
aber	ADV	aber
,	$,	,
meine	PPOSAT	mein
Lieben	NN	Liebe|Lieben
,	$,	,
in	APPR	in
dieser	PDAT	dies
unscheinbaren	ADJA	unscheinbar
,	$,	,
armseligen	ADJA	armselig
Geburt	NN	Geburt
unseres	PPOSAT	unser
Herrn	NN	Herr
nicht	PTKNEG	nicht
deutlich	ADJD	deutlich
die	ART	die
heiligen	ADJA	heilig
Absichten	NN	Absicht
Gottes	NN	Gott
?	$.	?
Keiner	PIS	keine
sollte	VMFIN	sollen
zwar	ADV	zwar
ausgeschlossen	VVPP	ausschließen
sein	VAINF	sein
von	APPR	von
seinem	PPOSAT	sein
göttlichen	ADJA	göttlich
Reiche	NN	Reich|Reiche
.	$.	.
Alle	PIAT	alle
Völker	NN	Volk
der	ART	die
Erde	NN	Erde
,	$,	,
alle	PIAT	alle
Stände	NN	Stand
des	ART	die
Volkes	NN	Volk
,	$,	,
die	ART	die
Hochgestellten	ADJA	hochgestellt
wie	KOKOM	wie
die	ART	die
Niedrigen	NN	Niedrige
,	$,	,
sollten	VMFIN	sollen
erbauet	VVFIN	erbauet
und	KON	und
geheiligt	VVPP	heiligen
werden	VAFIN	werden
durch	APPR	durch
sein	PPOSAT	sein
göttliches	ADJA	göttlich
Wort	NN	Wort
,	$,	,
sollten	VMFIN	sollen
erlöset	NN	erlöset
werden	VAFIN	werden
von	APPR	von
der	ART	die
Sünde	NN	Sünde
durch	APPR	durch
sein	PPOSAT	sein
heiliges	ADJA	heilig
Leben	NN	Leben
und	KON	und
Sterben	NN	Sterben
–	$(	-
auch	ADV	auch
die	ART	die
Reichen	NN	Reich|Reiche|Reichen
sollten	VMFIN	sollen
Theil	NN	Theil
haben	VAFIN	haben
an	APPR	an
der	ART	die
Erlösung	NN	Erlösung
durch	APPR	durch
Christus	NN	Christus
,	$,	,
denn	KON	denn
der	ART	die
Herr	NN	Herr
ladet	VVFIN	laden
ja	ADV	ja
Alle	PIS	alle
,	$,	,
die	PRELS	die
da	ADV	da
mühselig	ADJD	mühselig
und	KON	und
beladen	VVPP	beladen
sind	VAFIN	sein
,	$,	,
im	APPRART	in+die
Evangelium	NN	Evangelium
ein	PTKVZ	ein
,	$,	,
zu	APPR	zu
ihm	PPER	er
zu	PTKZU	zu
kommen	VVINF	kommen
,	$,	,
von	APPR	von
ihm	PPER	er
zu	PTKZU	zu
lernen	VVINF	lernen
und	KON	und
aus	APPR	aus
seiner	PPOSAT	sein
Fülle	NN	Fülle
zu	PTKZU	zu
empfangen	VVINF	empfangen
Gnade	NN	Gnade
um	APPR	um
Gnade	NN	Gnade
,	$,	,
Wahrheit	NN	Wahrheit
um	APPR	um
Wahrheit	NN	Wahrheit
.	$.	.
–	$(	-
Aber	KON	aber
,	$,	,
sagt	VVFIN	sagen
selbst	ADV	selbst
,	$,	,
meine	PPOSAT	mein
Lieben	NN	Liebe|Lieben
,	$,	,
in	APPR	in
welcher	PRELS	welche
Klasse	NN	Klasse
des	ART	die
Volkes	NN	Volk
war	VAFIN	sein
denn	ADV	denn
die	ART	die
Hilfe	NN	Hilfe
und	KON	und
das	ART	die
Heil	NN	Heil
,	$,	,
das	ART	die
Gott	NN	Gott
der	ART	die
Welt	NN	Welt
durch	APPR	durch
Christum	NN	Christum
zugedacht	VVPP	zudenken
hatte	VAFIN	haben
,	$,	,
am	PTKA	am
nothwendigsten	VVFIN	nothwendigsten
?	$.	?
Unter	APPR	unter
welchen	PIAT	welche
