*	XY	*
Vorschuß	NN	Vorschuss
=	$(	=
Vereins	NN	Verein
berichtete	VVFIN	berichten
der	ART	die
Deputirte	NN	Deputirte
über	APPR	über
den	ART	die
Verbandstag	NN	Verbandstag
zu	APPR	zu
Röbel	NN	Röbel
.	$.	.
Die	ART	die
Quartalbilanz	NN	Quartalbilanz
ergiebt	VVFIN	ergiebt
einen	ART	eine
Cassenbestand	NN	Cassenbestand
von	APPR	von
14	CARD	@card@
463,47	CARD	@card@
M.	NE	M.
und	KON	und
eine	ART	eine
Abichlußsumme	NN	Abichlußsumme
von	APPR	von
797	CARD	@card@
159,15	CARD	@card@
M.	APPR	m.
der	ART	die
Zinsfuß	NN	Zinsfuß
für	APPR	für
Vorschüsse	NN	Vorschuss
ist	VAFIN	sein
von	APPR	von
heute	ADV	heute
ab	PTKVZ	ab
auf	APPR	auf
5	CARD	@card@
pCt	NN	pCt
.	$.	.
herabgesetzt	VVPP	herabsetzen
.	$.	.
△	NE	△
Teterow	NE	Teterow
,	$,	,
3	CARD	@card@
.	$.	.
Aug.	NN	Aug.
Die	ART	die
gestrige	ADJA	gestrig
Hauptversammlung	NN	Hauptversammlung
der	ART	die
freiwilligen	ADJA	freiwillig
Feuerwehr	NN	Feuerwehr
wurde	VAFIN	werden
vom	APPRART	von+die
Hauptmann	NN	Hauptmann
Th	VVFIN	Th
.	$.	.
Strutz	NN	Strutz
eröffnet	VVPP	eröffnen
.	$.	.
Zunächst	ADV	zunächst
wurde	VAFIN	werden
die	ART	die
Präsenzliste	NN	Präsenzliste
festgestellt	VVPP	feststellen
.	$.	.
Es	PPER	es
hatten	VAFIN	haben
sich	PRF	sich
zu	APPR	zu
der	ART	die
Versammlung	NN	Versammlung
auch	ADV	auch
diejenigen	PDAT	diejenigen
Mitglieder	NN	Mitglied
eingefunden	VVPP	einfinden
,	$,	,
welche	PRELS	welche
den	ART	die
Kaufmann	NE	Kaufmann
Libnau	NE	Libnau
zu	APPR	zu
ihrem	PPOSAT	ihr
Hauptmann	NN	Hauptmann
erwählt	VVPP	erwählen
haben	VAFIN	haben
.	$.	.
Diese	PDS	diese
forderte	VVFIN	fordern
der	ART	die
Hauptmann	NN	Hauptmann
auf	PTKVZ	auf
,	$,	,
das	PRELS	die
Local	NE	Local
verlassen	VVPP	verlassen
,	$,	,
was	PRELS	was
ohne	APPR	ohne
Widerspruch	NN	Widerspruch
geschah	VVFIN	geschehen
.	$.	.
Sodann	ADV	sodann
verlas	VVFIN	verlesen
der	ART	die
Cassirer	NE	Cassirer
den	ART	die
Revisionsbericht	NN	Revisionsbericht
über	APPR	über
die	ART	die
letzte	ADJA	letzt
Jahresrechnung	NN	Jahresrechnung
,	$,	,
woran	PWAV	woran
sich	PRF	sich
die	ART	die
Mittheilung	NN	Mittheilung
eines	ART	eine
Rechenschaftsberichts	NN	Rechenschaftsbericht
des	ART	die
Cassirers	NN	Cassirers
schloß	VVFIN	schließen
Die	ART	die
im	APPRART	in+die
Revisionsbericht	NN	Revisionsbericht
aufgestellten	ADJA	aufgestellt
Moniruren	NN	Moniruren
sind	VAFIN	sein
zum	APPRART	zu+die
Theil	NN	Theil
erledigt	VVPP	erledigen
,	$,	,
die	ART	die
Erledigung	NN	Erledigung
der	ART	die
noch	ADV	noch
bestehenden	ADJA	bestehend
wird	VAFIN	werden
vom	APPRART	von+die
Hauptmann	NN	Hauptmann
verheißen	VVPP	verheißen
.	$.	.
Herr	NN	Herr
Senator	NN	Senator
Engelhardt	NE	Engelhardt
machte	VVFIN	machen
noch	ADV	noch
darauf	PAV	darauf
aufmerksam	ADJD	aufmerksam
,	$,	,
daß	KOUS	dass
in	APPR	in
der	ART	die
Rechnung	NN	Rechnung
zur	APPRART	zu+die
Amortisation	NN	Amortisation
des	ART	die
Inventarwerthes	NN	Inventarwerthes
2	CARD	@card@
.	$.	.
PCt	NE	PCt
.	$.	.
des	ART	die
letztjährigen	ADJA	letztjährig
Werthes	NN	Werthes
abgeschrieben	VVPP	abschreiben
seien	VAFIN	sein
.	$.	.
Dieses	PDAT	dies
Verfahren	NN	Verfahren
sei	VAFIN	sein
nicht	PTKNEG	nicht
correct	NE	correct
:	$.	:
vielmehr	ADV	vielmehr
habe	VAFIN	haben
die	ART	die
Abschreibung	NN	Abschreibung
vom	APPRART	von+die
ursprünglichen	ADJA	ursprünglich
Werth	NN	Werth
des	ART	die
Inventars	NN	Inventar
zu	PTKZU	zu
geschehen	VVINF	geschehen
.	$.	.
Es	PPER	es
empfehle	VVFIN	empfehlen
sich	PRF	sich
vielleicht	ADV	vielleicht
,	$,	,
jetzt	ADV	jetzt
eine	ART	eine
Inventur	NN	Inventur
aufzunehmen	VVIZU	aufnehmen
,	$,	,
um	KOUI	um
das	ART	die
Vereinsvermögen	NN	Vereinsvermögen
genau	ADJD	genau
festzustellen	VVIZU	feststellen
.	$.	.
—	$,	—
Der	ART	die
Hauptmann	NN	Hauptmann
theilte	ADJA	theilte
hierauf	PAV	hierauf
mit	PTKVZ	mit
,	$,	,
daß	KOUS	dass
der	ART	die
Vorstand	NN	Vorstand
den	ART	die
Obersteiger	NN	Obersteiger
Sievert	NE	Sievert
zum	APPRART	zu+die
Delegirten	NN	Delegirten
für	APPR	für
den	ART	die
Verbandstag	NN	Verbandstag
in	APPR	in
Parchim	NE	Parchim
erwählt	VVPP	erwählen
habe	VAFIN	haben
,	$,	,
und	KON	und
daß	KOUS	dass
diesem	PDAT	dies
die	ART	die
nothwendigen	ADJA	nothwendigen
Auslagen	NN	Auslage
erstattet	VVPP	erstatten
werden	VAINF	werden
sollten	VMFIN	sollen
.	$.	.
Es	PPER	es
folgte	VVFIN	folgen
die	ART	die
Verathung	NN	Verathung
über	APPR	über
Abänderung	NN	Abänderung
des	ART	die
Vereinsstatuts	NN	Vereinsstatuts
bezüglich	APPR	bezüglich
der	ART	die
Bestimmungen	NN	Bestimmung
über	APPR	über
die	ART	die
Zusammensetzung	NN	Zusammensetzung
des	ART	die
Vorstandes	NN	Vorstand
und	KON	und
den	ART	die
Modus	NN	Modus
seiner	PPOSAT	sein
Wahl	NN	Wahl
.	$.	.
Bisher	ADV	bisher
bestand	VVFIN	bestehen
der	ART	die
Vorstand	NN	Vorstand
aus	APPR	aus
den	ART	die
drei	CARD	drei
Führern	NN	Führer
(	$(	(
Hauptmann	NE	Hauptmann
,	$,	,
Unterhauptmann	NN	Unterhauptmann
und	KON	und
Obersteiger	NN	Obersteiger
)	$(	)
und	KON	und
vier	CARD	vier
activen	ADJA	activen
Mitgliedern	NN	Mitglied
.	$.	.
Der	ART	die
Vorschlag	NN	Vorschlag
des	ART	die
Vorstandes	NN	Vorstand
ging	VVFIN	gehen
dahin	PAV	dahin
,	$,	,
daß	KOUS	dass
eines	PIS	eine
dieser	PDAT	dies
letzteren	ADJA	letzt
vier	CARD	vier
Vorstandsmitglieder	NN	Vorstandsmitglied
auch	ADV	auch
aus	APPR	aus
den	ART	die
Feuerwehrfreunden	NN	Feuerwehrfreunden
gewählt	VVPP	wählen
werden	VAINF	werden
könne	VMFIN	können
.	$.	.
Die	ART	die
Versammlung	NN	Versammlung
stimmt	VVFIN	stimmen
diesem	PDAT	dies
Vorschlage	NN	Vorschlag
zu	PTKVZ	zu
.	$.	.
Weiter	ADV	weiter
wurde	VAFIN	werden
vorgeschlagen	VVPP	vorschlagen
,	$,	,
daß	KOUS	dass
der	ART	die
Vorstand	NN	Vorstand
nicht	PTKNEG	nicht
wie	KOKOM	wie
bisher	ADV	bisher
alljährlich	ADJD	alljährlich
,	$,	,
sondern	KON	sondern
daß	KOUS	dass
drei	CARD	drei
Führer	NN	Führer
auf	APPR	auf
3	CARD	@card@
Jahre	NN	Jahr
,	$,	,
die	PRELS	die
vier	CARD	vier
übrigen	ADJA	übrig
Vorstandsmitglieder	NN	Vorstandsmitglied
auf	APPR	auf
2	CARD	@card@
Jahre	NN	Jahr
gewählt	VVPP	wählen
werden	VAFIN	werden
,	$,	,
so	ADV	so
daß	KOUS	dass
in	APPR	in
jedem	PIAT	jede
Jahre	NN	Jahr
ein	ART	eine
Führer	NN	Führer
und	KON	und
zwei	CARD	zwei
sonstige	ADJA	sonstig
Vorstandsmitglieder	NN	Vorstandsmitglied
zu	PTKZU	zu
wählen	VVINF	wählen
sind	VAFIN	sein
.	$.	.
Das	ART	die
erste	ADJA	erst
Mal	NN	Mal
solle	VMFIN	sollen
das	ART	die
Loos	NE	Loos
bestimmen	VVINF	bestimmen
,	$,	,
wer	PWS	wer
ausicheide	VVFIN	ausicheide
.	$.	.
Auch	ADV	auch
dieser	PDAT	dies
Vorschlag	NN	Vorschlag
wurde	VAFIN	werden
ohne	APPR	ohne
Widerspruch	NN	Widerspruch
angenommen	VVPP	annehmen
und	KON	und
zwar	ADV	zwar
mit	APPR	mit
dem	ART	die
Zusatze	NN	Zusatze
,	$,	,
daß	KOUS	dass
die	ART	die
Ausgeschiedenen	NN	Ausgeschiedene
wieder	ADV	wieder
wählbar	ADJD	wählbar
sind	VAFIN	sein
.	$.	.
—	$,	—
Unter	APPR	unter
den	ART	die
ausgetretenen	ADJA	ausgetreten
resp.	ADV	resp.
ausgeschiedenen	ADJA	ausgeschieden
Mitgliedern	NN	Mitglied
befinden	VVFIN	befinden
sich	PRF	sich
zwei	CARD	zwei
Vorstandsmitglieder	NN	Vorstandsmitglied
:	$.	:
es	PPER	es
vernothwendigen	ADJA	vernothwendigen
sich	PRF	sich
darum	PAV	darum
Ersatzwahlen	NN	Ersatzwahl
.	$.	.
Diese	PDAT	dies
sielen	NN	sielen
auf	APPR	auf
den	ART	die
Senator	NN	Senator
Engelbhardt	NE	Engelbhardt
als	KOKOM	als
Feuerwehrfreund	NN	Feuerwehrfreund
und	KON	und
auf	APPR	auf
den	ART	die
Kamerad	NN	Kamerad
Lindstaedt	ADJD	Lindstaedt
für	APPR	für
die	ART	die
Zeit	NN	Zeit
bis	APPR	bis
Neujahr	NN	Neujahr
1888	CARD	@card@
.	$.	.
—	$,	—
Schließlich	ADV	schließlich
überreichte	VVFIN	überreichen
der	ART	die
Hauptmann	NN	Hauptmann
dem	ART	die
Wasserzuführer	NN	Wasserzuführer
Russow	NE	Russow
für	APPR	für
15jährige	ADJA	15jährig
Dienstzeit	NN	Dienstzeit
die	ART	die
silberne	ADJA	silbern
Medaille	NN	Medaille
und	KON	und
ein	ART	eine
kunstvoll	ADJD	kunstvoll
ausgeführtes	ADJA	ausgeführt
Diplom	NN	Diplom
.	$.	.
—	$,	—
Die	ART	die
Versammlung	NN	Versammlung
war	VAFIN	sein
von	APPR	von
etwa	ADV	etwa
30	CARD	@card@
Personen	NN	Person
besucht	VVPP	besuchen
.	$.	.
Der	ART	die
Verein	NN	Verein
zählt	VVFIN	zählen
jetzt	ADV	jetzt
25	CARD	@card@
active	ADJA	active
Mitglieder	NN	Mitglied
und	KON	und
39	CARD	@card@
Feuerwehrfreunde	NN	Feuerwehrfreunde
,	$,	,
welche	PRELS	welche
letztere	ADJA	letzt
einen	ART	eine
Beitrag	NN	Beitrag
von	APPR	von
jährlich	ADJD	jährlich
6	CARD	@card@
M.	NE	M.
zahlen	VVFIN	zahlen
.	$.	.
—	$,	—
s.	ADV	s.
Stavenhagen	NN	Stavenhagen
,	$,	,
2	CARD	@card@
Aug.	NN	Aug.
Heute	NN	Heute
Vormittag	NN	Vormittag
war	VAFIN	sein
der	ART	die
Termin	NN	Termin
für	APPR	für
die	ART	die
Verpachtung	NN	Verpachtung
der	ART	die
Chaussegeld	NN	Chaussegeld
=	$(	=
Hebestelle	NN	Hebestelle
zu	APPR	zu
Ritzerow	NE	Ritzerow
an	APPR	an
der	ART	die
Rostock	NE	Rostock
=	$(	=
Neubrandenburger	NN	Neubrandenburger
Chaussee	NN	Chaussee
.	$.	.
Die	ART	die
Verpachtung	NN	Verpachtung
sollte	VMFIN	sollen
auf	APPR	auf
unbestimmte	ADJA	unbestimmt
Zeit	NN	Zeit
vom	APPRART	von+die
1	CARD	@card@
.	$.	.
October	VVFIN	October
d.	ART	d.
J.	NE	J.
an	PTKVZ	an
stattfinden	VVINF	stattfinden
.	$.	.
Die	ART	die
bisherige	ADJA	bisherig
Pacht	NN	Pacht
betrug	VVFIN	betragen
2070	CARD	@card@
M.	APPR	m.
Die	ART	die
drei	CARD	drei
Meistbietenden	NN	Meistbietender
waren	VAINF	sein
:	$.	:
Jäger	NE	Jäger
König	NE	König
=	$(	=
Zapkendorf	NE	Zapkendorf
,	$,	,
Schmied	NE	Schmied
Stein	NE	Stein
=	$(	=
Eldena	NE	Eldena
und	KON	und
Gastwirth	NE	Gastwirth
Rußdorf	NN	Rußdorf
=	$(	=
Teterow	NE	Teterow
mit	APPR	mit
bezw.	NE	bezw.
1060	CARD	@card@
,	$,	,
1050	CARD	@card@
und	KON	und
1030	CARD	@card@
M.	APPR	m.
Die	ART	die
Auswahl	NN	Auswahl
unter	APPR	unter
diesen	PDAT	dies
drei	CARD	drei
Personen	NN	Person
blieb	VVFIN	bleiben
noch	ADV	noch
für	APPR	für
kurze	ADJA	kurz
Zeit	NN	Zeit
vorbehalten	VVPP	vorbehalten
.	$.	.
E.	NE	E.
Warin	NE	Warin
,	$,	,
2	CARD	@card@
.	$.	.
Aug.	NN	Aug.
Am	APPRART	an+die
letzten	ADJA	letzt
Sonnabend	NN	Sonnabend
wurde	VAFIN	werden
hieselbst	ADV	hieselbst
das	ART	die
vor	APPR	vor
dem	ART	die
Wühlenthore	NN	Wühlenthore
sub	NE	Sub
Nr.	NN	Nr.
177	CARD	@card@
belegene	ADJA	belegene
Gastwirth	NN	Gastwirth
Wendt'sche	NN	Wendt'sche
Hausgrundstück	NN	Hausgrundstück
im	APPRART	in+die
Zwangsversteigerungs	NN	Zwangsversteigerungs
=	$(	=
Verfahren	NN	Verfahren
vom	APPRART	von+die
Amtsgericht	NN	Amtsgericht
öffentlich	ADJD	öffentlich
meistbietend	ADJD	meistbietend
verkauft	VVPP	verkaufen
.	$.	.
Das	ART	die
Grundstück	NN	Grundstück
,	$,	,
welches	PRELS	welche
bisher	ADV	bisher
mit	APPR	mit
einer	ART	eine
Hypothekenschuld	NN	Hypothekenschuld
von	APPR	von
15	CARD	@card@
300	CARD	@card@
M.	NE	M.
belastet	VVPP	belasten
war	VAFIN	sein
,	$,	,
wurde	VAFIN	werden
einem	PIS	eine
der	ART	die
Hypothekengläubiger	NN	Hypothekengläubiger
,	$,	,
Herrn	NN	Herr
Obsthändler	NN	Obsthändler
Weger	NN	Weger
aus	APPR	aus
Freienwalde	NN	Freienwald
a.	APPR	a.
D.	NE	D.
für	APPR	für
den	ART	die
Kaufpreis	NN	Kaufpreis
von	APPR	von
9500	CARD	@card@
M.	NE	M.
zugeschlagen	VVPP	zuschlagen
.	$.	.
Friedland	NN	Friedland
,	$,	,
1	CARD	@card@
.	$.	.
Aug.	NN	Aug.
Gestern	NN	Gestern
Vormittag	NN	Vormittag
fand	VVFIN	finden
auf	APPR	auf
dem	ART	die
Hagedorn	NN	Hagedorn
hieselbst	NN	hieselbst
bei	APPR	bei
schönem	ADJA	schön
Wetter	NN	Wetter
der	ART	die
angekündigte	ADJA	angekündigt
Remontemarkt	NN	Remontemarkt
statt	PTKVZ	statt
.	$.	.
Es	PPER	es
waren	VAFIN	sein
wohl	ADV	wohl
gegen	APPR	gegen
30	CARD	@card@
—	$,	—
40	CARD	@card@
Füllen	NN	Fülle|Füllen
angetrieben	VVPP	antreiben
.	$.	.
Von	APPR	von
diesen	PDAT	dies
wurden	VAFIN	werden
jedoch	ADV	jedoch
nur	ADV	nur
2	CARD	@card@
ausgesucht	VVPP	aussuchen
und	KON	und
schließlich	ADV	schließlich
von	APPR	von
diesen	PDAT	dies
beiden	PIAT	beide
nur	ADV	nur
eins	CARD	eins
für	APPR	für
ca.	ADV	ca.
600	CARD	@card@
—	$,	—
700	CARD	@card@
M	NN	M
von	APPR	von
der	ART	die
Commission	NN	Commission
angekaust	VVPP	angekaust
.	$.	.
(	$(	(
M.	NE	M.
T.	NE	T.
)	$(	)
Woldegk	NE	Woldegk
,	$,	,
1	CARD	@card@
.	$.	.
Aug.	NN	Aug.
Gestern	NN	Gestern
feierte	VVFIN	feiern
Herr	NN	Herr
Dr.	NN	Dr.
Otto	NE	Otto
Witte	NN	Witte
hierselbst	NN	hierselbst
sein	PPOSAT	sein
25jähriges	ADJA	25jährig
Arztjubiläum	NN	Arztjubiläum
.	$.	.
Im	APPRART	in+die
Laufe	NN	Lauf
des	ART	die
Vormittags	NN	Vormittag
erschein	NN	erschein
außer	APPR	außer
anderen	PIS	andere
Gratulanten	NN	Gratulant
auch	ADV	auch
eine	ART	eine
Deputation	NN	Deputation
und	KON	und
überreichte	VVFIN	überreichen
im	APPRART	in+die
Auftrage	NN	Auftrag
der	ART	die
Freunde	NN	Freund
des	ART	die
Jubilars	NN	Jubilar
ein	ART	eine
werthvolles	ADJA	werthvolles
silbernes	ADJA	silbern
Eßbesteck	NN	Essbesteck
.	$.	.
Der	ART	die
Kriegerverein	NN	Kriegerverein
,	$,	,
dessen	PRELAT	die
Mitglied	NN	Mitglied
Herr	NN	Herr
Dr.	NN	Dr.
W.	NE	W.
ist	VAFIN	sein
,	$,	,
marschirte	NN	marschirte
in	APPR	in
Wehr	NN	Wehr
und	KON	und
Wasse	NN	Wasse
,	$,	,
mit	APPR	mit
Musik	NN	Musik
und	KON	und
wehender	ADJA	wehend
Fahne	NN	Fahne
auf	PTKVZ	auf
,	$,	,
um	KOUI	um
ebenfalls	ADV	ebenfalls
seinen	PPOSAT	sein
Glückwunsch	NN	Glückwunsch
darzubringen	VVIZU	darbringen
.	$.	.
Am	APPRART	an+die
Nachmittag	NN	Nachmittag
vereinigte	VVFIN	vereinigen
sich	PRF	sich
eine	ART	eine
größere	ADJA	groß
Anzahl	NN	Anzahl
von	APPR	von
Herren	NN	Herr
zu	APPR	zu
einem	ART	eine
Festessen	NN	Festesse
auf	APPR	auf
dem	ART	die
Rathsleller	NN	Rathsleller
.	$.	.
(	$(	(
Nb	NN	Nb
.	$.	.
Z.	APPRART	zu+die
)	$(	)
