1	CARD	@card@
„	$(	„
Mollusca	NE	Mollusca
,	$,	,
Weichthiere	NN	Weichthiere
“	$(	“
ihrer	PPOSAT	ihr
Abtheilung	NN	Abtheilung
im	APPRART	in+die
Gegensatz	NN	Gegensatz
zu	APPR	zu
dem	ART	die
häufig	ADJD	häufig
gebrauchten	ADJA	gebraucht
„	$(	„
Testacea	NE	Testacea
,	$,	,
Conchylien	NE	Conchylien
“	$(	“
„	$(	„
Schalthiere	NN	Schalthiere
“	$(	“
andeutet	VVFIN	andeuten
,	$,	,
wesentlich	ADJD	wesentlich
von	APPR	von
einer	ART	eine
weichen	ADJA	weich
für	APPR	für
Flüssigkeit	NN	Flüssigkeit
leicht	ADJD	leicht
durchdringbaren	ADJA	durchdringbaren
Hülle	NN	Hülle
umgeben	VVPP	umgeben
sind	VAFIN	sein
–	$(	-
denn	KON	denn
die	ART	die
Schale	NN	Schale
bedeckt	VVFIN	bedecken
während	APPR	während
der	ART	die
Thätigkeit	NN	Thätigkeit
des	ART	die
Thieres	NN	Thieres
stets	ADV	stets
nur	ADV	nur
einen	ART	eine
Theil	NN	Theil
desselben	PDAT	derselb
–	$(	-
so	ADV	so
sind	VAFIN	sein
sie	PPER	sie
weit	ADJD	weit
mehr	ADV	mehr
als	KOKOM	als
die	ART	die
vollständig	ADJD	vollständig
mit	APPR	mit
einer	ART	eine
Chitinhülle	NN	Chitinhülle
umpanzerten	VVFIN	umpanzerten
Insekten	NN	Insekt
dem	ART	die
schädlichen	ADJA	schädlich
Einflusse	NN	Einfluss
der	ART	die
Trockenheit	NN	Trockenheit
ausgesetzt	VVPP	aussetzen
,	$,	,
lieben	VVFIN	lieben
daher	PAV	daher
alle	PIS	alle
einen	ART	eine
höhern	ADJA	höhern
Grad	NN	Grad
von	APPR	von
Feuchtigkeit	NN	Feuchtigkeit
.	$.	.
Die	ART	die
Mehrzahl	NN	Mehrzahl
der	ART	die
Gasteropoden	NN	Gasteropoden
überhaupt	ADV	überhaupt
lebt	VVFIN	leben
untergetaucht	VVPP	untertauchen
in	APPR	in
den	ART	die
grossen	ADJA	groß
Wasserbehältern	NN	Wasserbehälter
der	ART	die
Erde	NN	Erde
,	$,	,
den	ART	die
Meeren	NN	Meer
,	$,	,
und	KON	und
auch	ADV	auch
von	APPR	von
denen	PDS	die
des	ART	die
Binnenlandes	NN	Binnenland
bewohnt	VVFIN	bewohnen
ein	ART	eine
nicht	PTKNEG	nicht
unbedeutender	ADJA	unbedeutend
Theil	NN	Theil
das	ART	die
süsse	ADJA	süß
Wasser	NN	Wasser
.	$.	.
Wo	PWAV	wo
Luft	NN	Luft
und	KON	und
Wasser	NN	Wasser
sich	PRF	sich
wechselweise	ADJD	wechselweise
verdrängen	VVFIN	verdrängen
,	$,	,
wird	VAFIN	werden
den	ART	die
dort	ADV	dort
einheimischen	ADJA	einheimisch
Mollusken	NN	Mollusken
die	ART	die
Fortsetzung	NN	Fortsetzung
ihres	PPOSAT	ihr
Lebens	NN	Leben
durch	APPR	durch
verschiedene	ADJA	verschieden
Modifikationen	NN	Modifikation
ermöglicht	VVPP	ermöglichen
.	$.	.
Das	ART	die
einfachste	ADJA	einfach
Hülfsmittel	NN	Hülfsmittel
ist	VAFIN	sein
,	$,	,
sich	PRF	sich
vollständig	ADJD	vollständig
in	APPR	in
die	ART	die
für	APPR	für
Flüssigkeiten	NN	Flüssigkeit
undurchdringliche	ADJA	undurchdringlich
Schale	NN	Schale
zurückzuziehen	VVIZU	zurückziehen
,	$,	,
diese	PDS	diese
wasserdicht	ADJD	wasserdicht
zu	PTKZU	zu
schliessen	VVINF	schließen
und	KON	und
so	ADV	so
,	$,	,
mit	APPR	mit
Unterbrechung	NN	Unterbrechung
aller	PIAT	alle
Thätigkeit	NN	Thätigkeit
,	$,	,
durch	APPR	durch
die	PRELS	die
mit	APPR	mit
eingeschlossene	ADJA	eingeschlossen
Feuchtigkeit	NN	Feuchtigkeit
ihr	PPOSAT	ihr
Leben	NN	Leben
bis	KON	bis
auf	APPR	auf
günstigere	ADJA	günstig
Zeiten	NN	Zeit
zu	PTKZU	zu
fristen	VVINF	fristen
.	$.	.
Hiezu	ADV	Hiezu
dient	VVFIN	dienen
ein	ART	eine
am	APPRART	an+die
Rücken	NN	Rücken
des	ART	die
Fusses	NN	Fuß
angeheftetes	ADJA	angeheftetes
Schalenstück	NN	Schalenstück
,	$,	,
welches	PRELS	welche
beim	APPRART	bei+die
Zurückziehen	NN	Zurückziehen
der	ART	die
Weichtheile	NN	Weichtheile
zuletzt	ADV	zuletzt
in	APPR	in
die	ART	die
Schalenöffnung	NN	Schalenöffnung
eintritt	VVFIN	eintreten
und	KON	und
diese	PDAT	dies
völlig	ADJD	völlig
verschliesst	VVFIN	verschließen
.	$.	.
Einen	ART	eine
solchen	PIAT	solche
Deckel	NN	Deckel
besitzen	VVFIN	besitzen
alle	PIAT	alle
Süsswasserschnecken	NN	Süsswasserschnecken
,	$,	,
welche	PRELS	welche
den	ART	die
im	APPRART	in+die
Wasser	NN	Wasser
aufgelösten	ADJA	aufgelöst
Sauerstoff	NN	Sauerstoff
athmen	ADJD	athmen
,	$,	,
und	KON	und
die	ART	die
Mehrzahl	NN	Mehrzahl
der	ART	die
zwischen	APPR	zwischen
Ebbe	NN	Ebbe
und	KON	und
Fluth	NN	Fluth
wohnenden	ADJA	wohnend
Meerschnecken	NN	Meerschnecken
.	$.	.
Ein	ART	eine
radicaleres	ADJA	radicaleres
Hülfsmittel	NN	Hülfsmittel
bietet	VVFIN	bieten
den	ART	die
Ampullarien	NN	Ampullarien
der	ART	die
leicht	ADJD	leicht
austrocknenden	ADJA	austrocknend
tropischen	ADJA	tropisch
Sümpfe	NN	Sumpf
das	ART	die
Vorhandensein	NN	Vorhandensein
einer	ART	eine
accessorischen	ADJA	accessorischen
Lungenhöhle	NN	Lungenhöhle
neben	APPR	neben
den	ART	die
Kiemen	NN	Kieme
,	$,	,
welche	PRELS	welche
sie	PPER	sie
befähigt	VVFIN	befähigen
,	$,	,
auch	ADV	auch
Luft	NN	Luft
im	APPRART	in+die
elastischen	ADJA	elastisch
Zustande	NN	Zustand
zu	APPR	zu
athmen	NN	athmen
;	$.	;
umgekehrt	ADJD	umgekehrt
entfaltet	VVFIN	entfalten
Onchidium	NN	Onchidium
nach	APPR	nach
Ehrenberg´s	NN	Ehrenberg´s
Beobachtungen	NN	Beobachtung
im	APPRART	in+die
Wasser	NN	Wasser
baumförmige	ADJA	baumförmige
Kiemen	NN	Kieme
und	KON	und
schliesst	VVFIN	schließen
die	ART	die
Lungenhöhle	NN	Lungenhöhle
,	$,	,
welche	PRELS	welche
ihm	PPER	er
in	APPR	in
der	ART	die
Luft	NN	Luft
als	KOKOM	als
Athmungsorgan	NN	Athmungsorgan
dient	VVFIN	dienen
;	$.	;
beide	PIS	beide
sind	VAFIN	sein
also	ADV	also
wahrhaft	ADJD	wahrhaft
amphibische	ADJA	amphibisch
Thiere	NN	Thiere
.	$.	.
Die	ART	die
Mehrzahl	NN	Mehrzahl
unserer	PPOSAT	unser
Teichschnecken	NN	Teichschnecken
hat	VAFIN	haben
sogar	ADV	sogar
das	ART	die
Wasserathmen	NN	Wasserathmen
als	KOKOM	als
zu	PTKA	zu
unsicher	ADJD	unsicher
ganz	ADJD	ganz
aufgegeben	VVPP	aufgeben
und	KON	und
besitzt	VVFIN	besitzen
,	$,	,
wie	KOUS	wie
die	ART	die
Landschnecken	NN	Landschnecken
,	$,	,
nur	ADV	nur
eine	ART	eine
von	APPR	von
zahlreichen	ADJA	zahlreich
Gefässen	NN	Gefäß
ausgekleidete	ADJA	ausgekleidet
Athemhöhle	NN	Athemhöhle
,	$,	,
in	APPR	in
deren	PRELAT	die
Inneres	NN	Innere
die	ART	die
zur	APPRART	zu+die
Respiration	NN	Respiration
dienende	ADJA	dienend
Luft	NN	Luft
eindringt	VVFIN	eindringen
;	$.	;
diese	PDAT	dies
Schnecken	NN	Schnecke
sind	VAFIN	sein
daher	PAV	daher
genöthigt	ADJD	genöthigt
,	$,	,
zuweilen	ADV	zuweilen
an	APPR	an
die	ART	die
Oberfläche	NN	Oberfläche
des	ART	die
Wassers	NN	Wasser
zu	PTKZU	zu
steigen	VVINF	steigen
,	$,	,
um	KOUI	um
zu	APPR	zu
athmen	NN	athmen
,	$,	,
wie	KOUS	wie
die	ART	die
Seehunde	NN	Seehund
und	KON	und
Wallfische	NN	Wallfische
,	$,	,
können	VMFIN	können
aber	ADV	aber
ihres	PPOSAT	ihr
langsameren	ADJA	langsam
Stoffwechsels	NN	Stoffwechsel
wegen	APPR	wegen
weit	ADJD	weit
länger	ADJD	lang
unter	APPR	unter
Wasser	NN	Wasser
bleiben	VVINF	bleiben
.	$.	.
Hieher	NN	Hieher
gehören	VVFIN	gehören
Limnaeus	NE	Limnaeus
,	$,	,
Physa	NE	Physa
,	$,	,
Planorbis	NE	Planorbis
und	KON	und
nach	APPR	nach
Moquin-Tandon´s	NN	Moquin-Tandon´s
Beobachtungen	NN	Beobachtung
auch	ADV	auch
Ancylus	NE	Ancylus
,	$,	,
wie	KOKOM	wie
schon	ADV	schon
Cuvier	NN	Cuvier
annahm	VVFIN	annehmen
;	$.	;
alle	PIAT	alle
diese	PDAT	dies
Schnecken	NN	Schnecke
haben	VAFIN	haben
nur	ADV	nur
dünne	ADJA	dünn
Schalen	NN	Schale
,	$,	,
um	KOUI	um
leichter	ADJD	leicht
im	APPRART	in+die
Wasser	NN	Wasser
aufzusteigen	VVIZU	aufsteigen
.	$.	.
In	APPR	in
ausgetrockneten	ADJA	ausgetrocknet
Pfützen	NN	Pfütze
können	VMFIN	können
sie	PPER	sie
,	$,	,
durch	APPR	durch
den	ART	die
umgebenden	ADJA	umgebend
Schlamm	NN	Schlamm
vor	APPR	vor
dem	ART	die
Vertrocknen	NN	Vertrocknen
geschützt	VVPP	schützen
,	$,	,
längere	ADJA	lang
Zeit	NN	Zeit
am	APPRART	an+die
Leben	NN	Leben
bleiben	VVFIN	bleiben
;	$.	;
einige	PIAT	einige
Planorbisarten	NN	Planorbisarten
schirmen	VVFIN	schirmen
sich	PRF	sich
auch	ADV	auch
durch	APPR	durch
einen	ART	eine
Papierdeckel	NN	Papierdeckel
,	$,	,
wie	KOUS	wie
ihn	PPER	er
die	ART	die
kleineren	ADJA	klein
Landschnecken	NN	Landschnecken
im	APPRART	in+die
Winter	NN	Winter
zeigen	VVFIN	zeigen
,	$,	,
vor	APPR	vor
der	ART	die
Dürre	NN	Dürre
.	$.	.
Adanson	NE	Adanson
sah	VVFIN	sehen
in	APPR	in
den	ART	die
Sümpfen	NN	Sumpf
von	APPR	von
Jodor	NE	Jodor
in	APPR	in
Westafrika	NE	Westafrika
jährlich	ADJD	jährlich
nach	APPR	nach
der	ART	die
Regenzeit	NN	Regenzeit
eine	ART	eine
Physa	NE	Physa
in	APPR	in
grosser	ADJA	groß
Anzahl	NN	Anzahl
;	$.	;
diese	PDAT	dies
Sümpfe	NN	Sumpf
sind	VAFIN	sein
vom	APPRART	von+die
Januar	NN	Januar
bis	KON	bis
in	APPR	in
den	ART	die
Juni	NN	Juni
vollkommen	ADJD	vollkommen
trocken	ADJD	trocken
,	$,	,
und	KON	und
die	ART	die
Schnecke	NN	Schnecke
muss	VMFIN	müssen
also	ADV	also
,	$,	,
da	KOUS	da
sie	PPER	sie
schwerlich	ADJD	schwerlich
in	APPR	in
einem	ART	eine
halben	ADJA	halb
Jahre	NN	Jahr
ihr	PPOSAT	ihr
völliges	ADJA	völlig
Wachsthum	NN	Wachsthum
erreicht	VVPP	erreichen
,	$,	,
5	CARD	@card@
–	$(	-
6	CARD	@card@
Monate	NN	Monat
im	APPRART	in+die
Schlamme	NN	Schlamm
eingegraben	VVPP	eingraben
sich	PRF	sich
erhalten	VVPP	erhalten
.	$.	.
Limnaeen	NE	Limnaeen
verlassen	VVFIN	verlassen
das	ART	die
Wasser	NN	Wasser
auch	ADV	auch
freiwillig	ADJD	freiwillig
,	$,	,
wenigstens	ADV	wenigstens
in	APPR	in
der	ART	die
Gefangenschaft	NN	Gefangenschaft
,	$,	,
wo	PWAV	wo
sie	PPER	sie
vielleicht	ADV	vielleicht
der	ART	die
Mangel	NN	Mangel
an	APPR	an
einer	ART	eine
geeigneten	ADJA	geeignet
Nahrung	NN	Nahrung
dazu	PAV	dazu
treibt	VVFIN	treiben
;	$.	;
in	APPR	in
der	ART	die
Natur	NN	Natur
werden	VAFIN	werden
sie	PPER	sie
wohl	ADV	wohl
häufiger	ADJD	häufig
vom	APPRART	von+die
Wasser	NN	Wasser
verlassen	VVPP	verlassen
und	KON	und
bleiben	VVFIN	bleiben
im	APPRART	in+die
feuchten	ADJA	feucht
Schlamme	NN	Schlamm
zurück	PTKVZ	zurück
,	$,	,
bis	KOUS	bis
dieses	PDAT	dies
wieder	ADV	wieder
steigt	VVFIN	steigen
.	$.	.
Höchstens	ADV	höchstens
kriechen	VVFIN	kriechen
sie	PPER	sie
einen	CARD	eins
oder	KON	oder
zwei	CARD	zwei
Zoll	NN	Zoll
über	APPR	über
die	ART	die
Wasserfläche	NN	Wasserfläche
an	APPR	an
Steinen	NN	Stein
oder	KON	oder
Binsen	NN	Binse
herauf	PTKVZ	herauf
,	$,	,
so	ADV	so
namentlich	ADJD	namentlich
Limnaeus	NE	Limnaeus
truncatulus	NE	truncatulus
Mll	NE	Mll
.	$.	.
Und	KON	und
L.	NE	L.
elongatus	ADJA	elongatus
Dr.	NN	Dr.
;	$.	;
Ancylus	NE	Ancylus
fluviatilis	ADJA	fluviatilis
Mll	NN	Mll
.	$.	.
Klebt	VVFIN	kleben
nach	APPR	nach
Held	NE	Held
häufig	ADJD	häufig
an	APPR	an
Felsenwänden	NN	Felsenwand
,	$,	,
die	PRELS	die
vom	APPRART	von+die
Staubregen	NN	Staubregen
der	ART	die
Wasserfälle	NN	Wasserfall
befeuchtet	VVPP	befeuchten
werden	VAFIN	werden
.	$.	.
Auch	ADV	auch
die	ART	die
Landschnecken	NN	Landschnecken
bedürfen	VVFIN	bedürfen
alle	PIS	alle
eines	ART	eine
ziemlich	ADV	ziemlich
hohen	ADJA	hoch
Grades	NN	Grad
von	APPR	von
Feuchtigkeit	NN	Feuchtigkeit
zum	APPRART	zu+die
thätigen	ADJA	thätigen
Leben	NN	Leben
.	$.	.
Schutzlosere	NN	Schutzlosere
,	$,	,
wie	KOUS	wie
die	ART	die
Nacktschnecken	NN	Nacktschnecke
und	KON	und
die	ART	die
nur	ADV	nur
unvollständig	ADJD	unvollständig
bedeckten	ADJA	bedeckt
Arten	NN	Art
der	ART	die
Gattungen	NN	Gattung
Testacella	NN	Testacella
,	$,	,
Daudebardia	NE	Daudebardia
,	$,	,
Vitrina	NE	Vitrina
,	$,	,
Nanina	NE	Nanina
,	$,	,
wie	KOKOM	wie
auch	ADV	auch
Stenopus	NN	Stenopus
Guild	NN	Guild
gehen	VVFIN	gehen
in	APPR	in
der	ART	die
Trockenheit	NN	Trockenheit
bald	ADV	bald
zu	APPR	zu
Grunde	NN	Grund
,	$,	,
z.	APPRART	zu+die
B.	NN	B.
in	APPR	in
einer	ART	eine
Pappschachtel	NN	Pappschachtel
die	ART	die
kleineren	ADJA	klein
Arten	NN	Art
schon	ADV	schon
in	APPR	in
24	CARD	@card@
Stunden	NN	Stunde|Stunden
.	$.	.
Auch	ADV	auch
der	ART	die
weitmündige	ADJA	weitmündige
den	ART	die
Succineen	NN	Succineen
verwandte	ADJA	verwandt
Bulimus	NN	Bulimus
gallina	NE	gallina
sultana	NE	Sultana
Chemn	NE	Chemn
.	$.	.
stirbt	VVFIN	sterben
nach	APPR	nach
Orbigny	NN	Orbigny
an	APZR	an
nicht	PTKNEG	nicht
ganz	ADV	ganz
feuchten	ADJA	feucht
Orten	NN	Ort|Orten
in	APPR	in
wenigen	PIAT	wenige
Tagen	NN	Tag
.	$.	.
Ueberhaupt	NE	Ueberhaupt
scheinen	VVFIN	scheinen
alle	PIAT	alle
Arten	NN	Art
mit	APPR	mit
glänzenden	ADJA	glänzend
,	$,	,
durchscheinenden	ADJA	durchscheinend
Schalen	NN	Schale
sehr	ADV	sehr
viel	PIAT	viele
Feuchtigheit	NN	Feuchtigheit
zu	PTKZU	zu
bedürfen	VVINF	bedürfen
.	$.	.
Die	ART	die
Succineen	NN	Succineen
finden	VVFIN	finden
sich	PRF	sich
meist	ADV	meist
an	APPR	an
den	ART	die
Rändern	NN	Rand
der	ART	die
Gewässer	NN	Gewässer
und	KON	und
kriechen	VVFIN	kriechen
nicht	PTKNEG	nicht
selten	ADJD	selten
an	APPR	an
schwimmenden	ADJA	schwimmend
Pflanzenstengeln	NN	Pflanzenstengeln
auf	APPR	auf
die	ART	die
Wasserfläche	NN	Wasserfläche
hinaus	PTKVZ	hinaus
,	$,	,
Succinea	NN	Succinea
putris	NE	putris
L.	NE	L.
hat	VAFIN	haben
desshalb	ADV	desshalb
den	ART	die
Namen	NN	Name
amphibia	NE	amphibia
von	APPR	von
Geoffroy	NE	Geoffroy
erhalten	VVPP	erhalten
,	$,	,
und	KON	und
S.	NE	S.
Pfeifferi	NE	Pfeifferi
Rossm	NE	Rossm
.	$.	.
fand	VVFIN	finden
ihr	PPOSAT	ihr
Entdecker	NN	Entdecker
sogar	ADV	sogar
schwimmend	ADJD	schwimmend
,	$,	,
vielleicht	ADV	vielleicht
nur	ADV	nur
durch	APPR	durch
einen	ART	eine
Unfall	NN	Unfall
in	APPR	in
das	ART	die
Wasser	NN	Wasser
gerathen	VVPP	gerathen
.	$.	.
Helix	NE	Helix
lucida	NE	lucida
Dr.	NN	Dr.
(	$(	(
nitida	ADJA	nitida
Mll	NN	Mll
.	$.	.
,	$,	,
von	APPR	von
Studer	NN	Studer
nicht	PTKNEG	nicht
über	APPR	über
H.	NE	H.
succinea	NE	succinea
genannt	VVPP	nennen
)	$(	)
lebt	VVFIN	leben
auf	APPR	auf
Grasplätzen	NN	Grasplatz
stets	ADV	stets
in	APPR	in
der	ART	die
Nähe	NN	Nähe
des	ART	die
Wassers	NN	Wasser
;	$.	;
auch	ADV	auch
die	ART	die
verwandten	ADJA	verwandt
H.	NE	H.
cellaria	NE	cellaria
Mll	NE	Mll
.	$.	.
,	$,	,
nitens	ADV	nitens
Mich	PPER	ich
.	$.	.
und	KON	und
die	ART	die
eben	ADV	eben
so	ADV	so
glänzende	ADJA	glänzend
Achatina	NE	Achatina
lubrica	NE	lubrica
Mll	NE	Mll
.	$.	.
bewohnt	VVFIN	bewohnen
den	ART	die
feuchten	ADJA	feucht
Boden	NN	Boden
unter	APPR	unter
der	ART	die
schützenden	ADJA	schützenden
Laub-	TRUNC	Laub-
und	KON	und
Moosdecke	NN	Moosdecke
;	$.	;
die	ART	die
tropischen	ADJA	tropisch
Naninen	NN	Naninen
mögen	VMFIN	mögen
einen	ART	eine
ähnlichen	ADJA	ähnlich
Aufenthalt	NN	Aufenthalt
haben	VAINF	haben
.	$.	.
Ebenso	ADV	ebenso
zeigen	VVFIN	zeigen
bei	APPR	bei
den	ART	die
Pflanzen	NN	Pflanze|Pflanzen
glatte	ADJA	glatt
glänzende	ADJA	glänzend
Blätter	NN	Blatt
einen	ART	eine
feuchten	ADJA	feucht
Wohnplatz	NN	Wohnplatz
an	PTKVZ	an
,	$,	,
man	PIS	man
denke	VVFIN	denken
nur	ADV	nur
an	APPR	an
Caltha	NE	Caltha
palustris	NE	palustris
.	$.	.
Aber	KON	aber
während	KOUS	während
bei	APPR	bei
ihnen	PPER	sie
eine	ART	eine
dichte	ADJA	dicht
Behaarung	NN	Behaarung
nur	ADV	nur
an	APPR	an
trockenen	ADJA	trocken
Standorten	NN	Standort
vorkommt	VVFIN	vorkommen
,	$,	,
und	KON	und
dieselben	PDAT	dieselb
Arten	NN	Art
oder	KON	oder
nahe	APPR	nahe
Verwandte	NN	Verwandte
derselben	PDS	dieselbe
im	APPRART	in+die
Feuchten	NN	Feuchte|Feuchten
sehr	ADV	sehr
spärlich	ADJD	spärlich
behaart	VVPP	behaaren
sind	VAFIN	sein
(	$(	(
Lythrum	NN	Lythrum
salicaria	NE	salicaria
,	$,	,
Myosotis	NE	Myosotis
sylvatica	NE	sylvatica
und	KON	und
palustris	NE	palustris
)	$(	)
,	$,	,
scheint	VVFIN	scheinen
bei	APPR	bei
den	ART	die
Schnecken	NN	Schnecke
das	ART	die
Gegentheil	NN	Gegentheil
stattzufinden	VVIZU	stattfinden
,	$,	,
nämlich	ADV	nämlich
die	ART	die
Ausbildung	NN	Ausbildung
der	ART	die
Schalenepidermis	NN	Schalenepidermis
in	APPR	in
einem	ART	eine
Wechselverhältnisse	NN	Wechselverhältnisse
mit	APPR	mit
dem	ART	die
Feuchtigkeitsgrade	NN	Feuchtigkeitsgrade
zu	PTKZU	zu
stehen	VVINF	stehen
.	$.	.
Alle	PIAT	alle
behaarten	ADJA	behaart
Schnecken	NN	Schnecke
lieben	VVFIN	lieben
die	ART	die
Nässe	NN	Nässe
,	$,	,
Helix	NE	Helix
hispida	NE	hispida
L.	NE	L.
begleitet	VVFIN	begleiten
nicht	PTKNEG	nicht
selten	ADJD	selten
die	ART	die
Vitrinen	NN	Vitrine
,	$,	,
H.	NE	H.
serica	NE	serica
Dr.	NN	Dr.
findet	VVFIN	finden
sich	PRF	sich
wie	KOKOM	wie
lucida	NE	lucida
Dr.	NN	Dr.
gerne	ADV	gerne
an	APPR	an
Rändern	NN	Rand
von	APPR	von
Sümpfen	NN	Sumpf
,	$,	,
H.	NE	H.
obvoluta	NE	obvoluta
Mll	NE	Mll
.	$.	.
,	$,	,
personata	NE	personata
Lam	NE	Lam
.	$.	.
,	$,	,
Cobresiana	NE	Cobresiana
Alten	NN	Alte
und	KON	und
die	ART	die
auch	ADV	auch
in	APPR	in
der	ART	die
Jugend	NN	Jugend
behaarte	VVFIN	behaaren
,	$,	,
später	ADJD	spät
nur	ADV	nur
bereifte	VVFIN	bereifen
incarnata	NE	incarnata
Mll	NE	Mll
.	$.	.
halten	VVFIN	halten
sich	PRF	sich
alle	PIS	alle
am	APPRART	an+die
liebsten	ADJD	lieb
am	APPRART	an+die
feuchten	ADJA	feucht
Boden	NN	Boden
der	ART	die
Wälder	NN	Wald
und	KON	und
Gebüsche	NN	Gebüsch
,	$,	,
unter	APPR	unter
Laub	NE	Laub
und	KON	und
Moos	NN	Moos
,	$,	,
auf	PTKVZ	auf
;	$.	;
die	ART	die
wollige	ADJA	wollig
H.	NE	H.
villosa	NE	villosa
findet	VVFIN	finden
sich	PRF	sich
nur	ADV	nur
in	APPR	in
sehr	ADV	sehr
feuchten	ADJA	feucht
Gebüschen	NN	Gebüsch
,	$,	,
und	KON	und
Hartmann	NE	Hartmann
fand	VVFIN	finden
an	APPR	an
trockenen	ADJA	trocken
steinigen	ADJA	steinig
Stellen	NN	Stelle|Stellen
unbehaarte	ADJA	unbehaart
Exemplare	NN	Exemplar
der	ART	die
Helix	NE	Helix
sericea	NE	sericea
Dr.	NN	Dr.
Auch	ADV	auch
der	ART	die
behaarte	ADJA	behaart
Bulimus	NN	Bulimus
trichodes	ADJA	trichodes
Orb	NN	Orb
.	$.	.
in	APPR	in
den	ART	die
Gärten	NN	Garten
Bolivia´s	NE	Bolivia´s
bedarf	VVFIN	bedürfen
vieler	PIAT	viele
Feuchtigkeit	NN	Feuchtigkeit
und	KON	und
lässt	VVFIN	lassen
sich	PRF	sich
nur	ADV	nur
bei	APPR	bei
Regenwetter	NN	Regenwetter
sehen	VVINF	sehen
.	$.	.
Ebenso	ADV	ebenso
leben	VVFIN	leben
Helix	NE	Helix
aculeata	NE	aculeata
und	KON	und
costata	NE	costata
Mll	NE	Mll
.	$.	.
,	$,	,
bei	APPR	bei
welchen	PRELS	welche
sich	PRF	sich
die	ART	die
Fortsätze	NN	Fortsatz
der	ART	die
Epidermis	NN	Epidermis
zu	APPR	zu
Stacheln	NN	Stachel
und	KON	und
Leisten	NN	Leiste|Leisten
verdichtet	VVPP	verdichten
haben	VAFIN	haben
,	$,	,
stets	ADV	stets
im	APPRART	in+die
feuchten	ADJA	feucht
Mulme	NN	Mulme
hohler	ADJA	hohl
Bäume	NN	Baum
.	$.	.
Umgekehrt	ADJD	umgekehrt
besitzen	VVFIN	besitzen
diejenigen	PDAT	diejenigen
Landschnecken	NN	Landschnecken
,	$,	,
welche	PRELS	welche
grosse	ADJA	groß
Trockenheit	NN	Trockenheit
auszuhalten	VVIZU	aushalten
haben	VAFIN	haben
,	$,	,
eine	ART	eine
undurchsichtige	ADJA	undurchsichtig
,	$,	,
matte	ADJA	matt
,	$,	,
fast	ADV	fast
epidermislose	ADJA	epidermislose
Schale	NN	Schale
,	$,	,
wie	KOUS	wie
H.	NE	H.
candidissima	NE	candidissima
Dr.	NN	Dr.
,	$,	,
H.	NE	H.
explanata	NE	explanata
Mll	NE	Mll
