Nicht	PTKNEG	nicht
,	$,	,
was	PRELS	was
die	ART	die
Anfangsbuchstaben	NN	Anfangsbuchstabe
der	ART	die
Namen	NN	Name
der	ART	die
Wochentage	NN	Wochentag
sind	VAFIN	sein
,	$,	,
und	KON	und
drunter	PAV	drunter
die	ART	die
Zahl	NN	Zahl
der	ART	die
Monatstage	NN	Monatstage
-	$(	-
den	ART	die
Monat	NN	Monat
mußte	VMFIN	müssen
man	PIS	man
schon	ADV	schon
im	APPRART	in+die
Kopfe	NN	Kopf
behalten	VVINF	behalten
,	$,	,
was	PRELS	was
man	PIS	man
auch	ADV	auch
leicht	ADJD	leicht
konnte	VMFIN	können
;	$.	;
und	KON	und
das	PDS	die
war	VAFIN	sein
der	ART	die
Kalender	NN	Kalender
.	$.	.
Zwischen	APPR	zwischen
den	ART	die
Fenstern	NN	Fenster
saß	VVFIN	sitzen
eine	ART	eine
hübsche	ADJA	hübsch
,	$,	,
junge	ADJA	jung
Frau	NN	Frau
von	APPR	von
etwa	ADV	etwa
dreißig	CARD	dreißig
Jahren	NN	Jahr
,	$,	,
die	PRELS	die
spann	VVFIN	spinnen
.	$.	.
Sie	PPER	Sie
war	VAFIN	sein
bloßärmelig	ADJD	bloßärmelig
,	$,	,
hatte	VAFIN	haben
ein	ART	eine
himmelblaues	ADJA	himmelblau
Tuchleibchen	NN	Tuchleibchen
an	PTKVZ	an
,	$,	,
das	PRELS	die
mit	APPR	mit
schwarzem	ADJA	schwarz
Sammtband	NN	Sammtband
eingefaßt	VVPP	einfassen
war	VAFIN	sein
,	$,	,
ein	ART	eine
blumiges	ADJA	blumig
Kattunhalstuch	NN	Kattunhalstuch
,	$,	,
das	PRELS	die
züchtig	ADJD	züchtig
bis	KON	bis
an	APPR	an
den	ART	die
schneeweißen	ADJA	schneeweiß
Hals	NN	Hals
reichte	VVFIN	reichen
,	$,	,
einen	ART	eine
dunkeln	ADJA	dunkel
Rock	NN	Rock
von	APPR	von
Beiderwolle	NN	Beiderwolle
,	$,	,
Strümpfe	NN	Strumpf
von	APPR	von
hellblauer	ADJA	hellblau
Wolle	NN	Wolle
mit	APPR	mit
rothen	NE	rothen
Zwickeln	NN	Zwickel
und	KON	und
hochabsätzige	ADJA	hochabsätzige
Pantöffelchen	NN	Pantöffelchen
.	$.	.
Auf	APPR	auf
dem	ART	die
Kopfe	NN	Kopf
trug	VVFIN	tragen
sie	PPER	sie
eine	ART	eine
weiße	ADJA	weiß
,	$,	,
gesteppte	ADJA	gesteppt
Mütze	NN	Mütze
,	$,	,
mit	APPR	mit
schwarzem	ADJA	schwarz
Einfaß	NN	Einfaß
,	$,	,
die	PRELS	die
um	APPR	um
das	ART	die
runde	ADJA	rund
Gesichtchen	NN	Gesichtchen
schloß	VVFIN	schließen
und	KON	und
ihr	PPER	ihr
prächtig	ADJD	prächtig
stand	VVFIN	stehen
.	$.	.
Unter	APPR	unter
dem	ART	die
Doppelbarte	NN	Doppelbarte
war	VAFIN	sein
ein	ART	eine
mächtiger	ADJA	mächtig
schwarzer	ADJA	schwarz
Bandschlupf	NN	Bandschlupf
.	$.	.
Der	ART	die
neben	APPR	neben
ihr	PPOSAT	ihr
sitzende	ADJA	sitzend
Gatte	NN	Gatte
war	VAFIN	sein
fast	ADV	fast
von	APPR	von
gleichem	ADJA	gleich
Alter	NN	Alter
.	$.	.
Auch	ADV	auch
er	PPER	er
saß	VVFIN	sitzen
bloßärmelig	ADJD	bloßärmelig
,	$,	,
weil	KOUS	weil
es	PPER	es
eben	ADV	eben
sehr	ADV	sehr
warm	ADJD	warm
in	APPR	in
der	ART	die
Stube	NN	Stube
war	VAFIN	sein
,	$,	,
hatte	VAFIN	haben
eine	ART	eine
lange	ADJA	lang
,	$,	,
blaue	ADJA	blau
Tuchweste	NN	Tuchweste
an	PTKVZ	an
,	$,	,
lederne	ADJA	ledern
,	$,	,
kurze	ADJA	kurz
Hosen	NN	Hose
und	KON	und
gewobene	ADJA	gewebt
Gamaschen	NN	Gamasche
,	$,	,
wie	KOUS	wie
sie	PPER	sie
in	APPR	in
Usingen	NE	Usingen
gemacht	VVPP	machen
worden	VAPP	werden
.	$.	.
Er	PPER	er
hatte	VAFIN	haben
ein	ART	eine
kurzes	ADJA	kurz
,	$,	,
dampfendes	ADJA	dampfend
Pfeifchen	NN	Pfeifchen
,	$,	,
einen	ART	eine
sogenannten	ADJA	sogenannt
Nasenwärmer	NN	Nasenwärmer
im	APPRART	in+die
Munde	NN	Mund
,	$,	,
und	KON	und
flocht	VVFIN	flechten
aus	APPR	aus
Stroh	NN	Stroh
und	KON	und
Haselschienen	NN	Haselschienen
einen	ART	eine
Bienenkorb	NN	Bienenkorb
.	$.	.
Auf	APPR	auf
dem	ART	die
Kopf	NN	Kopf
trug	VVFIN	tragen
er	PPER	er
das	ART	die
pfälzer	ADJA	pfälzer
Bauernkäppchen	NN	Bauernkäppchen
,	$,	,
aus	APPR	aus
grünem	ADJA	grün
Sammt	NN	Sammt
,	$,	,
ganz	ADV	ganz
niedrig	ADJD	niedrig
und	KON	und
unten	ADV	unten
mit	APPR	mit
Marderpelz	NN	Marderpelz
verbrämt	VVPP	verbrämen
.	$.	.
Am	APPRART	an+die
Tisch	NN	Tisch
saß	VVFIN	sitzen
das	ART	die
Jaköbchen	NN	Jaköbchen
,	$,	,
sein	PPOSAT	sein
und	KON	und
der	ART	die
schönen	ADJA	schön
Frau	NN	Frau
Söhnchen	NN	Söhnchen
,	$,	,
etwa	ADV	etwa
eilf	ADJD	eilf
bis	APPR	bis
zwölf	CARD	zwölf
Jahr	NN	Jahr
alt	ADJD	alt
,	$,	,
ein	ART	eine
Bübchen	NN	Bübchen
,	$,	,
das	PRELS	die
einen	ART	eine
grausam	ADJD	grausam
guten	ADJA	gut
Kopf	NN	Kopf
hatte	VAFIN	haben
,	$,	,
wie	KOUS	wie
der	ART	die
Schulmeister	NN	Schulmeister
sagte	VVFIN	sagen
.	$.	.
Jaköbchen	NN	Jaköbchen
hatte	VAFIN	haben
beide	PIAT	beide
Ellenbogen	NN	Ellenbogen
auf	APPR	auf
den	ART	die
Tisch	NN	Tisch
gestützt	VVPP	stützen
,	$,	,
hielt	VVFIN	halten
die	ART	die
Hände	NN	Hand
vor	APPR	vor
die	ART	die
Ohren	NN	Ohr
,	$,	,
damit	KOUS	damit
ihn	PPER	er
kein	PIAT	keine
Gespräch	NN	Gespräch
störe	VVFIN	stören
und	KON	und
lernte	VVFIN	lernen
halblaut	ADJD	halblaut
seine	PPOSAT	sein
Katechismusaufgabe	NN	Katechismusaufgabe
.	$.	.
Das	ART	die
Buch	NN	Buch
lag	VVFIN	liegen
vor	APPR	vor
ihm	PPER	er
.	$.	.
Ob	KOUS	ob
'	$(	'
s	NN	s
der	ART	die
kleine	ADJA	klein
Katechismus	NN	Katechismus
Lutheri	NE	Lutheri
oder	KON	oder
der	ART	die
Heidelberger	NN	Heidelberger
war	VAFIN	sein
,	$,	,
weiß	VVFIN	wissen
ich	PPER	ich
nicht	PTKNEG	nicht
genau	ADJD	genau
,	$,	,
aber	KON	aber
sicherlich	ADV	sicherlich
war	VAFIN	sein
'	$(	'
s	NN	s
Einer	NN	Einer
davon	PTKVZ	davon
.	$.	.
Jm	NE	Jm
mehrgedachten	ADJA	mehrgedachten
Sorgstuhl	NN	Sorgstuhl
saß	VVFIN	sitzen
der	ART	die
Vater	NN	Vater
der	ART	die
jungen	ADJA	jung
Frau	NN	Frau
,	$,	,
ein	ART	eine
dicker	ADJA	dick
,	$,	,
kräftiger	ADJA	kräftig
Greis	NN	Greis
und	KON	und
schmauchte	VVFIN	schmauchte
sein	PPOSAT	sein
Pfeifchen	NN	Pfeifchen
Pfälzer	NN	Pfälzer
.	$.	.
Er	PPER	er
war	VAFIN	sein
das	ART	die
Urbild	NN	Urbild
eines	ART	eine
altpfälzer	ADJA	altpfälzer
,	$,	,
wohlhabenden	ADJA	wohlhabend
Bauersmannes	NN	Bauersmannes
.	$.	.
Er	PPER	er
trug	VVFIN	tragen
ein	ART	eine
langes	ADJA	lang
,	$,	,
weißes	ADJA	weiß
Flanell	NN	Flanell
=	$(	=
Kamisol	NE	Kamisol
,	$,	,
eine	ART	eine
graue	ADJA	grau
manchesterne	ADJA	manchesterne
Weste	NN	Weste
,	$,	,
eine	ART	eine
kurze	ADJA	kurz
Lederhose	NN	Lederhose
mit	APPR	mit
Seitenschnallen	NN	Seitenschnallen
,	$,	,
weiße	ADJA	weiß
Wollstrümpfe	NN	Wollstrumpf
,	$,	,
Schuhe	NN	Schuh
mit	APPR	mit
Messingschnallen	NN	Messingschnallen
und	KON	und
eine	ART	eine
weiße	ADJA	weiß
,	$,	,
linnene	ADJA	linnene
,	$,	,
faltenreiche	ADJA	faltenreich
Schürze	NN	Schürze
vorgebunden	VVPP	vorgebunden
.	$.	.
Auf	APPR	auf
dem	ART	die
Kopfe	NN	Kopf
saß	VVFIN	sitzen
das	ART	die
Mützchen	NN	Mützchen
,	$,	,
wie	KOUS	wie
es	PPER	es
sein	PPOSAT	sein
Schwiegersohn	NN	Schwiegersohn
trug	VVFIN	tragen
.	$.	.
Das	ART	die
rechte	ADJA	recht|rechts
Bein	NN	Bein
war	VAFIN	sein
behaglich	ADJD	behaglich
über	APPR	über
das	ART	die
linke	ADJA	links
geschlagen	VVPP	schlagen
und	KON	und
die	ART	die
Augen	NN	Auge
fielen	VVFIN	fallen
zeitweise	ADV	zeitweise
zu	PTKVZ	zu
,	$,	,
ohne	APPR	ohne
daß	KOUS	dass
jedoch	ADV	jedoch
die	ART	die
Pfeife	NN	Pfeife
erlosch	VVFIN	erlöschen
,	$,	,
die	PRELS	die
vielmehr	ADV	vielmehr
beim	APPRART	bei+die
Wiedererwachen	NN	Wiedererwachen
mit	APPR	mit
hastigen	ADJA	hastig
Zügen	NN	Zug
wieder	ADV	wieder
zum	APPRART	zu+die
frischen	ADJA	frisch
Brennen	NN	Brennen
gebracht	VVPP	bringen
wurde	VAFIN	werden
.	$.	.
Da	KOUS	da
das	ART	die
Gespräch	NN	Gespräch
in	APPR	in
'	$(	'
s	NN	s
Stocken	NN	Stocken
gerathen	VVPP	gerathen
war	VAFIN	sein
,	$,	,
um	KOUI	um
Jaköbchen	NN	Jaköbchen
im	APPRART	in+die
Studium	NN	Studium
und	KON	und
den	ART	die
Altvater	NN	Altvater
im	APPRART	in+die
Mittagsnuckerchen	NN	Mittagsnuckerchen
nicht	PTKNEG	nicht
zu	PTKZU	zu
stören	VVINF	stören
,	$,	,
so	ADV	so
sah	VVFIN	sehen
der	ART	die
Schwiegersohn	NN	Schwiegersohn
,	$,	,
einmal	ADV	einmal
sich	PRF	sich
aufrichtend	ADJD	aufrichtend
,	$,	,
durch	APPR	durch
die	PRELS	die
vom	APPRART	von+die
Eise	NN	Eis
befreiten	ADJA	befreit
Scheiben	NN	Scheibe
und	KON	und
sagte	VVFIN	sagen
dann	ADV	dann
halblaut	ADJD	halblaut
zu	APPR	zu
seiner	PPOSAT	sein
Frau	NN	Frau
:	$.	:
„	$(	„
Der	ART	die
alte	ADJA	alt
Hannjörg	NE	Hannjörg
kommt	VVFIN	kommen
!	$.	!
"	$(	"
-	$(	-
„	$(	„
Der	PRELS	die
ist	VAFIN	sein
auch	ADV	auch
schon	ADV	schon
lange	ADV	lange
nicht	PTKNEG	nicht
mehr	ADV	mehr
dagewesen	VVPP	dagewesen
,	$,	,
"	$(	"
entgegnete	VVFIN	entgegnen
sie	PPER	sie
.	$.	.
„	$(	„
Sag	VVIMP	sagen
'	$(	'
mir	PRF	ich
doch	KON	doch
nur	ADV	nur
einmal	ADV	einmal
"	$(	"
,	$,	,
fuhr	VVFIN	fahren
der	ART	die
Mann	NN	Mann
fort	PTKVZ	fort
,	$,	,
„	$(	„
wie	KOUS	wie
und	KON	und
woher	PWAV	woher
es	PPER	es
kommt	VVFIN	kommen
,	$,	,
daß	KOUS	dass
der	ART	die
in	APPR	in
Försters	NN	Förster
g	NN	g
'	$(	'
rad	PTKVZ	rad
so	ADV	so
ist	VAFIN	sein
,	$,	,
als	KOUS	als
gehörte	VVFIN	gehören
er	PPER	er
zu	APPR	zu
der	ART	die
Familie	NN	Familie
und	KON	und
geht	VVFIN	gehen
sie	PPER	sie
doch	ADV	doch
von	APPR	von
Haut	NN	Haut
und	KON	und
Haar	NN	Haar
nichts	PIS	nichts
an	PTKVZ	an
?	$.	?
Jch	NE	Jch
bin	VAFIN	sein
nun	ADV	nun
schon	ADV	schon
die	ART	die
langen	ADJA	lang
Jahre	NN	Jahr
von	APPR	von
Jocksweiler	NN	Jocksweiler
hierhergezogen	VVPP	hierherziehen
und	KON	und
hab	VAIMP	haben
'	$(	'
s	NN	s
mein	PPOSAT	mein
Lebtag	NN	Lebtag
nicht	PTKNEG	nicht
gehört	VVPP	gehören|hören
.	$.	.
"	$(	"
Der	ART	die
Altvater	NN	Altvater
war	VAFIN	sein
,	$,	,
weil	KOUS	weil
er	PPER	er
,	$,	,
wie	KOUS	wie
ein	ART	eine
Haase	NE	Haase
schlief	VVFIN	schlafen
,	$,	,
selbst	ADV	selbst
durch	APPR	durch
dieß	ADJA	dieß
Geflüster	NN	Geflüster
zu	APPR	zu
sich	PRF	sich
gekommen	VVPP	kommen
,	$,	,
und	KON	und
antwortete	VVFIN	antworten
,	$,	,
ehe	KOUS	ehe
seine	PPOSAT	sein
schöne	ADJA	schön
Tochter	NN	Tochter
es	PPER	es
konnte	VMFIN	können
:	$.	:
„	$(	„
Margareth	NE	Margareth
weiß	VVFIN	wissen
das	PDS	die
nicht	PTKNEG	nicht
so	ADV	so
genau	ADJD	genau
.	$.	.
Wart	NN	Wart
'	$(	'
ein	ART	eine
Bißchen	NN	Bißchen
,	$,	,
Balthes	NE	Balthes
,	$,	,
wenn	KOUS	wenn
der	ART	die
Hannjörg	NE	Hannjörg
kommt	VVFIN	kommen
,	$,	,
wie	KOUS	wie
du	PPER	du
gesagt	VVPP	sagen
hast	VAFIN	haben
,	$,	,
so	ADV	so
erzählet	VVFIN	erzählet
er	PPER	er
'	$(	'
s	NN	s
selber	ADV	selber
,	$,	,
und	KON	und
ich	PPER	ich
sag	VVIMP	sagen
'	$(	'
dir	PPER	du
,	$,	,
das	PDS	die
hat	VAFIN	haben
ein	ART	eine
Echo	NN	Echo
!	$.	!
Jch	NE	Jch
könnt	VMFIN	können
'	$(	'
ihm	PPER	er
acht	CARD	acht
Tage	NN	Tag
zuhören	VVINF	zuhören
.	$.	.
"	$(	"
Das	ART	die
Wort	NN	Wort
war	VAFIN	sein
kaum	ADV	kaum
von	APPR	von
der	ART	die
Lippe	NN	Lippe
,	$,	,
da	ADV	da
öffnete	VVFIN	öffnen
sich	PRF	sich
unangeklopft	ADJD	unangeklopft
die	ART	die
Thüre	NN	Thüre
und	KON	und
es	PPER	es
trat	VVFIN	treten
ein	ART	eine
Mann	NN	Mann
herein	PTKVZ	herein
,	$,	,
der	PRELS	die
sich	PRF	sich
durch	APPR	durch
seine	PPOSAT	sein
Kleidung	NN	Kleidung
nicht	PTKNEG	nicht
im	APPRART	in+die
Mindesten	NN	Mindeste
von	APPR	von
dem	ART	die
Altvater	NN	Altvater
unterschied	VVFIN	unterscheiden
,	$,	,
nur	ADV	nur
etwa	ADV	etwa
das	PDS	die
könnte	VMFIN	können
eine	ART	eine
Flurschützennase	NN	Flurschützennase
herauswittern	VVINF	herauswittern
,	$,	,
daß	KOUS	dass
Alles	NN	All
strammer	ADJD	stramm
und	KON	und
netter	ADJD	nett
an	APPR	an
dem	ART	die
Alten	NN	Alte
war	VAFIN	sein
und	KON	und
seine	PPOSAT	sein
Haltung	NN	Haltung
auf	APPR	auf
der	ART	die
Stelle	NN	Stelle
erkennen	VVINF	erkennen
ließ	VVFIN	lassen
,	$,	,
er	PPER	er
sei	VAFIN	sein
einmal	ADV	einmal
dem	ART	die
rasselnden	ADJA	rasselnd
Kalbfelle	NN	Kalbfelle
gefolgt	VVPP	folgen
,	$,	,
was	PRELS	was
etwa	ADV	etwa
so	ADV	so
viel	PIS	viele
heißen	VVINF	heißen
will	VMFIN	wollen
,	$,	,
als	KON	als
er	PPER	er
sei	VAFIN	sein
Soldat	NN	Soldat
gewesen	VAPP	sein
.	$.	.
Es	PPER	es
war	VAFIN	sein
ein	ART	eine
Mann	NN	Mann
,	$,	,
der	PRELS	die
sich	PRF	sich
noch	ADV	noch
hoch	ADJD	hoch
in	APPR	in
den	ART	die
Siebzigen	NN	Siebzigen
kerzengrade	NN	kerzengrade
hielt	VVFIN	halten
.	$.	.
Sein	PPOSAT	sein
Haar	NN	Haar
war	VAFIN	sein
schneeweiß	ADJD	schneeweiß
,	$,	,
aber	ADV	aber
frisch	ADJD	frisch
sah	VVFIN	sehen
das	ART	die
wetterharte	ADJA	wetterharte
Gesicht	NN	Gesicht
aus	PTKVZ	aus
;	$.	;
was	PWS	was
auf	APPR	auf
eine	ART	eine
derbe	ADJA	derb
Gesundheit	NN	Gesundheit
schließen	VVINF	schließen
ließ	VVFIN	lassen
.	$.	.
Der	ART	die
Ausdruck	NN	Ausdruck
seines	PPOSAT	sein
Gesichtes	NN	Gesicht
war	VAFIN	sein
mild	ADJD	mild
und	KON	und
freundlich	ADJD	freundlich
.	$.	.
Noch	ADV	noch
in	APPR	in
solchem	PIAT	solche
Alter	NN	Alter
hatte	VAFIN	haben
er	PPER	er
keine	PIAT	keine
Brille	NN	Brille
nöthig	ADJD	nöthig
und	KON	und
seine	PPOSAT	sein
Sinne	NN	Sinn
waren	VAFIN	sein
merkwürdig	ADJD	merkwürdig
scharf	ADJD	scharf
.	$.	.
„	$(	„
Guten	ADJA	gut
Tag	NN	Tag
!	$.	!
"	$(	"
sagte	VVFIN	sagen
er	PPER	er
und	KON	und
herzlich	ADJD	herzlich
wurde	VAFIN	werden
der	ART	die
Gruß	NN	Gruß
erwiedert	VVPP	erwiedert
.	$.	.
„	$(	„
Ei	NE	ei
,	$,	,
Hannjörg	NE	Hannjörg
,	$,	,
"	$(	"
sagte	VVFIN	sagen
der	ART	die
Altvater	NN	Altvater
,	$,	,
„	$(	„
ich	PPER	ich
dachte	VVFIN	denken
,	$,	,
du	PPER	du
wärst	VAFIN	sein
heute	ADV	heute
mit	APPR	mit
dem	ART	die
Förster	NN	Förster
draußen	ADV	draußen
im	APPRART	in+die
Wald	NN	Wald
,	$,	,
weil	KOUS	weil
sie	PPER	sie
gestern	ADV	gestern
sagten	VVFIN	sagen
,	$,	,
ihr	PPER	ihr
hättet	VAFIN	haben
ein	ART	eine
,	$,	,
Wildschwein	NN	Wildschwein
aufgethan	VVPP	aufgethan
und	KON	und
festgemacht	VVPP	festmachen
.	$.	.
"	$(	"
„	$(	„
Eine	ART	eine
Sau	NN	Sau
,	$,	,
willst	VMFIN	wollen
du	PPER	du
sagen	VVINF	sagen
,	$,	,
Peter	NE	Peter
,	$,	,
"	$(	"
erwiederte	VVFIN	erwiederte
der	ART	die
leidenschaftliche	ADJA	leidenschaftlich
Jäger	NN	Jäger
,	$,	,
„	$(	„
und	KON	und
einen	ART	eine
Keuler	NN	Keuler
dazu	PAV	dazu
;	$.	;
aber	KON	aber
der	PDS	die
ist	VAFIN	sein
schon	ADV	schon
lange	ADV	lange
gemöpst	ADJA	gemöpst
und	KON	und
ich	PPER	ich
hab	VAIMP	haben
ihm	PPER	er
den	ART	die
Bart	NN	Bart
gebrannt	VVPP	brennen
,	$,	,
daß	KOUS	dass
er	PPER	er
das	ART	die
Rasiren	NN	Rasiren
spart	VVFIN	sparen
.	$.	.
Das	PDS	die
war	VAFIN	sein
ein	ART	eine
Schuß	NN	Schuss
!	$.	!
Alterchen	NN	Alterchen
!	$.	!
Grad	NN	Grad
auf	APPR	auf
'	$(	'
s	NN	s
Blatt	NN	Blatt
hab	VAIMP	haben
ich	PPER	ich
ihm	PPER	er
auf	APPR	auf
100	CARD	@card@
Gäng	NN	Gäng
die	ART	die
blaue	ADJA	blau
Bohne	NN	Bohne
gesetzt	VVPP	setzen
,	$,	,
daß	KOUS	dass
er	PPER	er
noch	ADV	noch
einmal	ADV	einmal
ein	ART	eine
Männchen	NN	Männchen
machte	VVFIN	machen
,	$,	,
wie	KOUS	wie
ein	ART	eine
Haas	NE	Haas
im	APPRART	in+die
Lager	NN	Lager
,	$,	,
und	KON	und
dann	ADV	dann
überpurzelte	VVFIN	überpurzelte
und	KON	und
nicht	PTKNEG	nicht
mehr	ADV	mehr
muckste	VVFIN	muckste
;	$.	;
dafür	PAV	dafür
hab	VAIMP	haben
'	$(	'
ich	PPER	ich
ihm	PPER	er
auch	ADV	auch
den	ART	die
rechten	ADJA	recht|rechts
Hauer	NN	Hauer
als	KOKOM	als
Beute	NN	Beute
abgebrochen	VVPP	abbrechen
!	$.	!
"	$(	"
Mit	APPR	mit
diesen	PDAT	dies
Worten	NN	Wort
reichte	VVFIN	reichen
er	PPER	er
dem	ART	die
Alten	NN	Alte
im	APPRART	in+die
Sorgstuhl	NN	Sorgstuhl
einen	ART	eine
furchtbaren	ADJA	furchtbar
Stoßzahn	NN	Stoßzahn
des	ART	die
Thieres	NN	Thieres
,	$,	,
der	PRELS	die
von	APPR	von
Hand	NN	Hand
zu	APPR	zu
Hand	NN	Hand
ging	VVFIN	gehen
und	KON	und
besonders	ADV	besonders
vom	APPRART	von+die
Jaköbchen	NN	Jaköbchen
mit	APPR	mit
der	ART	die
größten	ADJA	groß
Verwunderung	NN	Verwunderung
betrachtet	VVPP	betrachten
wurde	VAFIN	werden
.	$.	.
Er	PPER	er
hielt	VVFIN	halten
sich	PRF	sich
ihn	PPER	er
in	APPR	in
den	ART	die
Mund	NN	Mund
,	$,	,
so	ADV	so
an	APPR	an
der	ART	die
Stelle	NN	Stelle
des	ART	die
ersten	ADJA	erst
Backzahns	NN	Backzahns
,	$,	,
