*	XY	*
N.	APPR	n.
Kimmelstiel	NN	Kimmelstiel
&	KON	&
Co.	NN	Co.
,	$,	,
Neuer	NN	Neue
Wall	NE	Wall
Nr.	NN	Nr.
66	CARD	@card@
,	$,	,
sowie	KON	sowie
B.	NE	B.
S.	NE	S.
Berendsohn	NE	Berendsohn
,	$,	,
Alsterarkaden	NN	Alsterarkade
Nr.	NN	Nr.
13	CARD	@card@
,	$,	,
und	KON	und
Carl	NE	Carl
Weinrebe	NN	Weinrebe
,	$,	,
St.	NE	St.
Pauli	NE	Pauli
,	$,	,
Langereihe	NN	Langereihe
Nr.	NN	Nr.
55	CARD	@card@
,	$,	,
übernommen	VVPP	übernehmen
.	$.	.
–	$(	-
Zusammenstoß	NN	Zusammenstoß
.	$.	.
Auf	APPR	auf
dem	ART	die
Weßberg	NN	Weßberg
stieß	VVFIN	stoßen
gestern	ADV	gestern
Abend	NN	Abend
ein	ART	eine
mit	APPR	mit
Thonwaaren	NN	Thonwaaren
beladener	ADJA	beladen
Wagen	NN	Wagen
mit	APPR	mit
einem	ART	eine
anderen	PIAT	andere
Fuhrwerk	NN	Fuhrwerk
zusammen	PTKVZ	zusammen
.	$.	.
Dabei	PAV	dabei
wurde	VAFIN	werden
ein	ART	eine
Ofengesims	NN	Ofengesims
im	APPRART	in+die
Werthe	NN	Werthe
von	APPR	von
50	CARD	@card@
M.	NE	M.
von	APPR	von
dem	ART	die
ersteren	PIS	erstere
herabgeschleudert	VVPP	herabgeschleudert
und	KON	und
zertrümmert	VVPP	zertrümmern
.	$.	.
Da	ADV	da
keiner	PIS	keine
der	ART	die
beiden	PIAT	beide
Kutscher	NN	Kutscher
an	APPR	an
dem	ART	die
Vorfall	NN	Vorfall
Schuld	NN	Schuld
haben	VAINF	haben
wollte	VMFIN	wollen
,	$,	,
so	ADV	so
ist	VAFIN	sein
eine	ART	eine
Untersuchung	NN	Untersuchung
eingeleitet	VVPP	einleiten
worden	VAPP	werden
.	$.	.
–	$(	-
Ueberfahren	NN	Ueberfahren
.	$.	.
Auf	APPR	auf
dem	ART	die
Neuen	NN	Neue
Steinweg	NN	Steinweg
wurde	VAFIN	werden
heute	ADV	heute
Morgen	NN	Morgen
ein	ART	eine
20jähriger	ADJA	20jährig
Arbeiter	NN	Arbeiter
von	APPR	von
einem	ART	eine
Geschäftswagen	NN	Geschäftswagen
überfahren	VVPP	überfahren
,	$,	,
kam	VVFIN	kommen
aber	ADV	aber
glücklicherweise	ADV	glücklicherweise
mit	APPR	mit
einer	ART	eine
leichten	ADJA	leicht
Verletzung	NN	Verletzung
am	APPRART	an+die
Kopfe	NN	Kopf
davon	PTKVZ	davon
.	$.	.
Der	ART	die
junge	ADJA	jung
Mann	NN	Mann
konnte	VMFIN	können
,	$,	,
nachdem	KOUS	nachdem
er	PPER	er
verbunden	ADJD	verbunden
worden	VAPP	werden
war	VAFIN	sein
,	$,	,
seinen	PPOSAT	sein
Weg	NN	Weg
fortsetzen	VVFIN	fortsetzen
.	$.	.
–	$(	-
Ein	ART	eine
„	$(	„
schwerer	ADJA	schwer
"	$(	"
Diebstahl	NN	Diebstahl
.	$.	.
Von	APPR	von
einem	ART	eine
Lagerplatz	NN	Lagerplatz
an	APPR	an
der	ART	die
Sachsenstraße	NN	Sachsenstraße
wurde	VAFIN	werden
vergangene	ADJA	vergangen
.	$.	.
Nacht	NN	Nacht
ein	ART	eine
schwer	ADJD	schwer
mit	APPR	mit
Eisen	NN	Eisen
beladener	ADJA	beladen
Blockwagen	NN	Blockwagen
entführt	VVPP	entführen
.	$.	.
Die	ART	die
Diebe	NN	Dieb
müssen	VMFIN	müssen
Pferde	NN	Pferd
mitgebracht	VVPP	mitbringen
haben	VAINF	haben
,	$,	,
um	KOUI	um
die	ART	die
schwere	ADJA	schwer
Last	NN	Last
fortschaffen	VVINF	fortschaffen
zu	PTKZU	zu
können	VMINF	können
.	$.	.
–	$(	-
Verdächtig	ADJD	verdächtig
.	$.	.
Bei	APPR	bei
einem	ART	eine
Händler	NN	Händler
in	APPR	in
der	ART	die
Spaldingstraße	NN	Spaldingstraße
boten	VVFIN	bieten
gestern	ADV	gestern
Abend	NN	Abend
zwei	CARD	zwei
Arbeiter	NN	Arbeiter
verschiedene	ADJA	verschieden
Eisenwaaren	NN	Eisenwaaren
zum	APPRART	zu+die
Kauf	NN	Kauf
an	PTKVZ	an
.	$.	.
Dem	ART	die
Händler	NN	Händler
kam	VVFIN	kommen
das	ART	die
Verhalten	NN	Verhalten
der	ART	die
Leute	NN	Leute
indessen	ADV	indessen
so	ADV	so
verdächtig	ADJD	verdächtig
vor	PTKVZ	vor
,	$,	,
daß	KOUS	dass
er	PPER	er
genauere	ADJA	genau
Legitimation	NN	Legitimation
verlangte	VVFIN	verlangen
,	$,	,
was	PRELS	was
die	ART	die
beiden	PIAT	beide
veranlaßte	ADJA	veranlasst
,	$,	,
unter	APPR	unter
Zurücklassung	NN	Zurücklassung
der	ART	die
Sachen	NN	Sache
eiligst	ADJD	eilig
zu	PTKZU	zu
entfliehen	VVINF	entfliehen
.	$.	.
Die	ART	die
dem	ART	die
Anscheine	NN	Anschein
nach	APPR	nach
von	APPR	von
einem	ART	eine
Diebstahle	NN	Diebstahle
herrührenden	ADJA	herrührend
Gegenstände	NN	Gegenstand
wurden	VAFIN	werden
der	ART	die
Polizei	NN	Polizei
überliefert	VVPP	überliefern
.	$.	.
–	$(	-
Der	ART	die
Unterschlagung	NN	Unterschlagung
beschuldigt	VVPP	beschuldigen
,	$,	,
wurde	VAFIN	werden
heute	ADV	heute
der	ART	die
Inhaber	NN	Inhaber
eines	ART	eine
Nachweisungsbureaus	NN	Nachweisungsbureaus
an	APPR	an
der	ART	die
Ellernthorsbrücke	NN	Ellernthorsbrücke
in	APPR	in
Haft	NN	Haft
genommen	VVPP	nehmen
.	$.	.
Derselbe	PDS	derselbe
wird	VAFIN	werden
beschuldigt	VVPP	beschuldigen
,	$,	,
vor	APPR	vor
längerer	ADJA	lang
Zeit	NN	Zeit
von	APPR	von
einem	ART	eine
Dienstmädchen	NN	Dienstmädchen
zur	APPRART	zu+die
Führung	NN	Führung
eines	ART	eine
Processes	NN	Processes
einen	ART	eine
Vorschuß	NN	Vorschuss
von	APPR	von
150	CARD	@card@
M	NN	M
genommen	VVPP	nehmen
zu	PTKZU	zu
haben	VAINF	haben
,	$,	,
ohne	KOUI	ohne
in	APPR	in
der	ART	die
Sache	NN	Sache
das	ART	die
Geringste	NN	Geringste
zu	APPR	zu
thun	NE	thun
.	$.	.
–	$(	-
Mysteriös	ADJD	mysteriös
.	$.	.
Auf	APPR	auf
dem	ART	die
Mittelcanal	NN	Mittelcanal
im	APPRART	in+die
Hammerbrook	NE	Hammerbrook
wurde	VAFIN	werden
gestern	ADV	gestern
Abend	NN	Abend
eine	ART	eine
Schute	NN	Schute
treibend	ADJD	treibend
gefunden	VVPP	finden
,	$,	,
in	APPR	in
der	PRELS	die
2	CARD	@card@
Ewerführer	NN	Ewerführer
lagen	VVFIN	liegen
,	$,	,
die	PRELS	die
sich	PRF	sich
bei	APPR	bei
näherer	ADJA	nah
Untersuchung	NN	Untersuchung
als	KOKOM	als
so	ADV	so
betrunken	ADJD	betrunken
erwiesen	VVPP	erweisen
,	$,	,
daß	KOUS	dass
alle	PIAT	alle
Versuche	NN	Versuch
,	$,	,
sie	PPER	sie
zu	PTKZU	zu
ermuntern	VVINF	ermuntern
,	$,	,
erfolglos	ADJD	erfolglos
blieben	VVFIN	bleiben
.	$.	.
Man	PIS	man
schaffte	VVFIN	schaffen
sie	PPER	sie
daher	PAV	daher
nach	APPR	nach
dem	ART	die
Bezirksbureau	NN	Bezirksbureau
,	$,	,
wo	PWAV	wo
sie	PPER	sie
heute	ADV	heute
Morgen	NN	Morgen
ihren	PPOSAT	ihr
Rausch	NN	Rausch
so	ADV	so
weit	ADJD	weit
ausgeschlafen	VVPP	ausschlafen
hatten	VAFIN	haben
,	$,	,
daß	KOUS	dass
sie	PPER	sie
folgende	ADJA	folgend
Angaben	NN	Angabe
machen	VVINF	machen
konnten	VMFIN	können
.	$.	.
Sie	PPER	Sie
seien	VAFIN	sein
unterwegs	ADV	unterwegs
gewesen	VAPP	sein
,	$,	,
eine	ART	eine
Ladung	NN	Ladung
Torf	NN	Torf
zu	PTKZU	zu
holen	VVINF	holen
,	$,	,
und	KON	und
von	APPR	von
zwei	CARD	zwei
Männern	NN	Mann
angerufen	VVPP	anrufen
worden	VAPP	werden
,	$,	,
die	PRELS	die
mitzufahren	VVIZU	mitfahren
gewünscht	VVPP	wünschen
hätten	VAFIN	haben
.	$.	.
Sie	PPER	Sie
seien	VAFIN	sein
diesem	PDAT	dies
Wunsche	NN	Wunsch
auch	ADV	auch
nachgekommen	VVPP	nachkommen
,	$,	,
und	KON	und
zum	APPRART	zu+die
Dank	NN	Dank
dafür	PAV	dafür
hätten	VAFIN	haben
,	$,	,
ihnen	PPER	sie
die	ART	die
Fremden	NN	Fremde
unterwegs	ADV	unterwegs
mehrmals	ADV	mehrmals
zu	PTKZU	zu
trinken	VVINF	trinken
gegeben	VVPP	geben
,	$,	,
worauf	PWAV	worauf
sie	PPER	sie
plötzlich	ADJD	plötzlich
so	ADV	so
verworren	ADJD	verworren
im	APPRART	in+die
Kopfe	NN	Kopf
geworden	VAPP	werden
,	$,	,
daß	KOUS	dass
sie	PPER	sie
weder	KON	weder
anzugeben	VVIZU	angeben
wußten	VVFIN	wissen
,	$,	,
was	PRELS	was
ferner	ADJD	fern
mit	APPR	mit
ihnen	PPER	sie
geschehen	VVFIN	geschehen
,	$,	,
noch	KON	noch
was	PWS	was
aus	APPR	aus
ihren	PPOSAT	ihr
Mittfahrern	NN	Mittfahrern
geworden	VAPP	werden
sei	VAFIN	sein
.	$.	.
Aus	APPR	aus
Altona	NE	Altona
.	$.	.
–	$(	-
Die	ART	die
Königl	NN	Königl
.	$.	.
Provinzialsteuer	NN	Provinzialsteuer
=D	ADJA	=D
irektion	NN	irektion
erläßt	VVFIN	erlassen
eine	ART	eine
Verfügung	NN	Verfügung
,	$,	,
worin	PWAV	worin
in	APPR	in
Hinblick	NN	Hinblick
darauf	PAV	darauf
,	$,	,
daß	KOUS	dass
Anträge	NN	Antrag
,	$,	,
Gesuche	NN	Gesuch
und	KON	und
dergl	NN	dergl
.	$.	.
auf	APPR	auf
das	ART	die
verschiedenartigste	ADJA	verschiedenartig
Papierformat	NN	Papierformat
,	$,	,
auf	APPR	auf
Memoranda	NN	Memoranda
,	$,	,
Postkarten	NN	Postkarte
und	KON	und
dergl	NN	dergl
.	$.	.
geschrieben	VVPP	schreiben
werden	VAFIN	werden
,	$,	,
angeordnet	VVPP	anordnen
ist	VAFIN	sein
,	$,	,
daß	KOUS	dass
in	APPR	in
Zukunft	NN	Zukunft
zu	APPR	zu
derartigen	ADJA	derartig
Schreiben	NN	Schreiben
nur	ADV	nur
Mundirpapier	NN	Mundirpapier
in	APPR	in
Größe	NN	Größe
von	APPR	von
33	CARD	@card@
X21	NN	X21
Centimeter	NN	Centimeter
zu	PTKZU	zu
verwenden	VVINF	verwenden
ist	VAFIN	sein
.	$.	.
Gesuche	NN	Gesuch
auf	APPR	auf
anderem	PIS	andere
Papier	NN	Papier
,	$,	,
werden	VAFIN	werden
keine	PIAT	keine
Berücksichtigung	NN	Berücksichtigung
finden	VVINF	finden
.	$.	.
–	$(	-
Die	ART	die
Unterstützungsvereine	NN	Unterstützungsvereine
der	ART	die
Tabakarbeiter	NN	Tabakarbeiter
in	APPR	in
Altona	NE	Altona
und	KON	und
Ottensen	NE	Ottensen
haben	VAFIN	haben
beschlossen	VVPP	beschließen
,	$,	,
gegen	APPR	gegen
die	ART	die
Regierungsverfügung	NN	Regierungsverfügung
,	$,	,
wonach	PWAV	wonach
sie	PPER	sie
unter	APPR	unter
staatlicher	ADJA	staatlich
Controle	NN	Controle
gestellt	VVPP	stellen
werden	VAFIN	werden
,	$,	,
höheren	ADJA	hoch
Orts	NN	Ort
Beschwerde	NN	Beschwerde
zu	PTKZU	zu
führen	VVINF	führen
.	$.	.
–	$(	-
Der	ART	die
Altonaer	NN	Altonaer
Missionsverein	NN	Missionsverein
hielt	VVFIN	halten
gestern	ADV	gestern
im	APPRART	in+die
Ottensener	NN	Ottensener
Park	NN	Park
sein	PPOSAT	sein
diesjähriges	ADJA	diesjährig
Missionsfest	NN	Missionsfest
ab	PTKVZ	ab
.	$.	.
Es	PPER	es
hatte	VAFIN	haben
sich	PRF	sich
eine	ART	eine
sehr	ADV	sehr
große	ADJA	groß
Zahl	NN	Zahl
von	APPR	von
Theilnehmern	NN	Theilnehmern
eingefunden	VVPP	einfinden
,	$,	,
und	KON	und
hielten	VVFIN	halten
die	ART	die
Herren	NN	Herr
Propst	VVFIN	Propst
Neelsen	NN	Neelsen
,	$,	,
Pastor	NN	Pastor
Weymann	NN	Weymann
und	KON	und
Grütter	NN	Grütter
=	$(	=
Hamburg	NE	Hamburg
sowie	KON	sowie
Herr	NN	Herr
Pastor	NN	Pastor
Jensen	NE	Jensen
Brecklum	NN	Brecklum
Ansprachen	NN	Ansprache
an	APPR	an
die	ART	die
Versammelten	NN	Versammelte
.	$.	.
–	$(	-
Die	ART	die
Hamburg	NE	Hamburg
=	$(	=
Altonaer	NN	Altonaer
Pferdebahngesellschaft	NN	Pferdebahngesellschaft
beabsichtigt	VVPP	beabsichtigen
,	$,	,
ihre	PPOSAT	ihr
Linie	NN	Linie
nach	APPR	nach
dem	ART	die
Strohhaus	NN	Strohhaus
zu	PTKZU	zu
verlängern	VVINF	verlängern
,	$,	,
und	KON	und
soll	VMFIN	sollen
bereits	ADV	bereits
um	APPR	um
die	ART	die
Concession	NN	Concession
bei	APPR	bei
der	ART	die
Hamburger	ADJA	Hamburger
Behörde	NN	Behörde
eingekommen	VVPP	einkommen
sein	VAINF	sein
.	$.	.
–	$(	-
Die	ART	die
Feuerwehr	NN	Feuerwehr
hielt	VVFIN	halten
gestern	ADV	gestern
Abend	NN	Abend
mit	APPR	mit
den	ART	die
nichtständigen	ADJA	nichtständig
Mitgliedern	NN	Mitglied
eine	ART	eine
Uebung	NN	Uebung
auf	APPR	auf
dem	ART	die
Grundstück	NN	Grundstück
an	APPR	an
der	ART	die
Teichstraße	NN	Teichstraße
ab	PTKVZ	ab
.	$.	.
Die	ART	die
Leistungen	NN	Leistung
,	$,	,
die	PRELS	die
namentlich	ADJD	namentlich
in	APPR	in
Arbeiten	NN	Arbeit|Arbeiten
mit	APPR	mit
den	ART	die
Druckspritzen	NN	Druckspritzen
bestanden	VVPP	bestehen
,	$,	,
waren	VAFIN	sein
völlig	ADJD	völlig
befriedigend	ADJD	befriedigend
.	$.	.
–	$(	-
Löschvorrichtungen	NN	Löschvorrichtungen
im	APPRART	in+die
Justizgebäude	NN	Justizgebäude
.	$.	.
Zur	APPRART	zu+die
möglichst	ADV	möglichst
schnellen	ADJA	schnell
Unterdrückung	NN	Unterdrückung
etwa	ADV	etwa
entstandener	ADJA	entstanden
Feuersgefahr	NN	Feuersgefahr
sind	VAFIN	sein
im	APPRART	in+die
hiesigen	ADJA	hiesig
Justizgebäude	NN	Justizgebäude
von	APPR	von
der	ART	die
Altonaer	NN	Altonaer
Gas	FM	Gas
=	$(	=
und	KON	und
Wasser	NN	Wasser
=	$(	=
Gesellschaft	NN	Gesellschaft
umfassende	ADJA	umfassend
Löscheinrichtungen	NN	Löscheinrichtungen
getroffen	VVPP	treffen|triefen
worden	VAPP	werden
,	$,	,
die	PRELS	die
ohne	APPR	ohne
Weiteres	NN	Weiter
von	APPR	von
jedweder	PIAT	jedwede
Person	NN	Person
gehandhabt	VVPP	handhaben
werden	VAINF	werden
können	VMFIN	können
.	$.	.
