Oesterreich	NN	Oesterreich
Regiments	NN	Regiment
=	$(	=
und	KON	und
Bataillonsstab	NN	Bataillonsstab
in	APPR	in
Innsbruck	NE	Innsbruck
,	$,	,
dann	ADV	dann
je	APPR	je
eine	ART	eine
Kompagnie	NN	Kompagnie
in	APPR	in
Amras	NE	Amras
,	$,	,
Arzl	NE	Arzl
,	$,	,
Igls	NE	Igls
und	KON	und
Vill	NE	Vill
,	$,	,
Lans	NN	Lans
und	KON	und
Sistrans	NN	Sistrans
,	$,	,
Altrans	NN	Altrans
und	KON	und
Ampas	NN	Ampas
,	$,	,
dann	ADV	dann
in	APPR	in
Patsch	NN	Patsch
.	$.	.
Am	APPRART	an+die
26	CARD	@card@
.	$.	.
Oktober	NN	Oktober
marschirt	NN	marschirt
das	ART	die
2te	ADJA	2te
Bataillon	NN	Bataillon
von	APPR	von
Rugent	NE	Rugent
Infanterie	NN	Infanterie
von	APPR	von
Steinach	ADV	Steinach
uͤber	ADJA	uͤber
Ellbogen	NN	Ellbogen
nach	APPR	nach
Hall	NN	Hall
und	KON	und
Konkurrenz	NN	Konkurrenz
;	$.	;
dann	ADV	dann
eine	ART	eine
6	CARD	@card@
pfuͤndige	ADJA	pfuͤndige
Fußbatterie	NN	Fußbatterie
Nro	NN	Nro
.	$.	.
22	CARD	@card@
durch	APPR	durch
Innsbruck	NE	Innsbruck
.	$.	.
Am	APPRART	an+die
27	CARD	@card@
.	$.	.
Oktober	NN	Oktober
die	ART	die
Oberstlieutenants	NN	Oberstlieutenants
=	$(	=
Division	NN	Division
von	APPR	von
Windischgraͤtz	NN	Windischgraͤtz
Chevaurlegers	NN	Chevaurlegers
bleibend	ADJD	bleibend
in	APPR	in
Innsbruck	NE	Innsbruck
und	KON	und
Konkurrenz	NN	Konkurrenz
;	$.	;
naͤmlich	ADJD	naͤmlich
der	ART	die
Divisionsstab	NN	Divisionsstab
mit	APPR	mit
einem	ART	eine
Zug	NN	Zug
in	APPR	in
Wilten	NE	Wilten
,	$,	,
dann	ADV	dann
je	APPR	je
ein	ART	eine
Zug	NN	Zug
in	APPR	in
Amras	NN	Amras
,	$,	,
Voͤlls	NN	Voͤlls
und	KON	und
Kemathen	NN	Kemathen
;	$.	;
ferner	ADJD	fern
eine	ART	eine
Eskadron	NN	Eskadron
in	APPR	in
Innsbruck	NE	Innsbruck
.	$.	.
Am	APPRART	an+die
27	CARD	@card@
.	$.	.
Oktober	NN	Oktober
eine	ART	eine
Raketen	NN	Rakete
=	$(	=
Batterie	NN	Batterie
durchmarschirend	ADJD	durchmarschirend
.	$.	.
Am	APPRART	an+die
29	CARD	@card@
.	$.	.
Oktober	NN	Oktober
das	ART	die
1ste	NN	1ste
Landwehr	NN	Landwehr
=	$(	=
Bataillon	NN	Bataillon
von	APPR	von
Benedek	NE	Benedek
Infanterie	NN	Infanterie
Nro	NN	Nro
.	$.	.
28	CARD	@card@
durchmarschirend	ADJD	durchmarschirend
;	$.	;
dann	ADV	dann
eine	ART	eine
12	CARD	@card@
pfuͤndige	ADJA	pfuͤndige
Fußbatterie	NN	Fußbatterie
Nro	NN	Nro
.	$.	.
3	CARD	@card@
in	APPR	in
Innsbruck	NE	Innsbruck
bleibend	ADJD	bleibend
.	$.	.
Am	APPRART	an+die
30	CARD	@card@
.	$.	.
Oktober	NN	Oktober
das	ART	die
3te	ADJA	3te
Bataillon	NN	Bataillon
von	APPR	von
Benedek	NE	Benedek
Infanterie	NN	Infanterie
durchmarschirend	ADJD	durchmarschirend
;	$.	;
dann	ADV	dann
eine	ART	eine
Kavallerie	NN	Kavallerie
=	$(	=
Batterie	NN	Batterie
Nro	NN	Nro
.	$.	.
9	CARD	@card@
durchmarschirend	ADJD	durchmarschirend
.	$.	.
Am	APPRART	an+die
31	CARD	@card@
.	$.	.
Oktober	NN	Oktober
das	ART	die
1	CARD	@card@
.	$.	.
Bataillon	NN	Bataillon
von	APPR	von
Benedek	NE	Benedek
Infanterie	NN	Infanterie
mit	APPR	mit
Regimentsstab	NN	Regimentsstab
durchmarschirend	ADJD	durchmarschirend
.	$.	.
–	$(	-
Summa	NN	Summa
der	ART	die
vom	APPRART	von+die
17	CARD	@card@
.	$.	.
Oktober	NN	Oktober
angefangen	VVPP	anfangen
hier	ADV	hier
an	PTKVZ	an
und	KON	und
durchmarschirenden	ADJA	durchmarschirenden
Truppen	NN	Truppe
8885	CARD	@card@
Mann	NN	Mann
mit	APPR	mit
1589	CARD	@card@
Pferden	NN	Pferd
.	$.	.
–	$(	-
Wien	NE	Wien
,	$,	,
den	ART	die
15	CARD	@card@
.	$.	.
Oktober	NN	Oktober
.	$.	.
Baron	NN	Baron
Haynau	NE	Haynau
ist	VAFIN	sein
gestern	ADV	gestern
Morgens	NN	Morgen
von	APPR	von
hier	ADV	hier
nach	APPR	nach
Gratz	NN	Gratz
abgereist	VVPP	abreisen
,	$,	,
nachdem	KOUS	nachdem
er	PPER	er
seine	PPOSAT	sein
Demission	NN	Demission
eingereicht	VVPP	einreichen
hatte	VAFIN	haben
.	$.	.
Se	NE	se
.	$.	.
Maj	NE	Maj
.	$.	.
der	ART	die
Kaiser	NN	Kaiser
soll	VMFIN	sollen
sie	PPER	sie
durchaus	ADV	durchaus
nicht	PTKNEG	nicht
annehmen	VVINF	annehmen
wollen	VMINF	wollen
.	$.	.
Man	PIS	man
raunt	VVFIN	raunen
sich	PRF	sich
in	APPR	in
die	ART	die
Ohren	NN	Ohr
,	$,	,
Baͤron	NE	Baͤron
Haynau	NE	Haynau
,	$,	,
der	ART	die
Mann	NN	Mann
mit	APPR	mit
dem	ART	die
eisernen	ADJA	eisern
Willen	NN	Wille
,	$,	,
unerschuͤtterlich	ADJD	unerschuͤtterlich
in	APPR	in
seinen	PPOSAT	sein
einmal	ADV	einmal
gefaßten	ADJA	gefasst
Vorsaͤtzen	NN	Vorsaͤtzen
,	$,	,
habe	VAFIN	haben
dem	ART	die
Ministerium	NN	Ministerium
damals	ADV	damals
schon	ADV	schon
,	$,	,
als	KOUS	als
es	PPER	es
gegen	APPR	gegen
die	ART	die
kriegsrechtlichen	ADJA	kriegsrechtlichen
Urtheile	NN	Urtheile
,	$,	,
welche	PRELS	welche
am	APPRART	an+die
6	CARD	@card@
.	$.	.
Okt.	NN	Okt.
zu	APPR	zu
Pesth	NN	Pesth
und	KON	und
Arad	NN	Arad
vollzogen	VVPP	vollziehen
wurden	VAFIN	werden
,	$,	,
Einwendungen	NN	Einwendung
machen	VVINF	machen
wollte	VMFIN	wollen
,	$,	,
die	ART	die
Erklaͤrung	NN	Erklaͤrung
abgegeben	VVPP	abgeben
:	$.	:
„	$(	„
er	PPER	er
sey	VVFIN	sey
von	APPR	von
Sr.	NE	Sr.
Maj	NE	Maj
.	$.	.
mit	APPR	mit
unumschraͤnkter	ADJA	unumschraͤnkter
Vollmacht	NN	Vollmacht
ausgestattet	VVPP	ausstatten
;	$.	;
es	PPER	es
duͤrfe	VVFIN	duͤrfe
daher	PAV	daher
an	APPR	an
seinen	PPOSAT	sein
Beschluͤssen	NN	Beschluͤssen
nicht	PTKNEG	nicht
ein	ART	eine
Jota	NE	Jota
abgeaͤndert	VVPP	abgeaͤndert
werden	VAINF	werden
,	$,	,
widrigenfalls	ADV	widrigenfalls
er	PPER	er
die	ART	die
Oberkommandantenstelle	NN	Oberkommandantenstelle
augenblicklich	ADJD	augenblicklich
niederlegen	VVINF	niederlegen
und	KON	und
selbst	ADV	selbst
Oesterreich	ADJD	Oesterreich
verlassen	VVFIN	verlassen
wuͤrde	NN	wuͤrde
.	$.	.
“	$(	“
Besonders	ADV	besonders
aber	ADV	aber
erzaͤhlt	VVFIN	erzaͤhlt
man	PIS	man
,	$,	,
sey	VVFIN	sey
Haynau	NE	Haynau
daruͤber	NN	daruͤber
aufgebracht	VVPP	aufbringen
gewesen	VAPP	sein
,	$,	,
daß	KOUS	dass
man	PIS	man
ohne	APPR	ohne
sein	PPOSAT	sein
Wissen	NN	Wissen
und	KON	und
Willen	NN	Wille
die	ART	die
Todesstrafe	NN	Todesstrafe
an	APPR	an
Batthyanyi	NE	Batthyanyi
mit	APPR	mit
Pulver	NN	Pulver
und	KON	und
Blei	NN	Blei
vollzogen	VVPP	vollziehen
habe	VAFIN	haben
,	$,	,
mithin	ADV	mithin
von	APPR	von
dem	ART	die
von	APPR	von
ihm	PPER	er
bestaͤtigten	ADJA	bestaͤtigten
Urtheile	NN	Urtheile
abgegangen	VVPP	abgehen
sey	NE	sey
.	$.	.
Dieß	VVFIN	Dieß
so	ADV	so
wie	KOUS	wie
der	ART	die
bittere	ADJA	bitter
Tadel	NN	Tadel
,	$,	,
welchen	PRELS	welche
die	ART	die
vielen	PIAT	viele
Hinrichtungen	NN	Hinrichtung
in	APPR	in
den	ART	die
oͤffentlichen	ADJA	oͤffentlichen
Blaͤttern	NN	Blaͤttern
erfahren	VVINF	erfahren
mußten	VMFIN	müssen
,	$,	,
haͤtten	NN	haͤtten
sein	PPOSAT	sein
Entlassungsgesuch	NN	Entlassungsgesuch
veranlaßt	VVPP	veranlassen
.	$.	.
FML	NN	FML
.	$.	.
Fuͤrst	NE	Fuͤrst
Lichtenstein	NE	Lichtenstein
soll	VMFIN	sollen
vorlaͤufig	ADJD	vorlaͤufig
sein	PPOSAT	sein
Stellvertreter	NN	Stellvertreter
seyn	NE	seyn
.	$.	.
(	$(	(
K.	NE	K.
Bl.	NE	Bl.
A.	NE	A.
B.	NE	B.
)	$(	)
