Titel	NN	Titel
Häuser	NN	Haus
und	KON	und
Liegenschaften	NN	Liegenschaft
,	$,	,
welche	PRELS	welche
im	APPRART	in+die
Bezirk	NN	Bezirk
der	ART	die
Häuser	NN	Haus
und	KON	und
Hofraithen	NN	Hofraithen
einer	ART	eine
Gemeinde	NN	Gemeinde
liegen	VVFIN	liegen
,	$,	,
jedoch	ADV	jedoch
zu	APPR	zu
einer	ART	eine
andern	PIAT	andere
Gemeinde	NN	Gemeinde
gehören	VVFIN	gehören
,	$,	,
sind	VAFIN	sein
in	APPR	in
polizeilicher	ADJA	polizeilich
und	KON	und
administrativer	ADJA	administrativ
Hinsicht	NN	Hinsicht
mit	APPR	mit
der	ART	die
ersteren	PIS	erstere
zu	PTKZU	zu
vereinigen	VVINF	vereinigen
.	$.	.
Bei	APPR	bei
der	ART	die
Ausführung	NN	Ausführung
soll	VMFIN	sollen
die	ART	die
Provinzial	NN	Provinzial
=	$(	=
Regierung	NN	Regierung
die	ART	die
bestehenden	ADJA	bestehend
privatrechtlichen	ADJA	privatrechtlich
Verhältnisse	NN	Verhältnis
ohne	APPR	ohne
Einwilligung	NN	Einwilligung
der	ART	die
Interessenten	NN	Interessent
nicht	PTKNEG	nicht
verändern	VVFIN	verändern
Art	NN	Art
.	$.	.
5	CARD	@card@
.	$.	.
Wenn	KOUS	wenn
mehrere	PIAT	mehrere
Gemeinden	NN	Gemeinde
einen	ART	eine
gemeinschaftlichen	ADJA	gemeinschaftlich
Bezirk	NN	Bezirk
besitzen	VVFIN	besitzen
,	$,	,
welcher	PWAT	welche
,	$,	,
ohne	KOUI	ohne
in	APPR	in
die	ART	die
Gemarkung	NN	Gemarkung
einer	PIS	eine
der	ART	die
theilnehmenden	ADJA	theilnehmenden
Gemeinden	NN	Gemeinde
zu	PTKZU	zu
gehören	VVINF	gehören
,	$,	,
eine	ART	eine
eigene	ADJA	eigen
,	$,	,
für	APPR	für
sich	PRF	sich
bestehende	ADJA	bestehend
Gemarkung	NN	Gemarkung
bildet	VVFIN	bilden
,	$,	,
so	ADV	so
soll	VMFIN	sollen
diese	PDAT	dies
Gemarkung	NN	Gemarkung
selbst	ADV	selbst
mit	APPR	mit
den	ART	die
etwa	ADV	etwa
auf	APPR	auf
ihr	PPOSAT	ihr
haftenden	ADJA	haftend
Schulden	NN	Schuld
und	KON	und
Lasten	NN	Last
nach	APPR	nach
Verhältniß	NN	Verhältniß
des	ART	die
beitragspflichtigen	ADJA	beitragspflichtig
Grundsteuerkapitals	NN	Grundsteuerkapitals
eines	ART	eine
jeden	PIAT	jede
Ortes	NN	Ort
,	$,	,
unter	APPR	unter
die	ART	die
betreffenden	ADJA	betreffend
Gemeinden	NN	Gemeinde
getheilt	VVPP	getheilt
werden	VAFIN	werden
.	$.	.
Die	ART	die
in	APPR	in
einer	ART	eine
solchen	PIAT	solche
Gemarkung	NN	Gemarkung
liegenden	ADJA	liegend
,	$,	,
den	ART	die
Gemeinden	NN	Gemeinde
selbst	ADV	selbst
ungetheilt	ADJA	ungetheilt
zugehörigen	ADJA	zugehörig
Gemeindegüter	NN	Gemeindegüter
,	$,	,
Waldungen	NN	Waldungen
und	KON	und
andere	PIS	andere
Realitäten	NN	Realität
sollen	VMFIN	sollen
ebenfalls	ADV	ebenfalls
nebst	APPR	nebst
den	ART	die
darauf	PAV	darauf
haftenden	ADJA	haftend
Schulden	NN	Schuld
und	KON	und
Lasten	NN	Last
,	$,	,
nach	APPR	nach
den	ART	die
eintretenden	ADJA	eintretend
rechtlichen	ADJA	rechtlich
Grundsätzen	NN	Grundsatz
unter	APPR	unter
die	ART	die
betreffenden	ADJA	betreffend
Gemeinden	NN	Gemeinde
getheilt	VVPP	getheilt
werden	VAFIN	werden
.	$.	.
Es	PPER	es
soll	VMFIN	sollen
bei	APPR	bei
diesen	PDAT	dies
Theilungen	NN	Theilungen
darauf	PAV	darauf
Rücksicht	NN	Rücksicht
genommen	VVPP	nehmen
werden	VAINF	werden
,	$,	,
daß	KOUS	dass
die	ART	die
Gemarkung	NN	Gemarkung
einer	ART	eine
Gemeinde	NN	Gemeinde
nicht	PTKNEG	nicht
durch	APPR	durch
Theile	NE	Theile
einer	ART	eine
fremden	ADJA	fremd
Gemarkung	NN	Gemarkung
getrennt	VVPP	trennen
werde	VAFIN	werden
,	$,	,
und	KON	und
daß	KOUS	dass
die	PDS	die
einer	ART	eine
Gemeinde	NN	Gemeinde
zugetheilten	ADJA	zugetheilten
Gemeindegüter	NN	Gemeindegüter
,	$,	,
künftig	ADJD	künftig
auch	ADV	auch
der	ART	die
Gemarkung	NN	Gemarkung
dieser	PDAT	dies
Gemeinde	NN	Gemeinde
zugehören	VVFIN	zugehören
.	$.	.
Ueber	NN	Ueber
die	ART	die
Ausführung	NN	Ausführung
der	ART	die
Vertheilung	NN	Vertheilung
können	VMFIN	können
die	ART	die
Ortsvorstände	NN	Ortsvorstände
der	ART	die
betreffenden	ADJA	betreffend
Gemeinden	NN	Gemeinde
unter	APPR	unter
Leitung	NN	Leitung
der	ART	die
Provinzial	NN	Provinzial
=	$(	=
Regierung	NN	Regierung
übereinkommen	VVINF	übereinkommen
.	$.	.
Art	NN	Art
.	$.	.
6	CARD	@card@
.	$.	.
Mehrere	PIS	mehrere
an	APPR	an
einem	ART	eine
Orte	NN	Ort
bisher	ADV	bisher
bestandene	ADJA	bestanden
Gemeinden	NN	Gemeinde
,	$,	,
z.	APPRART	zu+die
B.	NN	B.
unter	APPR	unter
der	ART	die
Benennung	NN	Benennung
Alt	NN	Alt
=	$(	=
und	KON	und
Neugemeinden	NN	Neugemeinden
,	$,	,
sollen	VMFIN	sollen
sich	PRF	sich
in	APPR	in
eine	ART	eine
Gemeinde	NN	Gemeinde
vereinigen	VVINF	vereinigen
.	$.	.
Die	ART	die
nöthigen	ADJA	nöthigen
Bestimmungen	NN	Bestimmung
über	APPR	über
das	ART	die
zusammenzubringende	ADJA	zusammenzubringende
Vermögen	NN	Vermögen
und	KON	und
die	ART	die
Schulden	NN	Schuld
müssen	VMFIN	müssen
der	ART	die
Vereinigung	NN	Vereinigung
vorangehen	VVINF	vorangehen
.	$.	.
Ueber	NN	Ueber
diese	PDAT	dies
Bestimmungen	NN	Bestimmung
können	VMFIN	können
die	ART	die
Ortsvorstände	NN	Ortsvorstände
der	ART	die
betreffenden	ADJA	betreffend
Gemeinden	NN	Gemeinde
unter	APPR	unter
Leitung	NN	Leitung
der	ART	die
Provinzial	NN	Provinzial
=	$(	=
Regierung	NN	Regierung
übereinkommen	VVINF	übereinkommen
.	$.	.
Art	NN	Art
.	$.	.
7	CARD	@card@
.	$.	.
Kommt	VVFIN	kommen
die	ART	die
nach	APPR	nach
den	ART	die
Art	NN	Art
5	CARD	@card@
.	$.	.
und	KON	und
6	CARD	@card@
.	$.	.
zu	APPR	zu
versuchende	ADJA	versuchend
gütliche	ADJA	gütlich
Uebereinkunft	NN	Uebereinkunft
nicht	PTKNEG	nicht
zu	APPR	zu
Stande	NN	Stand
,	$,	,
so	ADV	so
hat	VAFIN	haben
die	ART	die
Provinzial	NN	Provinzial
=	$(	=
Regierung	NN	Regierung
zu	PTKZU	zu
entscheiden	VVINF	entscheiden
.	$.	.
Gegen	APPR	gegen
diese	PDAT	dies
Entscheidung	NN	Entscheidung
kann	VMFIN	können
Beschwerde	NN	Beschwerde
bei	APPR	bei
dem	ART	die
Staatsrath	NN	Staatsrath
gefuͤhrt	VVPP	gefuͤhrt
werden	VAINF	werden
,	$,	,
welcher	PWS	welche
nach	APPR	nach
Vernehmung	NN	Vernehmung
der	ART	die
beteiligten	ADJA	beteiligt
Gemeinden	NN	Gemeinde
entscheidet	VVFIN	entscheiden
.	$.	.
Titel	NN	Titel
II	CARD	II
.	$.	.
Von	APPR	von
der	ART	die
Bildung	NN	Bildung
und	KON	und
dem	ART	die
Geschäftskreis	NN	Geschäftskreis
des	ART	die
Ortsvorstandes	NN	Ortsvorstand
.	$.	.
Abschnitt	NN	Abschnitt
1	CARD	@card@
.	$.	.
Von	APPR	von
den	ART	die
Bürgermeistereien	NN	Bürgermeistereien
.	$.	.
Art	NN	Art
.	$.	.
8	CARD	@card@
.	$.	.
Jede	PIAT	jede
Gemeinde	NN	Gemeinde
,	$,	,
die	PRELS	die
einen	ART	eine
eigenen	ADJA	eigen
Ortsvorstand	NN	Ortsvorstand
hat	VAFIN	haben
,	$,	,
so	ADV	so
wie	KOUS	wie
jede	PIAT	jede
Vereinigung	NN	Vereinigung
mehrerer	PIAT	mehrere
Gemeinden	NN	Gemeinde
in	APPR	in
der	ART	die
Form	NN	Form
der	ART	die
Verwaltung	NN	Verwaltung
durch	APPR	durch
Wahl	NN	Wahl
eines	ART	eine
gemeinschaftlichen	ADJA	gemeinschaftlich
Ortsvorstandes	NN	Ortsvorstand
,	$,	,
bildet	VVFIN	bilden
eine	ART	eine
Bürgermeisterei	NN	Bürgermeisterei
.	$.	.
Es	PPER	es
wird	VAFIN	werden
eine	ART	eine
jede	PIAT	jede
Provinz	NN	Provinz
in	APPR	in
eine	ART	eine
bestimmte	ADJA	bestimmt
Anzahl	NN	Anzahl
von	APPR	von
Bürgermeistereien	NN	Bürgermeistereien
eingetheilt	VVPP	eingetheilt
.	$.	.
Jede	PIAT	jede
Bürgermeisterei	NN	Bürgermeisterei
soll	VMFIN	sollen
in	APPR	in
der	ART	die
Regel	NN	Regel
,	$,	,
und	KON	und
wenn	KOUS	wenn
nicht	PTKNEG	nicht
Localverhältnisse	NN	Localverhältnisse
im	APPRART	in+die
Wege	NN	Weg
stehen	VVFIN	stehen
,	$,	,
wenigstens	ADV	wenigstens
400	CARD	@card@
bis	KON	bis
500	CARD	@card@
Seelen	NN	Seele
haben	VAFIN	haben
,	$,	,
indem	KOUS	indem
da	ADV	da
,	$,	,
wo	PWAV	wo
es	PPER	es
nach	APPR	nach
den	ART	die
Verhältnissen	NN	Verhältnis
thunlich	ADJD	thunlich
erscheint	VVFIN	erscheinen
,	$,	,
mehrere	PIAT	mehrere
benachbarte	ADJA	benachbart
Gemeinden	NN	Gemeinde
einen	ART	eine
gemeinschaftlichen	ADJA	gemeinschaftlich
Ortsvorstand	NN	Ortsvorstand
erhalten	VVINF	erhalten
sollen	VMFIN	sollen
,	$,	,
wobei	PWAV	wobei
sie	PPER	sie
aber	ADV	aber
in	APPR	in
dem	ART	die
Materiellen	NN	Materielle
ihres	PPOSAT	ihr
Haushaltes	NN	Haushalt
getrennt	ADJD	getrennt
bleiben	VVFIN	bleiben
.	$.	.
Wenn	KOUS	wenn
durch	APPR	durch
eine	ART	eine
solche	PIAT	solche
Verbindung	NN	Verbindung
eine	ART	eine
Gemeinde	NN	Gemeinde
in	APPR	in
einem	ART	eine
Domanial	NN	Domanial
=	$(	=
Amte	NN	Amt
mit	APPR	mit
einer	ART	eine
Gemeinde	NN	Gemeinde
in	APPR	in
einem	ART	eine
standesherrlichen	ADJA	standesherrlichen
oder	KON	oder
patrimonialgerichtsherrlichen	ADJA	patrimonialgerichtsherrlichen
Bezirk	NN	Bezirk
,	$,	,
oder	KON	oder
wenn	KOUS	wenn
dadurch	PAV	dadurch
eine	ART	eine
Gemeinde	NN	Gemeinde
in	APPR	in
einem	ART	eine
standesherrlichen	ADJA	standesherrlichen
Bezirk	NN	Bezirk
mit	APPR	mit
einer	ART	eine
Gemeinde	NN	Gemeinde
in	APPR	in
einem	ART	eine
Patrimonialgerichts	NN	Patrimonialgerichts
=	$(	=
Bezirk	NN	Bezirk
vereiniget	VVFIN	vereiniget
werden	VAINF	werden
würde	VAFIN	werden
,	$,	,
so	ADV	so
soll	VMFIN	sollen
die	ART	die
Verbindung	NN	Verbindung
nicht	PTKNEG	nicht
eintreten	VVINF	eintreten
.	$.	.
Art	NN	Art
.	$.	.
9	CARD	@card@
.	$.	.
Die	ART	die
früher	ADV	früher
in	APPR	in
dieser	PDAT	dies
Rücksicht	NN	Rücksicht
entstandenen	ADJA	entstanden
Vereinigungen	NN	Vereinigung
mehrerer	PIAT	mehrere
Gemeinden	NN	Gemeinde
unter	APPR	unter
der	ART	die
Benennung	NN	Benennung
Cent	NN	Cent
,	$,	,
Reiswagen	NN	Reiswagen
u.	KON	und
s.	ADV	s.
w.	APPR	w.
hören	VVFIN	hören
nunmehr	ADV	nunmehr
auf	PTKVZ	auf
,	$,	,
so	ADV	so
weit	ADJD	weit
diese	PDAT	dies
Vereinigung	NN	Vereinigung
sich	PRF	sich
auf	APPR	auf
Gemeindezwecke	NN	Gemeindezwecke
bezieht	VVFIN	beziehen
.	$.	.
Art	NN	Art
10	CARD	@card@
.	$.	.
Den	ART	die
Ortsvorstand	NN	Ortsvorstand
jeder	PIAT	jede
Gemeinde	NN	Gemeinde
bilden	VVFIN	bilden
:	$.	:
1	CARD	@card@
)	$(	)
Der	ART	die
Bürgermeister	NN	Bürgermeister
,	$,	,
2	CARD	@card@
)	$(	)
ein	PTKVZ	ein
oder	KON	oder
mehrere	PIAT	mehrere
Beigeordnete	NN	Beigeordnete
desselben	PDS	derselbe
,	$,	,
3	CARD	@card@
)	$(	)
der	ART	die
Gemeinderath	NN	Gemeinderath
.	$.	.
Art	NN	Art
.	$.	.
11	CARD	@card@
.	$.	.
Der	ART	die
also	ADV	also
gebildete	ADJA	gebildet
Ortsvorstand	NN	Ortsvorstand
ist	VAFIN	sein
der	ART	die
gesetzliche	ADJA	gesetzlich
Stellvertreter	NN	Stellvertreter
der	ART	die
Gemeinde	NN	Gemeinde
in	APPR	in
allen	PIAT	alle
Angelegenheiten	NN	Angelegenheit
,	$,	,
welche	PRELS	welche
die	ART	die
Gemeinde	NN	Gemeinde
und	KON	und
die	ART	die
Verwaltung	NN	Verwaltung
ihres	PPOSAT	ihr
Vermögens	NN	Vermögen
betreffen	VVFIN	betreffen
.	$.	.
Abschnitt	NN	Abschnitt
2	CARD	@card@
.	$.	.
Von	APPR	von
dem	ART	die
Bürgermeister	NN	Bürgermeister
.	$.	.
Art	NN	Art
.	$.	.
12	CARD	@card@
.	$.	.
Der	ART	die
Bürgermeister	NN	Bürgermeister
ist	VAFIN	sein
der	ART	die
erste	ADJA	erst
Ortsvorgesetzte	NN	Ortsvorgesetzte
und	KON	und
die	ART	die
handelnde	ADJA	handelnd
und	KON	und
ausführende	ADJA	ausführend
Behörde	NN	Behörde
in	APPR	in
der	ART	die
Gemeindeverwaltung	NN	Gemeindeverwaltung
.	$.	.
Er	PPER	er
hat	VAFIN	haben
den	ART	die
Vorsitz	NN	Vorsitz
und	KON	und
die	ART	die
Leitung	NN	Leitung
bei	APPR	bei
den	ART	die
Versammlungen	NN	Versammlung
des	ART	die
Gemeinderathes	NN	Gemeinderathes
und	KON	und
übt	VVFIN	üben
die	ART	die
vollziehende	ADJA	vollziehend
Gewalt	NN	Gewalt
in	APPR	in
Hinsicht	NN	Hinsicht
der	ART	die
Gemeindeverwaltung	NN	Gemeindeverwaltung
nach	APPR	nach
den	ART	die
bestehenden	ADJA	bestehend
Gesetzen	NN	Gesetz
.	$.	.
So	ADV	so
lange	ADV	lange
die	ART	die
Staats	NN	Staat
=	$(	=
Regierung	NN	Regierung
für	APPR	für
die	ART	die
Verwaltung	NN	Verwaltung
der	ART	die
Polizei	NN	Polizei
in	APPR	in
den	ART	die
einzelnen	ADJA	einzeln
Orten	NN	Ort|Orten
keine	PIAT	keine
besondere	ADJA	besonder
Bestimmung	NN	Bestimmung
trifft	VVFIN	treffen
,	$,	,
so	ADV	so
übt	VVFIN	üben
der	ART	die
Bürgermeister	NN	Bürgermeister
zugleich	ADV	zugleich
als	KOKOM	als
landesherrlicher	ADJA	landesherrlich
Diener	NN	Diener
die	ART	die
vollziehende	ADJA	vollziehend
Gewalt	NN	Gewalt
in	APPR	in
polizeilicher	ADJA	polizeilich
Hinsicht	NN	Hinsicht
nach	APPR	nach
den	ART	die
Gesetzen	NN	Gesetz
und	KON	und
der	ART	die
ihm	PPER	er
ertheilten	ADJA	ertheilten
Dienstinstruction	NN	Dienstinstruction
,	$,	,
und	KON	und
nach	APPR	nach
den	ART	die
Befehlen	NN	Befehl|Befehlen
der	ART	die
vorgesetzten	ADJA	vorgesetzt
Regierungsbehörden	NN	Regierungsbehörde
,	$,	,
sorgt	VVFIN	sorgen
für	APPR	für
die	ART	die
Aufrechthaltung	NN	Aufrechthaltung
der	ART	die
bestehenden	ADJA	bestehend
Ordnung	NN	Ordnung
und	KON	und
hat	VAFIN	haben
das	ART	die
Recht	NN	Recht
,	$,	,
in	APPR	in
Fällen	NN	Fall|Fällen
,	$,	,
die	PRELS	die
eine	ART	eine
schleunige	ADJA	schleunig
Vorkehrung	NN	Vorkehrung
erfordern	VVFIN	erfordern
,	$,	,
Anordnungen	NN	Anordnung
zu	PTKZU	zu
treffen	VVINF	treffen
,	$,	,
welche	PRELS	welche
jeder	PIS	jede
vor	APPR	vor
der	ART	die
Hand	NN	Hand
zu	PTKZU	zu
befolgen	VVINF	befolgen
schuldig	ADJD	schuldig
ist	VAFIN	sein
,	$,	,
die	PRELS	die
aber	ADV	aber
sogleich	ADV	sogleich
,	$,	,
in	APPR	in
so	ADV	so
fern	APPR	fern
sie	PPER	sie
in	APPR	in
den	ART	die
bestehenden	ADJA	bestehend
Gesetzen	NN	Gesetz
nicht	PTKNEG	nicht
vorgesehen	VVPP	vorsehen
waren	VAFIN	sein
,	$,	,
der	ART	die
vorgesetzten	ADJA	vorgesetzt
Behörde	NN	Behörde
anzuzeigen	VVIZU	anzeigen
sind	VAFIN	sein
.	$.	.
Art	NN	Art
.	$.	.
13	CARD	@card@
.	$.	.
Der	ART	die
Bürgermeister	NN	Bürgermeister
wird	VAFIN	werden
dergestalt	ADV	dergestalt
ernannt	VVPP	ernennen
,	$,	,
daß	KOUS	dass
die	ART	die
Einwohner	NN	Einwohner
einer	ART	eine
Bürgermeisterei	NN	Bürgermeisterei
drei	CARD	drei
Personen	NN	Person
erwaͤhlen	VVFIN	erwaͤhlen
,	$,	,
von	APPR	von
welcher	PRELS	welche
die	ART	die
Staats	NN	Staat
=	$(	=
Regierung	NN	Regierung
eine	PIS	eine
bestätigt	VVPP	bestätigen
.	$.	.
In	APPR	in
den	ART	die
standesherrlichen	ADJA	standesherrlichen
und	KON	und
patrimonialgerichtsherrlichen	ADJA	patrimonialgerichtsherrlichen
Bezirken	NN	Bezirk
erfolgt	VVFIN	erfolgen
die	ART	die
Bestätigung	NN	Bestätigung
durch	APPR	durch
den	ART	die
Standesherrn	NN	Standesherrn
und	KON	und
Patrimonialgerichtsherrn	NN	Patrimonialgerichtsherrn
,	$,	,
welche	PRELS	welche
davon	PAV	davon
der	ART	die
Provinzial	NN	Provinzial
=	$(	=
Regierung	NN	Regierung
Anzeige	NN	Anzeige
erstatten	VVINF	erstatten
.	$.	.
Art	NN	Art
.	$.	.
14	CARD	@card@
.	$.	.
Alle	PIAT	alle
sechs	CARD	sechs
Jahre	NN	Jahr
werden	VAFIN	werden
die	ART	die
Bürgermeister	NN	Bürgermeister
von	APPR	von
neuem	ADJA	neu
gewählt	VVPP	wählen
;	$.	;
die	ART	die
abtretenden	ADJA	abtretend
Bürgermeister	NN	Bürgermeister
sind	VAFIN	sein
wieder	ADV	wieder
wählbar	ADJD	wählbar
,	$,	,
aber	ADV	aber
vor	APPR	vor
Ablauf	NN	Ablauf
von	APPR	von
sechs	CARD	sechs
Jahren	NN	Jahr
nach	APPR	nach
ihrem	PPOSAT	ihr
Austritt	NN	Austritt
zur	APPRART	zu+die
Wiederannahme	NN	Wiederannahme
dieses	PDAT	dies
Amts	NN	Amt
nicht	PTKNEG	nicht
verbunden	VVPP	verbinden
.	$.	.
Die	ART	die
in	APPR	in
Gemaͤßheit	NN	Gemaͤßheit
dieses	PDAT	dies
Gesetzes	NN	Gesetz
zum	APPRART	zu+die
erstenmal	NN	erstenmal
eintretenden	ADJA	eintretend
Wahlen	NN	Wahl
der	ART	die
Bürgermeister	NN	Bürgermeister
erfolgen	VVFIN	erfolgen
nur	ADV	nur
auf	APPR	auf
drei	CARD	drei
Jahre	NN	Jahr
.	$.	.
Art	NN	Art
.	$.	.
15	CARD	@card@
.	$.	.
Das	ART	die
Amt	NN	Amt
eines	ART	eine
Bürgermeisters	NN	Bürgermeister
ist	VAFIN	sein
ein	ART	eine
Ehrenamt	NN	Ehrenamt
.	$.	.
Er	PPER	er
hat	VAFIN	haben
weder	KON	weder
Befreiung	NN	Befreiung
von	APPR	von
Lasten	NN	Last
,	$,	,
welche	PRELS	welche
auf	APPR	auf
dem	ART	die
Vermögen	NN	Vermögen
haften	VVFIN	haften
,	$,	,
zu	PTKZU	zu
genießen	VVINF	genießen
,	$,	,
noch	ADV	noch
Besoldung	NN	Besoldung
zu	PTKZU	zu
beziehen	VVINF	beziehen
,	$,	,
noch	ADV	noch
Gebühren	NN	Gebühr
oder	KON	oder
Diäten	NN	Diät
für	APPR	für
Geschäfte	NN	Geschäft
seiner	PPOSAT	sein
Bürgermeisterei	NN	Bürgermeisterei
,	$,	,
innerhalb	APPR	innerhalb
ihrer	PPOSAT	ihr
Ortsgemarkung	NN	Ortsgemarkung
,	$,	,
zu	PTKZU	zu
empfangen	VVINF	empfangen
.	$.	.
Außerhalb	APPR	außerhalb
seiner	PPOSAT	sein
Bürgermeisterei	NN	Bürgermeisterei
erhält	VVFIN	erhalten
er	PPER	er
die	ART	die
vorschriftsmäßigen	ADJA	vorschriftsmäßig
Entschädigungen	NN	Entschädigung
.	$.	.
Art	NN	Art
.	$.	.
16	CARD	@card@
.	$.	.
In	APPR	in
denjenigen	PDAT	derjenig
Gemeinden	NN	Gemeinde
,	$,	,
welche	PRELS	welche
mehr	ADV	mehr
als	KOKOM	als
5000	CARD	@card@
Einwohner	NN	Einwohner
zählen	VVFIN	zählen
,	$,	,
oder	KON	oder
wo	PWAV	wo
etwa	ADV	etwa
ganz	ADV	ganz
besonders	ADV	besonders
verwickelte	ADJA	verwickelt
Verhältnisse	NN	Verhältnis
des	ART	die
Gemeindevermögens	NN	Gemeindevermögens
die	ART	die
unausgesetzte	ADJA	unausgesetzt
Thätigkeit	NN	Thätigkeit
des	ART	die
Bürgermeisters	NN	Bürgermeister
auf	APPR	auf
eine	ART	eine
sehr	ADV	sehr
ausgezeichnete	ADJA	ausgezeichnet
Weise	NN	Weise
in	APPR	in
Anspruch	NN	Anspruch
nehmen	VVFIN	nehmen
,	$,	,
ist	VAFIN	sein
dem	ART	die
Gemeinderath	NN	Gemeinderath
erlaubt	VVPP	erlauben
,	$,	,
auf	APPR	auf
Verlangen	NN	Verlangen
des	ART	die
Bürgermeisters	NN	Bürgermeister
,	$,	,
eine	ART	eine
Entschädigung	NN	Entschädigung
unter	APPR	unter
der	ART	die
Rubrik	NN	Rubrik
:	$.	:
Repraͤsentationskosten	NN	Repraͤsentationskosten
,	$,	,
in	APPR	in
Antrag	NN	Antrag
zu	PTKZU	zu
bringen	VVINF	bringen
,	$,	,
oder	KON	oder
dem	ART	die
Bürgermeister	NN	Bürgermeister
im	APPRART	in+die
Budget	NN	Budget
eine	ART	eine
Summe	NN	Summe
zur	APPRART	zu+die
persönlichen	ADJA	persönlich
Verfügung	NN	Verfügung
zu	PTKZU	zu
stellen	VVINF	stellen
,	$,	,
und	KON	und
ihm	PPER	er
zu	PTKZU	zu
gestatten	VVINF	gestatten
,	$,	,
solche	PIS	solche
ohne	APPR	ohne
weitere	ADJA	weit
Nachweisung	NN	Nachweisung
zu	APPR	zu
quittiren	NN	quittiren
.	$.	.
Art	NN	Art
.	$.	.
17	CARD	@card@
.	$.	.
Für	APPR	für
die	ART	die
Unterhaltung	NN	Unterhaltung
des	ART	die
zu	APPR	zu
seinem	PPOSAT	sein
Dienst	NN	Dienst
erforderlichen	ADJA	erforderlich
Bürgermeistereischreibers	NN	Bürgermeistereischreibers
sodann	ADV	sodann
für	APPR	für
die	ART	die
Kanzleikosten	NN	Kanzleikosten
(	$(	(
als	KOKOM	als
da	ADV	da
sind	VAFIN	sein
:	$.	:
Holz	NN	Holz
zur	APPRART	zu+die
Heizung	NN	Heizung
des	ART	die
Gemeindehauses	NN	Gemeindehaus
,	$,	,
Licht	NN	Licht
,	$,	,
Papier	NN	Papier
,	$,	,
Dinte	NN	Dinte
,	$,	,
Druckkosten	NN	Druckkosten
,	$,	,
Briefporto	NN	Briefporto
u.	KON	und
s.	ADV	s.
w.	APPR	w.
)	$(	)
soll	VMFIN	sollen
eine	ART	eine
angemessene	ADJA	angemessen
Entschädigung	NN	Entschädigung
für	APPR	für
den	ART	die
Bürgermeister	NN	Bürgermeister
nach	APPR	nach
dem	ART	die
Umfange	NN	Umfang
der	ART	die
in	APPR	in
jeder	PIAT	jede
Gemeinde	NN	Gemeinde
vorkommenden	ADJA	vorkommend
und	KON	und
ihm	PPER	er
obliegenden	ADJA	obliegend
Geschäfte	NN	Geschäft
von	APPR	von
dem	ART	die
Gemeinderath	NN	Gemeinderath
vorgeschlagen	VVPP	vorschlagen
werden	VAINF	werden
.	$.	.
Es	PPER	es
ist	VAFIN	sein
übrigens	ADV	übrigens
dem	ART	die
Bürgermeister	NN	Bürgermeister
überlassen	VVPP	überlassen
,	$,	,
die	PRELS	die
in	APPR	in
seinem	PPOSAT	sein
Amte	NN	Amt
vorkommenden	ADJA	vorkommend
Schreibereien	NN	Schreiberei
entweder	KON	entweder
selbst	ADV	selbst
zu	PTKZU	zu
