*	XY	*
solchen	PIAT	solche
Falle	NN	Falle
,	$,	,
wie	KOUS	wie
der	ART	die
obwaltende	ADJA	obwaltend
ist	VAFIN	sein
,	$,	,
von	APPR	von
Regierungswegen	NN	Regierungswegen
gethan	NE	gethan
werden	VAINF	werden
kann	VMFIN	können
und	KON	und
sollte	VMFIN	sollen
,	$,	,
hat	VAFIN	haben
die	ART	die
Speyr	NN	Speyr
.	$.	.
Ztg	NE	Ztg
.	$.	.
mit	APPR	mit
großer	ADJA	groß
Zurückhaltung	NN	Zurückhaltung
besprochen	VVPP	besprechen
,	$,	,
weil	KOUS	weil
der	ART	die
Hr.	NN	Hr.
Ministerpräsident	NN	Ministerpräsident
in	APPR	in
der	ART	die
Abgeordnetenkammer	NN	Abgeordnetenkammer
auf	APPR	auf
eine	ART	eine
deßfallsige	ADJA	deßfallsige
Interpellation	NN	Interpellation
antwortete	VVFIN	antworten
,	$,	,
der	ART	die
ganze	ADJA	ganz
Erfolg	NN	Erfolg
hänge	VVFIN	hängen
oft	ADV	oft
davon	PAV	davon
ab	PTKVZ	ab
,	$,	,
daß	KOUS	dass
die	ART	die
beabsichteten	ADJA	beabsichteten
Maßregeln	NN	Maßregel
nicht	PTKNEG	nicht
vorschnell	ADJD	vorschnell
bekannt	VVPP	bekennen
würden	VAFIN	werden
.	$.	.
Das	PDS	die
,	$,	,
was	PRELS	was
die	ART	die
Speyr	NN	Speyr
.	$.	.
Ztg	NE	Ztg
.	$.	.
positiv	ADJD	positiv
hierin	PAV	hierin
that	VVFIN	that
,	$,	,
war	VAFIN	sein
im	APPRART	in+die
Wesentlichen	ADJA	wesentlich
Folgendes	NN	Folgende
:	$.	:
1	CARD	@card@
)	$(	)
Sie	PPER	Sie
machte	VVFIN	machen
frühzeitig	ADJD	frühzeitig
aufmerksam	ADJD	aufmerksam
,	$,	,
daß	KOUS	dass
eine	ART	eine
Theuerung	NN	Theuerung
eintreten	VVINF	eintreten
werde	VAFIN	werden
,	$,	,
weßhalb	VVFIN	weßhalb
man	PIS	man
alsbald	ADV	alsbald
sich	PRF	sich
darauf	PAV	darauf
vorsehen	VVINF	vorsehen
,	$,	,
und	KON	und
auf	APPR	auf
Vorkehrungen	NN	Vorkehrung
gegen	APPR	gegen
die	ART	die
daraus	PAV	daraus
entstehenden	ADJA	entstehend
Verlegenheiten	NN	Verlegenheit
bedacht	VVPP	bedenken
sein	VAINF	sein
möge	VMFIN	mögen
;	$.	;
2	CARD	@card@
)	$(	)
sie	PPER	sie
rieth	VVFIN	rieth
zum	APPRART	zu+die
alsbaldigen	ADJA	alsbaldigen
Ankaufe	NN	Ankaufe
amerikanischen	ADJA	amerikanisch
Mehles	NN	Mehles
;	$.	;
3	CARD	@card@
)	$(	)
sie	PPER	sie
wünschte	VVFIN	wünschen
,	$,	,
die	ART	die
baierische	ADJA	baierische
Regierung	NN	Regierung
möge	VMFIN	mögen
beim	APPRART	bei+die
gesammten	ADJA	gesammten
Zollverein	NN	Zollverein
eine	ART	eine
Aufhebung	NN	Aufhebung
der	ART	die
Eingangszölle	NN	Eingangszölle
auf	APPR	auf
Lebensmittel	NN	Lebensmittel
veranlassen	VVINF	veranlassen
,	$,	,
und	KON	und
4	CARD	@card@
)	$(	)
sie	PPER	sie
möge	VMFIN	mögen
eine	ART	eine
Ermäßigung	NN	Ermäßigung
der	ART	die
Tarife	NN	Tarif
auf	APPR	auf
den	ART	die
Staatseisenbahnen	NN	Staatseisenbahn
für	APPR	für
den	ART	die
Transport	NN	Transport
von	APPR	von
solchen	PIAT	solche
Lebensmitteln	NN	Lebensmittel
für	APPR	für
Rechnung	NN	Rechnung
der	ART	die
Gemeinden	NN	Gemeinde
,	$,	,
Wohlthätigkeitsanstalten	NN	Wohlthätigkeitsanstalten
etc.	ADV	etc.
gewähren	VVFIN	gewähren
.	$.	.
—	$,	—
Wenn	KOUS	wenn
damit	PAV	damit
etwas	PIAT	etwas
Unmögliches	NN	Unmögliche
gefordert	VVPP	fordern
ist	VAFIN	sein
oder	KON	oder
gar	ADV	gar
—	$,	—
was	PRELS	was
in	APPR	in
den	ART	die
Augen	NN	Auge
gewisser	ADJA	gewiss
Leute	NN	Leute
selbst	ADV	selbst
über	APPR	über
das	ART	die
Unmögliche	NN	Unmögliche
hinaus	PTKVZ	hinaus
zu	PTKZU	zu
gehen	VVINF	gehen
scheint	VVFIN	scheinen
—	$,	—
etwas	PIAT	etwas
Communistisches	NN	Communistisches
,	$,	,
nun	ADV	nun
,	$,	,
so	ADV	so
lassen	VVFIN	lassen
wir	PPER	wir
es	PPER	es
uns	PRF	wir
gerne	ADV	gerne
gefallen	VVPP	fallen|gefallen
,	$,	,
in	APPR	in
dieser	PDAT	dies
Beziehung	NN	Beziehung
einmal	ADV	einmal
sogar	ADV	sogar
für	APPR	für
Communisten	NN	Communisten
zu	PTKZU	zu
gelten	VVINF	gelten
!	$.	!
Wir	PPER	wir
haben	VAFIN	haben
hierüber	PAV	hierüber
nur	ADV	nur
noch	ADV	noch
dieses	PDAT	dies
zu	PTKZU	zu
erinnern	VVINF	erinnern
:	$.	:
daß	KOUS	dass
durch	APPR	durch
die	ART	die
Behauptung	NN	Behauptung
:	$.	:
„	$(	„
daß	KOUS	dass
von	APPR	von
einem	ART	eine
allgemeinen	ADJA	allgemein
Nothstand	NN	Nothstand
nicht	PTKNEG	nicht
die	ART	die
Rede	NN	Rede
sein	VAINF	sein
könne	VMFIN	können
,	$,	,
”	NN	”
daß	KOUS	dass
„	$(	„
die	ART	die
Besorgniß	NN	Besorgniß
einer	ART	eine
anhaltenden	ADJA	anhaltend
Theuerung	NN	Theuerung
alles	PIAT	alle
Grundes	NN	Grund
entbehre	VVFIN	entbehren
,	$,	,
”	NN	”
und	KON	und
wie	KOKOM	wie
die	ART	die
derartigen	ADJA	derartig
Beruhigungsmittel	NN	Beruhigungsmittel
alle	PIS	alle
lauten	VVINF	lauten
mögen	VMFIN	mögen
,	$,	,
—	$,	—
Behauptungen	NN	Behauptung
,	$,	,
mit	APPR	mit
denen	PRELS	die
sich	PRF	sich
freilich	ADV	freilich
Diejenigen	PDS	diejenigen
beruhigen	VVINF	beruhigen
können	VMFIN	können
,	$,	,
welche	PRELS	welche
im	APPRART	in+die
Besitze	NN	Besitz
von	APPR	von
großem	ADJA	groß
Vermögen	NN	Vermögen
,	$,	,
von	APPR	von
hohen	ADJA	hoch
Besoldungen	NN	Besoldung
und	KON	und
reichen	ADJA	reich
Einnahmsquellen	NN	Einnahmsquellen
sind	VAFIN	sein
,	$,	,
wie	KOKOM	wie
Leute	NN	Leute
,	$,	,
welche	PRELS	welche
von	APPR	von
üppigem	ADJA	üppig
Gastmahle	NN	Gastmahl
gesättigt	ADJD	gesättigt
nicht	PTKNEG	nicht
begreifen	VVINF	begreifen
wollen	VMFIN	wollen
,	$,	,
daß	KOUS	dass
es	PPER	es
Hungrige	NN	Hungrige
geben	VVINF	geben
sollte	VMFIN	sollen
—	$,	—
durch	APPR	durch
solche	PIAT	solche
Behauptungen	NN	Behauptung
,	$,	,
sagen	VVFIN	sagen
wir	PPER	wir
,	$,	,
wird	VAFIN	werden
kein	PIAT	keine
Körnchen	NN	Körnchen
Getreide	NN	Getreide
mehr	ADV	mehr
in	APPR	in
das	ART	die
Land	NN	Land
gebracht	VVPP	bringen
,	$,	,
wol	ADJD	wol
aber	KON	aber
können	VMFIN	können
Speculanten	NN	Speculanten
dadurch	PAV	dadurch
abgehalten	VVPP	abhalten
werden	VAINF	werden
,	$,	,
rechtzeitig	ADJD	rechtzeitig
Bestellungen	NN	Bestellung
in	APPR	in
entfernten	ADJA	entfernt
Gegenden	NN	Gegend
zu	PTKZU	zu
machen	VVINF	machen
.	$.	.
Hingegen	ADV	hingegen
kann	VMFIN	können
durch	APPR	durch
das	ART	die
Eintreffen	NN	Eintreffen
von	APPR	von
Lebensmitteln	NN	Lebensmittel
,	$,	,
z.	APPRART	zu+die
B.	NN	B.
aus	APPR	aus
Amerika	NE	Amerika
,	$,	,
selbstverständlich	ADJD	selbstverständlich
einem	ART	eine
Steigen	NN	Steig|Steige|Steigen
der	ART	die
Preise	NN	Preis
entgegengewirkt	VVPP	entgegenwirken
werden	VAFIN	werden
,	$,	,
besser	ADJD	gut
als	KOKOM	als
durch	APPR	durch
alle	PIAT	alle
beruhigenden	ADJA	beruhigend
Versicherungen	NN	Versicherung
eines	ART	eine
Blattes	NN	Blatt
,	$,	,
das	PRELS	die
,	$,	,
wie	KOUS	wie
alle	PIAT	alle
Welt	NN	Welt
weiß	VVFIN	wissen
,	$,	,
nur	ADV	nur
seinen	PPOSAT	sein
gnädigen	ADJA	gnädig
Protektoren	NN	Protektor
zu	APPR	zu
Gefallen	NN	Gefallen
solche	PIAT	solche
Behauptungen	NN	Behauptung
aufstellt	VVFIN	aufstellen
.	$.	.
Das	ART	die
von	APPR	von
uns	PPER	wir
vorgeschlagene	ADJA	vorgeschlagen
Mittel	NN	Mittel
der	ART	die
Aufhebung	NN	Aufhebung
des	ART	die
Zolles	NN	Zolles
auf	APPR	auf
Lebensmittel	NN	Lebensmittel
muß	VMFIN	müssen
doch	ADV	doch
nicht	PTKNEG	nicht
so	ADV	so
ganz	ADV	ganz
verwerflich	ADJD	verwerflich
,	$,	,
unmöglich	ADJD	unmöglich
communistisch	ADJD	communistisch
sein	VAINF	sein
,	$,	,
weil	KOUS	weil
die	ART	die
Regierungen	NN	Regierung
dasselbe	PDAT	dasselb
nun	ADV	nun
doch	ADV	doch
in	APPR	in
Anwendung	NN	Anwendung
gebracht	VVPP	bringen
haben	VAFIN	haben
.	$.	.
Wir	PPER	wir
sind	VAFIN	sein
aber	ADV	aber
der	ART	die
Meinung	NN	Meinung
,	$,	,
daß	KOUS	dass
es	PPER	es
,	$,	,
vor	APPR	vor
4	CARD	@card@
oder	KON	oder
5	CARD	@card@
Monaten	NN	Monat
ergriffen	VVPP	ergreifen
,	$,	,
noch	ADV	noch
ungleich	ADJD	ungleich
erfolgreicher	ADJD	erfolgreich
gewirkt	VVPP	wirken
hätte	VAFIN	haben
,	$,	,
als	KOUS	als
heute	ADV	heute
,	$,	,
und	KON	und
daß	KOUS	dass
es	PPER	es
besser	ADJD	gut
gewesen	VAPP	sein
wäre	VAFIN	sein
,	$,	,
wenn	KOUS	wenn
in	APPR	in
Folge	NN	Folge
dieser	PDAT	dies
Maßregel	NN	Maßregel
die	ART	die
Fruchtpreise	NN	Fruchtpreise
gar	ADV	gar
nicht	PTKNEG	nicht
zu	APPR	zu
der	ART	die
in	APPR	in
den	ART	die
Zollvereinsverträgen	NN	Zollvereinsverträgen
bezeichneten	ADJA	bezeichnet
(	$(	(
jetzigen	ADJA	jetzig
)	$(	)
Höhe	NN	Höhe
hätten	VAFIN	haben
kommen	VVFIN	kommen
müßen	ADJD	müßen
,	$,	,
ehe	KOUS	ehe
man	PIS	man
sich	PRF	sich
über	APPR	über
die	ART	die
angegebene	ADJA	angegeben
Maßregel	NN	Maßregel
verständigte	VVFIN	verständigen
.	$.	.
Auch	ADV	auch
die	ART	die
Ermäßigung	NN	Ermäßigung
der	ART	die
Transporttarife	NN	Transporttarif
auf	APPR	auf
den	ART	die
Staatseisenbahnen	NN	Staatseisenbahn
scheint	VVFIN	scheinen
nicht	PTKNEG	nicht
so	ADV	so
gar	ADV	gar
ungeheuerlich	ADJD	ungeheuerlich
.	$.	.
Wir	PPER	wir
lesen	VVFIN	lesen
eben	ADV	eben
in	APPR	in
den	ART	die
Zeitungen	NN	Zeitung
,	$,	,
daß	KOUS	dass
die	ART	die
Main	NE	Main
=D	ADJA	=D
ampfschifffahrtsgesellschaften	NN	ampfschifffahrtsgesellschaften
,	$,	,
sowol	ADV	sowol
die	ART	die
Frankfurter	NN	Frankfurter
als	KOKOM	als
die	ART	die
baierische	ADJA	baierische
,	$,	,
die	ART	die
Lebensmittel	NN	Lebensmittel
sogar	ADV	sogar
unentgeltlich	ADJD	unentgeltlich
zu	PTKZU	zu
befördern	VVINF	befördern
beschlossen	VVPP	beschließen
haben	VAFIN	haben
.	$.	.
Wir	PPER	wir
sind	VAFIN	sein
nun	ADV	nun
wirklich	ADJD	wirklich
so	ADV	so
communistisch	ADJD	communistisch
gesinnt	ADJD	gesinnt
,	$,	,
zu	PTKZU	zu
glauben	VVINF	glauben
,	$,	,
daß	KOUS	dass
die	ART	die
Regierung	NN	Regierung
auf	APPR	auf
den	ART	die
Staatsbahnen	NN	Staatsbahn
doch	ADV	doch
wenigstens	ADV	wenigstens
einen	ART	eine
Theil	NN	Theil
dessen	PDAT	die
thun	NN	thun
könnte	VMFIN	können
,	$,	,
was	PRELS	was
sogar	ADV	sogar
Private	NN	Private
im	APPRART	in+die
hohen	ADJA	hoch
Maße	NN	Maß
gewähren	VVFIN	gewähren
.	$.	.
Aber	ADV	aber
—	$,	—
meint	VVFIN	meinen
die	ART	die
Pflzr	NN	Pflzr
.	$.	.
Ztg	NE	Ztg
.	$.	.
—	$,	—
solche	PIAT	solche
Anforderungen	NN	Anforderung
werden	VAFIN	werden
nur	ADV	nur
von	APPR	von
Denen	PDS	die
an	APPR	an
die	ART	die
Regierung	NN	Regierung
erhoben	VVPP	erheben
,	$,	,
welche	PRELS	welche
die	ART	die
zur	APPRART	zu+die
Befriedigung	NN	Befriedigung
der	ART	die
„	$(	„
nothwendigsten	ADJA	nothwendigsten
Staatsbedürfniße	NN	Staatsbedürfniße
”	ADJD	”
erforderlichen	ADJA	erforderlich
Steuern	NN	Steuer
verweigern	VVINF	verweigern
wollen	VMFIN	wollen
!	$.	!
—	$,	—
Die	ART	die
Speyr	NN	Speyr
.	$.	.
Ztg	NE	Ztg
.	$.	.
ist	VAFIN	sein
weder	KON	weder
im	APPRART	in+die
Falle	NN	Falle
Steuern	NN	Steuer
zu	PTKZU	zu
bewilligen	VVINF	bewilligen
noch	KON	noch
zu	PTKZU	zu
verweigern	VVINF	verweigern
.	$.	.
Allein	ADV	allein
in	APPR	in
der	ART	die
Abgeordnetenkammer	NN	Abgeordnetenkammer
hat	VAFIN	haben
die	ART	die
democratische	ADJA	democratische
Opposition	NN	Opposition
gegen	APPR	gegen
die	ART	die
Steuererhöhung	NN	Steuererhöhung
gestimmt	VVPP	stimmen
,	$,	,
weil	KOUS	weil
nach	APPR	nach
ihrer	PPOSAT	ihr
Ansicht	NN	Ansicht
Ersparungen	NN	Ersparungen
möglich	ADJD	möglich
sind	VAFIN	sein
,	$,	,
wodurch	PWAV	wodurch
sich	PRF	sich
das	ART	die
Deficit	NN	Deficit
ganz	ADV	ganz
vermeiden	VVINF	vermeiden
und	KON	und
mit	APPR	mit
den	ART	die
alten	ADJA	alt
Steuern	NN	Steuer
auskommen	VVINF	auskommen
läßt	VVFIN	lassen
.	$.	.
Es	PPER	es
fragt	VVFIN	fragen
sich	PRF	sich
nun	ADV	nun
,	$,	,
ob	KOUS	ob
dadurch	PAV	dadurch
den	ART	die
„	$(	„
nothwendigsten	ADJA	nothwendigsten
Staatsbedürfnißen	NN	Staatsbedürfnißen
”	NN	”
die	ART	die
„	$(	„
Befriedigung	NN	Befriedigung
”	ADJD	”
versagt	VVPP	versagen
wird	VAFIN	werden
?	$.	?
An	APPR	an
welchen	PIAT	welche
Positionen	NN	Position
wurden	VAFIN	werden
Ersparungen	NN	Ersparungen
verlangt	VVPP	verlangen
?	$.	?
An	APPR	an
der	ART	die
Civilliste	NN	Civilliste
,	$,	,
dem	ART	die
Staatsrathe	NN	Staatsrathe
,	$,	,
den	ART	die
Gesandtschaften	NN	Gesandtschaft
,	$,	,
der	PRELS	die
zu	APPR	zu
großen	ADJA	groß
Beamtenzahl	NN	Beamtenzahl
,	$,	,
den	PRELS	die
zu	APPR	zu
hohen	ADJA	hoch
Besoldungen	NN	Besoldung
und	KON	und
Repräsentationsgeldern	NN	Repräsentationsgeldern
,	$,	,
den	PRELS	die
zu	APPR	zu
hohen	ADJA	hoch
und	KON	und
übel	ADJD	übel
normirten	ADJA	normirten
Pensionen	NN	Pension
,	$,	,
und	KON	und
am	APPRART	an+die
Militäretat	NN	Militäretat
,	$,	,
durch	APPR	durch
Zurückführung	NN	Zurückführung
der	ART	die
Formation	NN	Formation
auf	APPR	auf
den	ART	die
frühern	ADJA	frühern
Stand	NN	Stand
.	$.	.
Die	ART	die
Pflzr	NN	Pflzr
.	$.	.
Ztg	NE	Ztg
.	$.	.
sieht	VVFIN	sehen
diese	PDAT	dies
Ausgaben	NN	Ausgabe
in	APPR	in
der	ART	die
vorgeschlagenen	ADJA	vorgeschlagen
Größe	NN	Größe
als	KOKOM	als
die	ART	die
„	$(	„
nothwendigsten	ADJA	nothwendigsten
Staatsbedürfniße	NN	Staatsbedürfniße
”	ADJD	”
an	PTKVZ	an
.	$.	.
Wir	PPER	wir
wagen	VVFIN	wagen
es	PPER	es
,	$,	,
den	ART	die
„	$(	„
communistischen	ADJA	communistischen
”	ADJA	”
Gedanken	NN	Gedanke
zu	PTKZU	zu
hegen	VVINF	hegen
,	$,	,
daß	KOUS	dass
es	PPER	es
doch	ADV	doch
noch	ADV	noch
nothwendigere	ADJA	nothwendigere
Dinge	NN	Ding
gibt	VVFIN	geben
,	$,	,
zu	APPR	zu
denen	PRELS	die
wir	PPER	wir
namentlich	ADJD	namentlich
ein	ART	eine
Entgegenwirken	NN	Entgegenwirken
gegen	APPR	gegen
die	ART	die
nach	APPR	nach
unserer	PPOSAT	unser
Ansicht	NN	Ansicht
eben	ADV	eben
doch	ADV	doch
vorhandene	ADJA	vorhanden
Noth	NE	Noth
,	$,	,
und	KON	und
die	ART	die
Vermeidung	NN	Vermeidung
einer	ART	eine
Steuererhöhung	NN	Steuererhöhung
zu	PTKVZ	zu
rechnen	VVFIN	rechnen
uns	PPER	wir
erlauben	VVINF	erlauben
.	$.	.
Indem	KOUS	indem
die	ART	die
„	$(	„
Pfälzer	NN	Pfälzer
Ztg	NE	Ztg
.	$.	.
”	NN	”
dennoch	ADV	dennoch
eine	ART	eine
„	$(	„
lokale	ADJA	lokal
”	NN	”
Noth	NE	Noth
zugibt	VVFIN	zugeben
,	$,	,
behauptet	VVFIN	behaupten
sie	PPER	sie
weiter	PTKVZ	weiter
:	$.	:
„	$(	„
Die	ART	die
allzu	PTKA	allzu
große	ADJA	groß
Freiheit	NN	Freiheit
(	$(	(
„	$(	„
des	ART	die
Individuums	NN	Individuum
in	APPR	in
Bezug	NN	Bezug
auf	APPR	auf
die	ART	die
Wahl	NN	Wahl
der	ART	die
Erwerbsquellen	NN	Erwerbsquelle
,	$,	,
in	APPR	in
Bezug	NN	Bezug
auf	APPR	auf
das	ART	die
Uebersiedeln	NN	Uebersiedeln
von	APPR	von
einer	ART	eine
Gemeinde	NN	Gemeinde
in	APPR	in
die	ART	die
andere	PIS	andere
,	$,	,
in	APPR	in
Bezug	NN	Bezug
auf	APPR	auf
Ansäßigmachung	NN	Ansäßigmachung
und	KON	und
Verehelichung	NN	Verehelichung
”	ADJD	”
)	$(	)
,	$,	,
die	PRELS	die
in	APPR	in
solchen	PIS	solche
für	APPR	für
den	ART	die
Erwerb	NN	Erwerb
einiger	PIAT	einige
Maßen	NN	Maß
schwierigen	ADJA	schwierig
Zeiten	NN	Zeit
als	KOKOM	als
offener	ADJA	offen
Krebsschaden	NN	Krebsschaden
hervortritt	VVFIN	hervortreten
,	$,	,
der	ART	die
Leichtsinn	NN	Leichtsinn
in	APPR	in
der	ART	die
Wahl	NN	Wahl
der	ART	die
Erwerbsmittel	NN	Erwerbsmittel
,	$,	,
in	APPR	in
der	ART	die
Errichtung	NN	Errichtung
von	APPR	von
Gewerben	NN	Gewerben
,	$,	,
in	APPR	in
der	ART	die
Schließung	NN	Schließung
von	APPR	von
Heirathen	NN	Heirathen
,	$,	,
die	ART	die
Gewissenlosigkeit	NN	Gewissenlosigkeit
der	ART	die
Familienväter	NN	Familienvater
,	$,	,
die	ART	die
Weib	NN	Weib
und	KON	und
Kinder	NN	Kind
im	APPRART	in+die
Elend	NN	Elend
sitzen	VVINF	sitzen
lassen	VVINF	lassen
und	KON	und
in	APPR	in
die	ART	die
Fremde	NN	Fremde
ziehen	VVFIN	ziehen
,	$,	,
die	ART	die
Demoralisation	NN	Demoralisation
,	$,	,
Arbeitsscheu	NN	Arbeitsscheu
und	KON	und
Genußsucht	NN	Genusssucht
,	$,	,
in	APPR	in
die	ART	die
rüstige	ADJA	rüstig
Leute	NN	Leute
versunken	VVPP	versinken
sind	VAFIN	sein
—	$,	—
diese	PDAT	dies
Momente	NN	Moment
sind	VAFIN	sein
